,SDNN,RMSSD,ulf,vlf,lf,hf,lfhf,SD1,SD2,SD1SD2,ApEn,Subject,Interface,Autonomy Level,Raw Label,Weighted Label
185,99.5850079,128.776491,1.69819696,141.985754,813.350515,7829.00559,0.1,92.8596625,105.884043,0.876993922,0.168418652,s05,JOY,A2,Low,Low
186,99.0224174,127.944432,0.0418701572,67.1293723,834.487999,7832.69129,0.11,92.1690507,105.431231,0.874210138,0.147662895,s05,JOY,A2,Low,Low
187,99.1801311,126.240218,0.541737829,55.3951787,896.19495,7830.01936,0.11,90.9326165,106.792584,0.851488116,0.147662895,s05,JOY,A2,Low,Low
188,99.8398718,129.502753,0.247745628,304.200982,589.024783,7755.27505,0.08,93.1929347,106.071094,0.878589363,0.147662895,s05,JOY,A2,Low,Low
189,99.6606942,129.502753,3.59261686,337.209309,687.10976,7579.3813,0.09,93.2237452,105.706392,0.881912092,0.0888223953,s05,JOY,A2,Low,Low
190,99.837222,130.650793,3.88168334,110.379102,483.08709,7886.28489,0.06,93.8028484,105.527093,0.888898247,0.0888223953,s05,JOY,A2,Low,Low
191,94.068308,127.900424,0.221283648,99.1129172,366.038446,7238.37245,0.05,92.1481527,95.9500447,0.96037634,0.162930367,s05,JOY,A2,Low,Low
192,95.4051234,128.676453,5.56028783,114.376514,268.918115,7452.51108,0.04,92.6178928,98.1132053,0.943990083,0.10041001,s05,JOY,A2,Low,Low
193,94.1581468,129.255418,0.483753082,59.3796374,367.161235,7067.97937,0.05,93.13838,95.1669869,0.978683712,0.10041001,s05,JOY,A2,Low,Low
194,95.9304116,129.148692,0.296620487,56.0336843,413.591362,7310.40191,0.06,93.054029,98.7230239,0.94257677,0.10388013,s05,JOY,A2,Low,Low
195,100.314264,133.091062,0.52440364,344.525483,338.187459,7974.18649,0.04,95.7573857,104.672949,0.914824573,0.10388013,s05,JOY,A2,Low,Low
196,100.413504,132.22126,0.699198101,500.960641,464.186239,7782.31721,0.06,95.3274519,105.254076,0.905688934,0.034887259,s05,JOY,A2,Low,Low
197,99.0850451,134.882285,2.08020618,207.41837,365.16619,7862.15764,0.05,97.0937691,101.037084,0.96097161,0.034887259,s05,JOY,A2,Low,Low
198,96.0002374,127.547276,9.88229666,140.991434,605.837627,7238.73472,0.08,91.9585191,99.8785359,0.920703515,0.034887259,s05,JOY,A2,Low,Low
199,96.5773239,130.572703,11.636462,293.984624,316.957251,7440.10922,0.04,94.0363923,99.0530964,0.949353385,0.10388013,s05,JOY,A2,Low,Low
200,97.319985,127.691937,14.9454038,489.95837,451.992733,7365.47305,0.06,92.0788959,102.292893,0.900149497,0.10388013,s05,JOY,A2,Low,Low
201,95.7548678,127.557104,9.13170341,393.985184,420.050172,7206.03737,0.06,91.8694726,99.4886396,0.923416713,0.10041001,s05,JOY,A2,Low,Low
202,96.4508812,128.067112,6.94665339,273.071874,398.835292,7448.70182,0.05,92.1338058,100.582835,0.915999289,0.10041001,s05,JOY,A2,Low,Low
203,96.2961701,131.536785,38.183005,482.11512,260.314317,7280.79971,0.04,94.7385065,97.8290353,0.96840888,0.162930367,s05,JOY,A2,Low,Low
204,98.1130228,131.362095,40.2353569,492.503389,261.21461,7553.135,0.03,94.4845124,101.612044,0.929855448,0.168418652,s05,JOY,A2,Low,Low
205,97.118367,129.750056,36.7573588,498.843219,360.169023,7332.33163,0.05,93.4424051,100.660178,0.928295652,0.168418652,s05,JOY,A2,Low,Low
206,98.1176688,133.121113,14.1762328,328.115049,408.921443,7498.12525,0.05,95.8532853,100.33096,0.955370957,0.10388013,s05,JOY,A2,Low,Low
207,97.142771,132.66963,17.5782999,441.843339,301.592719,7355.98061,0.04,95.5950433,98.6662231,0.968873038,0.10388013,s05,JOY,A2,Low,Low
208,98.6431018,132.453766,49.4124548,620.534568,225.927157,7603.12339,0.03,95.2892277,101.886634,0.93524758,0.10388013,s05,JOY,A2,Low,Low
209,95.3792848,132.732235,29.5904175,346.115468,234.866277,7212.81741,0.03,95.6167349,95.1412421,1.00499776,0.10388013,s05,JOY,A2,Low,Low
210,94.7030146,129.503193,2.85956561,156.117856,380.627287,7058.93664,0.05,93.2404006,96.1433806,0.969805722,0.10388013,s05,JOY,A2,Low,Low
211,92.9317367,129.920686,11.2359539,306.4631,303.234065,6566.00403,0.05,93.6865478,92.1707446,1.0164456,0.10388013,s05,JOY,A2,Low,Low
212,95.0966092,130.307897,31.5440168,296.125221,429.320279,6845.53988,0.06,93.8346731,96.3420173,0.973974552,0.10041001,s05,JOY,A2,Low,Low
