,SDNN,RMSSD,ulf,vlf,lf,hf,lfhf,SD1,SD2,SD1SD2,ApEn,Subject,Interface,Autonomy Level,Raw Label,Weighted Label
0,104.885859,127.153451,49.5927596,677.061718,1449.87294,6959.77262,0.21,91.6285556,116.646023,0.785526613,0.0295622908,s05,SNP,A0,High,High
1,107.838715,137.029353,13.3933974,234.223869,1234.7671,8057.8062,0.15,99.0707816,115.945492,0.854459972,0.229550206,s05,SNP,A0,High,High
2,104.052941,136.051141,0.0244252852,218.212028,1335.4732,7103.55939,0.19,98.3567758,109.453066,0.898620563,0.0288795105,s05,SNP,A0,High,High
3,109.704573,142.482747,14.042025,571.937731,636.366345,8406.33771,0.08,102.726879,116.264247,0.883563791,0.222365471,s05,SNP,A0,High,High
4,110.749688,149.566039,4.64144783,414.379321,752.698933,8699.89201,0.09,107.830718,113.593675,0.949266925,0.245122458,s05,SNP,A0,High,High
5,108.776463,146.981217,27.2952437,470.241457,960.284068,8256.17399,0.12,106.265385,111.230867,0.955358779,0.115890888,s05,SNP,A0,High,High
6,115.30514,149.235734,0.555282838,266.484449,1424.89649,8911.27606,0.16,107.79691,122.353491,0.881028481,0.0389298464,s05,SNP,A0,High,High
7,116.191621,159.090896,2.21760452,235.99279,1355.82866,8923.14915,0.15,114.997714,117.373384,0.979759727,0.0389298464,s05,SNP,A0,High,High
8,118.802723,159.405715,2.59653006,245.058572,1433.04002,9286.22421,0.15,115.342291,122.165174,0.944150345,0.0404913614,s05,SNP,A0,High,High
9,116.230531,157.07766,1.47058911,238.463408,1362.77518,8961.04735,0.15,113.444106,118.951701,0.953698895,0.0389298464,s05,SNP,A0,High,High
10,116.638796,155.510939,0.818525897,742.474314,1084.74896,8919.05797,0.12,112.352917,120.772677,0.930284227,0.0389298464,s05,SNP,A0,High,High
11,119.345923,166.232943,8.03158352,481.070804,988.784682,9451.48722,0.1,120.001318,118.686909,1.01107459,0.0389298464,s05,SNP,A0,High,High
12,126.721422,167.857082,28.9668564,227.163538,1633.25231,11389.0683,0.14,120.953262,132.238217,0.914661929,-0.0444517626,s05,SNP,A0,High,High
13,127.859607,171.271183,14.3624027,100.843944,1672.62988,11626.1268,0.14,123.652354,131.932761,0.937237679,-0.0465200156,s05,SNP,A0,High,High
14,126.591778,179.696362,3.03846228,77.949319,1207.26168,12140.0967,0.1,129.911493,123.182631,1.05462509,-0.0444517626,s05,SNP,A0,High,High
15,129.013649,179.835674,2.36738828,135.884431,1386.46097,12226.4904,0.11,129.985952,128.033963,1.01524587,-0.0444517626,s05,SNP,A0,High,High
16,129.754171,178.29726,11.9591802,229.248034,1666.5971,12109.9043,0.14,128.800486,130.700898,0.985459843,-0.0444517626,s05,SNP,A0,High,High
17,132.670235,182.080727,2.14339999,111.366743,1638.31161,12907.7534,0.13,131.455699,133.873753,0.981937801,-0.0444517626,s05,SNP,A0,High,High
18,134.978259,186.014662,0.102345725,89.3887103,1495.64071,13488.4038,0.11,134.35554,135.598118,0.990836321,0.0404913614,s05,SNP,A0,High,High
19,132.306955,183.526802,1.18442018,87.382132,1544.58896,12827.0485,0.12,132.612425,132.000779,1.00463366,-0.0444517626,s05,SNP,A0,High,High
20,134.27195,187.796374,13.3319102,177.314125,1109.07994,13634.6195,0.08,135.759727,132.767502,1.02253734,0.0389298464,s05,SNP,A0,High,High
21,134.490235,186.651966,46.2930616,385.423143,1420.85502,13209.9141,0.11,134.892843,134.086417,1.00601422,0.115890888,s05,SNP,A0,High,High
22,137.875811,191.506612,11.3278048,242.512211,1012.50966,14289.0766,0.07,138.458824,137.290322,1.00851118,0.100338474,s05,SNP,A0,High,High
23,140.544284,185.878876,10.6861509,260.422577,1904.51298,14499.9336,0.13,134.10986,146.696751,0.914197888,0.100338474,s05,SNP,A0,High,High
24,140.544284,185.878876,10.6861509,260.422577,1904.51298,14499.9336,0.13,134.10986,146.696751,0.914197888,0.100338474,s05,SNP,A0,High,High
25,140.739249,194.734155,0.111295612,192.925804,1354.64318,15325.4943,0.09,140.784476,140.694007,1.00064302,0.229550206,s05,SNP,A0,High,High
26,139.98913,190.837058,17.5294738,313.621426,1686.19226,14450.6838,0.12,137.873861,142.072909,0.970444416,0.229550206,s05,SNP,A0,High,High
27,139.722292,188.129465,14.8803313,201.335728,1591.5012,14540.5953,0.11,135.756234,143.578838,0.945517009,0.229550206,s05,SNP,A0,High,High
28,135.302131,190.88444,12.1594535,177.813026,668.342799,14435.1342,0.05,138.000974,132.548348,1.04113688,0.229550206,s05,SNP,A0,High,High
29,136.079154,182.096009,65.8119275,520.552951,1127.69698,13964.3274,0.08,131.325983,140.671812,0.93356289,0.229550206,s05,SNP,A0,High,High
30,136.079154,182.096009,65.8119275,520.552951,1127.69698,13964.3274,0.08,131.325983,140.671812,0.93356289,0.229550206,s05,SNP,A0,High,High
31,134.895666,189.18406,5.18830498,128.201669,840.763187,14140.9495,0.06,136.749273,133.01623,1.02806456,0.229550206,s05,SNP,A0,High,High
32,135.371844,182.530998,0.00511900897,81.8432489,1196.18562,14027.3124,0.09,131.692419,138.953874,0.947741975,0.343960557,s05,SNP,A0,High,High
33,129.496237,175.934771,27.9314796,348.555983,661.149451,13280.0261,0.05,127.124476,131.825333,0.964340264,0.254041226,s05,SNP,A0,High,High
34,134.37294,175.814131,54.1287593,383.734227,633.84856,14368.7125,0.04,126.538969,141.774692,0.892535666,0.229550206,s05,SNP,A0,High,High
