,SDNN,RMSSD,ulf,vlf,lf,hf,lfhf,SD1,SD2,SD1SD2,ApEn,Subject,Interface,Autonomy Level,Raw Label,Weighted Label
0,151.657648,244.642812,15.8695323,203.307782,2744.33674,13193.022,0.21,177.707559,120.083752,1.47986348,0.498001361,s05,HA,A1,Low,Low
1,151.657648,244.642812,15.8695323,203.307782,2744.33674,13193.022,0.21,177.707559,120.083752,1.47986348,0.498001361,s05,HA,A1,Low,Low
2,159.552004,250.30003,0.414770956,554.889823,2699.83092,14183.3181,0.19,181.015588,134.710953,1.34373326,0.498001361,s05,HA,A1,Low,Low
3,155.808185,247.407356,0.089536804,606.552574,2704.78313,13454.564,0.2,179.224705,128.183018,1.39819382,0.479334957,s05,HA,A1,Low,Low
4,148.870285,180.829201,37.326135,1164.32592,4070.52295,11199.7359,0.36,129.116838,166.293614,0.776438947,0.479334957,s05,HA,A1,Low,Low
5,86.3898142,126.391206,20.4836589,286.338334,1400.96249,4014.78878,0.35,91.8027379,80.61425,1.13879045,0.136988015,s05,HA,A1,Low,Low
6,86.2942335,128.50558,19.4597916,293.930354,1326.42167,4055.74189,0.33,93.3070138,78.6586972,1.18622628,0.136988015,s05,HA,A1,Low,Low
7,95.5541233,131.836262,64.4390111,708.965993,1072.29308,5226.96719,0.21,95.1634605,95.9431954,0.991872952,0.131028262,s05,HA,A1,Low,Low
8,95.5959752,125.063184,64.8930601,828.276231,1474.60871,4684.10562,0.31,90.6791916,100.271956,0.904332529,0.131028262,s05,HA,A1,Low,Low
9,91.0133428,110.352164,90.1490289,926.292273,1211.60492,4088.08175,0.3,80.0242069,100.811624,0.793799405,0.131028262,s05,HA,A1,Low,Low
10,86.9206535,111.868344,50.238588,600.031007,1021.20539,4020.92474,0.25,81.2691723,92.2264693,0.881191407,0.136988015,s05,HA,A1,Low,Low
11,86.5173806,109.050447,26.5870728,478.549996,1268.20544,3850.74097,0.33,79.1133763,93.3358879,0.847620118,0.131028262,s05,HA,A1,Low,Low
12,89.9273781,119.103316,38.46722,464.522215,718.6689,4828.20043,0.15,86.1484643,93.5537748,0.920844343,0.131028262,s05,HA,A1,Low,Low
13,92.4955597,119.079805,52.0377435,543.635048,850.84304,5074.38049,0.17,86.2040419,98.3855696,0.87618583,0.0440168854,s05,HA,A1,Low,Low
14,97.1808329,131.629784,13.4513906,316.749874,660.329231,6235.50764,0.11,95.3950236,98.9344128,0.964224893,-0.0512932944,s05,HA,A1,Low,Low
15,97.1808329,131.629784,13.4513906,316.749874,660.329231,6235.50764,0.11,95.3950236,98.9344128,0.964224893,-0.0512932944,s05,HA,A1,Low,Low
16,99.550992,142.149217,26.6109568,333.730461,702.446102,6515.09745,0.11,103.033975,95.9416489,1.07392333,-0.0512932944,s05,HA,A1,Low,Low
17,100.730286,142.081667,37.0186566,354.295248,739.791409,6626.00212,0.11,102.97225,98.4372731,1.04606971,-0.0512932944,s05,HA,A1,Low,Low
18,100.970528,145.255637,13.6299458,207.449642,670.182665,6898.90837,0.1,105.379115,96.3604553,1.09359296,-0.0512932944,s05,HA,A1,Low,Low
19,100.970528,145.255637,13.6299458,207.449642,670.182665,6898.90837,0.1,105.379115,96.3604553,1.09359296,-0.0512932944,s05,HA,A1,Low,Low
20,99.7864386,145.462023,2.55365846,99.6948254,595.941184,6826.3381,0.09,105.524355,93.6977972,1.12622023,-0.0512932944,s05,HA,A1,Low,Low
21,106.715465,151.478051,14.2490071,122.039835,805.260508,7579.13415,0.11,109.769519,103.571394,1.05984399,0.0440168854,s05,HA,A1,Low,Low
22,106.863152,157.769452,14.7971987,119.711693,619.092895,7866.98922,0.08,114.456519,98.687243,1.15979042,0.0440168854,s05,HA,A1,Low,Low
23,114.584436,159.116609,0.434885152,199.353247,1064.93837,8454.38552,0.13,115.145126,114.02099,1.00985903,0.042181614,s05,HA,A1,Low,Low
24,114.584436,159.116609,0.434885152,199.353247,1064.93837,8454.38552,0.13,115.145126,114.02099,1.00985903,0.042181614,s05,HA,A1,Low,Low
25,119.810529,159.346284,24.0958008,532.461699,1952.07087,8143.79222,0.24,115.350398,124.11048,0.929417063,0.042181614,s05,HA,A1,Low,Low
26,119.089298,165.836721,6.85891685,249.511789,1634.91318,8559.73798,0.19,119.954465,118.2178,1.01469039,0.0404913614,s05,HA,A1,Low,Low
27,118.989421,166.02957,8.92650788,224.508831,1611.48483,8530.60794,0.19,120.10277,117.865555,1.01898107,0.0404913614,s05,HA,A1,Low,Low
28,118.989421,166.02957,8.92650788,224.508831,1611.48483,8530.60794,0.19,120.10277,117.865555,1.01898107,0.0404913614,s05,HA,A1,Low,Low
29,121.153351,169.014254,65.1917999,631.058736,1234.50187,8873.65648,0.14,122.27568,120.020527,1.01878973,0.0404913614,s05,HA,A1,Low,Low
30,124.058382,159.701995,133.288542,1118.96253,1576.71222,8735.62266,0.18,115.015452,132.48551,0.868136084,0.0404913614,s05,HA,A1,Low,Low
31,124.506562,165.887337,68.7776576,695.034033,1293.58161,9307.36007,0.14,119.909979,128.939385,0.929971704,0.0389298464,s05,HA,A1,Low,Low
32,118.707666,165.016804,20.7778952,422.098136,1415.13896,8362.35174,0.17,119.381378,118.030108,1.01144852,0.0404913614,s05,HA,A1,Low,Low
33,118.766253,163.689284,9.36470606,333.973817,1667.31665,8204.40364,0.2,118.374854,119.156367,0.993441282,0.0404913614,s05,HA,A1,Low,Low
34,117.363932,163.575948,39.1638734,558.777782,1451.61241,7994.44287,0.18,118.371124,116.348021,1.01738837,0.0404913614,s05,HA,A1,Low,Low
