,SDNN,RMSSD,ulf,vlf,lf,hf,lfhf,SD1,SD2,SD1SD2,ApEn,Subject,Interface,Autonomy Level,Raw Label,Weighted Label
17,47.309766,46.947362,0.43399749,351.09527,728.66652,1496.5226,0.49,33.415515,57.964052,0.57648687,0.40385395,u03,JOY,A2,High,High
18,47.309766,48.061604,4.1814922,327.43244,759.85891,1512.3186,0.5,34.219855,57.492865,0.59520177,0.40385395,u03,JOY,A2,High,High
19,48.143449,47.846602,8.8229022,336.87315,816.80177,1567.7945,0.52,34.062816,58.951743,0.57780847,0.3996679,u03,JOY,A2,High,High
20,47.966187,46.155679,16.869425,324.48989,894.31906,1526.6724,0.59,32.853615,59.347706,0.55357851,0.39556863,u03,JOY,A2,High,High
21,47.575196,46.181093,8.2003075,336.72583,857.33089,1482.8714,0.58,32.874843,58.703009,0.56001973,0.39556863,u03,JOY,A2,High,High
22,47.287932,45.056121,7.0831939,341.00336,867.1171,1441.5004,0.6,32.062531,58.688082,0.54632099,0.43300432,u03,JOY,A2,High,High
27,46.69561,44.270683,19.79594,298.05681,880.49364,1430.6496,0.62,31.508294,58.036087,0.54290866,0.41944106,u03,JOY,A2,High,High
28,46.694137,44.489399,19.731328,294.18092,892.15686,1424.3723,0.63,31.668326,57.946545,0.54650931,0.40331168,u03,JOY,A2,High,High
29,46.850415,44.764271,13.761777,291.65392,876.88292,1456.355,0.6,31.862452,58.092228,0.54848046,0.41944106,u03,JOY,A2,High,High
30,46.827792,44.990073,16.032647,298.5868,868.72522,1456.6272,0.6,32.026926,57.965164,0.55252023,0.39556863,u03,JOY,A2,High,High
31,47.25682,44.990073,23.10438,303.94458,875.14361,1490.6989,0.59,32.016122,58.663293,0.54576074,0.37861907,u03,JOY,A2,High,High
32,47.243007,45.020884,22.875274,291.7912,888.52654,1508.6068,0.59,32.03903,58.628526,0.54647511,0.39556863,u03,JOY,A2,High,High
33,47.029957,45.387223,10.315332,262.60794,876.69263,1520.1562,0.58,32.306319,58.137212,0.55569089,0.39155344,u03,JOY,A2,High,High
34,46.996691,45.498409,8.3751,255.67722,880.22243,1524.8253,0.58,32.385984,58.039005,0.55800377,0.42434326,u03,JOY,A2,High,High
35,46.965265,45.405773,7.5122893,249.03754,877.36549,1529.5564,0.57,32.317439,58.026334,0.55694434,0.39934196,u03,JOY,A2,High,High
36,46.48927,45.375625,2.0999899,215.17679,863.34927,1516.3807,0.57,32.29852,57.26526,0.56401594,0.4403436,u03,JOY,A2,High,High
37,46.704376,45.264137,0.61886159,216.47331,869.63217,1535.8788,0.57,32.21498,57.661014,0.55869603,0.40808274,u03,JOY,A2,High,High
38,46.683999,45.438217,0.7652863,222.59956,869.91294,1527.0039,0.57,32.343138,57.556172,0.5619404,0.42434326,u03,JOY,A2,High,High
39,46.722503,45.635074,0.34810721,188.86125,893.4973,1535.7023,0.58,32.475432,57.544164,0.56435665,0.41223568,u03,JOY,A2,High,High
40,46.290887,45.818865,0.04519889,163.49677,905.36428,1491.4371,0.61,32.613763,56.762971,0.57456054,0.39155344,u03,JOY,A2,High,High
41,46.560025,45.616248,0.70012755,160.32949,905.67215,1534.8574,0.59,32.46288,57.287288,0.56666813,0.40808274,u03,JOY,A2,High,High
42,46.570359,45.84413,0.75068512,169.23263,907.67546,1526.6536,0.59,32.630349,57.20889,0.57037199,0.40808274,u03,JOY,A2,High,High
43,46.746768,45.840303,0.62698739,160.37977,907.4966,1551.1671,0.59,32.621576,57.5009,0.56732287,0.41223568,u03,JOY,A2,High,High
44,45.929186,45.669292,1.7022812,132.24231,884.28114,1510.3668,0.59,32.505892,56.234751,0.57803922,0.39155344,u03,JOY,A2,High,High
45,45.878141,45.296683,5.0405545,127.07872,904.90565,1492.984,0.61,32.238149,56.305501,0.57255772,0.40808274,u03,JOY,A2,High,High
46,46.794032,45.271113,8.853944,191.28684,873.4199,1566.2202,0.56,32.214609,57.806417,0.55728431,0.39155344,u03,JOY,A2,High,High
47,46.681832,45.391861,7.1909023,202.99548,848.85125,1573.5722,0.54,32.309621,57.57148,0.56120879,0.35765189,u03,JOY,A2,High,High
48,46.897803,45.588549,5.9310282,178.38247,857.57893,1620.8901,0.53,32.448004,57.844057,0.56095658,0.34026014,u03,JOY,A2,High,High
49,48.250882,46.029739,1.8646792,160.94808,931.10314,1690.2311,0.55,32.749726,59.864436,0.54706481,0.32256057,u03,JOY,A2,High,High
50,49.025994,45.968105,1.2667152,151.39222,966.98058,1763.6198,0.55,32.689729,61.143093,0.53464304,0.28927397,u03,JOY,A2,High,High
51,47.677488,46.146221,3.3042166,141.15212,846.10489,1701.9104,0.5,32.829148,58.89425,0.55742535,0.28619292,u03,JOY,A2,High,High
52,45.561695,45.214747,13.614036,185.96552,767.67033,1503.5822,0.51,32.186931,55.818792,0.57663253,0.32597533,u03,JOY,A2,High,High
53,45.574354,44.261044,11.939609,185.52149,759.69695,1512.6445,0.5,31.499784,56.229949,0.56019585,0.33605945,u03,JOY,A2,High,High
54,44.377613,44.16238,9.4156891,133.10744,742.2531,1435.1779,0.52,31.417505,54.329416,0.57827799,0.30825913,u03,JOY,A2,High,High
55,43.927673,44.362146,2.9966832,125.71861,708.30527,1427.9087,0.5,31.572851,53.501738,0.59012757,0.30825913,u03,JOY,A2,High,High
56,45.154332,44.647359,1.5883341,170.05189,717.98055,1514.6692,0.47,31.769984,55.394002,0.57352751,0.29382253,u03,JOY,A2,High,High
57,45.681644,44.580414,0.53973805,205.65223,756.39326,1508.9278,0.5,31.733121,56.272856,0.56391525,0.31136684,u03,JOY,A2,High,High
58,45.66004,44.716589,0.12911424,206.85307,778.01241,1478.6585,0.53,31.830497,56.18272,0.56655315,0.31136684,u03,JOY,A2,High,High
59,45.817075,44.72136,0.77544441,138.70547,808.83834,1535.3373,0.53,31.831486,56.437268,0.56401536,0.30825913,u03,JOY,A2,High,High
60,45.916752,44.222468,2.5091122,156.12897,846.13437,1500.916,0.56,31.476712,56.797119,0.55419558,0.34555821,u03,JOY,A2,High,High
61,45.874703,44.222468,0.65721874,149.60753,773.052,1575.079,0.49,31.476712,56.729123,0.55485984,0.33812771,u03,JOY,A2,High,High
62,44.947482,44.815411,0.17064863,131.51089,673.36902,1548.9188,0.43,31.884969,54.990009,0.57983204,0.35113986,u03,JOY,A2,High,High
63,44.349818,44.133768,0.54181688,115.98823,657.10145,1534.9788,0.43,31.410268,54.288192,0.57858378,0.35113986,u03,JOY,A2,High,High
64,44.352907,43.953915,0.022415157,120.66955,641.7165,1571.1913,0.41,31.289408,54.362981,0.57556461,0.33812771,u03,JOY,A2,High,High
65,44.381093,44.186272,0.040326798,124.29935,633.09274,1581.0092,0.4,31.45399,54.313988,0.57911399,0.33812771,u03,JOY,A2,High,High
66,44.174698,44.002392,0.15332929,123.2774,627.83798,1571.3957,0.4,31.320931,54.053744,0.57944054,0.32788299,u03,JOY,A2,High,High
67,44.404344,44.157612,0.007390615,124.05863,635.923,1576.2381,0.4,31.425903,54.368227,0.57801964,0.33487933,u03,JOY,A2,High,High
83,43.247464,39.994736,4.3797431,269.08393,613.26551,1429.5546,0.43,28.460474,54.135826,0.52572347,0.31835003,u03,JOY,A2,High,High
84,42.95694,39.981575,5.5165252,253.00624,604.71785,1417.8439,0.43,28.446046,53.678859,0.52993016,0.35113986,u03,JOY,A2,High,High
85,43.052245,40.475101,16.525688,302.8596,519.77859,1436.6378,0.36,28.805521,53.639851,0.53701716,0.36369563,u03,JOY,A2,High,High
86,43.614856,39.672342,23.187423,347.48831,541.11347,1450.9038,0.37,28.213522,54.849872,0.51437716,0.35113986,u03,JOY,A2,High,High
87,43.431926,39.502165,22.046507,373.24895,562.5425,1397.1453,0.4,28.111457,54.611449,0.51475392,0.3671402,u03,JOY,A2,High,High
88,43.288591,38.829631,24.417174,399.50426,583.34422,1336.4035,0.44,27.636642,54.626186,0.50592297,0.37932094,u03,JOY,A2,High,High
89,43.636131,38.784118,35.509015,438.82801,604.93372,1320.388,0.46,27.598776,55.195393,0.50001955,0.32483276,u03,JOY,A2,High,High
90,44.037143,38.737986,39.108141,467.37052,598.44591,1347.9745,0.44,27.559238,55.848262,0.49346634,0.32788299,u03,JOY,A2,High,High
91,44.147424,39.390156,18.692296,411.04928,694.95097,1303.5292,0.53,28.033717,55.786206,0.50252058,0.33385857,u03,JOY,A2,High,High
92,44.10773,38.695615,13.14113,411.1781,741.36969,1275.5311,0.58,27.533314,55.972317,0.49190949,0.34241639,u03,JOY,A2,High,High
93,44.291213,39.77304,24.480012,413.68926,716.50994,1303.1468,0.55,28.308179,55.875488,0.50662965,0.3084445,u03,JOY,A2,High,High
94,44.611947,39.608473,33.809645,430.62064,727.59289,1327.6347,0.55,28.188653,56.443347,0.49941497,0.32091018,u03,JOY,A2,High,High
95,44.603078,39.734182,33.264896,432.36226,728.78142,1322.5607,0.55,28.280453,56.383376,0.5015743,0.35054198,u03,JOY,A2,High,High
96,45.063212,40.07099,41.62475,448.56784,756.46898,1315.7093,0.57,28.522715,56.989832,0.50048779,0.33874985,u03,JOY,A2,High,High
97,45.377023,39.736796,60.03376,477.06835,778.0752,1324.9482,0.59,28.279486,57.605722,0.49091453,0.35734204,u03,JOY,A2,High,High
98,45.377464,39.642559,60.191816,478.75225,778.19164,1322.1078,0.59,28.211243,57.639866,0.48943977,0.35734204,u03,JOY,A2,High,High
99,45.100458,39.705409,50.841019,471.21788,779.47582,1280.73,0.61,28.258111,57.180256,0.4941935,0.35734204,u03,JOY,A2,High,High
100,45.064293,39.28451,52.693004,486.56252,766.39728,1262.1496,0.61,27.960474,57.269477,0.48822646,0.35734204,u03,JOY,A2,High,High
101,45.064293,39.021805,67.231239,506.42729,802.16936,1223.655,0.66,27.771059,57.361567,0.48414052,0.36439529,u03,JOY,A2,High,High
102,45.74385,38.574603,86.175095,550.7529,857.77523,1195.7037,0.72,27.436507,58.585303,0.46831723,0.38339662,u03,JOY,A2,High,High
103,45.799444,38.667551,87.12185,564.8347,875.60537,1177.8041,0.74,27.508386,58.638442,0.46911863,0.39821171,u03,JOY,A2,High,High
104,45.841029,38.746596,82.04322,564.25525,925.96072,1132.6809,0.82,27.577022,58.671183,0.47002669,0.41649995,u03,JOY,A2,High,High
105,45.743623,39.173513,84.781692,563.84573,870.99385,1148.6722,0.76,27.877975,58.376165,0.47755749,0.40497611,u03,JOY,A2,High,High
106,45.238466,39.106913,109.52984,635.13893,815.21495,1092.7968,0.75,27.833997,57.604742,0.48318933,0.37932094,u03,JOY,A2,High,High
107,45.675221,39.234228,94.952088,608.90409,844.75943,1131.4634,0.75,27.924711,58.246563,0.47942247,0.39402709,u03,JOY,A2,High,High
108,45.812428,38.722456,71.725755,554.73199,845.9592,1203.133,0.7,27.556888,58.635953,0.46996572,0.38654119,u03,JOY,A2,High,High
