,SDNN,RMSSD,ulf,vlf,lf,hf,lfhf,SD1,SD2,SD1SD2,ApEn,Subject,Interface,Autonomy Level,Raw Label,Weighted Label
165,65.249261,77.577033,137.6452,1404.8446,496.55259,1736.409,0.29,55.343717,73.837694,0.74953204,0.17610332,u14,SNP,A0,Low,Low
166,68.067299,76.819809,192.58647,1713.1768,507.58245,1759.7145,0.29,54.737797,79.183888,0.69127443,0.17065842,u14,SNP,A0,Low,Low
167,69.15139,76.678205,203.60026,1855.0411,464.74965,1867.3412,0.25,54.615798,81.123019,0.67324661,0.17065842,u14,SNP,A0,Low,Low
168,67.027451,76.612913,165.0459,1782.5285,443.33943,1697.2081,0.26,54.63848,77.459635,0.70538004,0.17333835,u14,SNP,A0,Low,Low
169,66.46854,76.474229,144.09365,1727.8449,500.85752,1635.8911,0.31,54.590841,76.524334,0.71337884,0.17333835,u14,SNP,A0,Low,Low
170,66.755103,76.27279,200.29263,1924.0989,396.9056,1522.4724,0.26,54.435898,77.131191,0.70575725,0.20232589,u14,SNP,A0,Low,Low
171,67.027625,75.852083,209.74993,1971.803,367.48318,1557.553,0.24,54.120668,77.822607,0.69543633,0.21037962,u14,SNP,A0,Low,Low
172,65.640442,74.542708,176.45297,1888.6495,372.38668,1502.9942,0.25,53.223652,76.056414,0.69979177,0.18052666,u14,SNP,A0,Low,Low
173,66.155291,73.379939,203.37776,1963.9083,335.55154,1536.2943,0.22,52.347603,77.542076,0.67508642,0.23936716,u14,SNP,A0,Low,Low
174,65.675483,72.786065,204.19422,1950.261,322.93075,1504.1095,0.21,51.929616,77.005539,0.67436209,0.23559944,u14,SNP,A0,Low,Low
175,64.215396,72.686455,165.39144,1869.5771,272.43795,1476.5834,0.18,51.886669,74.531924,0.69616704,0.23559944,u14,SNP,A0,Low,Low
176,63.883761,72.817166,155.32003,1852.3689,244.45471,1476.5212,0.17,51.975097,73.897625,0.70333921,0.20702607,u14,SNP,A0,Low,Low
177,63.830313,73.273847,128.8661,1826.3215,241.82407,1505.1939,0.16,52.308008,73.569627,0.71100005,0.20702607,u14,SNP,A0,Low,Low
178,63.390926,73.387059,110.53131,1814.1135,221.59791,1472.9892,0.15,52.387304,72.74881,0.72011217,0.23559944,u14,SNP,A0,Low,Low
179,63.420331,73.682644,111.17092,1806.2786,202.70708,1503.4145,0.13,52.594679,72.650371,0.72394233,0.23559944,u14,SNP,A0,Low,Low
180,62.859621,73.126982,109.08819,1768.2188,206.98883,1475.0244,0.14,52.193158,71.962061,0.72528716,0.25934764,u14,SNP,A0,Low,Low
181,63.43461,73.78091,112.51961,1804.0094,206.76451,1505.2539,0.14,52.667481,72.622557,0.72522207,0.263379,u14,SNP,A0,Low,Low
182,63.705296,74.270287,93.383391,1812.0075,184.60033,1542.8145,0.12,53.016852,72.841904,0.72783453,0.29040768,u14,SNP,A0,Low,Low
183,63.599081,75.032832,102.3926,1763.183,198.7677,1543.136,0.13,53.546873,72.266303,0.740966,0.28601589,u14,SNP,A0,Low,Low
184,63.605688,74.700389,103.03814,1760.9134,208.92816,1543.8061,0.14,53.313964,72.449902,0.73587352,0.25934764,u14,SNP,A0,Low,Low
185,63.127214,74.143005,118.95498,1772.5998,183.11743,1511.0321,0.12,52.919067,71.900366,0.73600554,0.28601589,u14,SNP,A0,Low,Low
186,64.359931,75.14332,142.19111,1774.91,230.81014,1608.5793,0.14,53.621783,73.546623,0.72908559,0.25934764,u14,SNP,A0,Low,Low
187,64.461551,75.615009,153.23296,1786.531,249.76416,1593.6558,0.16,53.967845,73.471456,0.73454166,0.29638891,u14,SNP,A0,Low,Low
