patID,TotWind,NotAnalyzed,PercentNotAnalyzed,PercentAFWind,PercentLowQualityWind
"s00_Headarray - Low level autonomy",605,553,91.405,0,91.405
"s00_Headarray - Mid level autonomy",811,755,93.0949,0,93.0949
"s00_Headarray - Teleoperation",406,322,79.3103,0,79.3103
"s00_Joystick - Command",106,106,100,0,100
"s00_Joystick - Low level autonomy",196,196,100,0,100
"s00_Joystick - Mid level autonomy",1156,1006,87.0242,0,87.0242
"s00_Sip-n-puff - Command",346,291,84.104,0,84.104
"s00_Sip-n-puff - Teleoperation",736,695,94.4293,0,94.4293
"s01_Headarray - Low level autonomy",346,0,0,0,0
"s01_Headarray - Mid level autonomy",1051,0,0,0,0
"s01_Headarray - Teleoperation",211,0,0,0,0
"s01_Sip-n-puff - Command",211,0,0,0,0
"s01_Sip-n-puff - Teleoperation",586,0,0,0,0
"s02_Headarray - Low level autonomy",375,194,51.7333,0,51.7333
"s02_Headarray - Mid level autonomy",1336,785,58.7575,0,58.7575
"s02_Headarray - Teleoperation",271,152,56.0886,0,56.0886
"s02_Joystick - Command",271,152,56.0886,0,56.0886
"s02_Joystick - Low level autonomy",271,152,56.0886,0,56.0886
"s02_Joystick - Mid level autonomy",271,152,56.0886,0,56.0886
"s02_Sip-n-puff - Command",211,28,13.2701,0,13.2701
"s02_Sip-n-puff - Teleoperation",715,708,99.021,0,99.021
"s03_Joystick - Command",106,0,0,0,0
"s03_Joystick - Low level autonomy",346,281,81.2139,0,81.2139
"s03_Joystick - Mid level autonomy",673,555,82.4666,0,82.4666
"s03_Sip-n-puff - Command",219,219,100,0,100
"s03_Sip-n-puff - Teleoperation",1156,107,9.2561,0,9.2561
"s04,_Headarray - Low level autonomy",1156,107,9.2561,0,9.2561
"s04,_Headarray - Mid level autonomy",1156,107,9.2561,0,9.2561
"s04,_Headarray - Teleoperation",1156,107,9.2561,0,9.2561
"s04,_Joystick - Command",1156,107,9.2561,0,9.2561
"s04,_Joystick - Low level autonomy",1156,107,9.2561,0,9.2561
"s04,_Joystick - Mid level autonomy",1156,107,9.2561,0,9.2561
"s04,_Sip-n-puff - Command",1156,107,9.2561,0,9.2561
"s04,_Sip-n-puff - Teleoperation",1156,107,9.2561,0,9.2561
"s05_Headarray - Low level autonomy",450,40,8.8889,0,8.8889
"s05_Headarray - Mid level autonomy",646,562,86.9969,0,86.9969
"s05_Headarray - Teleoperation",196,0,0,0,0
"s05_Joystick - Command",106,0,0,0,0
