patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
s01_Headarray - Command,0,30,689.5814,688,680,432.10631,0.74172369,3.4061716,24,20.787167,13.122137,0,43,0.99552042,5,15.770863,163.34579,347.30217,76.139337,4.56,602.55816,5,,,9.3555402,27.869096,0.33569587,1.89712,0.21595647
s01_Headarray - Command,1,31,690.7907,688,680,451.45515,0.63765038,3.1100833,23,21.247474,13.122137,0,43,0.99552042,5,17.627224,197.00603,341.48916,74.320302,4.59,630.44272,5,,,9.3555402,28.554932,0.32763307,Inf,0.22721688
s01_Headarray - Command,2,32,692.36364,688,680,476.88795,0.52514149,2.8359211,24,21.837764,13.869827,0,44,0.99552042,5,21.061767,248.42901,318.47493,75.268812,4.23,663.23452,5,,,9.8964741,29.25467,0.33828699,Inf,0.1855613
s01_Headarray - Command,3,33,693.39535,688,680,516.48283,0.43247619,2.5318603,24,22.726259,13.993196,0,43,0.99552042,5,26.182992,300.16492,321.32709,88.972386,3.61,736.64739,5,,,9.9811669,30.550646,0.32670887,Inf,0.18947655
s01_Headarray - Command,4,34,694.60465,688,680,546.19712,0.35357403,2.3522238,33,23.370861,14.006801,0,43,0.99552042,5,29.836177,346.77055,324.44234,85.284983,3.8,786.33405,5,,,9.9851225,31.507008,0.31691751,Inf,0.18947655
s01_Headarray - Command,5,35,697.39535,692,680,637.62569,0.27019697,2.1380336,39,25.251251,13.787503,0,43,0.99552042,5,40.710037,472.68583,342.84721,85.140791,4.03,941.38386,5,,,9.8483271,34.325819,0.28690727,Inf,0.15025584
s01_Headarray - Command,6,36,697.48837,692,680,639.25581,0.25934399,2.1238392,39,25.283509,13.550611,0,43,0.99552042,5,43.737401,492.45623,347.53701,76.084418,4.57,959.81505,5,,,9.6738929,34.422775,0.28103176,Inf,0.15025584
s01_Headarray - Command,7,37,700.19048,694,680,628.25552,0.21671049,2.0589527,40,25.065026,14.422205,0,42,0.99407115,5,40.769199,512.54741,285.76781,64.522458,4.43,903.60687,5,,,10.239093,33.936293,0.30171512,Inf,0.15355562
s01_Headarray - Command,8,38,702.32558,700,680,615.03433,0.10337282,1.990615,40,24.799886,14.501231,0,43,0.99407115,5,40.902587,547.13681,231.61922,73.024861,3.17,892.68348,5,,,10.320756,33.519407,0.30790389,Inf,0.15025584
s01_Headarray - Command,9,39,704.19048,700,684,597.036,-0.016955688,2.03534,40,24.43432,14.556869,0,42,0.99407115,5,36.814389,544.10677,219.93939,66.40937,3.31,867.26992,5,,,10.402157,32.952498,0.31567128,Inf,0.11188292
s01_Headarray - Command,10,40,705.11628,700,684,601.39092,-0.072407732,2.0240823,42,24.523273,15.748016,0,43,0.99407115,5,35.052475,543.41001,210.89393,67.143115,3.14,856.49953,5,,,11.270304,32.798812,0.34361926,Inf,0.10943384
s01_Headarray - Command,11,41,705.52381,702,684,608.74332,-0.11477049,2.0250251,44,24.672724,15.828348,0,42,0.99407115,5,30.026653,508.72595,252.10898,68.401617,3.69,859.2632,5,,,11.330511,33.001608,0.3433321,Inf,0.06839781
s01_Headarray - Command,12,42,704.93023,700,680,609.39978,-0.065450175,1.9893718,43,24.686024,16.035675,0,43,0.99407115,5,22.850182,465.00745,274.41349,82.638656,3.32,844.90977,5,,,11.476178,32.971152,0.34806725,Inf,0.066874227
s01_Headarray - Command,13,43,704.74419,700,680,611.24252,-0.043445443,1.9761387,43,24.723319,16.035675,0,43,0.99407115,5,21.470397,461.86584,279.94864,78.538182,3.56,841.82305,5,,,11.476178,33.026995,0.34747874,Inf,0.10943384
s01_Headarray - Command,14,44,705.33333,702,680,626.47154,-0.11092267,1.9359886,44,25.029414,16.085139,0,42,0.99407115,5,22.502493,461.57083,282.62654,91.597884,3.09,858.29775,5,,,11.48955,33.480342,0.34317301,Inf,0.06839781
s01_Headarray - Command,15,45,705.86047,704,680,605.21816,-0.14032925,1.9814896,43,24.601182,17.048949,0,43,0.99407115,5,15.480126,399.5667,282.26092,90.657642,3.11,787.96538,5,,,12.201369,32.581635,0.37448609,Inf,0.15025584
s01_Headarray - Command,16,46,707.04762,708,680,589.11963,-0.24254068,2.1122428,44,24.271787,17.691117,0,42,0.99262187,5,11.422886,339.68652,313.98412,95.765655,3.28,760.85918,5,,,12.657977,31.906345,0.39672289,Inf,0.15355562
s01_Headarray - Command,17,47,707.34884,708,680,563.75637,-0.27000867,2.241811,38,23.743554,17.490133,0,43,0.9911726,5,7.7876797,301.19025,316.69775,87.75912,3.61,713.4348,5,,,12.508209,31.161795,0.40139564,Inf,0.15025584
s01_Headarray - Command,18,48,708.57143,708,680,538.98258,-0.37020029,2.467135,36,23.215998,17.613742,0,42,0.98972332,5,4.07101,239.11645,352.56569,72.902334,4.84,668.65549,5,,,12.607779,30.315162,0.41589021,Inf,0.11188292
s01_Headarray - Command,19,49,708.46512,708,680,525.11185,-0.35773724,2.5250394,34,22.915319,17.413733,0,43,0.98827404,5,2.0124792,226.25394,339.4903,81.985228,4.14,649.74194,5,,,12.461881,29.915301,0.41657216,Inf,0.15025584
s01_Headarray - Command,20,50,709.33333,708,680,507.8374,-0.41979993,2.7060172,32,22.535248,16.982057,0,42,0.98682477,5,0.20082235,191.90098,310.15225,87.919289,3.53,590.17334,5,,,12.133003,29.469731,0.41171067,Inf,0.19356095
s01_Headarray - Command,21,51,710.38095,708,680,422.29036,-0.067036507,1.9412842,32,20.549705,16.230053,0,42,0.98694071,5,0.48848735,161.99815,251.72091,88.75412,2.84,502.96167,5,,,11.617061,26.63878,0.43609581,Inf,0.19356095
s01_Headarray - Command,22,52,711.90476,710,692,356.28339,0.046096036,1.8716553,32,18.875471,16.16983,0,42,0.98549144,5,3.6550537,146.76799,172.11581,95.297375,1.81,417.83623,5,,,11.562344,24.059904,0.48056486,Inf,0.23202723
s01_Headarray - Command,23,53,713.14286,714,692,339.73519,0.0052519686,1.8402508,32,18.431907,16.456891,0,42,0.98271366,5,4.4335951,132.47693,150.07119,105.0705,1.43,392.05222,5,,,11.751492,23.26742,0.5050621,Inf,0.23202723
s01_Headarray - Command,24,54,715.02439,716,732,330.22439,-0.084042253,1.8726513,32,18.172077,16.613248,0,41,0.97993588,5,6.6706985,139.82647,135.70887,102.32383,1.33,384.52987,5,,,11.875422,22.790856,0.52106079,Inf,0.19782574
