patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
s01_Sip-n-puff - Command,0,30,607.41667,608,596,255.31206,-0.09807188,2.3332865,24,15.978487,11.373729,0,48,0.9962963,5,2.7584415,62.834595,202.40436,105.67883,1.92,373.67623,5,,,8.1284781,21.084401,0.38552094,Inf,0.13567938
s01_Sip-n-puff - Command,1,31,606.96,608,596,249.99837,-0.025012948,2.3355097,24,15.811337,11.153841,0,50,0.9962963,5,1.6190862,61.647693,204.34515,99.460034,2.05,367.07196,5,,,7.9684753,20.892586,0.38140206,Inf,0.16509786
s01_Sip-n-puff - Command,2,32,606.93878,608,596,257.85034,-0.033968106,2.2564354,24,16.057719,11.150486,0,49,0.99506173,5,0.84955273,58.936262,213.31464,100.66369,2.12,373.76415,5,,,7.9677987,21.265344,0.37468468,Inf,0.20209014
s01_Sip-n-puff - Command,3,33,607.26531,608,596,249.78231,-0.058623783,2.3596836,24,15.804503,11.135529,0,49,0.99506173,5,0.10725406,47.805312,212.89933,100.12315,2.13,360.93504,5,,,7.9564417,20.88683,0.38093103,Inf,0.16818859
s01_Sip-n-puff - Command,4,34,607.12,608,596,245.74041,-0.032799098,2.3864031,24,15.676109,11.065667,0,50,0.99506173,5,0.031360651,49.067118,203.89678,100.75359,2.02,353.74885,5,,,7.905479,20.711934,0.38168715,Inf,0.16509786
s01_Sip-n-puff - Command,5,35,607.59184,608,596,241.4966,-0.081543944,2.4745277,24,15.540161,11.045361,0,49,0.99249763,5,0.47988233,44.311605,214.83206,90.722232,2.37,350.34578,5,,,7.8929001,20.510859,0.38481568,Inf,0.20209014
s01_Sip-n-puff - Command,6,36,607.59184,608,596,242.82993,-0.091117638,2.4610934,24,15.583001,10.984838,0,49,0.99249763,5,1.4430794,50.493574,217.17116,85.294778,2.55,354.40259,5,,,7.8487475,20.592645,0.38114324,Inf,0.20209014
s01_Sip-n-puff - Command,7,37,607.84,608,596,242.91265,-0.11386228,2.4394429,24,15.585655,11.109841,0,50,0.99249763,5,0.7944136,41.631081,216.77579,91.25585,2.38,350.45713,5,,,7.9363968,20.563047,0.38595432,Inf,0.16509786
s01_Sip-n-puff - Command,8,38,608.16327,608,596,262.63946,-0.056490235,2.3256479,25,16.206155,11.284207,0,49,0.99249763,5,0.14427756,33.329618,239.73919,102.69712,2.33,375.9102,5,,,8.0494923,21.458905,0.37511199,Inf,0.16818859
s01_Sip-n-puff - Command,9,39,609.55102,608,596,255.21088,-0.039151768,2.2770779,28,15.975321,10.847427,0,49,0.99249763,5,0.22986156,30.508248,228.29536,115.7768,1.97,374.81027,5,,,7.7457378,21.223226,0.36496515,Inf,0.16818859
s01_Sip-n-puff - Command,10,40,610.16,612,596,245.68816,-0.12326732,2.3873659,24,15.674443,10.796825,0,50,0.99249763,5,0.29243465,33.698465,218.45002,102.90577,2.12,355.34669,5,,,7.7028133,20.785644,0.37058334,Inf,0.19843428
s01_Sip-n-puff - Command,11,41,610.93878,612,596,233.85034,-0.17845122,2.5257712,24,15.292166,10.645813,0,49,0.99249763,5,1.0917694,48.81823,207.50246,82.613065,2.51,340.02553,5,,,7.6036572,20.245619,0.3755705,1.9033505,0.19320727
s01_Sip-n-puff - Command,12,42,611.34694,612,596,230.23129,-0.24043491,2.6099674,24,15.173374,10.1653,0,49,0.99249763,5,1.1143659,56.358072,205.12995,76.221124,2.69,338.82351,5,,,7.2630416,20.19185,0.35970164,2.2600255,0.28558059
s01_Sip-n-puff - Command,13,43,611.02041,612,596,224.35374,-0.21278251,2.6943554,21,14.978443,9.9666109,0,49,0.99116429,5,0.66887175,47.608537,209.32841,76.366859,2.74,333.97268,5,,,7.1220365,19.949538,0.35700257,1.7491999,0.30273367
s01_Sip-n-puff - Command,14,44,611.18367,612,596,225.98639,-0.23892105,2.6680365,21,15.032844,9.8994949,0,49,0.99116429,5,0.1161257,47.539113,209.07397,75.539637,2.77,332.26885,5,,,7.0740761,20.048198,0.35285347,1.9723434,0.38277638
s01_Sip-n-puff - Command,15,45,611.67347,612,596,237.22449,-0.25133978,2.5383289,24,15.402094,9.8149546,0,49,0.98983096,5,0.11612194,58.037444,214.5665,81.177018,2.64,353.89709,5,,,7.0113889,20.622546,0.33998658,1.6920414,0.39432052
s01_Sip-n-puff - Command,16,46,611.7551,612,596,238.27211,-0.26287352,2.5231737,24,15.436065,9.8657657,0,49,0.98983096,5,0.26086273,60.682027,215.02041,80.890295,2.66,356.85359,5,,,7.0499736,20.660157,0.34123524,1.6920414,0.39432052
s01_Sip-n-puff - Command,17,47,612,612,596,244.66667,-0.26611892,2.4481992,24,15.641824,9.8488578,0,49,0.98983096,5,1.4813629,73.888275,206.48783,83.961292,2.46,365.81876,5,,,7.0376394,20.971527,0.33558068,1.9033505,0.35680089
s01_Sip-n-puff - Command,18,48,612.16327,612,596,252.63946,-0.21162293,2.4557493,24,15.894636,9.9833194,0,49,0.99106553,5,3.4616255,90.16944,192.39191,94.741522,2.03,380.7645,5,,,7.1337277,21.316398,0.33465915,1.8292426,0.33013264
s01_Sip-n-puff - Command,19,49,612.32653,612,596,260.55782,-0.16382079,2.4544171,24,16.141804,9.9833194,0,49,0.99106553,5,9.8383975,133.5989,165.58457,94.745078,1.75,403.76694,5,,,7.1337277,21.684685,0.32897539,1.8292426,0.33013264
s01_Sip-n-puff - Command,20,50,611.7551,612,612,247.60544,-0.14057017,2.5791145,24,15.735484,10.132456,0,49,0.99106553,5,13.050275,146.44047,159.89468,81.553716,1.96,400.93913,5,,,7.2366287,21.043814,0.3438839,1.8292426,0.33013264
