patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,15,75,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,20,80,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,25,85,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,45,105,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,60,120,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,65,125,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,70,130,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,75,135,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,80,140,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,85,145,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,90,150,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,95,155,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,100,160,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,105,165,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,110,170,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,115,175,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,120,180,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,125,185,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,205,265,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,210,270,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,215,275,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,220,280,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,225,285,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,230,290,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,235,295,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,240,300,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,245,305,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,250,310,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,255,315,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,260,320,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,265,325,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,270,330,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,275,335,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,280,340,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,285,345,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,290,350,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,295,355,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,300,360,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,305,365,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,310,370,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,315,375,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,320,380,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,385,445,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,390,450,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,395,455,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,400,460,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,405,465,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,410,470,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,415,475,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,420,480,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,425,485,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,430,490,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,435,495,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,440,500,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,445,505,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,450,510,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,455,515,866.72464,864,804,4055.7613,0.67762902,3.046062,85,63.684859,43.882195,0.22058824,69,0.9759033,5,350.93722,1989.9094,1674.3721,622.90537,2.69,4638.1241,5,,,31.171902,84.497545,0.36890896,1.5282917,0.52134252
s04-ha_midauto,460,520,883.52941,874,952,5110.223,0.60204623,2.6726203,90,71.485824,45.418124,0.23880597,68,0.98670123,5,481.79178,2514.1257,2179.6191,677.63543,3.22,5853.172,5,,,32.308497,95.794609,0.33726843,1.7275526,0.46750464
s04-ha_midauto,465,525,895.28358,884,952,4355.3578,0.597298,2.682785,87,65.995134,46.7644,0.27272727,67,0.97234666,5,301.52738,1999.1854,1783.7836,693.33407,2.57,4777.8305,5,,,33.27823,87.19676,0.38164525,1.6919949,0.45599799
s04-ha_midauto,470,530,905.27273,898,888,3780.5091,0.5116799,2.8432421,72,61.485845,49.556805,0.30769231,66,0.94355697,5,145.09924,1449.9143,1629.3571,692.48367,2.35,3916.8543,5,,,35.30853,79.462733,0.44434075,2.0056294,0.43002659
s04-ha_midauto,475,535,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,480,540,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,485,545,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,490,550,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,495,555,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,500,560,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s04-ha_midauto,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
