patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
s05-ha_com,0,60,1220,1260,1036,22260.1739,-0.554793823,2.32675656,268,149.198438,153.738343,0.695652174,47,0.972676768,5,1.08381554,2137.42177,5754.02673,11591.2,0.5,19483.7324,5,,,109.876628,180.131825,0.609978987,1.10822775,0.343807718
s05-ha_com,5,65,1234.80851,1268,1348,17296.6364,-0.374891306,1.80752281,228,131.516677,147.186956,0.673913043,47,0.979074074,5,16.2693442,2119.9396,2534.26882,9746.80484,0.26,14417.2826,5,,,105.218062,153.370246,0.686039599,2.59460557,0.409959678
s05-ha_com,10,70,1226.41667,1258,1348,17201.5248,-0.272196085,1.74533591,244,131.154584,151.634499,0.723404255,48,0.977558923,5,3.14113804,1161.14523,2511.89399,10584.4099,0.24,14260.5903,5,,,108.379878,150.521931,0.720027157,2.59557222,0.403274692
s05-ha_com,15,75,1218.4,1240,1348,16263.1837,-0.253869865,1.65179272,256,127.527188,152.036515,0.755102041,50,0.977558923,5,18.8034583,711.510578,1740.13699,10940.5541,0.16,13411.0051,5,,,108.61506,143.976165,0.75439612,2.09839347,0.426358315
s05-ha_com,20,80,1215.44,1240,1348,15238.5371,-0.291746549,1.63371281,248,123.44447,148.712021,0.755102041,50,0.975707071,5,51.3548059,648.60457,1408.77785,10650.9127,0.13,12759.65,5,,,106.240902,138.527777,0.766928512,2.09839347,0.426358315
s05-ha_com,25,85,1220,1236,1348,14830.6667,-0.239377186,1.60745198,234,121.781225,163.49108,0.833333333,49,0.975707071,5,1.04022961,178.740484,470.30687,11491.7589,0.04,12141.8465,5,,,116.827508,126.541166,0.923237172,1.97234341,0.382776376
s05-ha_com,30,90,1219.42857,1232,1348,14268,-0.239911267,1.69789317,217,119.448734,162.648906,0.833333333,49,0.981262626,5,27.415026,268.569738,783.105632,10649.5471,0.07,11728.6375,5,,,116.22502,122.587702,0.9480969,1.97234341,0.382776376
s05-ha_com,35,95,1218.04082,1236,1348,14662.7483,-0.29694394,1.72040388,230,121.089836,166.147525,0.833333333,49,0.991077441,5,21.7354767,252.813016,932.265153,10698.6474,0.09,11905.461,5,,,118.668006,123.464168,0.96115341,2.52238974,0.370137977
s05-ha_com,40,100,1215.7551,1232,1348,13942.9388,-0.256216316,1.72533525,220,118.080222,165.14539,0.833333333,49,0.991077441,5,16.4893382,192.663554,1125.38271,10024.6236,0.11,11359.1592,5,,,118.000225,118.160164,0.998646425,1.74919985,0.302733668
s05-ha_com,45,105,1220,1234,1020,14236.0816,-0.211038651,1.84022958,212,119.315052,165.849206,0.87755102,50,0.991077441,5,0.216101438,246.89376,843.628345,10389.6524,0.08,11480.3906,5,,,118.480803,120.143508,0.986160673,1.56776522,0.241624212
s05-ha_com,50,110,1220.96,1234,1020,13924.2841,-0.21284422,1.85520517,212,118.001204,164.116435,0.87755102,50,0.989225589,5,3.86128977,264.437939,1261.1797,9573.52669,0.13,11103.0056,5,,,117.239072,118.758445,0.987206193,1.1369823,0.250897848
s05-ha_com,55,115,1223.26531,1232,1052,14049.7823,-0.200635685,1.80234714,228,118.531778,162.891579,0.875,49,0.987373737,5,0.408168744,361.416489,1329.34427,9458.9131,0.14,11150.082,5,,,116.323817,120.699354,0.963748465,1.00726251,0.324356132
s05-ha_com,60,120,1225.87755,1228,1052,14070.068,-0.166396625,1.85869582,201,118.617318,166.657333,0.916666667,49,0.989225589,5,13.1445014,405.613573,1129.87496,9575.31127,0.12,11123.9443,5,,,119.088679,118.144076,1.00799535,1.1205912,0.296868548
s05-ha_com,65,125,1223.59184,1228,1052,14286.1633,-0.227224334,1.85095096,192,119.524739,164.146276,0.916666667,49,0.989225589,5,58.4245646,404.56569,1181.30347,9771.12723,0.12,11415.4209,5,,,117.227305,121.778838,0.962624601,1.34373475,0.264267387
s05-ha_com,70,130,1222.20408,1228,1052,14316.0408,-0.214151712,1.80352998,225,119.649659,167.815375,0.895833333,49,0.984722222,5,52.9327486,386.476155,526.787472,10465.8308,0.05,11432.0272,5,,,119.909126,119.389627,1.00435129,1.66218848,0.274562791
s05-ha_com,75,135,1223.7551,1236,1056,14048.2721,-0.214108628,1.81377009,221,118.525407,169.000986,0.895833333,49,,5,31.9704283,368.645344,244.075985,10542.4985,0.02,11187.1903,5,,,120.764879,116.242798,1.03890203,1.5668783,0.245575254
