patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
s05_Joystick - Teleoperation,0,30,1225.09091,1200,1116,28771.3247,0.552502012,2.64834108,256,169.621121,203.28727,0.857142857,22,0.984615385,5,105.964061,2135.59717,9795.14178,11236.6582,0.87,23273.3612,5,,,147.211801,189.397294,0.77726454,Inf,0.042181614
s05_Joystick - Teleoperation,1,31,1231.82609,1244,1116,28506.8775,0.447656034,2.52041509,277,168.839798,200.718709,0.863636364,23,0.984615385,5,156.850665,2683.28982,8740.40554,11644.7506,0.75,23225.2966,5,,,144.977204,189.724446,0.764146144,Inf,0.0404913614
s05_Joystick - Teleoperation,2,32,1230.83333,1226,1116,27291.1014,0.474972708,2.63689773,266,165.200186,199.556029,0.869565217,24,0.987179487,5,128.369995,2452.88891,8372.36458,11196.3628,0.75,22149.9862,5,,,144.238823,183.786194,0.784818597,Inf,0.0389298464
s05_Joystick - Teleoperation,3,33,1229.66667,1226,1116,27642.3188,0.470372475,2.60388649,274,166.259793,198.780631,0.869565217,24,0.987179487,5,34.3638089,1815.03397,8760.12468,11803.2666,0.74,22412.789,5,,,143.596602,186.184461,0.771259865,,-0.0444517626
s05_Joystick - Teleoperation,4,34,1228.34783,1208,1116,28855.1462,0.485064903,2.51792131,283,169.868026,202.730452,0.863636364,23,0.98974359,5,47.6574351,1952.45673,9051.86113,12354.0562,0.73,23406.0314,5,,,146.483632,190.40178,0.769339615,,-0.0465200156
s05_Joystick - Teleoperation,5,35,1237.56522,1208,1116,32729.8024,0.474928812,2.25590285,294,180.913798,222.522726,0.863636364,23,0.992307692,5,221.065472,2998.66526,9265.31859,15272.4471,0.61,27757.4965,5,,,160.522362,199.228954,0.805718036,,-0.0465200156
s05_Joystick - Teleoperation,6,36,1241.81818,1226,1116,33852.5368,0.408907551,2.16834602,296,183.990589,227.677299,0.904761905,22,0.98974359,5,194.323333,2712.09833,9646.0524,16198.8647,0.6,28751.3387,5,,,164.317926,201.75404,0.814446771,,-0.0487901642
s05_Joystick - Teleoperation,7,37,1247.80952,1244,960,34715.9619,0.330795414,2.10881025,307,186.322199,225.939815,0.9,21,0.98974359,5,148.796873,2242.7785,10554.824,16383.0147,0.64,29329.4141,5,,,163.805983,206.396521,0.793647016,,-0.0512932944
s05_Joystick - Teleoperation,8,38,1243.27273,1226,960,33515.6364,0.399953319,2.19106245,296,183.072762,236.506317,0.904761905,22,0.98974359,5,82.9841687,1955.68647,10051.6551,15753.1246,0.64,27843.4503,5,,,171.184445,194.234802,0.881327358,,-0.0487901642
s05_Joystick - Teleoperation,9,39,1242.26087,1220,960,32015.747,0.425735465,2.2969474,294,178.929447,231.577986,0.909090909,23,0.98974359,5,63.360139,1841.24863,9665.36053,15041.6784,0.64,26611.6477,5,,,167.525252,189.649108,0.88334321,,-0.0465200156
s05_Joystick - Teleoperation,10,40,1242.6087,1220,960,32115.7945,0.421471966,2.28314541,298,179.208801,233.641528,0.909090909,23,0.98974359,5,174.158416,2611.83841,8738.50887,15802.4707,0.55,27326.9764,5,,,169.074742,188.799684,0.895524499,Inf,0.0404913614
s05_Joystick - Teleoperation,11,41,1240,1214,960,33481.1429,0.457515849,2.23026629,300,182.978531,233.334422,0.904761905,22,0.98974359,5,227.5505,3249.17705,8827.93719,16084.5432,0.55,28389.208,5,,,168.696854,196.223488,0.859717947,Inf,0.042181614
s05_Joystick - Teleoperation,12,42,1246.78261,1220,960,33017.3597,0.360348324,2.14665715,308,181.706796,227.98405,0.863636364,23,0.992307692,5,291.207114,3147.07744,9399.81349,15547.6263,0.6,28385.7244,5,,,164.632084,197.309393,0.834385436,Inf,0.0404913614
s05_Joystick - Teleoperation,13,43,1250.95652,1220,960,31787.9526,0.356932114,2.2242536,298,178.291762,232.680819,0.863636364,23,0.994871795,5,133.712583,1971.30277,8640.76154,15260.8463,0.57,26006.6232,5,,,168.278526,187.771784,0.896186438,Inf,0.0404913614
s05_Joystick - Teleoperation,14,44,1258.08696,1220,1032,28619.4466,0.505248073,2.24505788,275,169.172831,231.175651,0.818181818,23,0.994871795,5,12.1150009,827.474456,7449.95135,16189.5968,0.46,24479.1376,5,,,167.308461,171.016877,0.978315501,Inf,0.0404913614
s05_Joystick - Teleoperation,15,45,1272.69565,1244,1424,28332.585,0.338482215,2.11860326,278,168.322859,239.422031,0.818181818,23,0.994871795,5,10.6099138,273.777866,5588.10511,18255.5373,0.31,24128.0302,5,,,173.056506,163.452182,1.05875922,Inf,0.0404913614
s05_Joystick - Teleoperation,16,46,1278,1258,1424,29003.8095,0.262727479,2.07173495,288,170.305048,243.557757,0.80952381,22,0.994871795,5,1.27290087,153.789925,4579.91406,20359.8916,0.22,25094.8684,5,,,175.955297,164.460793,1.06989207,Inf,0.042181614
s05_Joystick - Teleoperation,17,47,1293.63636,1308,1424,26323.29,0.187608312,2.12562815,264,162.244538,243.743816,0.80952381,22,0.994871795,5,4.07304942,338.466488,2911.33038,20326.6231,0.14,23580.493,5,,,176.25501,146.903885,1.19979815,Inf,0.042181614
s05_Joystick - Teleoperation,18,48,1298,1308,1148,24532.9524,0.262721621,2.16705886,264,156.629986,213.648577,0.80952381,22,0.994871795,5,95.5487491,1105.5235,3056.02117,16408.7552,0.19,20665.8486,5,,,153.884682,159.327994,0.96583581,Inf,0.042181614
s05_Joystick - Teleoperation,19,49,1274.90909,1258,1148,19910.3723,0.111383248,1.65828263,248,141.104119,209.718178,0.761904762,22,0.994871795,5,36.2593881,236.829969,1296.7373,15601.6989,0.08,17171.5256,5,,,151.553605,129.816214,1.16744743,0.593063722,0.0302530432
s05_Joystick - Teleoperation,20,50,1280.34783,1272,1148,19685.6917,0.0220045256,1.63300807,251,140.305708,212.944722,0.772727273,23,0.994871795,5,11.3200174,131.566542,956.513773,16159.8303,0.06,17259.2306,5,,,154.109985,124.985983,1.23301814,0.597837001,0.0295622908
s05_Joystick - Teleoperation,21,51,1272.72727,1258,1148,19223.8268,0.106689801,1.69604099,248,138.650016,214.545366,0.761904762,22,0.994871795,5,0.0334096637,5.54181498,1261.04728,15197.3894,0.08,16464.0119,5,,,155.390139,119.589123,1.29936682,0.593063722,0.0302530432
s05_Joystick - Teleoperation,22,52,1269.45455,1232,1148,19464.4502,0.169856946,1.67090415,248,139.515054,215.061453,0.761904762,22,0.994871795,5,2.36986847,33.9120739,1345.72353,15232.2651,0.09,16614.2706,5,,,155.775418,121.090542,1.28643753,0.99852883,0.107214084
s05_Joystick - Teleoperation,23,53,1268,1232,1148,20076.1905,0.126780026,1.70563828,248,141.690474,205.356832,0.761904762,22,0.994871795,5,87.7612159,571.390647,1782.44737,14260.0787,0.12,16701.6779,5,,,148.275805,134.783777,1.10010127,0.593063722,0.0916616713
s05_Joystick - Teleoperation,24,54,1274.78261,1244,1424,20221.7233,0.0345264626,1.64925703,251,142.203106,215.74227,0.772727273,23,0.994871795,5,35.9202938,290.945622,1716.45565,14878.8906,0.12,16922.2122,5,,,156.142293,126.740014,1.23198892,0.597837001,0.0892815255
s05_Joystick - Teleoperation,25,55,1270.95652,1244,1424,19460.6798,0.0785339566,1.74111597,245,139.501541,216.77806,0.818181818,23,0.994871795,5,5.40342729,70.6385397,1287.09071,14991.6334,0.09,16354.7661,5,,,156.857947,119.653433,1.31093561,0.820980552,0.153820047
s05_Joystick - Teleoperation,26,56,1253.3913,1220,1148,20936.1581,0.147187993,1.85528974,250,144.693324,225.615925,0.818181818,23,0.994871795,5,13.6274916,275.553095,512.994343,16403.6927,0.03,17205.8676,5,,,162.940565,123.784848,1.31632076,0.597837001,0.0892815255
s05_Joystick - Teleoperation,27,57,1249.27273,1214,1148,21524.3983,0.222814089,1.85605701,256,146.711957,225.501769,0.80952381,22,0.994871795,5,4.22336784,334.713997,583.35894,16798.924,0.03,17721.2203,5,,,163.357977,127.917817,1.27705413,0.593063722,0.0916616713
s05_Joystick - Teleoperation,28,58,1252.17391,1220,1148,20739.6047,0.167459439,1.89021457,250,144.012516,229.177184,0.818181818,23,0.997435897,5,0.547289898,207.983109,446.005257,16539.1661,0.03,17193.7018,5,,,165.73572,118.367565,1.4001785,0.597837001,0.0892815255
s05_Joystick - Teleoperation,29,59,1266.26087,1244,1148,21292.8379,0.000777474842,1.82881328,245,145.920656,229.0772,0.818181818,23,0.997435897,5,0.0306766752,110.859561,552.41051,16919.4773,0.03,17582.7781,5,,,165.668474,123.043214,1.34642511,0.597837001,0.0892815255
s05_Joystick - Teleoperation,30,60,1258.78261,1220,1148,22927.1779,0.0543244476,1.70176277,260,151.417231,240.398155,0.818181818,23,0.997435897,5,17.2334685,197.550546,168.448917,17776.5789,0.01,18159.8118,5,,,173.69212,125.24138,1.38685887,0.597837001,0.0892815255
s05_Joystick - Teleoperation,31,61,1253.27273,1214,1148,23287.4459,0.142142912,1.72459684,268,152.602247,243.175813,0.80952381,22,0.997435897,5,3.30095551,127.530724,394.022636,17561.4548,0.02,18086.3091,5,,,176.135121,124.704895,1.41241546,0.99852883,0.107214084
s05_Joystick - Teleoperation,32,62,1242.54545,1210,1148,26836.6407,0.0705968914,1.72381046,272,163.818927,242.342536,0.80952381,22,0.997435897,5,68.6608883,749.70666,1178.73489,17901.7224,0.07,19898.8249,5,,,175.559948,151.168734,1.16135092,0.30538165,0.0202027073
s05_Joystick - Teleoperation,33,63,1250.66667,1220,1148,26654.9333,-0.0196748292,1.76483662,270,163.263386,225.200355,0.8,21,0.997435897,5,169.616199,1212.27822,1602.17804,16646.9234,0.1,19630.9959,5,,,162.073148,164.44501,0.985576562,0.300104592,0.0200157333
s05_Joystick - Teleoperation,34,64,1266.54545,1268,1148,30932.6407,0.0889386647,1.93749356,272,175.876777,258.998805,0.80952381,22,0.997435897,5,26.4712947,596.126623,1493.9636,21911.507,0.07,24028.0685,5,,,187.651044,163.255527,1.14943149,0.30538165,0.0202027073
s05_Joystick - Teleoperation,35,65,1253.52381,1220,1148,28562.3619,0.12568136,2.03385958,270,169.004029,250.501896,0.8,21,0.997435897,5,0.691580785,90.5514772,1396.85497,20745.7606,0.07,22233.8586,5,,,180.992061,156.098038,1.15947685,0.300104592,0.0200157333
s05_Joystick - Teleoperation,36,66,1253.52381,1220,1148,28562.3619,0.12568136,2.03385958,270,169.004029,250.501896,0.8,21,1,5,0.691580785,90.5514772,1396.85497,20745.7606,0.07,22233.8586,5,,,180.992061,156.098038,1.15947685,0.300104592,0.0200157333
s05_Joystick - Teleoperation,37,67,1253.52381,1220,1148,28562.3619,0.12568136,2.03385958,270,169.004029,250.501896,0.8,21,1,5,0.691580785,90.5514772,1396.85497,20745.7606,0.07,22233.8586,5,,,180.992061,156.098038,1.15947685,0.300104592,0.0200157333
s05_Joystick - Teleoperation,38,68,1256.57143,1220,1424,28082.0571,0.0850200821,2.08754907,270,167.577019,264.611413,0.8,21,1,5,5.64674477,190.748212,1317.77105,20451.7366,0.06,21965.9026,5,,,191.969076,138.967579,1.3813947,0.300104592,0.0200157333
s05_Joystick - Teleoperation,39,69,1250.66667,1212,1424,29267.7333,0.144190216,1.97536144,280,171.07815,263.338565,0.8,21,1,5,44.3429297,322.386567,2135.00244,20023.5419,0.11,22525.2738,5,,,190.760031,148.815581,1.28185523,0.300104592,0.0200157333
s05_Joystick - Teleoperation,40,70,1252.38095,1212,1424,29809.4476,0.134492275,1.92802777,288,172.654127,273.109502,0.85,21,1,5,0.0134921478,86.3862467,1534.06971,21198.2449,0.07,22818.7144,5,,,198.132545,142.696846,1.3884858,0.300104592,0.0200157333
s05_Joystick - Teleoperation,41,71,1252.38095,1212,1424,29809.4476,0.134492275,1.92802777,288,172.654127,273.109502,0.85,21,1,5,0.0134921478,86.3862467,1534.06971,21198.2449,0.07,22818.7144,5,,,198.132545,142.696846,1.3884858,0.300104592,0.0200157333
s05_Joystick - Teleoperation,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - Teleoperation,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - Teleoperation,44,74,1275.2,1320,1424,32639.3263,-0.0923760707,1.84873423,310,180.663572,268.190035,0.894736842,20,1,5,43.5199624,1100.72597,3992.24832,19342.828,0.21,24479.3223,5,,,194.806487,165.315109,1.17839493,Inf,0.0460162373
s05_Joystick - Teleoperation,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - Teleoperation,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - Teleoperation,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - Teleoperation,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - Teleoperation,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - Teleoperation,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - Teleoperation,51,81,1296.2,1346,972,31643.7474,-0.358664154,2.07488262,274,177.886895,256.185788,0.947368421,20,0.997435897,5,274.976713,3239.10013,4027.56685,16254.856,0.25,23796.4996,5,,,186.096498,169.279616,1.09934381,,-0.0540672213
s05_Joystick - Teleoperation,52,82,1288.2,1346,972,34543.9579,-0.3158367,1.86966326,338,185.860049,259.257239,0.947368421,20,0.997435897,5,97.954205,2149.75193,5743.04096,17652.6938,0.33,25643.4409,5,,,188.345458,183.34095,1.02729618,,-0.0540672213
s05_Joystick - Teleoperation,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - Teleoperation,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - Teleoperation,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - Teleoperation,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - Teleoperation,57,87,1295.8,1312,972,28090.0632,-0.26514154,2.28991008,230,167.600904,231.063445,0.894736842,20,0.994871795,5,0.747131327,1316.50895,7521.04337,12116.6726,0.62,20954.972,5,,,167.734823,167.466879,1.00159998,,-0.0540672213
s05_Joystick - Teleoperation,58,88,1285,1304,972,29963.5789,-0.126603313,2.04616887,286,173.09991,229.527661,0.842105263,20,0.994871795,5,14.9605393,2162.48138,7466.51704,12786.8506,0.58,22430.8096,5,,,166.240437,179.697732,0.925111495,,-0.0540672213
s05_Joystick - Teleoperation,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - Teleoperation,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - Teleoperation,61,91,1291.4,1304,972,26479.6211,-0.195941089,2.43488037,216,162.7256,220.070802,0.842105263,20,0.994871795,5,18.3660918,1693.95564,6244.80007,13919.3111,0.45,21876.4329,5,,,159.408849,165.976085,0.960432639,,-0.0540672213
s05_Joystick - Teleoperation,62,92,1302.2,1304,1040,21550.2737,0.0435528345,2.40091135,194,146.800115,168.057634,0.842105263,20,0.994871795,5,219.78459,2499.69254,6122.78863,8225.4768,0.74,17067.7426,5,,,121.070469,168.649011,0.717884252,,-0.0540672213
s05_Joystick - Teleoperation,63,93,1287.04762,1300,984,25294.2476,-0.0840244406,2.40263108,216,159.041654,170.03529,0.85,21,0.994871795,5,386.411914,4072.19606,5480.35502,11339.5307,0.48,21278.4937,5,,,121.315942,189.396244,0.640540381,,-0.0512932944
s05_Joystick - Teleoperation,64,94,1269.71429,1292,984,20212.1143,-0.2897485,2.29227729,197,142.169316,156.716304,0.85,21,0.994871795,5,173.039914,3650.14333,3719.17559,8467.14711,0.44,16009.5059,5,,,113.690624,165.827231,0.685596826,,-0.0512932944
s05_Joystick - Teleoperation,65,95,1269.71429,1292,984,20212.1143,-0.2897485,2.29227729,197,142.169316,156.716304,0.85,21,0.994871795,5,173.039914,3650.14333,3719.17559,8467.14711,0.44,16009.5059,5,,,113.690624,165.827231,0.685596826,,-0.0512932944
s05_Joystick - Teleoperation,66,96,1270.36364,1288,984,19258.9091,-0.310667414,2.40493992,180,138.776472,153.297718,0.80952381,22,0.994871795,5,146.186663,3351.3089,3583.92977,8135.82364,0.44,15217.249,5,,,111.046966,161.822092,0.686228709,Inf,0.042181614
s05_Joystick - Teleoperation,67,97,1261.04348,1284,984,20381.4071,-0.228893378,2.19917807,213,142.763466,157.463993,0.818181818,23,0.994871795,5,231.006436,4239.04183,3118.1155,8607.91714,0.36,16196.0809,5,,,113.84846,166.737345,0.682801203,Inf,0.120534069
s05_Joystick - Teleoperation,68,98,1258.95652,1284,984,20695.5889,-0.191623756,2.12942156,219,143.859615,157.205135,0.818181818,23,0.994871795,5,332.793414,4916.35154,2809.18205,8480.50686,0.33,16538.8339,5,,,113.75473,168.674359,0.674404399,Inf,0.120534069
s05_Joystick - Teleoperation,69,99,1273.21739,1292,984,20514.087,-0.361083461,2.25617488,216,143.227396,151.705456,0.818181818,23,0.994871795,5,368.750734,5359.13179,2706.28816,8553.60383,0.32,16987.7745,5,,,109.796269,170.214433,0.645046766,Inf,0.120534069
s05_Joystick - Teleoperation,70,100,1266.54545,1288,984,20418.355,-0.290683648,2.26594577,204,142.892809,154.860306,0.80952381,22,0.994871795,5,303.057561,4568.94734,3134.52711,8768.76828,0.36,16775.3003,5,,,112.190314,168.077492,0.667491603,Inf,0.125563223
s05_Joystick - Teleoperation,71,101,1266.08696,1284,984,19495.083,-0.287053335,2.36384706,198,139.624794,155.481656,0.818181818,23,0.994871795,5,272.164335,4337.59264,2916.97645,8424.18227,0.35,15950.9157,5,,,112.469024,162.298751,0.69297529,Inf,0.120534069
s05_Joystick - Teleoperation,72,102,1257.33333,1276,984,20486.4928,-0.207425428,2.17896681,214,143.131034,157.678815,0.826086957,24,0.994871795,5,372.236733,4502.36971,2656.39693,9448.37569,0.28,16979.3791,5,,,113.578933,167.54943,0.677883132,Inf,0.187349851
s05_Joystick - Teleoperation,73,103,1251.33333,1262,984,19964.7536,-0.107318079,2.24749533,204,141.296687,158.707826,0.826086957,24,0.994871795,5,314.138226,3804.87913,2835.94269,9572.40291,0.3,16527.363,5,,,114.387871,163.844201,0.698150255,1.29532258,0.167029849
s05_Joystick - Teleoperation,74,104,1246,1262,984,17746.087,-0.294182683,2.16595805,204,133.21444,159.372683,0.826086957,24,0.994871795,5,99.3596029,2098.77447,3021.84055,9037.12204,0.33,14257.0967,5,,,115.225162,149.0481,0.773073674,1.29532258,0.167029849
s05_Joystick - Teleoperation,75,105,1240.8,1256,984,17682.6667,-0.203134017,2.08465283,216,132.976188,165.329973,0.833333333,25,0.997435897,5,137.011593,1975.61055,2772.90317,9131.22375,0.3,14016.7491,5,,,119.179258,145.470401,0.819268094,1.29928298,0.161740849
