patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
s05_Joystick - WST,0,30,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,1,31,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,2,32,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,3,33,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,4,34,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,5,35,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,6,36,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,7,37,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,8,38,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,9,39,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,10,40,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,11,41,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,12,42,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,13,43,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,14,44,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,15,45,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,16,46,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,17,47,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,18,48,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,19,49,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,20,50,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,21,51,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,22,52,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,23,53,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,24,54,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,25,55,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,26,56,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,27,57,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,28,58,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,29,59,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,30,60,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,31,61,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - WST,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - WST,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - WST,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - WST,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - WST,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - WST,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - WST,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - WST,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - WST,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - WST,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - WST,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - WST,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - WST,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - WST,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - WST,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - WST,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - WST,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - WST,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - WST,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - WST,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - WST,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - WST,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - WST,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - WST,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - WST,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - WST,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - WST,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - WST,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - WST,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - WST,62,92,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,63,93,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,64,94,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,65,95,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,66,96,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,67,97,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,68,98,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,69,99,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,70,100,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,71,101,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,72,102,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,73,103,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,74,104,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,75,105,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,76,106,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,77,107,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,78,108,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,79,109,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,80,110,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,81,111,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,82,112,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,83,113,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,84,114,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,85,115,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,86,116,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,87,117,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,88,118,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,89,119,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,90,120,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,91,121,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,92,122,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,93,123,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,94,124,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,95,125,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,96,126,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,97,127,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,98,128,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,99,129,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,100,130,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,101,131,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,102,132,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,103,133,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,104,134,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,105,135,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,106,136,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,107,137,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,108,138,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,109,139,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,110,140,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,111,141,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,112,142,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,113,143,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,114,144,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,115,145,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,116,146,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,117,147,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,118,148,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,119,149,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,120,150,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,121,151,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,122,152,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,123,153,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,124,154,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,125,155,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,126,156,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,127,157,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,128,158,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,129,159,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,130,160,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,131,161,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,132,162,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,133,163,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,134,164,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,135,165,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,136,166,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,137,167,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,138,168,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,139,169,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,140,170,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,141,171,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,142,172,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,143,173,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,144,174,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,145,175,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,146,176,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,147,177,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,148,178,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,149,179,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,150,180,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,151,181,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,152,182,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,153,183,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,154,184,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,155,185,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,156,186,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,157,187,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,158,188,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,159,189,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,160,190,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - WST,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - WST,163,193,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,164,194,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,165,195,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,166,196,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,167,197,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,168,198,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,169,199,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - WST,170,200,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
