patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
u03_Sip-n-puff - Teleoperation,0,30,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,1,31,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,2,32,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,3,33,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,4,34,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,5,35,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,6,36,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,7,37,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,8,38,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,9,39,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,10,40,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,11,41,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,12,42,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,13,43,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,14,44,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,15,45,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,16,46,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,17,47,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,18,48,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,19,49,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,20,50,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,21,51,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,22,52,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,23,53,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,24,54,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,25,55,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,26,56,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,27,57,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,28,58,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,29,59,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,30,60,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,31,61,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,32,62,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,33,63,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,34,64,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,35,65,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,36,66,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,37,67,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,38,68,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,39,69,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,40,70,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u03_Sip-n-puff - Teleoperation,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u03_Sip-n-puff - Teleoperation,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u03_Sip-n-puff - Teleoperation,44,74,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u03_Sip-n-puff - Teleoperation,45,75,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
