patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
u09_Joystick - Mid level autonomy,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u09_Joystick - Mid level autonomy,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u09_Joystick - Mid level autonomy,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u09_Joystick - Mid level autonomy,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u09_Joystick - Mid level autonomy,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u09_Joystick - Mid level autonomy,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u09_Joystick - Mid level autonomy,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u09_Joystick - Mid level autonomy,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u09_Joystick - Mid level autonomy,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u09_Joystick - Mid level autonomy,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u09_Joystick - Mid level autonomy,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u09_Joystick - Mid level autonomy,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u09_Joystick - Mid level autonomy,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u09_Joystick - Mid level autonomy,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u09_Joystick - Mid level autonomy,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u09_Joystick - Mid level autonomy,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u09_Joystick - Mid level autonomy,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u09_Joystick - Mid level autonomy,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u09_Joystick - Mid level autonomy,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u09_Joystick - Mid level autonomy,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u09_Joystick - Mid level autonomy,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u09_Joystick - Mid level autonomy,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u09_Joystick - Mid level autonomy,22,52,824.774194,940,488,49086.314,-0.920162153,1.95490968,447,221.554314,86.5671223,0.166666667,31,,5,3118.39136,38118.1083,34673.7662,7062.13423,4.91,82972.4,5,,,61.0938603,307.311191,0.198801287,0.330992771,0.271503335
u09_Joystick - Mid level autonomy,23,53,829.625,946,488,48255.8548,-0.968843352,2.04771401,434,219.672153,85.1715536,0.161290323,32,,5,3109.61347,37352.3707,34530.4473,7109.86694,4.86,82102.2985,5,,,60.1486331,304.784927,0.197347795,0.277578173,0.2319965
u09_Joystick - Mid level autonomy,24,54,867.466667,954,980,38449.3609,-1.49147244,3.4112996,64,196.085086,88.1722452,0.172413793,30,,5,1969.81228,23408.5645,27821.0356,14238.5926,1.95,67438.0049,5,,,62.5889712,270.150592,0.231681784,0.321583624,0.25890949
u09_Joystick - Mid level autonomy,25,55,896.137931,956,980,28800.5517,-2.07226831,5.62442575,51,169.707253,88.7081893,0.142857143,29,,5,1157.29703,13516.5475,16996.027,19808.4388,0.86,51478.3102,5,,,62.8106249,231.637494,0.271159145,0.53680111,0.416499703
u09_Joystick - Mid level autonomy,26,56,925.714286,960,980,16626.2857,-3.2238948,12.4952793,48,128.942955,89.0908816,0.111111111,28,,5,404.714706,4924.08867,5510.9437,10548.4135,0.52,21388.1606,5,,,62.7718702,171.208247,0.366640459,0.639716637,0.432399458
u09_Joystick - Mid level autonomy,27,57,955.857143,960,980,994.941799,-0.245139807,1.83057831,48,31.542698,27.2709315,0.037037037,28,,5,0.38138624,257.067945,483.103864,237.744552,2.03,978.297747,5,,,19.5854472,40.078596,0.488675982,1.71479843,0.25587648
u09_Joystick - Mid level autonomy,28,58,955.310345,956,980,968.078818,-0.197285056,1.84860801,46,31.113965,27.0449362,0.0357142857,29,,5,0.103899257,261.672493,476.493986,214.423974,2.22,952.694352,5,,,19.4473921,39.4709587,0.492701285,1.31218639,0.277467141
u09_Joystick - Mid level autonomy,29,59,954.666667,954,936,947.126437,-0.141556455,1.85325742,44,30.7754194,26.5849322,0.0344827586,30,,5,0.0017746952,271.057837,455.559216,205.024272,2.22,931.643099,5,,,19.0999445,39.1081193,0.488388215,1.43261843,0.314229059
u09_Joystick - Mid level autonomy,30,60,954.709677,956,936,915.612903,-0.14821471,1.91563702,44,30.2590962,26.391918,0.0333333333,31,,5,0.00158607112,256.358883,445.880607,198.692552,2.24,900.933628,5,,,18.972212,38.3572807,0.494618275,1.54044504,0.347712341
u09_Joystick - Mid level autonomy,31,61,954.25,954,936,892.83871,-0.105894928,1.94146316,44,29.8804068,26.1213051,0.0322580645,32,,5,0.0538776768,261.314472,416.745752,197.896373,2.11,876.010474,5,,,18.7529496,37.8682492,0.495215648,1.54274654,0.339885462
u09_Joystick - Mid level autonomy,32,62,952.625,946,936,890.951613,0.0165407947,1.93646457,46,29.8488126,21.9206781,0,32,,5,0.0480022957,325.150813,381.421556,190.265882,2,896.886253,5,,,15.7430988,39.1670533,0.401947492,1.54274654,0.339885462
u09_Joystick - Mid level autonomy,33,63,953.935484,952,936,854.262366,0.0200094194,1.89761051,44,29.227767,21.933232,0,31,,5,5.48111921,325.05231,358.830228,185.840313,1.93,875.20397,5,,,15.7637734,38.2103151,0.412552824,2.01044867,0.326851089
u09_Joystick - Mid level autonomy,34,64,952.903226,952,940,925.556989,-0.0216383539,1.8522487,47,30.4229681,21.6764081,0,31,,5,11.9604584,401.952999,358.241798,191.466206,1.87,963.621462,5,,,15.5869087,40.1018984,0.388682565,2.12823171,0.369410703
u09_Joystick - Mid level autonomy,35,65,951.612903,952,940,1075.57849,-0.285837853,2.30242359,47,32.7960134,21.9696761,0,31,,5,28.504719,552.86439,380.208636,192.414294,1.98,1153.99204,5,,,15.7348723,43.6299299,0.360643997,2.01044867,0.326851089
u09_Joystick - Mid level autonomy,36,66,949.935484,952,940,1216.92903,-0.334429589,2.20358667,51,34.8845099,21.8235347,0,31,,5,44.9700657,706.620015,425.568776,190.017519,2.24,1367.17638,5,,,15.6104887,46.7992597,0.333562727,1.87691728,0.282399326
u09_Joystick - Mid level autonomy,37,67,948.645161,940,940,1263.03656,-0.246730865,2.04575517,58,35.5392256,22.1148517,0,31,,5,53.2328247,786.180495,446.256724,155.03554,2.88,1440.70558,5,,,15.8976612,47.679529,0.333427396,1.87691728,0.282399326
u09_Joystick - Mid level autonomy,38,68,948.645161,940,940,1263.03656,-0.246730865,2.04575517,58,35.5392256,22.3666418,0,31,,5,62.0726126,839.895231,428.480652,133.617076,3.21,1464.06557,5,,,16.0848326,47.6167122,0.337798051,1.87691728,0.282399326
u09_Joystick - Mid level autonomy,39,69,950.5,956,940,1258.06452,-0.374741812,2.07398463,56,35.4692052,22.432695,0,32,,5,47.8034433,739.086141,499.771125,135.635571,3.68,1422.29628,5,,,16.1242488,47.4988172,0.339466322,1.87921877,0.275346941
u09_Joystick - Mid level autonomy,40,70,949,948,940,1263.48387,-0.264463709,2.0056729,58,35.5455183,24.0322364,0.0322580645,32,,5,48.6882954,729.475685,467.651462,167.659747,2.79,1413.47519,5,,,17.2021504,47.2340318,0.364189753,1.72506809,0.229884567
u09_Joystick - Mid level autonomy,41,71,947.625,944,940,1201.91935,-0.22662457,2.09132624,56,34.6687086,23.8922312,0.0322580645,32,,5,39.2050212,645.932758,501.401993,141.279685,3.55,1327.81946,5,,,17.1696156,45.9243183,0.37386762,1.31960299,0.132246098
u09_Joystick - Mid level autonomy,42,72,947.625,944,940,1201.91935,-0.22662457,2.09132624,56,34.6687086,23.8922312,0.0322580645,32,,5,32.7887577,607.476322,513.701569,165.992491,3.09,1319.95914,5,,,17.1696156,45.9243183,0.37386762,1.31960299,0.132246098
u09_Joystick - Mid level autonomy,43,73,946.75,944,940,1167.93548,-0.186325031,2.16454383,52,34.1750711,23.8165028,0.0322580645,32,,5,26.0216735,541.071339,527.305987,163.106612,3.23,1257.50561,5,,,17.0887626,45.2089058,0.377995492,Inf,0.144140885
u09_Joystick - Mid level autonomy,44,74,945.875,944,940,1103.46774,-0.220814128,2.24159894,48,33.2184849,23.4562049,0.0322580645,32,,5,15.2837529,444.489878,542.875992,165.000516,3.29,1167.65014,5,,,16.8602096,43.8482476,0.384512734,Inf,0.144140885
u09_Joystick - Mid level autonomy,45,75,945.875,944,940,1103.46774,-0.220814128,2.24159894,48,33.2184849,22.7411805,0.0322580645,32,,5,10.0504064,414.710359,548.328845,190.334593,2.88,1163.4242,5,,,16.3294048,44.0486779,0.370712712,Inf,0.144140885
