patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
u09_Joystick - Teleoperation,0+0i,5+0i,796.666667+0i,894+0i,484+0i,42991.4667+0i,-0.659368528+0i,1.75561405+0i,320+0i,207.343837+0i,197.56113+0i,0.6+0i,6+0i,,5+0i,355.315488+0i,4381.53725+0i,14682.1339+0i,26206.2908+0i,0.56+0i,45625.2774+0i,5+0i,,,140.763632+0i,257.23245+0i,0.547223461+0i,Inf+0i,0.113328685+0i
u09_Joystick - Teleoperation,1+0i,6+0i,866.666667+0i,902+0i,592+0i,19863.4667+0i,-1.40391822+0i,3.68298498+0i,24+0i,140.937811+0i,191.599582+0i,0.4+0i,6+0i,,5+0i,74.6120365+0i,908.949749+0i,3032.24723+0i,8291.97366+0i,0.37+0i,12307.7827+0i,5+0i,,,143.214524+0i,138.623711+0i,1.03311708+0i,0.182321557+0i,-0.0408219945+0i
u09_Joystick - Teleoperation,2+0i,7+0i,916.666667+0i,902+0i,888+0i,1903.46667+0i,1.63770062+0i,3.92947434+0i,20+0i,43.6287367+0i,52.8242369+0i,0.2+0i,6+0i,,5+0i,10.3808021+0i,126.751496+0i,370.864316+0i,854.807151+0i,0.43+0i,1362.80376+0i,5+0i,,,37.8206293+0i,48.7497009+0i,0.775812541+0i,,-0.223143551+0i
u09_Joystick - Teleoperation,3+0i,8+0i,900+0i,902+0i,904+0i,76.8+0i,-0.125+0i,1.875+0i,12+0i,8.76356092+0i,11.3137085+0i,0+0i,6+0i,,5+0i,0.0975842004+0i,1.17660275+0i,6.04293297+0i,58.8871259+0i,0.1+0i,66.2042458+0i,5+0i,,,8.57904424+0i,8.94427191+0i,0.959166305+0i,,-0.223143551+0i
u09_Joystick - Teleoperation,4+0i,9+0i,903.2+0i,904+0i,904+0i,51.2+0i,-0.55078125+0i,2.59082031+0i,5+0i,7.15541753+0i,9.38083152+0i,0+0i,5+0i,,5+0i,0.0743989294+0i,0.915842762+0i,4.54716114+0i,35.7959835+0i,0.13+0i,41.3333863+0i,5+0i,,,7.48331477+0i,6.81175455+0i,1.09858844+0i,,-0.287682072+0i
u09_Joystick - Teleoperation,5+0i,10+0i,904+0i,904+0i,904+0i,72+0i,8.77737757e-14+0i,2.5+0i,6+0i,8.48528137+0i,10.3923048+0i,0+0i,5+0i,,5+0i,0.383053806+0i,4.73648153+0i,16.4178978+0i,28.4354712+0i,0.58+0i,49.9729044+0i,5+0i,,,8.1240384+0i,8.83176087+0i,0.919866211+0i,,-0.287682072+0i
u09_Joystick - Teleoperation,6+0i,11+0i,905.6+0i,904+0i,904+0i,84.8+0i,-0.406840493+0i,2.06852973+0i,12+0i,9.20869155+0i,8.71779789+0i,0+0i,5+0i,,5+0i,0.791594944+0i,9.76911753+0i,30.3854586+0i,31.0301457+0i,0.98+0i,71.9763167+0i,5+0i,,,5.83095189+0i,11.6447413+0i,0.50073692+0i,,-0.287682072+0i
u09_Joystick - Teleoperation,7+0i,12+0i,910.4+0i,912+0i,904+0i,36.8+0i,-0.211547154+0i,1.22967864+0i,12+0i,6.06630036+0i,6.63324958+0i,0+0i,5+0i,,5+0i,0.30019794+0i,3.70588646+0i,11.5261326+0i,15.6379547+0i,0.74+0i,31.1701717+0i,5+0i,,,4.83045892+0i,7.08989892+0i,0.681315625+0i,,-0.287682072+0i
u09_Joystick - Teleoperation,8+0i,13+0i,911.2+0i,912+0i,916+0i,27.2+0i,-0.363173474+0i,1.62802768+0i,9+0i,5.21536192+0i,7.74596669+0i,0+0i,5+0i,,5+0i,0.0189470178+0i,0.233884632+0i,1.85548921+0i,9.23939817+0i,0.2+0i,11.347719+0i,5+0i,,,6.27162924+0i,3.88158043+0i,1.61574115+0i,,-0.287682072+0i
u09_Joystick - Teleoperation,9+0i,14+0i,916.8+0i,916+0i,916+0i,83.2+0i,1.00132373+0i,2.70451183+0i,9+0i,9.1214034+0i,12.9614814+0i,0+0i,5+0i,,5+0i,0.233065628+0i,2.85767915+0i,9.92356097+0i,27.9772287+0i,0.35+0i,40.9915345+0i,5+0i,,,10.0664459+0i,8.06639118+0i,1.24794914+0i,,-0.287682072+0i
u09_Joystick - Teleoperation,10+0i,15+0i,922+0i,922+0i,908+0i,132.8+0i,-6.75276336e-14+0i,1.35302656+0i,20+0i,11.5238882+0i,12.1326007+0i,0+0i,6+0i,,5+0i,1.12930038+0i,14.0308581+0i,48.6197249+0i,58.7283834+0i,0.83+0i,122.508267+0i,5+0i,,,9.2520268+0i,13.4164079+0i,0.689605362+0i,,-0.223143551+0i
u09_Joystick - Teleoperation,11+0i,16+0i,928.666667+0i,930+0i,908+0i,239.466667+0i,0.134536603+0i,2.12443887+0i,20+0i,15.4747106+0i,16.0996894+0i,0+0i,6+0i,,5+0i,2.50250007+0i,30.8337734+0i,89.9754642+0i,95.9231521+0i,0.94+0i,219.23489+0i,5+0i,,,11.3841996+0i,18.690461+0i,0.609091427+0i,,-0.223143551+0i
u09_Joystick - Teleoperation,12+0i,17+0i,933.333333+0i,934+0i,908+0i,228.266667+0i,-0.551130148+0i,2.51995807+0i,16+0i,15.1084965+0i,16.0996894+0i,0+0i,6+0i,,5+0i,2.25299175+0i,27.7222154+0i,80.2314862+0i,94.5713816+0i,0.85+0i,204.778075+0i,5+0i,,,11.3841996+0i,18.0812979+0i,0.629611859+0i,,-0.223143551+0i
u09_Joystick - Teleoperation,13+0i,18+0i,934+0i,934+0i,912+0i,190.4+0i,-0.336233302+0i,2.32081068+0i,16+0i,13.7985506+0i,18.676188+0i,0+0i,6+0i,,5+0i,0.108118139+0i,1.29681355+0i,14.5933062+0i,123.774969+0i,0.12+0i,139.773207+0i,5+0i,,,14.4222051+0i,13.1453414+0i,1.09713431+0i,,-0.223143551+0i
u09_Joystick - Teleoperation,14+0i,19+0i,929.333333+0i,932+0i,904+0i,343.466667+0i,-0.219300287+0i,1.65676479+0i,32+0i,18.5328537+0i,18.9314553+0i,0+0i,6+0i,0.86+0i,5+0i,1.91436268+0i,23.6189471+0i,93.8650829+0i,210.774595+0i,0.45+0i,330.172988+0i,5+0i,,,14.0854535+0i,22.1027902+0i,0.63727038+0i,,-0.223143551+0i
u09_Joystick - Teleoperation,15+0i,20+0i,920.8+0i,912+0i,892+0i,675.2+0i,0.215827195+0i,1.37841131+0i,45+0i,25.9846108+0i,18+0i,0+0i,5+0i,0.96+0i,5+0i,7.50512374+0i,92.6502002+0i,286.084371+0i,287.360549+0i,1+0i,673.600244+0i,5+0i,,,8.1240384+0i,35.8385268+0i,0.226684497+0i,,-0.287682072+0i
u09_Joystick - Teleoperation,16+0i,21+0i,906.4+0i,904+0i,880+0i,588.8+0i,0.624725191+0i,2.27916027+0i,31+0i,24.2652014+0i,18.547237+0i,0+0i,5+0i,1+0i,5+0i,6.4345919+0i,79.262634+0i,235.974853+0i,210.67017+0i,1.12+0i,532.342249+0i,5+0i,,,7.65941686+0i,33.4504609+0i,0.228977917+0i,,-0.287682072+0i
u09_Joystick - Teleoperation,17+0i,22+0i,898.4+0i,904+0i,904+0i,156.8+0i,-0.516034985+0i,1.93804665+0i,17+0i,12.5219807+0i,15.2315462+0i,0+0i,5+0i,1+0i,5+0i,0.466000296+0i,5.79323955+0i,24.6929463+0i,98.5971086+0i,0.25+0i,129.549295+0i,5+0i,,,12.328828+0i,12.7121989+0i,0.969842286+0i,,-0.287682072+0i
