patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
u14_Headarray - Mid level autonomy,0+0i,5+0i,1068+0i,1078+0i,1012+0i,1610.66667+0i,-0.72024688+0i,2+0i,56+0i,40.1331118+0i,58.3323809+0i,0.666666667+0i,4+0i,1+0i,5+0i,1.49491238+0i,18.6091815+0i,101.921084+0i,985.963699+0i,0.1+0i,1107.98888+0i,5+0i,,,50.3057319+0i,26.2805378+0i,1.91418198+0i,,-0.405465108+0i
u14_Headarray - Mid level autonomy,1+0i,6+0i,1069.6+0i,1076+0i,1012+0i,1220.8+0i,-0.943002163+0i,2.62609397+0i,38+0i,34.9399485+0i,50.8723894+0i,0.5+0i,5+0i,1+0i,5+0i,0.339791991+0i,4.16952097+0i,82.5555539+0i,818.299557+0i,0.1+0i,905.364424+0i,5+0i,,,41.1420304+0i,27.3666464+0i,1.50336398+0i,,-0.287682072+0i
u14_Headarray - Mid level autonomy,2+0i,7+0i,1055.2+0i,1068+0i,1012+0i,1019.2+0i,-0.401380545+0i,1.54750733+0i,52+0i,31.9249119+0i,52.4213697+0i,0.5+0i,5+0i,1+0i,5+0i,0.0107070513+0i,0.109023246+0i,14.4025466+0i,660.127073+0i,0.02+0i,674.649349+0i,5+0i,,,42.1663373+0i,16.1369142+0i,2.61303597+0i,,-0.287682072+0i
u14_Headarray - Mid level autonomy,3+0i,8+0i,1054.4+0i,1064+0i,1012+0i,996.8+0i,-0.342547577+0i,1.56765019+0i,52+0i,31.5721396+0i,47.116876+0i,0.25+0i,5+0i,1+0i,5+0i,0.717490891+0i,8.5797945+0i,44.5308048+0i,640.696722+0i,0.07+0i,694.524812+0i,5+0i,,,36.9774706+0i,25.0253205+0i,1.47760228+0i,,-0.287682072+0i
u14_Headarray - Mid level autonomy,4+0i,9+0i,1068+0i,1076+0i,1032+0i,480+0i,-0.96958969+0i,2.52916667+0i,26+0i,21.9089023+0i,28.9827535+0i,0+0i,5+0i,1+0i,5+0i,0.218435854+0i,2.74579002+0i,48.6477561+0i,319.875958+0i,0.15+0i,371.48794+0i,5+0i,,,23.6079083+0i,20.0665559+0i,1.17648033+0i,,-0.287682072+0i
u14_Headarray - Mid level autonomy,5+0i,10+0i,1055.2+0i,1064+0i,1024+0i,659.2+0i,-0.296026976+0i,1.30074112+0i,47+0i,25.6748905+0i,39.8497177+0i,0.25+0i,5+0i,1+0i,5+0i,0.879294647+0i,10.5581266+0i,21.2677836+0i,412.358364+0i,0.05+0i,445.063569+0i,5+0i,,,30.757113+0i,19.2976683+0i,1.59382536+0i,,-0.287682072+0i
u14_Headarray - Mid level autonomy,6+0i,11+0i,1051.2+0i,1056+0i,1024+0i,531.2+0i,-0.0252482701+0i,1.54891857+0i,38+0i,23.0477765+0i,36.8781778+0i,0.25+0i,5+0i,1+0i,5+0i,0.0235839139+0i,0.269233156+0i,13.1837377+0i,345.83369+0i,0.04+0i,359.310245+0i,5+0i,,,29.7097066+0i,13.4064661+0i,2.21607293+0i,,-0.287682072+0i
u14_Headarray - Mid level autonomy,7+0i,12+0i,1051.2+0i,1056+0i,1024+0i,531.2+0i,-0.0252482701+0i,1.54891857+0i,38+0i,23.0477765+0i,35.3270435+0i,0.25+0i,5+0i,1+0i,5+0i,2.23721406+0i,27.6427385+0i,86.6339257+0i,194.493964+0i,0.45+0i,311.007842+0i,5+0i,,,28.0950767+0i,16.5247289+0i,1.70018381+0i,,-0.287682072+0i
u14_Headarray - Mid level autonomy,8+0i,13+0i,1042.4+0i,1032+0i,1020+0i,636.8+0i,0.644939408+0i,1.8579897+0i,39+0i,25.2348965+0i,34.9284984+0i,0.25+0i,5+0i,1+0i,5+0i,3.64513981+0i,44.6571159+0i,118.437783+0i,233.668222+0i,0.51+0i,400.408261+0i,5+0i,,,25.7552584+0i,24.703576+0i,1.04257207+0i,,-0.287682072+0i
u14_Headarray - Mid level autonomy,9+0i,14+0i,1040.8+0i,1032+0i,1020+0i,499.2+0i,0.487698007+0i,1.59735577+0i,37+0i,22.3427841+0i,33.346664+0i,0.25+0i,5+0i,1+0i,5+0i,1.08761568+0i,13.1595304+0i,31.8170711+0i,297.606264+0i,0.11+0i,343.670481+0i,5+0i,,,25.4034118+0i,18.7900683+0i,1.35195953+0i,,-0.287682072+0i
u14_Headarray - Mid level autonomy,10+0i,15+0i,1039.2+0i,1032+0i,1016+0i,579.2+0i,0.402857214+0i,1.5513339+0i,41+0i,24.0665743+0i,40.4969135+0i,0.5+0i,5+0i,1+0i,5+0i,0.444567538+0i,5.31969194+0i,8.55762728+0i,318.257792+0i,0.03+0i,332.579679+0i,5+0i,,,32.0416396+0i,11.4775142+0i,2.79168807+0i,,-0.287682072+0i
u14_Headarray - Mid level autonomy,11+0i,16+0i,1040+0i,1032+0i,1016+0i,616+0i,0.336974012+0i,1.40369371+0i,44+0i,24.8193473+0i,44.4971909+0i,0.5+0i,5+0i,1+0i,5+0i,0.824788652+0i,10.1060155+0i,26.6085319+0i,233.514387+0i,0.11+0i,271.053723+0i,5+0i,,,35.8794277+0i,0+7.43863787i,0-4.8233868i,,-0.287682072+0i
u14_Headarray - Mid level autonomy,,,,,,,,,,,,,,,3+0i,,,,,,,3+0i,,,,,,,
u14_Headarray - Mid level autonomy,13+0i,18+0i,1070+0i,1066+0i,1016+0i,2288+0i,0.280904465+0i,1.9772605+0i,64+0i,47.833043+0i,58.4693652+0i,0.666666667+0i,4+0i,1+0i,5+0i,7.79574378+0i,96.2989245+0i,345.713195+0i,1283.74894+0i,0.27+0i,1733.55681+0i,5+0i,,,47.581509+0i,48.0832611+0i,0.989564932+0i,,-0.405465108+0i
