patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
s01_Headarray - Teleoperation,0,60,715.31707,720,680,1170.8859,-0.40564185,2.3551471,44,34.21821,24.371609,0.049382716,82,0.99465148,5,74.134099,862.90319,375.29551,297.00876,1.26,1609.3416,5,,,17.334687,45.180531,0.38367602,1.8919213,0.4792916
s01_Headarray - Teleoperation,1,61,715.80952,722,740,1153.1199,-0.44266972,2.3977374,44,33.957619,24.10819,0.048192771,84,0.99385783,5,75.912856,857.38022,364.41687,290.67293,1.25,1588.3829,5,,,17.147919,44.857426,0.38227604,1.9770885,0.51021451
s01_Headarray - Teleoperation,2,62,717.15663,724,740,1156.4996,-0.50232287,2.4692628,44,34.007346,23.926717,0.048780488,83,0.99385783,5,74.064174,823.68708,427.70624,264.37786,1.62,1589.8354,5,,,17.015925,44.982857,0.37827577,2.0034556,0.52719534
s01_Headarray - Teleoperation,3,63,717.61905,724,732,1144.3351,-0.54329034,2.5203437,44,33.828022,23.979911,0.048192771,84,0.99306418,5,73.31461,808.89521,440.59384,254.76864,1.73,1577.5723,5,,,17.057749,44.695674,0.38164205,2.0550501,0.5477189
s01_Headarray - Teleoperation,4,64,718.47619,724,732,1175.4814,-0.54729742,2.5161403,44,34.285294,24.319163,0.048192771,84,0.99306418,5,79.570611,810.13145,463.7895,258.928,1.79,1612.4196,5,,,17.29589,45.296963,0.38183332,2.0550501,0.5477189
s01_Headarray - Teleoperation,5,65,719.03614,724,732,1173.3036,-0.58680699,2.5742805,42,34.253519,24.367111,0.048780488,83,0.99306418,5,78.522618,786.29545,473.81799,280.73873,1.69,1619.3748,5,,,17.328364,45.236433,0.38306212,2.0547489,0.55219664
s01_Headarray - Teleoperation,6,66,720.57143,726,732,1172.1033,-0.63831023,2.6691279,36,34.235994,24.540107,0.048192771,84,0.99227053,5,81.53327,745.39421,477.46406,291.28588,1.64,1595.6774,5,,,17.438562,45.167501,0.38608649,2.1728331,0.6072603
s01_Headarray - Teleoperation,7,67,723.03614,728,732,1106.9621,-0.60375088,2.8177031,37,33.27104,24.764254,0.048780488,83,0.99227053,5,70.040913,604.17781,483.27269,328.21559,1.47,1485.707,5,,,17.589963,43.640777,0.40306256,2.1500591,0.60039875
s01_Headarray - Teleoperation,8,68,724.04819,732,732,1079.2172,-0.65409571,2.9499934,36,32.851441,24.874318,0.048780488,83,0.99227053,5,65.519089,552.75403,485.57709,334.68349,1.45,1438.5337,5,,,17.672214,42.966582,0.41130136,2.1500591,0.60039875
s01_Headarray - Teleoperation,9,69,726.73171,732,732,999.06293,-0.52808036,3.0374009,36,31.607957,25.399524,0.049382716,82,0.99154589,5,53.952499,426.96236,507.85024,269.9322,1.88,1258.6973,5,,,18.027756,40.903861,0.44073483,2.1497504,0.605244
s01_Headarray - Teleoperation,10,70,727.03614,732,732,947.74258,-0.45810353,2.9465138,36,30.785428,26.701603,0.073170732,83,0.99227053,5,34.377796,328.66288,507.18508,283.72976,1.79,1153.9555,5,,,18.996949,39.173985,0.48493788,2.1500591,0.60039875
s01_Headarray - Teleoperation,11,71,727.26829,732,732,974.27281,-0.55498831,3.1278614,36,31.213343,26.924678,0.074074074,82,0.99147688,5,17.827158,243.90972,543.76055,399.64415,1.36,1205.1416,5,,,19.154022,39.770203,0.48161739,2.1497504,0.605244
s01_Headarray - Teleoperation,12,72,726.60241,732,732,1001.5351,-0.5378774,3.0197015,36,31.64704,26.701603,0.073170732,83,0.99147688,5,8.3277609,220.94374,614.83455,394.19353,1.56,1238.2996,5,,,18.993905,40.525323,0.46869227,2.1500591,0.60039875
s01_Headarray - Teleoperation,13,73,728,732,732,923.65432,-0.55326197,3.2512164,36,30.391682,26.781235,0.074074074,82,0.99147688,5,2.8240606,154.58504,552.79952,418.14023,1.32,1128.3489,5,,,19.045819,38.530059,0.49431066,2.1267609,0.5933391
s01_Headarray - Teleoperation,14,74,729.36585,732,732,877.51882,-0.5277966,3.2924668,32,29.622944,27.223809,0.074074074,82,0.99075224,5,1.790713,117.01074,497.73436,422.72645,1.18,1039.2623,5,,,19.345079,37.159192,0.52060011,2.1722233,0.61700885
s01_Headarray - Teleoperation,15,75,732.58537,732,732,886.5667,-0.24781282,3.5557307,36,29.77527,27.191139,0.074074074,82,0.99075224,5,1.9266448,83.892797,560.79112,401.35117,1.4,1047.9617,5,,,19.323561,37.413011,0.51649307,2.1722233,0.61700885
s01_Headarray - Teleoperation,16,76,732.58537,732,732,886.5667,-0.24781282,3.5557307,36,29.77527,29.708044,0.086419753,82,0.99075224,5,0.64583606,83.315518,512.10394,433.83177,1.18,1029.8971,5,,,21.137527,36.418928,0.58039949,2.1722233,0.61700885
s01_Headarray - Teleoperation,17,77,732.34146,732,732,896.86962,-0.23168994,3.4793799,36,29.947782,29.701395,0.086419753,82,0.99075224,5,0.0083809252,90.089506,478.38988,482.45952,0.99,1050.9473,5,,,21.132445,36.703665,0.57575846,2.5652659,0.60221203
s01_Headarray - Teleoperation,18,78,732.19512,732,732,902.28245,-0.22065105,3.438322,36,30.038017,29.62148,0.086419753,82,0.99075224,5,0.20544344,95.903679,483.69271,478.12318,1.01,1057.925,5,,,21.074178,36.884196,0.57136065,2.5399481,0.58971187
s01_Headarray - Teleoperation,19,79,731.56098,732,732,925.23698,-0.18786263,3.3070737,40,30.417708,29.584781,0.086419753,82,0.99075224,5,0.66649997,103.85447,518.41552,464.56536,1.12,1087.5019,5,,,21.048504,37.515789,0.5610572,2.5139726,0.57705347
s01_Headarray - Teleoperation,20,80,731.56098,732,732,923.65673,-0.18740002,3.3177963,40,30.391721,29.903549,0.086419753,82,0.99075224,5,1.0957264,109.1458,522.96288,452.0764,1.16,1085.2808,5,,,21.276719,37.34454,0.56974108,2.4599053,0.55124559
s01_Headarray - Teleoperation,21,81,731.60976,732,732,923.10509,-0.19224285,3.3229438,40,30.382645,29.262541,0.074074074,82,0.99075224,5,1.3469467,112.33699,525.70826,448.75577,1.17,1088.148,5,,,20.815652,37.588812,0.55377253,2.1996222,0.54124326
s01_Headarray - Teleoperation,22,82,731.03614,732,732,892.71819,-0.19340051,3.4120182,39,29.87839,29.483356,0.073170732,83,0.99075224,5,0.4044162,97.524628,501.60511,435.82733,1.15,1035.3615,5,,,20.971324,36.682965,0.57169109,2.1999309,0.53667945
s01_Headarray - Teleoperation,23,83,730.63415,732,732,890.16079,-0.17272744,3.4454418,36,29.835563,29.999177,0.074074074,82,0.99075224,5,0.046652342,84.277511,516.65974,423.49216,1.22,1024.4761,5,,,21.344326,36.396996,0.58643097,2.1996222,0.54124326
s01_Headarray - Teleoperation,24,84,730.39024,732,732,890.41373,-0.1489275,3.4382599,36,29.839801,30.182981,0.074074074,82,0.99075224,5,0.042214728,84.446834,509.90591,426.39229,1.2,1020.7872,5,,,21.472693,36.328376,0.59107219,2.1996222,0.54124326
s01_Headarray - Teleoperation,25,85,729.73494,732,732,915.19718,-0.1470796,3.3277016,36,30.252226,31.68134,0.085365854,83,0.98995859,5,0.0633498,82.490219,506.16127,419.8701,1.21,1008.5849,5,,,22.524556,36.3736,0.61925562,2.1999309,0.53667945
s01_Headarray - Teleoperation,26,86,729.12195,732,732,901.2442,-0.12769918,3.4107501,36,30.02073,32.502232,0.098765432,82,0.98995859,5,0.98668706,81.308888,490.59273,408.41434,1.2,981.30265,5,,,23.125636,35.604682,0.64951112,2.1440524,0.51509798
s01_Headarray - Teleoperation,27,87,727.95181,728,732,943.02204,-0.091929594,3.1922279,36,30.708664,32.833653,0.1097561,83,0.98995859,5,0.012469269,93.625152,532.94341,388.01668,1.37,1014.5977,5,,,23.359129,36.611408,0.6380287,2.1443611,0.51070397
s01_Headarray - Teleoperation,28,88,727.95122,730,732,957.03463,-0.094349159,3.1419926,36,30.935976,32.99682,0.11111111,82,0.99075224,5,0.2697109,100.84835,552.91677,384.71291,1.44,1038.7478,5,,,23.477228,36.917327,0.63594064,2.1440524,0.51509798
s01_Headarray - Teleoperation,29,89,727.95122,730,732,957.03463,-0.094349159,3.1419926,36,30.935976,32.53564,0.098765432,82,0.99075224,5,0.58314445,104.07872,552.90103,388.09701,1.42,1045.6599,5,,,23.145007,37.126512,0.62340915,2.1996222,0.54124326
s01_Headarray - Teleoperation,30,90,728.81928,732,732,1011.4182,-0.0070493462,3.1676601,36,31.802801,32.481139,0.085365854,83,0.99075224,5,0.6098045,91.627312,617.812,415.24815,1.49,1125.2973,5,,,23.095184,38.593378,0.5984235,2.2265992,0.54941848
s01_Headarray - Teleoperation,31,91,729.21951,732,732,1026.2475,-0.038332187,3.1186483,40,32.035098,32.780603,0.098765432,82,0.99075224,5,0.849968,94.366864,640.33679,424.57119,1.51,1160.1248,5,,,23.31862,38.842464,0.60033832,2.4599053,0.55124559
s01_Headarray - Teleoperation,32,92,730,732,732,1023.7037,-0.087159226,3.1352907,40,31.99537,32.744427,0.098765432,82,0.99075224,5,0.78802886,99.519128,656.89884,391.28178,1.68,1148.4878,5,,,23.294253,38.791561,0.60049796,2.4027469,0.52475397
s01_Headarray - Teleoperation,33,93,730.63415,732,732,1033.5682,-0.12858874,3.0979801,40,32.149156,32.638688,0.098765432,82,0.98987505,5,1.0919112,108.35017,673.41939,382.34819,1.76,1165.2097,5,,,23.221531,39.088322,0.59407849,2.4027469,0.52475397
s01_Headarray - Teleoperation,34,94,732.04878,732,732,1141.9235,-0.025350432,3.0084982,40,33.792359,32.864856,0.098765432,82,0.98987505,5,6.3233442,160.44211,699.69376,426.31871,1.64,1292.7779,5,,,23.373193,41.68382,0.5607258,2.2775838,0.46956755
s01_Headarray - Teleoperation,35,95,733.70732,732,732,1367.3207,0.46251176,4.2863415,44,36.9773,33.445736,0.11111111,82,0.98987505,5,15.234147,250.97392,773.64587,509.39701,1.52,1549.251,5,,,23.768794,46.579886,0.5102802,2.2436822,0.4552816
s01_Headarray - Teleoperation,36,96,735.36585,732,732,1600.5805,0.75302752,4.7763337,44,40.007256,33.445736,0.11111111,82,0.99059969,5,28.571398,378.08923,902.18441,542.11818,1.66,1850.9632,5,,,23.768794,51.343992,0.46293233,2.2085909,0.44078859
s01_Headarray - Teleoperation,37,97,736.54321,732,732,1735.5012,0.74697278,4.3905648,48,41.659348,33.642235,0.1125,81,0.99059969,5,41.690687,491.78707,1011.8784,498.96566,2.03,2044.3218,5,,,23.906331,53.846911,0.44396848,2.1341664,0.4149931
s01_Headarray - Teleoperation,38,98,738.2716,732,732,1821.5753,0.7273627,4.1585918,48,42.679917,33.535056,0.1125,81,0.99059969,5,48.768261,605.94473,1065.4316,437.53363,2.44,2157.6783,5,,,23.840159,55.450856,0.4299331,2.0949457,0.39972563
s01_Headarray - Teleoperation,39,99,740.83951,736,732,1971.0864,0.63601086,3.689059,52,44.396919,33.582734,0.1125,81,0.99059969,5,67.075856,827.03652,1078.1915,418.19845,2.58,2390.5024,5,,,23.882386,58.067241,0.41128845,2.0949457,0.39972563
s01_Headarray - Teleoperation,40,100,741.92593,736,732,2020.8444,0.58289249,3.5118478,52,44.953803,33.558903,0.1125,81,0.98980604,5,75.201209,922.56357,1048.9863,412.10367,2.55,2458.8548,5,,,23.862873,58.925819,0.40496464,2.0949457,0.39972563
s01_Headarray - Teleoperation,41,101,743.11111,740,732,2053.2,0.52780899,3.3829113,49,45.31225,33.262592,0.1125,81,0.9890814,5,80.376148,1008.6676,1017.0052,420.91205,2.42,2526.961,5,,,23.663356,59.552041,0.39735593,2.0949457,0.39972563
s01_Headarray - Teleoperation,42,102,743.85,740,732,2099.2177,0.48125024,3.2562984,52,45.817221,33.384602,0.11392405,80,0.98835676,5,89.366201,1084.5301,996.93161,432.60148,2.3,2603.4294,5,,,23.752702,60.284696,0.39400882,2.0537991,0.38789224
s01_Headarray - Teleoperation,43,103,745.23457,740,732,2138.2568,0.40797469,3.0850884,53,46.241289,33.078694,0.1125,81,0.98756311,5,105.41387,1210.876,938.16206,420.86637,2.23,2675.3183,5,,,23.525881,61.016772,0.38556417,2.0541237,0.38422144
s01_Headarray - Teleoperation,44,104,746.3,744,732,2161.7316,0.34789405,3.0222725,52,46.494426,33.284352,0.11392405,80,0.98683847,5,105.7399,1253.2055,932.08049,432.63356,2.15,2723.6595,5,,,23.680608,61.340787,0.38604995,2.3257328,0.36359325
s01_Headarray - Teleoperation,45,105,746.85,748,732,2161.0911,0.3150314,3.0081409,52,46.487537,33.311723,0.11392405,80,0.98611384,5,105.54011,1269.2607,932.55248,413.01806,2.26,2720.3713,5,,,23.702144,61.322024,0.38651927,2.2769427,0.34692619
s01_Headarray - Teleoperation,46,106,748.04938,748,732,2160.9975,0.24796706,2.9508426,61,46.486531,33.142118,0.1125,81,0.98532018,5,112.44232,1317.3983,900.53771,411.90252,2.19,2742.2808,5,,,23.580189,61.367497,0.38424557,2.3260574,0.36002287
s01_Headarray - Teleoperation,47,107,748.45,750,732,2199.4911,0.22280316,2.8796027,62,46.898733,33.10742,0.11392405,80,0.98459555,5,123.71348,1365.4236,900.61897,422.04823,2.13,2811.8043,5,,,23.55467,62.001289,0.37990613,2.2769427,0.34692619
s01_Headarray - Teleoperation,48,108,749.05,752,732,2198.5797,0.18772875,2.8711942,62,46.889015,32.747596,0.11392405,80,0.98459555,5,123.36227,1367.7552,901.10092,434.33606,2.07,2826.5544,5,,,23.303983,62.081268,0.37537866,2.2256494,0.32997664
s01_Headarray - Teleoperation,49,109,748.19753,752,732,2207.1605,0.215761,2.8538111,65,46.980427,32.933266,0.125,81,0.98532018,5,111.59736,1344.0415,905.09788,437.8835,2.07,2798.6202,5,,,23.432937,62.170881,0.37691177,2.2772673,0.34349357
s01_Headarray - Teleoperation,50,110,749.3,752,732,2141.4785,0.23448778,2.9031888,62,46.276111,32.732131,0.11392405,80,0.98532018,5,86.875765,1279.0777,822.45383,459.04833,1.79,2647.4557,5,,,23.28587,61.161468,0.38072778,2.3257328,0.36359325
s01_Headarray - Teleoperation,51,111,750.1,752,732,2047.9899,0.29300066,2.9584472,60,45.254722,32.480569,0.11392405,80,0.98532018,5,65.982468,1229.6393,778.01701,455.40146,1.71,2529.0402,5,,,23.112611,59.680708,0.38727106,2.3722528,0.37998706
s01_Headarray - Teleoperation,52,112,751.8,752,732,1976.2633,0.24048043,3.075327,56,44.455183,32.694985,0.11392405,80,0.98611384,5,52.712726,1183.7873,765.10546,412.06587,1.86,2413.6714,5,,,23.261102,58.4076,0.39825472,2.4167046,0.39611644
s01_Headarray - Teleoperation,53,113,752.25,752,732,1956.1899,0.22274854,3.1206098,56,44.228835,32.461857,0.11392405,80,0.98532018,5,46.283463,1174.2546,779.8466,388.88444,2.01,2389.2691,5,,,23.100643,58.12693,0.39741723,2.4592642,0.41198979
s01_Headarray - Teleoperation,54,114,751.75,752,732,1976.443,0.24383499,3.0758646,56,44.457205,32.685692,0.11392405,80,0.98532018,5,40.712397,1186.5055,767.91142,403.50597,1.9,2398.6353,5,,,23.255241,58.413011,0.39811748,2.4592642,0.41198979
s01_Headarray - Teleoperation,55,115,751.15,752,732,1998.4582,0.26815478,3.0335492,58,44.704119,33.399765,0.11392405,80,0.98532018,5,36.663617,1205.6034,752.43377,404.1831,1.86,2398.8839,5,,,23.767127,58.583616,0.4056958,2.0537991,0.38789224
s01_Headarray - Teleoperation,56,116,751.7,752,732,2001.3266,0.23364344,3.0131691,58,44.736189,34.075122,0.12658228,80,0.98532018,5,37.305634,1189.2074,761.07124,414.0511,1.84,2401.6354,5,,,24.24847,58.435134,0.41496389,1.9667877,0.3558895
s01_Headarray - Teleoperation,57,117,751.5,752,732,1999.5443,0.24718625,3.0227989,58,44.716264,34.113734,0.12658228,80,0.98611384,5,38.343347,1193.1472,760.49313,407.9268,1.86,2399.9104,5,,,24.276082,58.393154,0.41573506,1.9667877,0.3558895
s01_Headarray - Teleoperation,58,118,752,752,732,2012.7595,0.21564527,2.9765565,58,44.863788,34.629321,0.13924051,80,0.98611384,5,36.436993,1185.934,767.29348,410.58563,1.87,2400.2501,5,,,24.64096,58.46659,0.42145368,1.9202677,0.3394957
s01_Headarray - Teleoperation,59,119,752.25,754,732,2015.7342,0.19894312,2.9633363,58,44.896928,34.676078,0.13924051,80,0.98611384,5,37.864086,1181.3295,775.74299,417.49773,1.86,2412.4343,5,,,24.675709,58.502801,0.4217868,2.0112395,0.37201889
s01_Headarray - Teleoperation,60,120,752.45,756,732,2017.2127,0.1855199,2.9556072,58,44.913391,34.667316,0.13924051,80,0.98690749,5,38.733232,1179.148,782.18856,415.44498,1.88,2415.5148,5,,,24.669184,58.530818,0.42147342,2.0112395,0.37201889
s01_Headarray - Teleoperation,61,121,753.21519,756,768,2044.8634,0.13740154,2.903629,59,45.220165,34.779894,0.14102564,79,0.98690749,5,39.274461,1191.5276,803.67523,418.10167,1.92,2452.5789,5,,,24.751607,58.96681,0.41975488,2.094288,0.40738285
s01_Headarray - Teleoperation,62,122,753.45,758,768,2022.5797,0.12272154,2.9273644,58,44.9731,34.444599,0.13924051,80,0.98690749,5,41.881237,1176.3471,806.25505,410.8582,1.96,2435.3415,5,,,24.509945,58.689199,0.41762276,1.955359,0.44015558
s01_Headarray - Teleoperation,63,123,754.12658,760,768,2034.394,0.081676461,2.9227544,59,45.104257,34.304818,0.14102564,79,0.98770114,5,37.852853,1194.9494,793.07445,428.44857,1.85,2454.3253,5,,,24.41393,58.930027,0.41428675,1.9889275,0.45879562
s01_Headarray - Teleoperation,64,124,754.07595,760,768,2032.7634,0.084737451,2.9276166,59,45.086177,34.016587,0.14102564,79,0.98770114,5,41.908214,1196.4863,797.24734,426.87532,1.87,2462.5172,5,,,24.206818,58.987768,0.41037013,2.0534661,0.48736899
s01_Headarray - Teleoperation,65,125,754.45,760,768,2001.2127,0.061962382,2.9786762,58,44.734915,33.57214,0.13924051,80,0.98770114,5,38.365844,1181.4161,793.00213,413.68967,1.92,2426.4738,5,,,23.890533,58.580438,0.40782441,1.9758376,0.52762306
s01_Headarray - Teleoperation,66,126,753.97468,760,768,2033.1788,0.090162403,2.9277968,59,45.090784,33.692425,0.14102564,79,0.98849479,5,37.69509,1188.2759,805.39788,429.91347,1.87,2461.2823,5,,,23.972901,59.090251,0.40569976,1.9199347,0.50549735
s01_Headarray - Teleoperation,67,127,753.56962,760,768,2021.5047,0.11430189,2.96278,59,44.961147,33.607081,0.14102564,79,0.98849479,5,41.216303,1193.6759,782.67236,443.44668,1.76,2461.0112,5,,,23.917607,58.914832,0.4059692,1.9481055,0.51892037
s01_Headarray - Teleoperation,68,128,753.75,760,768,2003.3797,0.10369367,2.9770242,58,44.75913,33.393701,0.13924051,80,0.98849479,5,40.921893,1180.7956,768.59214,445.12394,1.73,2435.4335,5,,,23.759861,58.670508,0.40497112,1.9758376,0.52762306
s01_Headarray - Teleoperation,69,129,753.2,758,768,1984.9722,0.13432153,3.0312831,58,44.553026,32.611251,0.12658228,80,0.98921943,5,45.143997,1197.6123,788.26503,390.25815,2.02,2421.2795,5,,,23.206285,58.578261,0.39615865,1.9758376,0.52762306
s01_Headarray - Teleoperation,70,130,754.48101,760,768,1916.4323,0.13982254,3.1174052,56,43.777075,32.121564,0.11538462,79,0.98921943,5,32.024471,1152.9428,648.85783,436.55595,1.49,2270.3811,5,,,22.843602,57.541589,0.3969929,2.0021728,0.54523767
s01_Headarray - Teleoperation,71,131,755.9,760,768,1764.4456,0.24072787,3.1375805,56,42.005304,32.2239,0.11392405,80,0.99001308,5,21.062871,1092.9476,525.6006,395.63271,1.33,2035.2438,5,,,22.921114,54.804322,0.41823552,1.8961702,0.55611664
s01_Headarray - Teleoperation,72,132,757.97468,760,768,1640.9737,0.29144723,3.2489461,52,40.508934,32.274464,0.11538462,79,0.99001308,5,10.638201,1053.8122,497.54568,312.31694,1.59,1874.313,5,,,22.96503,52.483853,0.43756372,1.8958371,0.56073064
s01_Headarray - Teleoperation,73,133,758.58228,760,768,1628.3233,0.25762891,3.2762952,51,40.352488,31.887623,0.11538462,79,0.99001308,5,9.2610845,1042.784,523.90891,286.07156,1.83,1862.0256,5,,,22.693868,52.360623,0.43341478,1.8958371,0.56073064
s01_Headarray - Teleoperation,74,134,758.6,760,768,1610.9772,0.25795375,3.3042953,50,40.136981,31.752205,0.11392405,80,0.99073771,5,10.123584,1035.8348,508.676,290.01317,1.75,1844.6476,5,,,22.593827,52.07181,0.43389747,2.0784917,0.5785895
s01_Headarray - Teleoperation,75,135,757.26582,760,768,1594.0695,0.32837017,3.4148409,50,39.925799,29.439203,0.1025641,79,0.99073771,5,14.308717,1115.6213,464.48079,254.66783,1.82,1849.0786,5,,,20.949839,52.433226,0.39955275,1.9199347,0.57315316
s01_Headarray - Teleoperation,76,136,758.78481,760,768,1612.4531,0.29784464,3.3422139,48,40.155362,31.224579,0.11538462,79,0.99001308,5,15.221963,1058.1816,480.82379,285.13847,1.69,1839.3658,5,,,22.196801,52.270529,0.42465231,2.0534661,0.5708801
s01_Headarray - Teleoperation,77,137,761.17949,760,768,1640.7726,0.27869757,3.3187842,48,40.506451,31.472932,0.11688312,78,0.99001308,5,13.531225,959.16298,532.63684,378.05718,1.41,1883.3882,5,,,22.367404,52.737504,0.42412708,2.0278064,0.56293366
s01_Headarray - Teleoperation,78,138,761.92405,760,768,1632.7634,0.25731749,3.2852192,46,40.407467,32.941284,0.12820513,79,0.99001308,5,9.5621961,887.6121,536.74022,410.71181,1.31,1844.6263,5,,,23.441953,52.115273,0.44980965,2.0281482,0.55814108
s01_Headarray - Teleoperation,79,139,761.97468,760,768,1625.384,0.26750592,3.2844732,46,40.316051,32.716341,0.12820513,79,0.99001308,5,2.5545006,806.47924,546.00995,499.24767,1.09,1854.2914,5,,,23.280822,52.045857,0.44731364,2.0281482,0.55814108
s01_Headarray - Teleoperation,80,140,760.60759,760,768,1811.7287,0.0454337,3.3702043,46,42.564406,33.497034,0.12820513,79,0.99001308,5,1.0293913,787.4024,724.33856,615.10978,1.18,2127.8801,5,,,23.837501,55.274143,0.43125953,2.0021728,0.54523767
s01_Headarray - Teleoperation,81,141,760.25316,760,768,1845.0633,0.038521153,3.2975459,46,42.9542,33.389696,0.12820513,79,0.99001308,5,3.8933823,790.44367,821.51734,560.66169,1.47,2176.5161,5,,,23.758161,55.907749,0.42495292,1.9755045,0.53216559
s01_Headarray - Teleoperation,82,142,759.34177,760,768,1925.9202,0.020012453,3.1707234,48,43.885307,32.931942,0.12820513,79,0.99001308,5,15.024511,840.29936,963.21672,480.93723,2,2299.4778,5,,,23.426862,57.471928,0.40762269,2.1430782,0.52875421
s01_Headarray - Teleoperation,83,143,758.43038,760,768,1997.7098,0.0187226,3.0507789,51,44.695747,32.681838,0.12820513,79,0.99001308,5,21.947168,914.88778,984.72794,497.82122,1.98,2419.3841,5,,,23.256808,58.77534,0.3956899,2.1712491,0.54217723
s01_Headarray - Teleoperation,84,144,758.12658,760,768,2028.6504,0.012315456,2.9995345,51,45.040542,32.394998,0.12820513,79,0.98921943,5,32.863406,951.64487,991.69408,515.03988,1.93,2491.2422,5,,,23.047592,59.381053,0.3881304,1.9199347,0.50549735
s01_Headarray - Teleoperation,85,145,758.17722,760,768,1994.1733,0.054317359,3.0041247,51,44.656168,30.594117,0.1025641,79,0.99001308,5,54.188408,991.59696,918.58269,564.13165,1.63,2528.4997,5,,,21.7733,59.281279,0.36728796,1.9481055,0.51892037
s01_Headarray - Teleoperation,86,146,758.53165,764,768,1991.0471,0.031473128,3.0118492,51,44.62115,29.953811,0.08974359,79,0.99001308,5,55.748069,971.31353,913.74238,574.81221,1.59,2515.6162,5,,,21.302509,59.399472,0.35863128,1.9755045,0.53216559
