patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
s05_Joystick - Low level autonomy,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - Low level autonomy,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - Low level autonomy,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - Low level autonomy,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
s05_Joystick - Low level autonomy,4,64,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - Low level autonomy,5,65,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - Low level autonomy,6,66,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - Low level autonomy,7,67,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - Low level autonomy,8,68,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
s05_Joystick - Low level autonomy,9,69,1236.27273,1282,1088,16680.482,-0.229453179,1.90053391,228,129.15294,161.185146,0.744186047,44,0.94449346,5,0.13780022,55.1734259,4820.90714,9214.65298,0.52,14090.8713,5,,,115.277853,141.675618,0.81367461,1.74413142,0.328990228
s05_Joystick - Low level autonomy,10,70,1237.33333,1284,1088,16352,-0.254938304,1.94029476,222,127.874939,162.059473,0.75,45,0.953223618,5,0.99223233,38.7121321,4789.42973,9010.31254,0.53,13839.4466,5,,,115.918175,138.805536,0.835112045,1.74523945,0.323381067
s05_Joystick - Low level autonomy,11,71,1237.33333,1284,1088,16352,-0.254938304,1.94029476,222,127.874939,162.059473,0.75,45,0.959363969,5,0.99223233,38.7121321,4789.42973,9010.31254,0.53,13839.4466,5,,,115.918175,138.805536,0.835112045,1.74523945,0.323381067
s05_Joystick - Low level autonomy,12,72,1242.08696,1284,1088,17028.0812,-0.239340463,1.95488777,220,130.49169,162.286989,0.755555556,46,0.964125874,5,15.2029557,81.7795905,4697.28938,9495.84376,0.49,14290.1157,5,,,116.018738,143.512421,0.808422973,1.7462971,0.317959782
s05_Joystick - Low level autonomy,13,73,1243.91304,1284,1088,17337.9478,-0.2560988,1.91758093,224,131.673641,162.816325,0.777777778,46,0.965641026,5,39.2582448,202.949028,4718.80642,9660.23221,0.49,14621.2459,5,,,116.421804,145.333614,0.801065911,1.8263398,0.346533154
s05_Joystick - Low level autonomy,14,74,1243.91304,1284,1088,17337.9478,-0.2560988,1.91758093,224,131.673641,162.816325,0.777777778,46,0.965641026,5,39.2582448,202.949028,4718.80642,9660.23221,0.49,14621.2459,5,,,116.421804,145.333614,0.801065911,1.8263398,0.346533154
s05_Joystick - Low level autonomy,15,75,1245.10638,1284,1088,17027.9667,-0.283330237,1.954617,219,130.491251,161.348664,0.782608696,47,0.968974359,5,46.5093403,256.879057,4696.03723,9384.48844,0.5,14383.9141,5,,,115.351176,144.048741,0.800778786,1.97045126,0.394955229
