patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
s05_Sip-n-puff - Teleoperation,0,60,1219.91489,1264,1060,14521.3839,-0.401122077,1.93208178,202,120.504705,161.145897,0.804347826,47,0.98974359,5,32.429913,317.973069,847.942291,11195.5786,0.08,12393.9238,5,,,115.124264,125.654971,0.916193472,2.25813333,0.295549327
s05_Sip-n-puff - Teleoperation,1,61,1222.83333,1264,1060,14621.2482,-0.428239157,1.94173951,204,120.918354,164.28517,0.808510638,48,0.991025641,5,13.6887597,201.127637,750.294864,11560.6717,0.06,12525.783,5,,,117.422992,124.315475,0.944556518,2.25909998,0.290479198
s05_Sip-n-puff - Teleoperation,2,62,1221.25,1264,1060,14272.1064,-0.43827099,1.9684152,200,119.465921,163.312519,0.808510638,48,0.991025641,5,0.692638554,189.478048,809.196756,11069.4963,0.07,12068.8638,5,,,116.723794,122.146505,0.955604858,2.44142154,0.348466456
s05_Sip-n-puff - Teleoperation,3,63,1219.83673,1264,1060,14072.6395,-0.406276433,1.963611,198,118.628156,162.860881,0.8125,49,0.98974359,5,2.89191624,199.231261,693.1763,10975.1401,0.06,11870.4396,5,,,116.373192,120.841049,0.963026996,2.44234704,0.342739003
s05_Sip-n-puff - Teleoperation,4,64,1215.83673,1264,1060,14789.9728,-0.354912676,1.84498159,206,121.614032,162.224125,0.8125,49,0.98974359,5,16.0033458,295.170516,742.613973,11365.8921,0.07,12419.6799,5,,,115.922143,127.05118,0.912405089,Inf,0.356240822
s05_Sip-n-puff - Teleoperation,5,65,1219.18367,1264,1060,14355.9864,-0.419303313,1.95662025,198,119.81647,162.327858,0.8125,49,0.98974359,5,32.3323387,306.408996,780.9359,11073.9212,0.07,12193.5984,5,,,115.996561,123.518301,0.939104246,Inf,0.297400322
s05_Sip-n-puff - Teleoperation,6,66,1218.08333,1260,1060,14600.844,-0.391775612,1.91690687,200,120.833952,164.044623,0.829787234,48,0.98974359,5,26.4363291,285.233581,778.448401,11313.8537,0.07,12403.972,5,,,117.250114,124.314515,0.943173161,Inf,0.271480919
s05_Sip-n-puff - Teleoperation,7,67,1219.08333,1260,1060,14750.8014,-0.40100495,1.89962145,204,121.452877,164.333858,0.85106383,48,0.987660256,5,10.2137324,227.966526,849.675729,11390.6399,0.07,12478.4959,5,,,117.449523,125.328418,0.937134005,Inf,0.271480919
s05_Sip-n-puff - Teleoperation,8,68,1218.5,1260,1060,14761.2766,-0.386170754,1.88931841,204,121.495994,163.769428,0.85106383,48,0.98471908,5,11.7587478,225.06644,846.840083,11397.8445,0.07,12481.5097,5,,,117.039238,125.794952,0.930396932,Inf,0.302733463
s05_Sip-n-puff - Teleoperation,9,69,1214.20408,1256,1060,15358.0408,-0.354264306,1.82828104,210,123.927563,164.310681,0.854166667,49,0.983059955,5,36.1885505,292.907936,875.87269,11750.5741,0.07,12955.5432,5,,,117.410838,130.118318,0.902339042,Inf,0.297400322
