patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
u14_Headarray - Mid level autonomy,0,60,1105.25926,1104,1144,4401.40321,-0.132850497,3.430346,80,66.3430721,63.8512422,0.528301887,54,0.997606838,5,13.2480986,1433.13004,1164.57772,1376.12632,0.85,3987.08217,5,,,45.5816784,82.0068108,0.55582796,1.2608167,0.218948713
u14_Headarray - Mid level autonomy,1,61,1104.65455,1104,1144,4340.00808,-0.10775673,3.45828102,79,65.8787377,63.3719181,0.518518519,55,0.997606838,5,9.84033347,1434.21041,1148.08789,1330.44446,0.86,3922.58309,5,,,45.2295025,81.4512631,0.555295287,1.34855403,0.241787117
u14_Headarray - Mid level autonomy,2,62,1103.92727,1100,1144,4370.06869,-0.0776835771,3.40937559,80,66.106495,63.1916544,0.518518519,55,0.997606838,5,6.8822706,1470.35762,1114.10052,1354.49955,0.82,3945.83997,5,,,45.1027866,81.8894133,0.55077677,1.26154266,0.21581163
u14_Headarray - Mid level autonomy,3,63,1104.59259,1102,1144,4427.71768,-0.104902763,3.38698777,80,66.5410977,63.3194953,0.509433962,54,0.997606838,5,4.9805815,1445.37325,1154.17889,1378.77344,0.84,3983.30616,5,,,45.1966835,82.5390523,0.547579385,1.16550652,0.191920041
u14_Headarray - Mid level autonomy,4,64,1107.25926,1106,1144,4308.57303,-0.169768224,3.52576812,80,65.6397214,63.7187215,0.509433962,54,0.996495726,5,2.78057889,1246.17351,1312.03548,1335.87138,0.98,3896.86095,5,,,45.477885,80.9253238,0.56197347,1.16550652,0.191920041
u14_Headarray - Mid level autonomy,5,65,1107.77778,1108,1144,4302.74214,-0.193523955,3.54098828,80,65.5952905,63.9339282,0.509433962,54,0.996495726,5,2.29220445,1204.03339,1346.65585,1340.96817,1,3893.94962,5,,,45.6375574,80.7632195,0.565078481,1.16550652,0.191920041
u14_Headarray - Mid level autonomy,6,66,1107.92593,1108,1144,4294.33403,-0.199676544,3.55592959,80,65.5311684,63.7992133,0.509433962,54,0.996495726,5,0.709313387,1174.43353,1341.80949,1374.679,0.98,3891.63133,5,,,45.5391823,80.7146265,0.564199876,1.57097163,0.22701136
u14_Headarray - Mid level autonomy,7,67,1109.40741,1110,1144,4183.64221,-0.246214357,3.72964849,72,64.6810808,63.7637148,0.509433962,54,0.996495726,5,0.14857653,1046.57653,1404.48261,1323.86849,1.06,3775.0762,5,,,45.514635,79.3454625,0.573626186,1.16550652,0.191920041
u14_Headarray - Mid level autonomy,8,68,1108.81481,1110,1144,4257.43676,-0.237718062,3.62582458,72,65.2490364,64.6663425,0.528301887,54,0.996495726,5,3.09080423,1053.18646,1431.32996,1359.15875,1.05,3846.76597,5,,,46.1590611,79.9012803,0.577701146,1.16550652,0.191920041
u14_Headarray - Mid level autonomy,9,69,1108.81481,1110,1144,4257.43676,-0.237718062,3.62582458,72,65.2490364,64.5448506,0.509433962,54,0.996495726,5,6.17055254,1043.87193,1442.35381,1356.71793,1.06,3849.11423,5,,,46.0706846,79.9522703,0.576227347,1.46561112,0.199231796
