,SDNN,RMSSD,ulf,vlf,lf,hf,lfhf,SD1,SD2,SD1SD2,ApEn,Subject,Interface,Autonomy Level,Raw Label,Weighted Label
181,44.410101,39.854279999999996,20.533507999999998,694.35769,578.44235,1174.7551,0.49,28.341343,56.04714499999999,0.5056697,0.41649995,u03,Joystick,A1,Low,Low
182,42.558346,38.80822,12.820264,657.3501200000001,559.331,1076.5119,0.52,27.616651,53.47659399999999,0.51642502,0.41649995,u03,Joystick,A1,Low,Low
183,42.957577,38.757003000000005,14.582053,667.30474,573.67653,1093.0675,0.52,27.587208,54.126267000000006,0.50968244,0.41366021,u03,Joystick,A1,Low,Low
184,42.811003,39.154216,16.396396,672.25579,566.45189,1073.6703,0.53,27.869771999999998,53.747927000000004,0.51852739,0.38271298,u03,Joystick,A1,Low,Low
185,42.664127,38.794832,18.203077,665.57124,567.1139599999999,1061.8767,0.53,27.604817999999998,53.650998,0.51452571,0.38654119,u03,Joystick,A1,Low,Low
186,43.401258,39.049227,20.962315,677.46247,615.35965,1086.0583,0.57,27.791176,54.72649200000001,0.50781944,0.38271298,u03,Joystick,A1,Low,Low
187,43.648819,39.049227,27.096859000000002,687.08005,637.82553,1087.7377,0.59,27.795417999999998,55.116727000000004,0.50430096,0.38288855,u03,Joystick,A1,Low,Low
188,43.764421999999996,40.007894,26.07284,678.36983,630.26483,1091.5303,0.58,28.475832,54.95249200000001,0.5181899999999999,0.35113986,u03,Joystick,A1,Low,Low
189,43.576168,39.537587,21.581093,666.74831,622.4524,1097.5357,0.57,28.133604,54.82941999999999,0.51311146,0.39470586,u03,Joystick,A1,Low,Low
190,43.358525,39.510159,17.394691,698.70298,587.92853,1083.8895,0.54,28.122314000000003,54.489070999999996,0.51610926,0.38288855,u03,Joystick,A1,Low,Low
191,43.50646,39.390087,22.01677,700.20282,597.85451,1085.2594,0.55,28.037969,54.767658,0.51194392,0.3749505,u03,Joystick,A1,Low,Low
192,43.374047999999995,39.258054,18.235977,662.02327,610.89867,1090.6039,0.56,27.94047,54.607199,0.51166275,0.35522339,u03,Joystick,A1,Low,Low
291,33.871726,28.872132,0.92101132,462.26852,367.29161,665.73498,0.55,20.536599,43.276272,0.47454639,0.61147741,u03,Joystick,A1,Low,Low
292,33.932904,28.872132,0.81833694,427.54125,394.49456000000004,683.89575,0.58,20.536599,43.372019,0.47349880000000005,0.59978137,u03,Joystick,A1,Low,Low
293,33.792906,29.312114,1.9395833999999998,416.47952999999995,386.66643999999997,679.1954099999999,0.57,20.855622,42.999582000000004,0.48501918,0.58607249,u03,Joystick,A1,Low,Low
294,35.48319,30.242354,14.023319,464.03028,380.50331,798.88006,0.48,21.510992,45.336418,0.4744749,0.55879032,u03,Joystick,A1,Low,Low
295,36.545862,30.189402,20.741827999999998,518.24816,424.22267,781.24053,0.54,21.475184,47.010812,0.45681373,0.51956961,u03,Joystick,A1,Low,Low
296,36.524235,31.815091,21.141018,500.42087000000004,410.97989,798.3871,0.51,22.633877,46.430023999999996,0.48748365,0.50614659,u03,Joystick,A1,Low,Low
297,36.251045,31.902978000000004,23.049505,433.71769000000006,391.84202,850.1039400000001,0.46,22.680807,45.976707,0.49331081,0.51956961,u03,Joystick,A1,Low,Low
298,36.059827,31.591138,23.955097,411.5995,427.3339,825.35366,0.52,22.470121,45.77899,0.49083916,0.51008659,u03,Joystick,A1,Low,Low
299,36.81185,31.168202,15.145559,407.46061000000003,561.39323,769.1462700000001,0.73,22.172556,47.102043,0.47073448,0.55406395,u03,Joystick,A1,Low,Low
300,37.451862,31.324112,9.948191900000001,426.90237,630.07421,752.8578200000001,0.84,22.283672,48.049162,0.46376817,0.52940345,u03,Joystick,A1,Low,Low
301,37.66404,31.611843,6.8126356,440.5317,665.0312,723.20802,0.92,22.491535,48.283442,0.46582294,0.57477608,u03,Joystick,A1,Low,Low
302,37.640017,31.661793,8.8904599,431.9571,672.46703,719.24655,0.93,22.527732999999998,48.229067,0.46709867,0.54828447,u03,Joystick,A1,Low,Low
303,37.889899,31.871616999999997,7.855638099999999,450.53384000000005,662.14851,729.51618,0.91,22.676565,48.549586,0.46708049,0.55020658,u03,Joystick,A1,Low,Low
304,38.041072,31.514840999999997,4.563396099999999,485.9313,606.51152,771.47066,0.79,22.414281,48.906506,0.45830878,0.54828447,u03,Joystick,A1,Low,Low
