patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
s01_Headarray - Teleoperation,,,,,,,,,,,,,,,3+0i,,,,,,,3+0i,,,,,,,
s01_Headarray - Teleoperation,1+0i,6+0i,692+0i,696+0i,668+0i,394.66667+0i,0.26450199+0i,1.980095+0i,29+0i,19.866219+0i,27.904599+0i,0+0i,7+0i,1+0i,5+0i,0.091042776+0i,1.092848+0i,20.141373+0i,292.72465+0i,0.07+0i,314.04991+0i,5+0i,,,21.391587+0i,18.213548+0i,1.1744876+0i,,-0.18232156+0i
s01_Headarray - Teleoperation,2+0i,7+0i,681+0i,676+0i,644+0i,712+0i,0.23575472+0i,1.9738515+0i,40+0i,26.683328+0i,24.75018+0i,0+0i,8+0i,1+0i,5+0i,4.9959605+0i,62.195065+0i,290.97992+0i,456.95923+0i,0.64+0i,815.13017+0i,5+0i,,,18.721009+0i,32.764673+0i,0.57137787+0i,,-0.15415068+0i
s01_Headarray - Teleoperation,3+0i,8+0i,677.71429+0i,672+0i,644+0i,729.90476+0i,0.55301573+0i,2.3214977+0i,36+0i,27.01675+0i,24.33105+0i,0+0i,7+0i,1+0i,5+0i,8.3307712+0i,103.27857+0i,347.28664+0i,481.99491+0i,0.72+0i,940.89089+0i,5+0i,,,18.388402+0i,33.491435+0i,0.54904791+0i,,-0.18232156+0i
s01_Headarray - Teleoperation,4+0i,9+0i,667.5+0i,662+0i,644+0i,692.28571+0i,1.2677654+0i,3.7133661+0i,28+0i,26.311323+0i,22.728208+0i,0+0i,8+0i,1+0i,5+0i,8.9451349+0i,109.90017+0i,336.14782+0i,317.74459+0i,1.06+0i,772.73771+0i,5+0i,,,15.479633+0i,33.837145+0i,0.45747457+0i,,-0.15415068+0i
s01_Headarray - Teleoperation,5+0i,10+0i,654.85714+0i,652+0i,644+0i,126.47619+0i,0.5574173+0i,1.7780157+0i,20+0i,11.246163+0i,16.492423+0i,0+0i,7+0i,1+0i,5+0i,0.678741+0i,8.331081+0i,23.684221+0i,26.889757+0i,0.88+0i,59.5838+0i,5+0i,,,12.393547+0i,9.9675665+0i,1.2433874+0i,,-0.18232156+0i
s01_Headarray - Teleoperation,6+0i,11+0i,659+0i,654+0i,680+0i,227.42857+0i,0.48089931+0i,1.6221055+0i,28+0i,15.080735+0i,18.516402+0i,0+0i,8+0i,1+0i,5+0i,1.5247196+0i,18.749466+0i,63.31106+0i,136.37941+0i,0.46+0i,219.96466+0i,5+0i,,,13.897585+0i,16.177586+0i,0.85906418+0i,,-0.15415068+0i
s01_Headarray - Teleoperation,7+0i,12+0i,666.28571+0i,668+0i,680+0i,345.90476+0i,0.057893047+0i,1.4757467+0i,31+0i,18.598515+0i,17.435596+0i,0+0i,7+0i,1+0i,5+0i,3.1029833+0i,38.451356+0i,136.16721+0i,248.63046+0i,0.55+0i,426.35201+0i,5+0i,,,13.145341+0i,22.781781+0i,0.57701115+0i,,-0.18232156+0i
s01_Headarray - Teleoperation,8+0i,13+0i,666.5+0i,668+0i,680+0i,338+0i,0.049988929+0i,1.3608603+0i,30+0i,18.384776+0i,21.111947+0i,0+0i,8+0i,1+0i,5+0i,2.7919231+0i,34.512907+0i,121.63847+0i,196.51259+0i,0.62+0i,355.45589+0i,5+0i,,,15.63878+0i,20.770859+0i,0.75291926+0i,,-0.15415068+0i
s01_Headarray - Teleoperation,9+0i,14+0i,670.28571+0i,680+0i,680+0i,276.57143+0i,-0.15305477+0i,1.4718371+0i,24+0i,16.630437+0i,24.54927+0i,0+0i,7+0i,1+0i,5+0i,0.00015884763+0i,0.018158284+0i,15.720998+0i,131.2765+0i,0.12+0i,147.01582+0i,5+0i,,,18.987715+0i,13.878383+0i,1.3681504+0i,,-0.18232156+0i
s01_Headarray - Teleoperation,10+0i,15+0i,672+0i,678+0i,680+0i,196.57143+0i,-0.14895209+0i,1.559762+0i,24+0i,14.020393+0i,20.674346+0i,0+0i,8+0i,1+0i,5+0i,0.95487425+0i,11.916632+0i,46.119878+0i,68.183269+0i,0.68+0i,127.17465+0i,5+0i,,,15.78426+0i,12+0i,1.315355+0i,,-0.15415068+0i
s01_Headarray - Teleoperation,11+0i,16+0i,674.28571+0i,676+0i,656+0i,372.57143+0i,0.34154013+0i,1.7013123+0i,33+0i,19.302109+0i,24.603523+0i,0+0i,7+0i,1+0i,5+0i,0.27085818+0i,3.3490521+0i,37.048781+0i,203.62233+0i,0.18+0i,244.29102+0i,5+0i,,,18.994736+0i,19.604664+0i,0.96888863+0i,,-0.18232156+0i
