patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
s05_Headarray - Command,0+0i,5+0i,1101+0i,1064+0i,856+0i,73657.3333+0i,0.219277699+0i,1.31225504+0i,450+0i,271.398845+0i,243.803199+0i,0.666666667+0i,4+0i,1+0i,5+0i,559.276607+0i,6906.40751+0i,21562.6733+0i,37227.8567+0i,0.58+0i,66256.2141+0i,5+0i,,,147.304673+0i,354.423476+0i,0.415617709+0i,,-0.405465108+0i
s05_Headarray - Command,1+0i,6+0i,1147.2+0i,1232+0i,856+0i,65915.2+0i,-0.220023061+0i,1.28951985+0i,468+0i,256.739557+0i,215.675682+0i,0.75+0i,5+0i,1+0i,5+0i,559.507782+0i,6945.65241+0i,24236.9507+0i,28109.825+0i,0.86+0i,59851.9359+0i,5+0i,,,151.95394+0i,329.758093+0i,0.460804279+0i,,-0.287682072+0i
s05_Headarray - Command,2+0i,7+0i,1210+0i,1282+0i,856+0i,61594.6667+0i,-0.837805612+0i,2.09349671+0i,332+0i,248.182728+0i,247.96774+0i,1+0i,4+0i,1+0i,5+0i,328.418867+0i,4058.87253+0i,14036.3192+0i,30239.2783+0i,0.46+0i,48662.889+0i,5+0i,,,165.02929+0i,309.765503+0i,0.532755549+0i,,-0.405465108+0i
s05_Headarray - Command,3+0i,8+0i,1243+0i,1282+0i,988+0i,34798.6667+0i,-0.612646264+0i,1.93512933+0i,266+0i,186.544007+0i,231.965515+0i,1+0i,4+0i,1+0i,5+0i,103.361127+0i,1275.718+0i,5767.0705+0i,16735.1571+0i,0.34+0i,23881.3067+0i,5+0i,,,188.134704+0i,184.93963+0i,1.01727631+0i,,-0.405465108+0i
s05_Headarray - Command,4+0i,9+0i,1299+0i,1376+0i,988+0i,45700+0i,-0.961422288+0i,2.16596038+0i,278+0i,213.775583+0i,339.167609+0i,1+0i,4+0i,1+0i,5+0i,18.1880121+0i,229.039086+0i,2194.18028+0i,21959.1051+0i,0.1+0i,24400.5124+0i,5+0i,,,293.543864+0i,72.3325653+0i,4.05825319+0i,,-0.405465108+0i
s05_Headarray - Command,5+0i,10+0i,1298+0i,1374+0i,988+0i,45381.3333+0i,-0.962071589+0i,2.16963001+0i,276+0i,213.02895+0i,336.134894+0i,0.666666667+0i,4+0i,1+0i,5+0i,61.2702761+0i,765.597244+0i,3434.6419+0i,20706.4574+0i,0.17+0i,24967.9668+0i,5+0i,,,290.089641+0i,81.3060063+0i,3.56787468+0i,,-0.405465108+0i
s05_Headarray - Command,6+0i,11+0i,1313+0i,1404+0i,988+0i,47641.3333+0i,-1.10370491+0i,2.29620567+0i,246+0i,218.268947+0i,271.538825+0i,0.333333333+0i,4+0i,1+0i,5+0i,166.809474+0i,2053.71667+0i,7355.09172+0i,19049.5561+0i,0.39+0i,28625.174+0i,5+0i,,,204.202514+0i,231.482181+0i,0.882152195+0i,,-0.405465108+0i
s05_Headarray - Command,7+0i,12+0i,1313+0i,1404+0i,988+0i,47641.3333+0i,-1.10370491+0i,2.29620567+0i,246+0i,218.268947+0i,271.538825+0i,0.333333333+0i,4+0i,1+0i,5+0i,166.809474+0i,2053.71667+0i,7355.09172+0i,19049.5561+0i,0.39+0i,28625.174+0i,5+0i,,,204.202514+0i,231.482181+0i,0.882152195+0i,,-0.405465108+0i
s05_Headarray - Command,8+0i,13+0i,1330+0i,1404+0i,1056+0i,34064+0i,-1.08338128+0i,2.28203138+0i,212+0i,184.564352+0i,195.850283+0i,0.333333333+0i,4+0i,1+0i,5+0i,217.180822+0i,2673.0478+0i,8410.86876+0i,11662.7255+0i,0.72+0i,22963.8228+0i,5+0i,,,124.236334+0i,229.550285+0i,0.541216204+0i,,-0.405465108+0i
s05_Headarray - Command,9+0i,14+0i,1260+0i,1284+0i,1056+0i,30144+0i,-0.219600977+0i,1.30962717+0i,288+0i,173.620275+0i,206.455806+0i,0.666666667+0i,4+0i,1+0i,5+0i,174.686153+0i,2165.17396+0i,7265.61029+0i,13772.2162+0i,0.53+0i,23377.6866+0i,5+0i,,,164.827182+0i,181.989011+0i,0.905698545+0i,,-0.405465108+0i
s05_Headarray - Command,10+0i,15+0i,1230+0i,1236+0i,1056+0i,21264+0i,-0.110037768+0i,1.6050069+0i,228+0i,145.821809+0i,217.329243+0i,1+0i,4+0i,1+0i,5+0i,7.50544611+0i,92.1074174+0i,1293.2491+0i,13659.6939+0i,0.09+0i,15052.5558+0i,5+0i,,,186.16122+0i,88.7242921+0i,2.098199+0i,,-0.405465108+0i
s05_Headarray - Command,11+0i,16+0i,1197+0i,1218+0i,1056+0i,11364+0i,-0.50586128+0i,1.74576861+0i,162+0i,106.602064+0i,100.159872+0i,0.666666667+0i,4+0i,1+0i,5+0i,74.9581671+0i,926.256878+0i,3054.14166+0i,5085.95347+0i,0.6+0i,9141.31018+0i,5+0i,,,63.6867333+0i,136.645527+0i,0.466072581+0i,,-0.405465108+0i
s05_Headarray - Command,12+0i,17+0i,1197+0i,1218+0i,1056+0i,11364+0i,-0.50586128+0i,1.74576861+0i,162+0i,106.602064+0i,100.159872+0i,0.666666667+0i,4+0i,1+0i,5+0i,74.9581671+0i,926.256878+0i,3054.14166+0i,5085.95347+0i,0.6+0i,9141.31018+0i,5+0i,,,63.6867333+0i,136.645527+0i,0.466072581+0i,,-0.405465108+0i
s05_Headarray - Command,13+0i,18+0i,1196+0i,1218+0i,1052+0i,11744+0i,-0.523759383+0i,1.76241564+0i,164+0i,108.369737+0i,140.190347+0i,0.666666667+0i,4+0i,1+0i,5+0i,25.6858514+0i,316.990735+0i,1534.47251+0i,5969.07112+0i,0.26+0i,7846.22021+0i,5+0i,,,116.011494+0i,100.146559+0i,1.15841717+0i,,-0.405465108+0i
s05_Headarray - Command,14+0i,19+0i,1153+0i,1156+0i,1004+0i,21433.3333+0i,-0.0231833046+0i,1.10890195+0i,250+0i,146.401275+0i,124.985332+0i,0.333333333+0i,4+0i,1+0i,5+0i,172.86044+0i,2136.2085+0i,6748.95559+0i,8096.38754+0i,0.83+0i,17154.4121+0i,5+0i,,,67.90189+0i,195.591411+0i,0.347161921+0i,,-0.405465108+0i
s05_Headarray - Command,15+0i,20+0i,1088+0i,1044+0i,1004+0i,13546.6667+0i,1.05177666+0i,2.262015+0i,136+0i,116.390148+0i,124.622095+0i,0.333333333+0i,4+0i,1+0i,5+0i,81.9578885+0i,1009.90236+0i,3180.31805+0i,5711.22968+0i,0.56+0i,9983.40798+0i,5+0i,,,86.409876+0i,140.095206+0i,0.616793955+0i,,-0.405465108+0i
s05_Headarray - Command,,,,,,,,,,,,,,,3+0i,,,,,,,3+0i,,,,,,,
s05_Headarray - Command,17+0i,22+0i,1103.2+0i,1052+0i,1004+0i,18355.2+0i,1.33274434+0i,3.03171338+0i,120+0i,135.481364+0i,133.386656+0i,0.25+0i,5+0i,1+0i,5+0i,128.011706+0i,1576.30498+0i,5303.94812+0i,7046.94408+0i,0.75+0i,14055.2089+0i,5+0i,,,91.680605+0i,168.241097+0i,0.544935849+0i,,-0.287682072+0i
s05_Headarray - Command,18+0i,23+0i,1148+0i,1084+0i,1004+0i,22656+0i,0.37063735+0i,1.35856555+0i,264+0i,150.519102+0i,135.055544+0i,0.5+0i,5+0i,1+0i,5+0i,206.079586+0i,2554.79918+0i,8481.51614+0i,6963.42838+0i,1.22+0i,18205.8233+0i,5+0i,,,95.2750405+0i,190.354056+0i,0.500514895+0i,,-0.287682072+0i
s05_Headarray - Command,19+0i,24+0i,1154.4+0i,1084+0i,1036+0i,20556.8+0i,0.428928765+0i,1.34801236+0i,256+0i,143.376428+0i,179.95555+0i,0.75+0i,5+0i,1+0i,5+0i,6.72833483+0i,89.0243542+0i,3202.4717+0i,10819.2149+0i,0.3+0i,14117.4393+0i,5+0i,,,146.933091+0i,139.729262+0i,1.05155562+0i,,-0.287682072+0i
s05_Headarray - Command,20+0i,25+0i,1172.8+0i,1128+0i,1036+0i,16803.2+0i,0.310937505+0i,1.45143353+0i,220+0i,129.627158+0i,184.18469+0i,1+0i,5+0i,1+0i,5+0i,16.4812287+0i,211.167611+0i,2054.69308+0i,8509.34592+0i,0.24+0i,10791.6878+0i,5+0i,,,150.117732+0i,105.219136+0i,1.42671511+0i,,-0.287682072+0i
s05_Headarray - Command,21+0i,26+0i,1195+0i,1202+0i,1036+0i,19118.6667+0i,-0.107798829+0i,1.39146268+0i,226+0i,138.270267+0i,152.926998+0i,1+0i,4+0i,1+0i,5+0i,118.974991+0i,1472.37773+0i,4833.29573+0i,7904.92933+0i,0.61+0i,14329.5778+0i,5+0i,,,117.450699+0i,156.341507+0i,0.751244513+0i,,-0.405465108+0i
