patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
s05_Headarray - WST,0+0i,5+0i,1124+0i,1124+0i,996+0i,12458.66667+0i,3.177199317e-15+0i,1.567648715+0i,176+0i,111.6183975+0i,150.9436981+0i,1+0i,4+0i,1+0i,5+0i,11.61394017+0i,144.5019821+0i,1016.796436+0i,7898.098125+0i,0.13+0i,9071.010483+0i,5+0i,,,128.6649395+0i,91.44761706+0i,1.406979686+0i,,-0.4054651081+0i
s05_Headarray - WST,1+0i,6+0i,1112.8+0i,1076+0i,996+0i,9971.2+0i,0.3288745179+0i,1.822072421+0i,142+0i,99.85589617+0i,130.7822618+0i,0.75+0i,5+0i,1+0i,5+0i,0.2513495412+0i,3.78849629+0i,1064.072574+0i,5987.789185+0i,0.18+0i,7055.901604+0i,5+0i,,,105.7670396+0i,93.57207561+0i,1.130326958+0i,,-0.2876820725+0i
s05_Headarray - WST,2+0i,7+0i,1146.4+0i,1164+0i,1068+0i,5804.8+0i,0.2332118738+0i,1.73633044+0i,118+0i,76.18923809+0i,108+0i,0.75+0i,5+0i,1+0i,5+0i,12.92394881+0i,162.7403378+0i,823.0881828+0i,3380.463875+0i,0.24+0i,4379.216344+0i,5+0i,,,88.16650914+0i,61.93760301+0i,1.423473058+0i,,-0.2876820725+0i
s05_Headarray - WST,3+0i,8+0i,1153.6+0i,1164+0i,1068+0i,6524.8+0i,0.01080137263+0i,1.412817458+0i,145+0i,80.77623413+0i,102.7034566+0i,0.5+0i,5+0i,1+0i,5+0i,0.03921985668+0i,1.226170043+0i,801.8289362+0i,3783.510087+0i,0.21+0i,4586.604413+0i,5+0i,,,83.37465642+0i,78.09139944+0i,1.067654787+0i,,-0.2876820725+0i
s05_Headarray - WST,4+0i,9+0i,1129+0i,1120+0i,1068+0i,4665.333333+0i,0.1933285769+0i,1.269848544+0i,114+0i,68.30324541+0i,61.14463727+0i,0.3333333333+0i,4+0i,1+0i,5+0i,35.53183163+0i,438.9705742+0i,1386.156148+0i,1983.542807+0i,0.7+0i,3844.201361+0i,5+0i,,,36.76955262+0i,89.32338253+0i,0.4116453226+0i,,-0.4054651081+0i
s05_Headarray - WST,5+0i,10+0i,1108+0i,1116+0i,992+0i,9397.333333+0i,-0.1898271169+0i,1.476912651+0i,156+0i,96.93984389+0i,138.8140243+0i,0.6666666667+0i,4+0i,1+0i,5+0i,5.976718844+0i,73.4689876+0i,589.9038237+0i,5620.897546+0i,0.1+0i,6290.247076+0i,5+0i,,,118.1975747+0i,69.45502142+0i,1.701785879+0i,,-0.4054651081+0i
s05_Headarray - WST,6+0i,11+0i,1097+0i,1094+0i,992+0i,11054.66667+0i,0.04031862752+0i,1.170729702+0i,178+0i,105.1411749+0i,128.6027475+0i,0.3333333333+0i,4+0i,1+0i,5+0i,61.17598961+0i,757.9299477+0i,2516.313571+0i,5416.731433+0i,0.46+0i,8752.150941+0i,5+0i,,,103.7818224+0i,106.4831755+0i,0.9746311747+0i,,-0.4054651081+0i
s05_Headarray - WST,7+0i,12+0i,1114+0i,1116+0i,992+0i,15248+0i,-0.01456142665+0i,1.068755099+0i,212+0i,123.4827923+0i,174.1110757+0i,0.6666666667+0i,4+0i,1+0i,5+0i,0.6319784755+0i,8.394491055+0i,603.7699622+0i,10228.03987+0i,0.06+0i,10840.8363+0i,5+0i,,,150.6253631+0i,88.36288814+0i,1.704622452+0i,,-0.4054651081+0i
s05_Headarray - WST,8+0i,13+0i,1119+0i,1126+0i,992+0i,16601.33333+0i,-0.03020010333+0i,1.04143007+0i,222+0i,128.8461615+0i,121.5236602+0i,0.3333333333+0i,4+0i,1+0i,5+0i,119.8184077+0i,1481.281747+0i,4734.470698+0i,7657.626839+0i,0.62+0i,13993.19769+0i,5+0i,,,80.21637406+0i,163.6092907+0i,0.4902922916+0i,,-0.4054651081+0i
s05_Headarray - WST,9+0i,14+0i,1098.4+0i,1024+0i,992+0i,14572.8+0i,0.3790254285+0i,1.185452907+0i,219+0i,120.7178529+0i,149.3720188+0i,0.5+0i,5+0i,1+0i,5+0i,14.26610511+0i,181.5044631+0i,2268.481533+0i,8202.397676+0i,0.28+0i,10666.64978+0i,5+0i,,,121.8633114+0i,119.5614208+0i,1.019252788+0i,,-0.2876820725+0i
