patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
u04_Headarray - Mid level autonomy,,,,,,,,,,,,,,,3+0i,,,,,,,3+0i,,,,,,,
u04_Headarray - Mid level autonomy,1+0i,6+0i,808.666667+0i,824+0i,764+0i,1026.66667+0i,-0.643388855+0i,1.54804898+0i,60+0i,32.0416396+0i,38.6160588+0i,0.4+0i,6+0i,1+0i,5+0i,1.73225111+0i,21.799686+0i,126.709573+0i,791.151708+0i,0.16+0i,941.393218+0i,5+0i,,,30.5024589+0i,33.5101975+0i,0.910244082+0i,,-0.223143551+0i
u04_Headarray - Mid level autonomy,2+0i,7+0i,821.333333+0i,826+0i,764+0i,2577.06667+0i,0.436697306+0i,2.29431138+0i,64+0i,50.7648172+0i,49.1202606+0i,0.6+0i,6+0i,1+0i,5+0i,7.09183661+0i,87.3993648+0i,457.344293+0i,2062.20349+0i,0.22+0i,2614.03898+0i,5+0i,,,37.1268097+0i,61.4469961+0i,0.604208701+0i,,-0.223143551+0i
u04_Headarray - Mid level autonomy,3+0i,8+0i,842.666667+0i,828+0i,764+0i,5853.86667+0i,0.486428539+0i,1.87127467+0i,132+0i,76.5105657+0i,54.874402+0i,0.8+0i,6+0i,1+0i,5+0i,59.7038451+0i,738.32165+0i,2493.30217+0i,3204.45872+0i,0.78+0i,6495.78638+0i,5+0i,,,37.3095162+0i,101.566399+0i,0.367341136+0i,,-0.223143551+0i
u04_Headarray - Mid level autonomy,4+0i,9+0i,869.333333+0i,870+0i,764+0i,8669.86667+0i,0.00393317831+0i,1.38284919+0i,188+0i,93.1121188+0i,49.6386946+0i,0.6+0i,6+0i,1+0i,5+0i,122.303282+0i,1511.39335+0i,4716.98696+0i,3744.54848+0i,1.26+0i,10095.2321+0i,5+0i,,,19.3287351+0i,130.254111+0i,0.148392515+0i,,-0.223143551+0i
u04_Headarray - Mid level autonomy,5+0i,10+0i,934.4+0i,960+0i,836+0i,4164.8+0i,-0.705237747+0i,1.9883837+0i,96+0i,64.5352617+0i,45.563143+0i,0.5+0i,5+0i,1+0i,5+0i,43.1598586+0i,532.394204+0i,1648.9483+0i,1760.37859+0i,0.94+0i,3984.88096+0i,5+0i,,,19.2353841+0i,89.2165904+0i,0.215603219+0i,,-0.287682072+0i
u04_Headarray - Mid level autonomy,6+0i,11+0i,971.2+0i,980+0i,904+0i,1883.2+0i,-0.612127708+0i,2.31508219+0i,53+0i,43.3958523+0i,33.4065862+0i,0.25+0i,5+0i,1+0i,5+0i,20.2311743+0i,249.125423+0i,736.261647+0i,648.735096+0i,1.13+0i,1654.35334+0i,5+0i,,,13.540064+0i,59.8587226+0i,0.22620035+0i,,-0.287682072+0i
u04_Headarray - Mid level autonomy,7+0i,12+0i,986.4+0i,980+0i,960+0i,484.8+0i,0.502348087+0i,2.34628958+0i,24+0i,22.0181743+0i,27.0554985+0i,0+0i,5+0i,1+0i,5+0i,1.82463046+0i,22.6828041+0i,96.6992195+0i,225.454852+0i,0.43+0i,346.661506+0i,5+0i,,,21.7102127+0i,22.3218876+0i,0.972597525+0i,,-0.287682072+0i
u04_Headarray - Mid level autonomy,8+0i,13+0i,989.6+0i,980+0i,976+0i,324.8+0i,1.13755918+0i,2.68170788+0i,20+0i,18.0222085+0i,25.2190404+0i,0+0i,5+0i,1+0i,5+0i,0.123507315+0i,1.55231119+0i,24.0045935+0i,231.198943+0i,0.1+0i,256.879355+0i,5+0i,,,20.5750658+0i,15.042163+0i,1.36782628+0i,,-0.287682072+0i
u04_Headarray - Mid level autonomy,9+0i,14+0i,990.4+0i,984+0i,976+0i,308.8+0i,1.11080391+0i,2.7004886+0i,20+0i,17.5727061+0i,24.8193473+0i,0+0i,5+0i,1+0i,5+0i,1.06983091+0i,13.3515833+0i,50.555615+0i,170.925971+0i,0.3+0i,235.903+0i,5+0i,,,20.1990099+0i,14.4775689+0i,1.39519349+0i,,-0.287682072+0i
