patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
u04_Joystick - WST,,,,,,,,,,,,,,,3+0i,,,,,,,3+0i,,,,,,,
u04_Joystick - WST,1+0i,6+0i,962.4+0i,960+0i,948+0i,132.8+0i,0.0252482701+0i,1.54891857+0i,19+0i,11.5238882+0i,13.2664992+0i,0+0i,5+0i,1+0i,5+0i,0.293630699+0i,3.65278427+0i,20.4801301+0i,79.8132725+0i,0.26+0i,104.239818+0i,5+0i,,,10.7082523+0i,12.2854928+0i,0.871617642+0i,,-0.287682072+0i
u04_Joystick - WST,2+0i,7+0i,941.333333+0i,958+0i,884+0i,1540.26667+0i,-0.648447537+0i,1.6408829+0i,72+0i,39.2462312+0i,28.1140534+0i,0.2+0i,6+0i,1+0i,5+0i,15.7619958+0i,195.008567+0i,683.336327+0i,682.449976+0i,1+0i,1576.55687+0i,5+0i,,,18.6975934+0i,52.2583327+0i,0.357791619+0i,,-0.223143551+0i
u04_Joystick - WST,3+0i,8+0i,933.333333+0i,934+0i,884+0i,1565.86667+0i,-0.0695972373+0i,1.28991603+0i,72+0i,39.5710332+0i,30.3051151+0i,0.2+0i,6+0i,1+0i,5+0i,16.9225535+0i,210.148206+0i,723.387195+0i,680.87072+0i,1.06+0i,1631.32867+0i,5+0i,,,22+0i,51.4561302+0i,0.42754867+0i,,-0.223143551+0i
u04_Joystick - WST,4+0i,9+0i,930+0i,932+0i,884+0i,1323.2+0i,-0.0209746562+0i,1.4476722+0i,56+0i,36.3758161+0i,35.1454122+0i,0.2+0i,6+0i,1+0i,5+0i,3.22393263+0i,40.1763555+0i,304.207542+0i,857.012426+0i,0.35+0i,1204.62026+0i,5+0i,,,27.5245345+0i,43.4603267+0i,0.633325531+0i,,-0.223143551+0i
u04_Joystick - WST,5+0i,10+0i,934.666667+0i,932+0i,884+0i,1969.06667+0i,0.413314731+0i,1.96247692+0i,56+0i,44.3741667+0i,41.1825206+0i,0.4+0i,6+0i,1+0i,5+0i,7.48036365+0i,92.9171479+0i,538.259872+0i,1076.15766+0i,0.5+0i,1714.81504+0i,5+0i,,,31.6607012+0i,54.182408+0i,0.58433544+0i,,-0.223143551+0i
u04_Joystick - WST,6+0i,11+0i,941.333333+0i,932+0i,884+0i,2577.06667+0i,0.211620156+0i,1.40323204+0i,96+0i,50.7648172+0i,32.8876877+0i,0.2+0i,6+0i,1+0i,5+0i,32.4303491+0i,401.83587+0i,1318.08243+0i,997.528344+0i,1.32+0i,2749.87699+0i,5+0i,,,21.1092397+0i,68.6187535+0i,0.307630766+0i,,-0.223143551+0i
u04_Joystick - WST,7+0i,12+0i,960+0i,952+0i,912+0i,1544+0i,0.0318440136+0i,1.45138125+0i,68+0i,39.2937654+0i,44.6318272+0i,0.5+0i,5+0i,1+0i,5+0i,2.2686487+0i,28.2776123+0i,206.340345+0i,1035.08065+0i,0.2+0i,1271.96725+0i,5+0i,,,36.1109402+0i,42.2374242+0i,0.854951288+0i,,-0.287682072+0i
u04_Joystick - WST,8+0i,13+0i,952.8+0i,952+0i,876+0i,2667.2+0i,-0.492852686+0i,1.98657467+0i,77+0i,51.6449417+0i,49.9199359+0i,0.75+0i,5+0i,1+0i,5+0i,14.1618842+0i,175.171203+0i,674.928528+0i,1433.35407+0i,0.47+0i,2297.61568+0i,5+0i,,,37.6917321+0i,62.559838+0i,0.602490883+0i,,-0.287682072+0i
u04_Joystick - WST,9+0i,14+0i,936.8+0i,936+0i,872+0i,3979.2+0i,0.0156841835+0i,1.26255734+0i,123+0i,63.0809004+0i,42.661458+0i,0.5+0i,5+0i,1+0i,5+0i,43.3396688+0i,535.718925+0i,1691.93498+0i,1736.88492+0i,0.97+0i,4007.8785+0i,5+0i,,,22.0756276+0i,86.4353323+0i,0.255400506+0i,,-0.287682072+0i
u04_Joystick - WST,10+0i,15+0i,916+0i,900+0i,872+0i,2648+0i,0.752233447+0i,2.11665191+0i,76+0i,51.4587213+0i,44.7213595+0i,0.5+0i,5+0i,1+0i,5+0i,20.0076604+0i,246.943824+0i,817.904019+0i,1406.93753+0i,0.58+0i,2491.79304+0i,5+0i,,,30.8112534+0i,65.929255+0i,0.467338109+0i,,-0.287682072+0i
u04_Joystick - WST,11+0i,16+0i,908.8+0i,900+0i,872+0i,1467.2+0i,0.340864536+0i,1.51217402+0i,67+0i,38.3040468+0i,44.7213595+0i,0.5+0i,5+0i,1+0i,5+0i,1.43938047+0i,17.8851999+0i,142.321478+0i,1023.19419+0i,0.14+0i,1184.84025+0i,5+0i,,,36.1847113+0i,40.3121156+0i,0.897613801+0i,,-0.287682072+0i
u04_Joystick - WST,12+0i,17+0i,920.8+0i,900+0i,872+0i,3003.2+0i,0.459168265+0i,1.53240216+0i,94+0i,54.8014598+0i,37.7359245+0i,0.25+0i,5+0i,1+0i,5+0i,31.7658224+0i,392.250436+0i,1228.45453+0i,1421.87096+0i,0.86+0i,3074.34175+0i,5+0i,,,18.690461+0i,75.213474+0i,0.24849884+0i,,-0.287682072+0i
u04_Joystick - WST,13+0i,18+0i,946.4+0i,960+0i,872+0i,3412.8+0i,-0.274900047+0i,1.40510055+0i,105+0i,58.4191749+0i,37.8945906+0i,0.25+0i,5+0i,1+0i,5+0i,37.6012491+0i,464.403493+0i,1452.5044+0i,1485.29513+0i,0.98+0i,3439.80427+0i,5+0i,,,15.2096461+0i,81.2050902+0i,0.187299171+0i,,-0.287682072+0i
u04_Joystick - WST,14+0i,19+0i,960+0i,960+0i,900+0i,1808+0i,-0.335073315+0i,1.77314198+0i,68+0i,42.5205833+0i,47.581509+0i,0.5+0i,5+0i,1+0i,5+0i,4.16703748+0i,51.7345993+0i,289.923132+0i,1041.10534+0i,0.28+0i,1386.93011+0i,5+0i,,,37.9824521+0i,46.6190233+0i,0.814741481+0i,,-0.287682072+0i
u04_Joystick - WST,15+0i,20+0i,956+0i,960+0i,880+0i,2488+0i,-0.604543911+0i,2.0847851+0i,73+0i,49.8798557+0i,47.581509+0i,0.5+0i,5+0i,1+0i,5+0i,13.6404745+0i,168.544416+0i,635.508546+0i,1364.79626+0i,0.47+0i,2182.48969+0i,5+0i,,,35.2514775+0i,61.1010093+0i,0.576937729+0i,,-0.287682072+0i
u04_Joystick - WST,16+0i,21+0i,954+0i,968+0i,996+0i,2763.2+0i,-0.350130277+0i,1.47659419+0i,88+0i,52.5661488+0i,57.0753887+0i,0.6+0i,6+0i,1+0i,5+0i,5.60893034+0i,70.7409459+0i,549.999425+0i,1820.54049+0i,0.3+0i,2446.88979+0i,5+0i,,,45.1220567+0i,59.0796073+0i,0.763750112+0i,,-0.223143551+0i
u04_Joystick - WST,17+0i,22+0i,969.333333+0i,968+0i,880+0i,5719.46667+0i,0.386355296+0i,2.04565441+0i,96+0i,75.6271556+0i,70.2680582+0i,0.8+0i,6+0i,1+0i,5+0i,15.4868315+0i,192.209176+0i,1421.69663+0i,3382.48796+0i,0.42+0i,5011.8806+0i,5+0i,,,53.9407082+0i,92.3543899+0i,0.584062201+0i,,-0.223143551+0i
u04_Joystick - WST,18+0i,23+0i,962.4+0i,940+0i,880+0i,6788.8+0i,0.643414723+0i,2.06973777+0i,118+0i,82.3941746+0i,71.7495645+0i,0.75+0i,5+0i,1+0i,5+0i,50.3404036+0i,621.927336+0i,2104.45869+0i,3575.43992+0i,0.59+0i,6352.16635+0i,5+0i,,,50.192961+0i,105.158293+0i,0.47730863+0i,,-0.287682072+0i
u04_Joystick - WST,19+0i,24+0i,985.6+0i,996+0i,880+0i,8180.8+0i,-0.0835168424+0i,1.37812221+0i,163+0i,90.447775+0i,67.1118469+0i,0.5+0i,5+0i,1+0i,5+0i,81.0550792+0i,1003.03283+0i,3269.2589+0i,3714.31234+0i,0.88+0i,8067.65915+0i,5+0i,,,41.3763217+0i,121.035532+0i,0.341852686+0i,,-0.287682072+0i
u04_Joystick - WST,20+0i,25+0i,1017.6+0i,1040+0i,908+0i,4852.8+0i,-0.752261269+0i,2.27576562+0i,90+0i,69.6620413+0i,66.121101+0i,0.5+0i,5+0i,1+0i,5+0i,28.9132588+0i,356.842154+0i,1297.85461+0i,2507.4075+0i,0.52+0i,4191.01752+0i,5+0i,,,46.7831879+0i,86.7002499+0i,0.539596921+0i,,-0.287682072+0i
u04_Joystick - WST,,,,,,,,,,,,,,,3+0i,,,,,,,3+0i,,,,,,,
u04_Joystick - WST,,,,,,,,,,,,,,,3+0i,,,,,,,3+0i,,,,,,,
