patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
u13_Joystick - Teleoperation,,,,,,,,,,,,,,,3+0i,,,,,,,3+0i,,,,,,,
u13_Joystick - Teleoperation,1+0i,6+0i,987.2+0i,1004+0i,932+0i,2067.2+0i,-0.182120453+0i,1.45347471+0i,75+0i,45.4664712+0i,77.588659+0i,1+0i,5+0i,1+0i,5+0i,0.582166661+0i,7.15310786+0i,86.7965795+0i,482.103698+0i,0.18+0i,576.635552+0i,5+0i,,,63.0925246+0i,12.3989247+0i,5.0885481+0i,,-0.287682072+0i
u13_Joystick - Teleoperation,2+0i,7+0i,976+0i,984+0i,932+0i,1216+0i,-0.250588463+0i,1.40776489+0i,62+0i,34.8711915+0i,57.4456265+0i,0.75+0i,5+0i,1+0i,5+0i,3.52415777+0i,43.3633496+0i,132.165249+0i,250.078644+0i,0.53+0i,429.131401+0i,5+0i,,,45.6873433+0i,18.5652004+0i,2.46091301+0i,,-0.287682072+0i
u13_Joystick - Teleoperation,3+0i,8+0i,968.8+0i,984+0i,896+0i,2267.2+0i,-0.691514217+0i,2.02733841+0i,71+0i,47.6151236+0i,62.7694193+0i,0.75+0i,5+0i,1+0i,5+0i,9.65310186+0i,118.068334+0i,340.330563+0i,1158.59895+0i,0.29+0i,1626.65095+0i,5+0i,,,46.2673391+0i,48.9257942+0i,0.945663528+0i,,-0.287682072+0i
u13_Joystick - Teleoperation,4+0i,9+0i,932.8+0i,948+0i,824+0i,5579.2+0i,-0.47166384+0i,1.88971224+0i,113+0i,74.6940426+0i,66.7233093+0i,0.75+0i,5+0i,1+0i,5+0i,38.4714255+0i,475.839186+0i,1684.66102+0i,2883.91369+0i,0.58+0i,5082.88533+0i,5+0i,,,48.2424433+0i,93.9737552+0i,0.513360812+0i,,-0.287682072+0i
u13_Joystick - Teleoperation,5+0i,10+0i,889.333333+0i,862+0i,792+0i,8311.46667+0i,0.365107673+0i,1.48992846+0i,160+0i,91.1672456+0i,56.6250828+0i,0.4+0i,6+0i,1+0i,5+0i,105.9602+0i,1310.58281+0i,4217.18067+0i,3365.64292+0i,1.25+0i,8999.3666+0i,5+0i,,,34.0235213+0i,124.359693+0i,0.27358962+0i,,-0.223143551+0i
u13_Joystick - Teleoperation,6+0i,11+0i,847.333333+0i,826+0i,760+0i,6530.66667+0i,0.752400449+0i,2.37724496+0i,104+0i,80.8125403+0i,63.0428426+0i,0.6+0i,6+0i,1+0i,5+0i,79.5195749+0i,978.189508+0i,2869.42895+0i,2496.79066+0i,1.15+0i,6423.92869+0i,5+0i,,,35.0656527+0i,108.773771+0i,0.322372317+0i,,-0.223143551+0i
u13_Joystick - Teleoperation,7+0i,12+0i,847.333333+0i,826+0i,760+0i,6530.66667+0i,0.752400449+0i,2.37724496+0i,104+0i,80.8125403+0i,111.627953+0i,0.6+0i,6+0i,1+0i,5+0i,2.70520632+0i,33.410664+0i,533.198602+0i,2440.24106+0i,0.22+0i,3009.55553+0i,5+0i,,,87.1458547+0i,73.9387134+0i,1.17862282+0i,,-0.223143551+0i
u13_Joystick - Teleoperation,8+0i,13+0i,842.666667+0i,826+0i,760+0i,6116.26667+0i,0.977775504+0i,2.9054738+0i,76+0i,78.2065641+0i,118.807407+0i,0.6+0i,6+0i,1+0i,5+0i,20.8215653+0i,258.954953+0i,936.026114+0i,2399.10104+0i,0.39+0i,3614.90368+0i,5+0i,,,93.667497+0i,58.812697+0i,1.59264073+0i,,-0.223143551+0i
u13_Joystick - Teleoperation,9+0i,14+0i,878.666667+0i,848+0i,760+0i,12279.4667+0i,0.469287727+0i,1.69018756+0i,192+0i,110.812755+0i,140.809091+0i,0.8+0i,6+0i,1+0i,5+0i,103.170883+0i,1271.32229+0i,3810.30046+0i,2729.96398+0i,1.4+0i,7914.75761+0i,5+0i,,,104.184452+0i,117.066363+0i,0.88996061+0i,,-0.223143551+0i
u13_Joystick - Teleoperation,10+0i,15+0i,940.8+0i,984+0i,760+0i,15515.2+0i,-0.558863261+0i,1.75236351+0i,202+0i,124.560026+0i,152.774343+0i,0.75+0i,5+0i,1+0i,5+0i,113.701516+0i,1399.95534+0i,4115.81358+0i,3651.41016+0i,1.13+0i,9280.8806+0i,5+0i,,,109.577978+0i,137.924134+0i,0.794480091+0i,,-0.287682072+0i
