patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
s01_Headarray - Low level autonomy,0,10,716.30769,708,636,1689.2308,-0.24349316,2.2103974,65,41.100253,24.027762,0,13,1,5,36.378068,460.1518,1668.5711,234.2335,7.12,2399.3344,5,,,17.537838,55.415573,0.31647851,,-0.087011377
s01_Headarray - Low level autonomy,1,11,719.71429,720,764,1721.7582,-0.35277808,2.1735734,68,41.494075,23.323808,0,14,1,5,42.25714,535.9506,1699.6534,171.60344,9.9,2449.4645,5,,,16.870548,56.204102,0.30016577,,-0.080042708
s01_Headarray - Low level autonomy,2,12,726,742,764,1791.3846,-0.73338874,2.3594425,68,42.324752,22.436234,0,14,1,5,48.058891,601.75024,1615.2206,338.40751,4.77,2603.4373,5,,,15.942203,57.694154,0.27632268,Inf,0.063058136
s01_Headarray - Low level autonomy,3,13,730.28571,742,764,1586.989,-1.0567646,3.1980793,64,39.837031,20,0,14,1,5,33.740965,420.6597,1300.1654,313.19235,4.15,2067.7584,5,,,13.587324,54.675064,0.24851044,Inf,0.063058136
s01_Headarray - Low level autonomy,4,14,743.69231,752,764,646.5641,-0.99574983,3.0061308,26,25.427625,17.549929,0,13,1,5,7.9925191,97.817032,414.19916,260.48605,1.59,780.49477,5,,,12.267227,33.803008,0.3629034,Inf,0.067139303
s01_Headarray - Low level autonomy,5,15,748,752,764,384,-1.2139468,4.6148915,24,19.595918,18.263035,0,14,1,5,1.8611676,22.157271,180.80283,155.21259,1.16,360.03386,5,,,13.00493,24.471857,0.53142391,Inf,0.063058136
s01_Headarray - Low level autonomy,6,16,752.92308,752,764,144.41026,0.15308659,2.2410132,18,12.017082,16.248077,0,13,1,5,0.46931177,6.2882138,45.232844,62.198805,0.73,114.18917,5,,,11.989895,12.044208,0.99549054,Inf,0.067139303
s01_Headarray - Low level autonomy,7,17,754.46154,756,764,118.76923,0.088006804,2.6070185,14,10.89813,15.099669,0,13,1,5,1.1902863,14.995541,53.277979,26.308386,2.03,95.772192,5,,,11.149127,10.641214,1.0477307,,-0.087011377
s01_Headarray - Low level autonomy,8,18,750.85714,752,764,173.36264,0.047138887,2.3546404,20,13.166725,16,0,14,1,5,3.1637089,37.976719,51.686313,68.021634,0.76,160.84838,5,,,11.555884,14.600918,0.79144915,,-0.080042708
s01_Headarray - Low level autonomy,9,19,745.84615,748,724,153.64103,-0.31139076,1.9966373,20,12.395202,16.289056,0,13,1,5,2.1161442,25.650291,43.156779,58.171983,0.74,129.0952,5,,,11.906199,12.865632,0.92542671,,-0.087011377
s01_Headarray - Low level autonomy,10,20,744.30769,744,724,163.89744,-0.024796479,1.7667508,21,12.802243,16.083117,0,13,1,5,2.6123248,31.832312,58.274383,52.123784,1.12,144.8428,5,,,11.713758,13.805171,0.84850507,,-0.087011377
s01_Headarray - Low level autonomy,11,21,741.14286,740,724,143.82418,0.069636594,1.8062362,20,11.992672,15.610647,0,14,1,5,2.0086929,25.456297,78.784201,18.979018,4.15,125.22821,5,,,11.480195,12.484129,0.91958315,,-0.080042708
s01_Headarray - Low level autonomy,12,22,739.38462,736,724,140.92308,0.45402824,2.1170617,16,11.871103,15.577762,0,13,1,5,1.4040719,18.079257,82.807061,18.244707,4.54,120.5351,5,,,11.50494,12.226304,0.94099896,,-0.087011377
s01_Headarray - Low level autonomy,13,23,739.38462,736,724,140.92308,0.45402824,2.1170617,16,11.871103,13.9523,0,13,1,5,1.8633924,23.375335,85.209646,17.83958,4.78,128.28795,5,,,10.198039,13.335897,0.76470588,,-0.087011377
s01_Headarray - Low level autonomy,14,24,739.42857,736,724,164.57143,0.85990383,2.9196252,12,12.82854,18.093773,0,14,1,5,0.072117059,1.1914357,68.355714,41.574357,1.64,111.19362,5,,,13.308952,12.329422,1.0794465,,-0.080042708
s01_Headarray - Low level autonomy,15,25,739.69231,736,724,190.5641,0.82716299,2.5625382,16,13.804496,19.663842,0,13,1,5,0.46642424,6.2015306,80.274637,23.010264,3.49,109.95286,5,,,14.489285,13.083914,1.1074121,,-0.087011377
s01_Headarray - Low level autonomy,16,26,738.76923,736,732,193.02564,1.0018743,2.7536621,13,13.893367,20.976177,0,13,1,5,0.38107427,5.2906593,67.475161,25.427171,2.65,98.574066,5,,,15.421355,12.175102,1.2666305,,-0.087011377
s01_Headarray - Low level autonomy,17,27,733.71429,732,732,299.6044,-0.24440006,4.5291774,8,17.309084,21.654632,0,14,1,5,0.041735627,0.98507689,118.25576,93.574644,1.26,212.85722,5,,,15.806523,18.691245,0.84566451,,-0.080042708
s01_Headarray - Low level autonomy,18,28,731.69231,732,732,390.5641,-0.15059502,3.2329081,13,19.762695,22.420229,0,13,1,5,1.1124451,14.207672,206.59524,151.34208,1.37,373.25744,5,,,16.512621,22.549092,0.73229652,,-0.087011377
s01_Headarray - Low level autonomy,19,29,732,732,732,460.30769,-0.20485747,2.5116246,16,21.454783,25.827832,0.076923077,14,1,5,1.2822229,17.497256,206.93761,211.18118,0.98,436.89827,5,,,18.960147,23.688145,0.80040659,,-0.080042708
s01_Headarray - Low level autonomy,20,30,733.71429,734,732,501.45055,-0.32072897,2.289701,32,22.393092,25.73235,0.076923077,14,1,5,0.32973044,5.3715165,213.40565,279.37131,0.76,498.47821,5,,,18.851648,25.446345,0.7408391,,-0.080042708
s01_Headarray - Low level autonomy,21,31,739.69231,736,732,953.23077,0.46437482,3.0953679,32,30.874436,30.331502,0.16666667,13,1,5,1.0718695,12.88749,446.68047,447.89454,1,908.53437,5,,,21.958639,37.739631,0.58184562,Inf,0.067139303
s01_Headarray - Low level autonomy,22,32,741.14286,734,732,948.74725,0.34142223,2.8469855,32,30.801741,33.096595,0.15384615,14,1,5,1.2394101,17.272014,473.79051,490.49174,0.97,982.79367,5,,,24.354224,36.116012,0.67433314,Inf,0.063058136
s01_Headarray - Low level autonomy,23,33,741.71429,738,732,946.98901,0.28499285,2.8333132,32,30.773187,32.191733,0.15384615,14,1,5,1.0825557,16.434437,510.00568,459.16334,1.11,986.68602,5,,,23.653481,36.530684,0.64749627,Inf,0.063058136
s01_Headarray - Low level autonomy,24,34,740,736,704,960,0.42550805,3.0351389,35,30.983867,30.897681,0.16666667,13,1,5,2.5173216,34.752494,500.77364,501.12677,1,1039.1702,5,,,22.771593,37.436006,0.60828052,,-0.087011377
s01_Headarray - Low level autonomy,25,35,739.14286,734,732,879.20879,0.5233135,3.3681638,28,29.651455,29.435719,0.15384615,14,1,5,4.6647117,59.938003,446.98784,442.72179,1.01,954.31234,5,,,21.621452,35.92952,0.60177403,Inf,0.063058136
s01_Headarray - Low level autonomy,26,36,741.71429,740,756,932.21978,0.28486899,2.9163667,28,30.532274,29.623276,0.15384615,14,1,5,6.9510524,84.751258,393.73214,566.84332,0.69,1052.2778,5,,,21.706669,37.326399,0.58153665,,-0.080042708
s01_Headarray - Low level autonomy,27,37,747.38462,756,756,778.25641,0.26780979,3.1573357,28,27.897247,28.589042,0.16666667,13,1,5,2.5179812,28.738098,185.87698,573.98876,0.32,791.12182,5,,,20.870452,33.480398,0.62336331,,-0.087011377
s01_Headarray - Low level autonomy,28,38,753.14286,756,756,621.36264,0.21273049,3.4756875,32,24.927147,28.565714,0.15384615,14,1,5,1.2295128,13.184605,118.21722,426.59903,0.28,559.23036,5,,,20.578804,28.622336,0.71897711,,-0.080042708
s01_Headarray - Low level autonomy,29,39,762.76923,756,756,889.02564,1.0818096,3.4566112,29,29.816533,29.732137,0.16666667,13,1,5,2.7747786,35.498737,406.36006,467.27018,0.87,911.90376,5,,,21.454674,36.300802,0.59102478,,-0.087011377
s01_Headarray - Low level autonomy,30,40,766.46154,756,756,1012.1026,0.71608968,2.4877685,44,31.813559,26.907248,0.083333333,13,1,5,6.1587017,80.819008,611.67965,479.8701,1.27,1178.5275,5,,,19.870795,40.36529,0.4922743,,-0.087011377
s01_Headarray - Low level autonomy,31,41,764.61538,756,756,890.25641,0.84507526,3.0798045,39,29.837165,24.979992,0.083333333,13,1,5,16.358103,206.36187,603.75239,300.65629,2.01,1127.1287,5,,,18.422647,37.962072,0.48529089,,-0.087011377
s01_Headarray - Low level autonomy,32,42,766.46154,756,756,844.10256,0.85023145,3.0004682,38,29.053443,24.576411,0.083333333,13,1,5,7.8886769,103.30907,572.58075,303.65491,1.89,987.4334,5,,,18.149213,36.862056,0.49235488,,-0.087011377
s01_Headarray - Low level autonomy,33,43,768.92308,768,756,803.07692,0.69074147,2.9814834,32,28.338612,26.583203,0.083333333,13,1,5,5.7943636,74.560103,484.49847,339.883,1.43,904.73593,5,,,19.478037,35.025133,0.55611602,,-0.087011377
s01_Headarray - Low level autonomy,34,44,769.84615,768,756,748.30769,0.77493618,3.1590963,30,27.355213,27.760884,0.083333333,13,1,5,0.9829372,14.457683,426.309,296.2594,1.44,738.00902,5,,,20.47911,32.821052,0.62396263,,-0.087011377
s01_Headarray - Low level autonomy,35,45,771.07692,768,752,664.41026,1.0074561,3.4065984,29,25.776157,26.683328,0.083333333,13,1,5,1.9137083,25.958666,370.88375,275.73954,1.35,674.49566,5,,,19.682326,30.682675,0.64148009,,-0.087011377
