patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
u09_Headarray - Trajectory,0,10,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Headarray - Trajectory,1,11,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Headarray - Trajectory,2,12,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Headarray - Trajectory,3,13,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Headarray - Trajectory,4,14,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Headarray - Trajectory,5,15,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Headarray - Trajectory,6,16,875.27273,892,920,2738.6182,-0.60803866,1.9180519,79,52.331809,35.349682,0.2,11,0.98888889,5,4.2856119,62.876658,1968.7303,897.60351,2.19,2933.4961,5,,,26.34641,69.159981,0.38094878,Inf,0.23111172
u09_Headarray - Trajectory,7,17,873.81818,892,920,2605.9636,-0.62895118,1.965021,78,51.04864,35.530269,0.2,11,1,5,0.10981315,8.4083651,1794.306,952.15622,1.88,2754.9804,5,,,26.46759,67.166911,0.39405698,Inf,0.076961041
u09_Headarray - Trajectory,8,18,871,880,788,2199.6364,-0.63103164,2.2135601,66,46.900281,34.954516,0.18181818,12,1,5,3.5337134,54.19376,1481.2753,812.16727,1.82,2351.1701,5,,,25.646549,61.168025,0.41928031,,-0.09531018
u09_Headarray - Trajectory,9,19,868,878,788,1960.7273,-0.69461241,2.3577825,54,44.2801,34.133428,0.18181818,12,1,5,14.678472,194.41189,1301.6969,685.00237,1.9,2195.7896,5,,,25.312591,57.277633,0.44192802,,-0.09531018
u09_Headarray - Trajectory,10,20,868.66667,878,788,2000.9697,-0.70036988,2.3238084,58,44.7322,32.563225,0.18181818,12,1,5,27.934752,352.47612,1289.3553,650.07716,1.98,2319.8434,5,,,23.966643,58.545191,0.40936998,,-0.09531018
u09_Headarray - Trajectory,11,21,880.72727,892,788,1625.0182,-1.1742903,3.4881747,49,40.311514,27.741665,0.1,11,1,5,18.490129,221.51697,648.85746,778.09279,0.83,1666.9573,5,,,18.496847,53.924976,0.34301075,,-0.10536052
u09_Headarray - Trajectory,12,22,893.09091,900,836,784.29091,-0.79649267,2.5235636,42,28.005194,23.528706,0.1,11,1,5,6.596066,76.674653,163.52794,553.69386,0.3,800.49252,5,,,16.264481,36.111611,0.45039476,Inf,0.076961041
u09_Headarray - Trajectory,13,23,902.18182,908,860,551.56364,-0.48910448,2.2651326,30,23.485392,22.592034,0.1,11,1,5,3.6738421,43.073531,155.45693,298.784,0.52,500.9883,5,,,15.857701,29.183225,0.54338411,,-0.10536052
u09_Headarray - Trajectory,14,24,906.4,910,868,395.37778,-0.46383425,2.5595272,28,19.884109,14.787382,0,10,1,5,0.6851889,9.2016343,242.81631,137.34577,1.77,390.04891,5,,,10.964589,25.894658,0.42343055,,-0.11778304
u09_Headarray - Trajectory,15,25,911.6,910,868,776.71111,0.49382244,2.9859983,32,27.869537,18.184242,0,10,1,5,8.9017916,110.40829,449.10272,164.6789,2.73,733.0917,5,,,13.038405,37.194384,0.35054767,,-0.11778304
u09_Headarray - Trajectory,16,26,917.2,910,868,1194.8444,0.4972495,2.2332979,44,34.566522,17.938165,0,10,1,5,24.684425,306.30299,710.40319,322.38882,2.2,1363.7794,5,,,12.202003,47.337089,0.25776835,,-0.11778304
u09_Headarray - Trajectory,17,27,924.8,918,868,1617.0667,0.24854516,1.7212901,76,40.212767,17.333333,0,10,1,5,40.492572,501.85983,955.18469,318.47021,3,1816.0073,5,,,10.498677,55.891959,0.18783878,,-0.11778304
u09_Headarray - Trajectory,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u09_Headarray - Trajectory,19,29,945.77778,940,900,924.44444,-0.15791321,1.5819557,52,30.404678,18.547237,0,9,1,5,13.21746,166.62023,595.75307,107.83756,5.52,883.42832,5,,,13.501323,40.824051,0.33071981,,-0.13353139
u09_Headarray - Trajectory,20,30,951.11111,948,912,631.11111,-0.16458726,1.6852177,40,25.121925,18.275667,0,9,0.99473684,5,4.7601441,60.021565,385.61404,114.48325,3.37,564.87899,5,,,13.389762,32.908001,0.40688469,,-0.13353139
u09_Headarray - Trajectory,21,31,955.11111,948,948,423.11111,-0.016441835,1.6679139,34,20.569665,17.776389,0,9,0.98045113,5,0.58483926,7.6153334,227.74143,132.75199,1.72,368.69359,5,,,13.244945,25.899684,0.51139407,,-0.13353139
u09_Headarray - Trajectory,22,32,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Headarray - Trajectory,23,33,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Headarray - Trajectory,24,34,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Headarray - Trajectory,25,35,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Headarray - Trajectory,26,36,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Headarray - Trajectory,27,37,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Headarray - Trajectory,28,38,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Headarray - Trajectory,29,39,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Headarray - Trajectory,30,40,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Headarray - Trajectory,31,41,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Headarray - Trajectory,32,42,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Headarray - Trajectory,33,43,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Headarray - Trajectory,34,44,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Headarray - Trajectory,35,45,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Headarray - Trajectory,36,46,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Headarray - Trajectory,37,47,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Headarray - Trajectory,38,48,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
