patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
u13_Headarray - Command,0,10,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u13_Headarray - Command,1,11,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u13_Headarray - Command,2,12,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u13_Headarray - Command,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u13_Headarray - Command,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u13_Headarray - Command,5,15,947.111111,948,832,10079.1111,0.350716674,1.97919524,155,100.394776,113.207774,0.625,9,0.988235294,5,36.3897059,466.948606,3793.61849,3873.22841,0.98,8170.18521,5,,,83.9455606,114.504869,0.733117824,,-0.133531393
u13_Headarray - Command,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u13_Headarray - Command,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u13_Headarray - Command,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u13_Headarray - Command,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u13_Headarray - Command,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u13_Headarray - Command,11,21,968.444444,976,876,6433.77778,0.186896527,1.81700443,139,80.2108333,93.6909814,0.875,9,1,5,35.8896551,471.944263,2943.66814,1554.38496,1.89,5005.88702,5,,,70.653076,88.7451318,0.796134667,,-0.133531393
u13_Headarray - Command,12,22,976.888889,976,876,7827.11111,0.118110868,1.52191231,184,88.470962,83.2346082,0.75,9,1,5,126.88375,1573.95338,4196.85032,954.176679,4.4,6851.86413,5,,,60.014284,109.783915,0.546658262,,-0.133531393
u13_Headarray - Command,13,23,987.2,984,876,8020.62222,-0.0865393619,1.44276786,196,89.5579266,78.4856675,0.666666667,10,1,5,152.25018,1899.70782,4542.1063,896.233409,5.07,7490.29771,5,,,56.5528268,113.327059,0.499023159,,-0.117783036
u13_Headarray - Command,14,24,995.2,984,876,6825.95556,-0.191823743,1.70790839,132,82.6193413,84.8528137,0.666666667,10,1,5,68.4568093,885.019672,3981.11651,1310.71439,3.04,6245.30739,5,,,63.6256412,97.9984127,0.649251753,,-0.117783036
u13_Headarray - Command,15,25,982.8,984,824,9664.17778,-0.318262734,1.70537183,204,98.30655,93.8177903,0.666666667,10,1,5,5.24986188,100.414005,4989.98751,2729.47288,1.83,7825.12425,5,,,70.2297816,119.983888,0.585326771,,-0.117783036
u13_Headarray - Command,16,26,980.8,984,824,10178.8444,-0.325316185,1.66047134,204,100.890259,88.3427668,0.555555556,10,1,5,19.2402103,260.588893,5638.90428,3833.49716,1.47,9752.23054,5,,,65.4980916,126.758388,0.516716035,,-0.117783036
u13_Headarray - Command,17,27,992.8,1026,1096,11490.8444,-0.48148955,1.61113753,208,107.195356,114.426104,0.555555556,10,1,5,2.34751559,49.3957457,4342.29097,6235.42392,0.7,10629.4582,5,,,83.838469,126.304394,0.663781094,,-0.117783036
u13_Headarray - Command,18,28,996.8,1026,1096,10612.6222,-0.543159122,1.80182074,168,103.017582,123.28107,0.555555556,10,0.988888889,5,56.5116747,733.15932,3980.21506,5119.92525,0.78,9889.8113,5,,,92.2436387,112.766819,0.818003374,,-0.117783036
u13_Headarray - Command,19,29,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u13_Headarray - Command,20,30,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u13_Headarray - Command,21,31,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u13_Headarray - Command,22,32,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u13_Headarray - Command,23,33,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u13_Headarray - Command,24,34,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
