patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
u14_Sip-n-puff - Trajectory,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u14_Sip-n-puff - Trajectory,1,11,936,926,844,3804.44444,0.50061489,2.64547995,72,61.6801787,73.744303,0.666666667,10,1,5,0.0609889831,7.26446782,1236.99392,2175.20323,0.57,3419.52261,5,,,55.2268051,67.5195445,0.817938058,,-0.117783036
u14_Sip-n-puff - Trajectory,2,12,934.909091,920,872,3145.89091,0.926390281,2.93904772,70,56.0882422,64.6838465,0.5,11,1,5,24.7349557,315.330294,1365.28266,1353.08574,1.01,3058.43365,5,,,48.1377653,63.0439321,0.763559056,,-0.105360516
u14_Sip-n-puff - Trajectory,3,13,932,904,900,3257.6,1.01568997,2.95635535,70,57.0753887,61.0180301,0.4,11,0.994117647,5,36.0859191,456.034465,1501.69662,1239.09749,1.21,3232.91449,5,,,44.8652303,67.0992631,0.668639687,,-0.105360516
u14_Sip-n-puff - Trajectory,4,14,921.454545,900,900,2903.27273,1.54668276,4.52759237,57,53.882026,53.1714209,0.3,11,0.988235294,5,26.3981083,342.052716,1525.18087,1020.86891,1.49,2914.5006,5,,,39.6035913,65.100699,0.608343565,,-0.105360516
u14_Sip-n-puff - Trajectory,5,15,915.636364,900,900,3499.05455,1.20839761,3.94637119,63,59.1528067,52.8242369,0.3,11,0.968235294,5,61.4610192,759.294314,1622.39865,1223.62591,1.33,3666.7799,5,,,38.4776992,74.2803861,0.518006182,,-0.105360516
u14_Sip-n-puff - Trajectory,6,16,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u14_Sip-n-puff - Trajectory,7,17,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u14_Sip-n-puff - Trajectory,8,18,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u14_Sip-n-puff - Trajectory,9,19,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u14_Sip-n-puff - Trajectory,10,20,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u14_Sip-n-puff - Trajectory,11,21,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u14_Sip-n-puff - Trajectory,12,22,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u14_Sip-n-puff - Trajectory,13,23,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u14_Sip-n-puff - Trajectory,14,24,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u14_Sip-n-puff - Trajectory,15,25,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u14_Sip-n-puff - Trajectory,16,26,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u14_Sip-n-puff - Trajectory,17,27,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u14_Sip-n-puff - Trajectory,18,28,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u14_Sip-n-puff - Trajectory,19,29,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u14_Sip-n-puff - Trajectory,20,30,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u14_Sip-n-puff - Trajectory,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u14_Sip-n-puff - Trajectory,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u14_Sip-n-puff - Trajectory,23,33,1060.44444,1036,1032,2577.77778,0.887526066,2.84683475,58,50.7718207,50.4975247,0.5,9,1,5,22.0075496,281.66395,1342.08405,634.080381,2.12,2279.83593,5,,,38.1706694,60.8157509,0.627644464,Inf,0.0896121587
u14_Sip-n-puff - Trajectory,24,34,1062.22222,1036,1032,2668.44444,0.759724013,2.55616656,67,51.6569883,46.021734,0.375,9,1,5,36.6065239,461.69759,1471.6736,464.846706,3.17,2434.82442,5,,,34.0398926,64.6388011,0.526617016,Inf,0.0896121587
u14_Sip-n-puff - Trajectory,25,35,1072.88889,1080,1032,2583.11111,0.343125688,2.15574053,74,50.8243161,46.3680925,0.375,9,1,5,33.7497789,420.730566,1222.56542,664.507945,1.84,2341.55371,5,,,33.5325002,63.5751024,0.52744705,Inf,0.0896121587
u14_Sip-n-puff - Trajectory,26,36,1081.33333,1080,1032,1916,0.432084479,2.44900214,71,43.7721373,46.6904701,0.375,9,1,5,13.0374863,163.915161,754.751233,716.588078,1.05,1648.29196,5,,,35.0020408,51.0573907,0.685543078,Inf,0.0896121587
u14_Sip-n-puff - Trajectory,27,37,1079.55556,1080,1016,2141.77778,0.275478268,2.37177696,71,46.279345,51.8652099,0.5,9,1,5,0.0120729498,4.80356502,727.130452,941.817189,0.77,1673.76328,5,,,39.1608405,52.4402911,0.746770083,,-0.133531393
u14_Sip-n-puff - Trajectory,28,38,1079.11111,1080,1016,2187.11111,0.2648972,2.3291004,74,46.7665598,52.1536192,0.5,9,1,5,7.37647765,98.1905982,781.21711,946.14206,0.83,1832.92625,5,,,39.4244304,53.1030744,0.742413333,,-0.133531393
u14_Sip-n-puff - Trajectory,29,39,1081.77778,1080,1016,1968.44444,0.258725108,2.61650373,56,44.367155,46.3033476,0.375,9,1,5,25.6354387,321.595214,826.38627,599.324082,1.38,1772.94101,5,,,34.7069363,52.2715741,0.663973429,,-0.133531393
u14_Sip-n-puff - Trajectory,30,40,1066.22222,1080,964,3368.44444,-0.124028245,2.64287691,69,58.0383015,52.4595082,0.375,9,1,5,57.3450952,700.419382,1208.63998,972.335179,1.24,2938.73964,5,,,34.8629972,74.3065294,0.469178112,,-0.133531393
u14_Sip-n-puff - Trajectory,31,41,1065.6,1070,964,2998.04444,-0.0947185115,2.92357174,60,54.7544011,58.9085921,0.444444444,10,1,5,44.2465199,549.872196,1107.16409,896.166345,1.24,2597.44915,5,,,43.3230757,64.1809941,0.675014096,,-0.117783036
u14_Sip-n-puff - Trajectory,32,42,1060.4,1070,1112,2131.37778,-0.815301235,2.890687,60,46.1668472,54.6504041,0.444444444,10,0.992307692,5,4.62884176,66.3075607,883.72687,880.512994,1,1835.17627,5,,,40.9009644,50.8907326,0.803701623,,-0.117783036
u14_Sip-n-puff - Trajectory,33,43,1060.8,1070,1112,2150.4,-0.825190519,2.87362935,60,46.3724056,55.2971769,0.444444444,10,0.992307692,5,0.74456139,15.1784019,912.598715,859.470454,1.06,1787.99213,5,,,41.4675241,50.8059489,0.816194265,Inf,0.0828876598
u14_Sip-n-puff - Trajectory,34,44,1057.33333,1060,1112,2284,-0.658993846,2.63761153,63,47.7912126,58.2237065,0.5,9,0.992307692,5,0.0080569683,3.78812223,804.507606,1055.55537,0.76,1863.85915,5,,,43.9333911,51.3600734,0.855399695,Inf,0.0896121587
u14_Sip-n-puff - Trajectory,35,45,1072.44444,1060,964,6197.77778,1.07243822,4.04001782,63,78.7259664,81.3879598,0.625,9,0.992307692,5,56.4022716,694.163395,2391.91973,2169.9489,1.1,5312.43429,5,,,59.4402461,94.1403882,0.631400053,,-0.133531393
u14_Sip-n-puff - Trajectory,36,46,1090.66667,1060,964,9496,0.686015921,2.28996539,117,97.4474217,78.1920712,0.5,9,0.992307692,5,158.020617,1949.20633,4512.40747,2075.4803,2.17,8695.11472,5,,,55.0415428,126.342505,0.435653407,,-0.133531393
u14_Sip-n-puff - Trajectory,37,47,1100.88889,1084,964,8719.11111,0.498445557,2.34631528,95,93.3761806,91.6187754,0.625,9,0.992307692,5,105.965881,1349.91201,4545.60814,1534.23255,2.96,7535.71858,5,,,68.8839604,112.664201,0.611409478,,-0.133531393
