patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
u09_Joystick - Teleoperation,0,30,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Joystick - Teleoperation,1,31,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Joystick - Teleoperation,2,32,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Joystick - Teleoperation,3,33,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Joystick - Teleoperation,4,34,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Joystick - Teleoperation,5,35,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Joystick - Teleoperation,6,36,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Joystick - Teleoperation,7,37,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Joystick - Teleoperation,8,38,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Joystick - Teleoperation,9,39,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Joystick - Teleoperation,10,40,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Joystick - Teleoperation,11,41,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Joystick - Teleoperation,12,42,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Joystick - Teleoperation,13,43,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Joystick - Teleoperation,14,44,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Joystick - Teleoperation,15,45,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Joystick - Teleoperation,16,46,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Joystick - Teleoperation,17,47,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Joystick - Teleoperation,18,48,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Joystick - Teleoperation,19,49,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Joystick - Teleoperation,20,50,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Joystick - Teleoperation,21,51,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Joystick - Teleoperation,22,52,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Joystick - Teleoperation,23,53,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Joystick - Teleoperation,24,54,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Joystick - Teleoperation,25,55,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Joystick - Teleoperation,26,56,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Joystick - Teleoperation,27,57,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Joystick - Teleoperation,28,58,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Joystick - Teleoperation,29,59,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Joystick - Teleoperation,30,60,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Joystick - Teleoperation,31,61,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
u09_Joystick - Teleoperation,32,62,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
