patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
s01_Headarray - Trajectory,0,5,626.8571,620,620,179.8095,0.4967592,1.78862,21,13.40931,10.83205,0,7,1,5,0.9654543,11.94276,48.17334,173.4972,0.28,234.5788,5,,,8.13224,17.13142,0.4746973,,-0.1823216
s01_Headarray - Trajectory,1,6,625,624,620,90.28571,0.1623545,1.84025,14,9.50188,9.797959,0,8,1,5,0.02959695,0.3921246,11.70721,85.39106,0.14,97.52,5,,,7.432234,11.19524,0.6638746,,-0.1541507
s01_Headarray - Trajectory,2,7,625,624,620,90.28571,0.1623545,1.84025,14,9.50188,6.928203,0,8,1,5,1.374314,16.99498,54.67228,51.12033,1.07,124.1619,5,,,4.820591,12.54326,0.3843173,,-0.1541507
s01_Headarray - Trajectory,3,8,633,632,612,190.8571,0.1306696,2.333142,18,13.81511,8.141604,0,8,1,5,3.631548,44.6794,127.5301,89.32647,1.43,265.1676,5,,,3.952094,19.13362,0.2065524,,-0.1541507
s01_Headarray - Trajectory,4,9,642.2857,640,628,180.5714,0.5726905,1.918843,21,13.43769,7.302967,0,7,1,5,2.831584,34.95177,108.8289,111.2694,0.98,257.8817,5,,,3.864367,18.60671,0.2076868,,-0.1823216
s01_Headarray - Trajectory,5,10,644.5,642,628,166.5714,0.2348551,1.669572,22,12.90626,10.47446,0,8,1,5,1.177616,14.67974,65.83384,128.5139,0.51,210.2051,5,,,7.952238,16.42878,0.4840432,,-0.1541507
s01_Headarray - Trajectory,6,11,644.5,642,628,166.5714,0.2348551,1.669572,22,12.90626,10.47446,0,8,1,5,0.7077075,8.822052,48.79776,178.8465,0.27,237.174,5,,,7.952238,16.42878,0.4840432,,-0.1541507
s01_Headarray - Trajectory,7,12,644,640,628,173.7143,0.3073669,1.601108,22,13.18007,10.47446,0,8,1,5,1.595389,19.90996,76.21242,160.743,0.47,258.4607,5,,,7.952238,16.85795,0.4717204,,-0.1541507
s01_Headarray - Trajectory,8,13,642.5,638,628,155.1429,0.6159716,2.087675,18,12.45564,9.561829,0,8,1,5,0.6156989,7.59905,44.02659,141.9601,0.31,194.2014,5,,,7.091242,16.12452,0.4397802,,-0.1541507
s01_Headarray - Trajectory,9,14,640.5,638,648,88.85714,0.3314769,1.954126,14,9.426407,9.071147,0,8,1,5,0.03560322,0.469609,14.29497,75.12986,0.19,89.93004,5,,,6.872998,11.42262,0.6017008,,-0.1541507
