patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
s03_Joystick - Low level autonomy,,,,,,,,,,,,,,,3+0i,,,,,,,3+0i,,,,,,,
s03_Joystick - Low level autonomy,1+0i,6+0i,958+0i,958+0i,912+0i,843.2+0i,-0.386552484+0i,2.13059853+0i,40+0i,29.0379063+0i,28.6775173+0i,0+0i,6+0i,1+0i,5+0i,7.23880482+0i,89.6857223+0i,321.789703+0i,277.9196+0i,1.16+0i,696.63383+0i,5+0i,,,21.1281802+0i,35.2136337+0i,0.6+0i,,-0.223143551+0i
s03_Joystick - Low level autonomy,2+0i,7+0i,954+0i,948+0i,912+0i,881.6+0i,0.0337468911+0i,1.86982586+0i,44+0i,29.6917497+0i,28.6775173+0i,0+0i,6+0i,1+0i,5+0i,9.17942176+0i,113.623745+0i,374.083535+0i,315.391704+0i,1.19+0i,812.278406+0i,5+0i,,,21.1281802+0i,36.287739+0i,0.582240195+0i,,-0.223143551+0i
s03_Joystick - Low level autonomy,3+0i,8+0i,948+0i,948+0i,912+0i,550.4+0i,0+0i,2.66819903+0i,16+0i,23.4606053+0i,29.3393933+0i,0+0i,6+0i,1+0i,5+0i,1.52730347+0i,18.9349453+0i,114.05581+0i,212.584586+0i,0.54+0i,347.102645+0i,5+0i,,,22.7683992+0i,24.132965+0i,0.943456353+0i,,-0.223143551+0i
s03_Joystick - Low level autonomy,4+0i,9+0i,945.333333+0i,948+0i,912+0i,362.666667+0i,-0.76245343+0i,2.76311419+0i,16+0i,19.0438091+0i,23.8662942+0i,0+0i,6+0i,1+0i,5+0i,1.10269405+0i,13.639524+0i,69.9755109+0i,190.543482+0i,0.37+0i,275.261211+0i,5+0i,,,18.4824241+0i,19.5891126+0i,0.943504917+0i,,-0.223143551+0i
s03_Joystick - Low level autonomy,5+0i,10+0i,960+0i,954+0i,912+0i,1606.4+0i,0.866332941+0i,3.00876177+0i,28+0i,40.0799202+0i,37.094474+0i,0.2+0i,6+0i,1+0i,5+0i,14.6907368+0i,181.258674+0i,621.10062+0i,581.805556+0i,1.07+0i,1398.85559+0i,5+0i,,,26.4575131+0i,50.1278366+0i,0.527800817+0i,,-0.223143551+0i
s03_Joystick - Low level autonomy,6+0i,11+0i,988.8+0i,968+0i,940+0i,2315.2+0i,0.320145698+0i,1.32815863+0i,84+0i,48.1165252+0i,34.4673759+0i,0.25+0i,5+0i,1+0i,5+0i,25.1614946+0i,310.743647+0i,966.180884+0i,859.286305+0i,1.12+0i,2161.37233+0i,5+0i,,,17.4928557+0i,65.7601703+0i,0.26600989+0i,,-0.287682072+0i
s03_Joystick - Low level autonomy,7+0i,12+0i,1012.8+0i,1032+0i,956+0i,2267.2+0i,-0.303760386+0i,1.28103222+0i,86+0i,47.6151236+0i,34.0587727+0i,0.25+0i,5+0i,1+0i,5+0i,24.2433313+0i,299.546703+0i,941.275606+0i,851.891176+0i,1.1+0i,2116.95682+0i,5+0i,,,17.9629248+0i,64.8978685+0i,0.276787593+0i,,-0.287682072+0i
s03_Joystick - Low level autonomy,,,,,,,,,,,,,,,3+0i,,,,,,,3+0i,,,,,,,
s03_Joystick - Low level autonomy,,,,,,,,,,,,,,,3+0i,,,,,,,3+0i,,,,,,,
s03_Joystick - Low level autonomy,,,,,,,,,,,,,,,3+0i,,,,,,,3+0i,,,,,,,
s03_Joystick - Low level autonomy,,,,,,,,,,,,,,,3+0i,,,,,,,3+0i,,,,,,,
s03_Joystick - Low level autonomy,,,,,,,,,,,,,,,3+0i,,,,,,,3+0i,,,,,,,
s03_Joystick - Low level autonomy,13+0i,18+0i,994.666667+0i,998+0i,928+0i,3370.66667+0i,-0.0239635342+0i,1.4844472+0i,112+0i,58.0574428+0i,31.5467906+0i,0+0i,6+0i,0.942857143+0i,5+0i,48.0654803+0i,593.838936+0i,1815.85886+0i,1025.7131+0i,1.77+0i,3483.47638+0i,5+0i,,,11.4891253+0i,81.2978064+0i,0.141321467+0i,,-0.223143551+0i
s03_Joystick - Low level autonomy,14+0i,19+0i,976.666667+0i,970+0i,928+0i,2146.66667+0i,0.346181167+0i,1.69868317+0i,84+0i,46.3321343+0i,32.9363022+0i,0+0i,6+0i,0.971428571+0i,5+0i,22.6056873+0i,280.06681+0i,984.523499+0i,805.255095+0i,1.22+0i,2092.45109+0i,5+0i,,,22.3964283+0i,61.577052+0i,0.363713876+0i,,-0.223143551+0i
s03_Joystick - Low level autonomy,15+0i,20+0i,962+0i,958+0i,928+0i,1067.2+0i,0.60811212+0i,2.26650917+0i,48+0i,32.6680272+0i,30.5155698+0i,0+0i,6+0i,0.971428571+0i,5+0i,5.54117003+0i,68.2234582+0i,298.44067+0i,608.86518+0i,0.49+0i,981.070478+0i,5+0i,,,22.181073+0i,40.5265345+0i,0.547322224+0i,,-0.223143551+0i
s03_Joystick - Low level autonomy,16+0i,21+0i,960.666667+0i,958+0i,928+0i,905.066667+0i,0.44058322+0i,2.04324697+0i,48+0i,30.0843259+0i,34.8252782+0i,0.2+0i,6+0i,0.971428571+0i,5+0i,2.62129088+0i,32.5725328+0i,210.042941+0i,394.853977+0i,0.53+0i,640.090742+0i,5+0i,,,27.1735165+0i,32.7373385+0i,0.8300466+0i,,-0.223143551+0i
s03_Joystick - Low level autonomy,17+0i,22+0i,981.333333+0i,958+0i,928+0i,4426.66667+0i,1.16566999+0i,2.95850637+0i,76+0i,66.5331997+0i,50.9431055+0i,0.4+0i,6+0i,1+0i,5+0i,51.8282677+0i,637.31556+0i,1912.23348+0i,1538.51718+0i,1.24+0i,4139.89449+0i,5+0i,,,29.7052184+0i,89.2800836+0i,0.332719428+0i,,-0.223143551+0i
s03_Joystick - Low level autonomy,,,,,,,,,,,,,,,3+0i,,,,,,,3+0i,,,,,,,
s03_Joystick - Low level autonomy,,,,,,,,,,,,,,,3+0i,,,,,,,3+0i,,,,,,,
s03_Joystick - Low level autonomy,20+0i,25+0i,1072+0i,1088+0i,1008+0i,1973.33333+0i,-0.910484213+0i,2.10471877+0i,60+0i,44.4222167+0i,57.1780844+0i,0.333333333+0i,4+0i,1+0i,5+0i,5.94074816+0i,73.1417106+0i,260.391668+0i,981.50267+0i,0.27+0i,1320.9768+0i,5+0i,,,45.4606057+0i,43.3589668+0i,1.04847069+0i,,-0.405465108+0i
s03_Joystick - Low level autonomy,21+0i,26+0i,1085+0i,1088+0i,1060+0i,430.666667+0i,-0.263564945+0i,1.38535786+0i,34+0i,20.7525099+0i,16.8126936+0i,0+0i,4+0i,1+0i,5+0i,3.55351219+0i,43.8690601+0i,136.457676+0i,175.690628+0i,0.78+0i,359.570877+0i,5+0i,,,7.11805217+0i,28.4722087+0i,0.25+0i,,-0.405465108+0i
s03_Joystick - Low level autonomy,22+0i,27+0i,1070+0i,1068+0i,1044+0i,570.666667+0i,0.243942852+0i,1.74451917+0i,36+0i,23.8886305+0i,19.0438091+0i,0+0i,4+0i,1+0i,5+0i,4.96565144+0i,61.2284808+0i,185.637841+0i,199.334786+0i,0.93+0i,451.166759+0i,5+0i,,,3.26598632+0i,33.6253872+0i,0.0971285862+0i,,-0.405465108+0i
