patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
u13_Headarray - Teleoperation,,,,,,,,,,,,,,,3+0i,,,,,,,3+0i,,,,,,,
u13_Headarray - Teleoperation,1+0i,6+0i,896.8+0i,880+0i,856+0i,2947.2+0i,1.350029939+0i,3.072279281+0i,43+0i,54.28812025+0i,55.92852582+0i,0.25+0i,5+0i,0.9714285714+0i,5+0i,21.97108711+0i,270.4263692+0i,842.9347348+0i,1169.497875+0i,0.72+0i,2304.830066+0i,5+0i,,,38.54002249+0i,66.40080321+0i,0.5804150044+0i,,-0.2876820725+0i
u13_Headarray - Teleoperation,2+0i,7+0i,920.8+0i,884+0i,992+0i,4339.2+0i,0.324688683+0i,1.22212936+0i,118+0i,65.87260432+0i,55.35341001+0i,0.25+0i,5+0i,1+0i,5+0i,43.7317162+0i,540.3816159+0i,1698.686735+0i,1892.547766+0i,0.9+0i,4175.347833+0i,5+0i,,,35.665109+0i,86.06044388+0i,0.4144193011+0i,,-0.2876820725+0i
u13_Headarray - Teleoperation,3+0i,8+0i,906+0i,882+0i,992+0i,4888+0i,0.3964749713+0i,1.591292105+0i,128+0i,69.91423317+0i,77.02467137+0i,0.4+0i,6+0i,1+0i,5+0i,3.94411267+0i,49.09235762+0i,761.2050194+0i,3703.850629+0i,0.21+0i,4518.092118+0i,5+0i,,,60.2461617+0i,78.39897959+0i,0.7684559419+0i,,-0.2231435513+0i
u13_Headarray - Teleoperation,4+0i,9+0i,897.3333333+0i,874+0i,992+0i,5879.466667+0i,0.4518070688+0i,1.485219476+0i,164+0i,76.67768037+0i,77.02467137+0i,0.4+0i,6+0i,1+0i,5+0i,32.2986307+0i,403.7763875+0i,1782.596788+0i,3624.262739+0i,0.49+0i,5842.934545+0i,5+0i,,,60.2461617+0i,90.16281569+0i,0.6681929933+0i,,-0.2231435513+0i
u13_Headarray - Teleoperation,5+0i,10+0i,902+0i,888+0i,992+0i,5860.8+0i,0.2560402223+0i,1.399634837+0i,164+0i,76.55586196+0i,70.78982978+0i,0.4+0i,6+0i,1+0i,5+0i,36.3189635+0i,451.3118999+0i,1851.160962+0i,3569.394413+0i,0.52+0i,5908.186239+0i,5+0i,,,54.51605268+0i,93.53929655+0i,0.5828144394+0i,,-0.2231435513+0i
u13_Headarray - Teleoperation,6+0i,11+0i,870.6666667+0i,846+0i,804+0i,4983.466667+0i,0.8600139574+0i,2.391417758+0i,88+0i,70.59367299+0i,85.69714114+0i,0.6+0i,6+0i,1+0i,5+0i,25.70380466+0i,313.7175788+0i,890.129683+0i,2767.432908+0i,0.32+0i,3996.983974+0i,5+0i,,,60.88021025+0i,79.12353211+0i,0.7694324132+0i,,-0.2231435513+0i
u13_Headarray - Teleoperation,7+0i,12+0i,870+0i,846+0i,804+0i,4792+0i,0.8308459784+0i,2.336476097+0i,88+0i,69.2242732+0i,104.1076366+0i,0.6+0i,6+0i,1+0i,5+0i,19.01497699+0i,233.3033167+0i,770.2624952+0i,1285.204812+0i,0.6+0i,2307.785601+0i,5+0i,,,79.93497357+0i,56.51902335+0i,1.414302103+0i,,-0.2231435513+0i
u13_Headarray - Teleoperation,8+0i,13+0i,928.8+0i,912+0i,804+0i,15771.2+0i,0.477472559+0i,1.865228005+0i,197+0i,125.5834384+0i,130.3380221+0i,1+0i,5+0i,1+0i,5+0i,130.3348372+0i,1605.1691+0i,4875.157903+0i,6413.583024+0i,0.76+0i,13024.24486+0i,5+0i,,,89.24498118+0i,153.550426+0i,0.5812095967+0i,,-0.2876820725+0i
u13_Headarray - Teleoperation,9+0i,14+0i,985.6+0i,988+0i,804+0i,17588.8+0i,-0.2814172804+0i,1.643942786+0i,227+0i,132.6227733+0i,123.3855745+0i,0.75+0i,5+0i,1+0i,5+0i,152.6993496+0i,1892.095573+0i,6250.360025+0i,7993.384384+0i,0.78+0i,16288.53933+0i,5+0i,,,92.1013934+0i,163.3858419+0i,0.5637048616+0i,,-0.2876820725+0i
u13_Headarray - Teleoperation,10+0i,15+0i,1001.6+0i,992+0i,804+0i,15924.8+0i,-0.6992832095+0i,2.24482689+0i,170+0i,126.1935022+0i,126.1269202+0i,0.75+0i,5+0i,1+0i,5+0i,73.4935245+0i,908.2989787+0i,3900.209723+0i,7329.239644+0i,0.53+0i,12211.24187+0i,5+0i,,,95.56498661+0i,150.7213765+0i,0.6340506492+0i,,-0.2876820725+0i
u13_Headarray - Teleoperation,11+0i,16+0i,1047.2+0i,1032+0i,988+0i,3795.2+0i,0.1972694372+0i,1.234162652+0i,121+0i,61.60519459+0i,88.5663593+0i,0.5+0i,5+0i,1+0i,5+0i,0.1752371101+0i,2.618628697+0i,236.8332522+0i,2530.461537+0i,0.09+0i,2770.088655+0i,5+0i,,,71.7542101+0i,49.41389818+0i,1.452105839+0i,,-0.2876820725+0i
u13_Headarray - Teleoperation,12+0i,17+0i,1048+0i,1032+0i,992+0i,3680+0i,0.2115471545+0i,1.229678639+0i,120+0i,60.66300355+0i,66.33249581+0i,0.25+0i,5+0i,1+0i,5+0i,29.81326362+0i,368.1552427+0i,1149.318641+0i,1328.376835+0i,0.87+0i,2875.663982+0i,5+0i,,,48.30458915+0i,70.89898918+0i,0.6813156254+0i,,-0.2876820725+0i
u13_Headarray - Teleoperation,13+0i,18+0i,1001.6+0i,992+0i,880+0i,7020.8+0i,-0.2024768633+0i,2.333463104+0i,88+0i,83.79021423+0i,86.81013766+0i,0.5+0i,5+0i,1+0i,5+0i,61.7142442+0i,757.7534521+0i,2101.647885+0i,2565.010159+0i,0.82+0i,5486.125741+0i,5+0i,,,52.73834784+0i,106.1144037+0i,0.4969951865+0i,,-0.2876820725+0i
u13_Headarray - Teleoperation,14+0i,19+0i,937.6+0i,992+0i,792+0i,9836.8+0i,-0.605795235+0i,1.799985735+0i,144+0i,99.18064327+0i,76.62897624+0i,0.5+0i,5+0i,1+0i,5+0i,84.37239646+0i,1042.973578+0i,3468.806908+0i,5091.350982+0i,0.68+0i,9687.503865+0i,5+0i,,,47.41307836+0i,132.0060605+0i,0.359173497+0i,,-0.2876820725+0i
u13_Headarray - Teleoperation,15+0i,20+0i,896.8+0i,880+0i,788+0i,12611.2+0i,0.1757397056+0i,1.330411649+0i,211+0i,112.2995993+0i,74+0i,0.5+0i,5+0i,0.9714285714+0i,5+0i,139.1437047+0i,1718.738479+0i,5369.776948+0i,6513.591375+0i,0.82+0i,13741.25051+0i,5+0i,,,34.20526275+0i,155.0883619+0i,0.2205533822+0i,,-0.2876820725+0i
u13_Headarray - Teleoperation,16+0i,21+0i,868.8+0i,880+0i,788+0i,7067.2+0i,0.424992344+0i,1.927713197+0i,126+0i,84.06664023+0i,88.20430828+0i,0.75+0i,5+0i,0.9714285714+0i,5+0i,24.48633453+0i,302.8310178+0i,1187.787339+0i,5201.106698+0i,0.23+0i,6716.21139+0i,5+0i,,,69.0651866+0i,96.76983001+0i,0.7137057758+0i,,-0.2876820725+0i
