patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
u13_Joystick - Mid level autonomy,,,,,,,,,,,,,,,3+0i,,,,,,,3+0i,,,,,,,
u13_Joystick - Mid level autonomy,1+0i,6+0i,1008+0i,1036+0i,932+0i,3584+0i,-0.3866818+0i,1.33492606+0i,105+0i,59.8665182+0i,98.1835017+0i,0.75+0i,5+0i,1+0i,5+0i,11.7449046+0i,144.034996+0i,398.232592+0i,1129.03119+0i,0.35+0i,1683.04368+0i,5+0i,,,77.3045924+0i,34.525353+0i,2.2390674+0i,,-0.287682072+0i
u13_Joystick - Mid level autonomy,2+0i,7+0i,1035.2+0i,1052+0i,956+0i,2115.2+0i,-1.24374367+0i,2.8826567+0i,49+0i,45.9913035+0i,74.4311763+0i,0.5+0i,5+0i,1+0i,5+0i,2.50304116+0i,31.3666254+0i,166.242498+0i,789.505453+0i,0.21+0i,989.617618+0i,5+0i,,,60.7673158+0i,23.1890779+0i,2.62051454+0i,,-0.287682072+0i
u13_Joystick - Mid level autonomy,3+0i,8+0i,1048.8+0i,1052+0i,956+0i,4019.2+0i,-0.239392066+0i,2.3648221+0i,68+0i,63.3971608+0i,60.3986755+0i,0.5+0i,5+0i,1+0i,5+0i,39.8589872+0i,489.653693+0i,1353.26243+0i,1389.97817+0i,0.97+0i,3272.75328+0i,5+0i,,,33.7836252+0i,83.0485802+0i,0.406793532+0i,,-0.287682072+0i
u13_Joystick - Mid level autonomy,4+0i,9+0i,1061.6+0i,1052+0i,1020+0i,1868.8+0i,0.897895704+0i,2.50525427+0i,52+0i,43.2296195+0i,66.9328021+0i,0.5+0i,5+0i,1+0i,5+0i,0.363145016+0i,4.82689285+0i,91.9043218+0i,1047.51494+0i,0.09+0i,1144.6093+0i,5+0i,,,54.2586399+0i,28.170907+0i,1.92605229+0i,,-0.287682072+0i
u13_Joystick - Mid level autonomy,5+0i,10+0i,1064+0i,1052+0i,1020+0i,2453.33333+0i,0.656807734+0i,1.90102079+0i,72+0i,49.531135+0i,76.7333044+0i,0.666666667+0i,4+0i,1+0i,5+0i,0.0747823496+0i,1.01781418+0i,67.8570353+0i,1403.51227+0i,0.05+0i,1472.46191+0i,5+0i,,,66.2922821+0i,22.627417+0i,2.92973264+0i,,-0.405465108+0i
u13_Joystick - Mid level autonomy,6+0i,11+0i,1077+0i,1078+0i,1020+0i,2158.66667+0i,-0.0699073361+0i,1.88159255+0i,66+0i,46.4614536+0i,84.1902607+0i,1+0i,4+0i,1+0i,5+0i,0.311500775+0i,3.995541+0i,23.7366614+0i,935.255756+0i,0.03+0i,963.299459+0i,5+0i,,,72.6819556+0i,0+31.0698139i,0-2.33931094i,,-0.405465108+0i
u13_Joystick - Mid level autonomy,7+0i,12+0i,1019.2+0i,1020+0i,864+0i,10571.2+0i,-0.513688845+0i,2.13935283+0i,139+0i,102.816341+0i,103.402128+0i,1+0i,5+0i,1+0i,5+0i,89.5262296+0i,1100.36132+0i,3173.51933+0i,4311.06116+0i,0.74+0i,8674.46804+0i,5+0i,,,64.3065575+0i,130.411145+0i,0.493106303+0i,,-0.287682072+0i
u13_Joystick - Mid level autonomy,8+0i,13+0i,965.6+0i,992+0i,864+0i,9820.8+0i,-0.0242356452+0i,1.44769288+0i,173+0i,99.0999495+0i,86.9252552+0i,0.75+0i,5+0i,1+0i,5+0i,80.7358313+0i,1000.82629+0i,3409.10989+0i,5354.88572+0i,0.64+0i,9845.55774+0i,5+0i,,,63.4297512+0i,124.973064+0i,0.507547381+0i,,-0.287682072+0i
u13_Joystick - Mid level autonomy,9+0i,14+0i,932.8+0i,864+0i,856+0i,10739.2+0i,0.713643448+0i,1.82103993+0i,154+0i,103.630111+0i,80.0999376+0i,0.5+0i,5+0i,1+0i,5+0i,104.561916+0i,1289.86028+0i,4014.13708+0i,5108.51193+0i,0.79+0i,10517.0712+0i,5+0i,,,45.1072795+0i,139.440788+0i,0.323486981+0i,Inf+0i,0.117783036+0i
