patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
s05_Joystick - Mid level autonomy,0,60,1232.3404,1264,1244,14731.7077,-0.43038,1.877,215,121.3742,168.8004,0.91304,47,0.98205,5,0.6504636,335.5349,855.02792,10292.398,0.08,11483.6113,5,,,120.6268,122.1171,0.9878,2.2581,0.29555
s05_Joystick - Mid level autonomy,1,61,1231.75,1260,1204,14435,-0.41956,1.904,210,120.1457,168.9567,0.91489,48,0.98333,5,0.2033396,350.28294,881.46879,10004.6189,0.09,11236.5739,5,,,120.7595,119.5289,1.0103,2.2591,0.29048
s05_Joystick - Mid level autonomy,2,62,1235.0204,1264,1204,14658.3537,-0.43446,1.9154,206,121.0717,169.3753,0.91667,49,0.98333,5,5.920547,266.09724,899.77441,10215.5782,0.09,11387.3704,5,,,121.0169,121.1264,0.9991,2.26,0.28558
s05_Joystick - Mid level autonomy,3,63,1233.7959,1264,1204,14679.3741,-0.40371,1.893,206,121.1585,168.1914,0.91667,49,0.98333,5,4.851513,295.45562,862.55641,10232.3743,0.08,11395.2379,5,,,120.1579,122.1508,0.98368,2.1547,0.25573
s05_Joystick - Mid level autonomy,4,64,1233.7143,1264,1204,14716,-0.407,1.8992,206,121.3095,168.5398,0.91667,49,0.98462,5,13.04748,288.14276,636.65907,10708.0345,0.06,11645.8839,5,,,120.4096,122.2028,0.98533,2.1547,0.25573
s05_Joystick - Mid level autonomy,5,65,1232.5714,1264,1204,14896,-0.38351,1.8499,212,122.0492,167.866,0.91667,49,0.9859,5,31.93678,383.57793,849.5552,10531.7961,0.08,11796.866,5,,,119.9138,124.1478,0.9659,2.1547,0.25573
s05_Joystick - Mid level autonomy,6,66,1230.3333,1260,1204,14962.2695,-0.34825,1.8327,214,122.3204,169.4728,0.91489,48,0.9859,5,19.10887,423.96487,782.38862,10517.6142,0.07,11743.0766,5,,,121.1065,123.5223,0.98044,2.1537,0.26017
s05_Joystick - Mid level autonomy,7,67,1231.5102,1264,1204,14718.4218,-0.37657,1.8689,211,121.3195,169.2808,0.91667,49,0.9859,5,12.31914,357.63219,700.53788,10497.1966,0.07,11567.6858,5,,,120.9663,121.6717,0.9942,2.1547,0.25573
s05_Joystick - Mid level autonomy,8,68,1232.4898,1264,1336,14878.4218,-0.38371,1.8514,211,121.9771,166.3089,0.89583,49,0.9859,5,2.022209,330.96365,861.99846,10544.2853,0.08,11739.2696,5,,,118.7736,125.0986,0.94944,2.0369,0.22496
s05_Joystick - Mid level autonomy,9,69,1233.551,1264,1336,14568.5442,-0.38434,1.8819,211,120.7002,168.9191,0.89583,49,0.9859,5,27.03808,328.47786,519.09514,10641.0758,0.05,11515.6869,5,,,120.7071,120.6933,1.0001,2.1547,0.25573
s05_Joystick - Mid level autonomy,10,70,1233.7143,1264,1336,14540,-0.38746,1.8894,211,120.5819,165.6482,0.875,49,0.9859,5,55.8763,394.00286,501.68399,10566.8718,0.05,11518.4349,5,,,118.3235,122.7988,0.96356,1.5669,0.24558
s05_Joystick - Mid level autonomy,11,71,1230.75,1260,1336,14409.6383,-0.3621,1.8828,214,120.0402,166.8624,0.87234,48,0.9859,5,33.22126,392.00137,520.36778,10278.8283,0.05,11224.4188,5,,,119.2482,120.8269,0.98693,1.3428,0.1881
s05_Joystick - Mid level autonomy,12,72,1233.6327,1264,1336,14516.6122,-0.38919,1.89,211,120.4849,168.1408,0.875,49,0.98718,5,14.25476,323.79509,522.63374,10509.5371,0.05,11370.2207,5,,,120.1445,120.8243,0.99437,1.3437,0.18495
s05_Joystick - Mid level autonomy,13,73,1234.6122,1264,1336,14664.3673,-0.39807,1.8733,211,121.0965,164.261,0.85417,49,0.98846,5,3.338758,344.50691,636.78874,10548.5685,0.06,11533.2029,5,,,117.2942,124.783,0.93998,1.5669,0.24558
s05_Joystick - Mid level autonomy,14,74,1235.8367,1264,1336,14231.3061,-0.38033,1.8707,211,119.295,164.5003,0.85417,49,0.98846,5,41.3189,346.12027,634.03717,10243.227,0.06,11264.7034,5,,,117.5223,121.0418,0.97092,1.5669,0.24558
s05_Joystick - Mid level autonomy,15,75,1235.102,1256,1336,14215.5102,-0.36257,1.8655,211,119.2288,164.8767,0.85417,49,0.98974,5,37.82907,334.64595,613.22378,10273.5828,0.06,11259.2816,5,,,117.7986,120.6421,0.97643,1.3437,0.18495
s05_Joystick - Mid level autonomy,16,76,1232.1667,1250,1336,14086.7801,-0.33643,1.8605,214,118.6877,165.5053,0.85106,48,0.98974,5,19.43546,316.49088,743.13128,9887.78326,0.08,10966.8409,5,,,118.2949,119.0793,0.99341,1.3428,0.1881
s05_Joystick - Mid level autonomy,17,77,1234.0833,1260,1336,14309.4397,-0.36315,1.8373,214,119.6221,163.1269,0.85106,48,0.98974,5,8.358605,332.78303,780.41054,10057.8061,0.08,11179.3583,5,,,116.4986,122.666,0.94972,1.4606,0.21935
s05_Joystick - Mid level autonomy,18,78,1238.75,1260,1336,13352.2766,-0.39614,1.9274,204,115.5521,157.1751,0.85106,48,0.98974,5,31.53022,411.92545,770.68145,9302.8672,0.08,10517.0043,5,,,112.3331,118.6837,0.94649,1.566,0.24966
s05_Joystick - Mid level autonomy,19,79,1235.4286,1256,1336,13614.6667,-0.34746,1.85,211,116.6819,157.4981,0.85417,49,0.98974,5,56.93794,377.04195,857.80485,9386.55839,0.09,10678.3431,5,,,112.48,120.7377,0.93161,1.2567,0.2361
s05_Joystick - Mid level autonomy,20,80,1233.8775,1256,1336,13414.068,-0.32827,1.8748,211,115.8191,159.6841,0.875,49,0.99103,5,34.3056,318.80926,665.37858,9478.86485,0.07,10497.3583,5,,,114.0989,117.5142,0.97094,1.2102,0.28129
s05_Joystick - Mid level autonomy,21,81,1231.25,1252,1336,13353.9787,-0.2966,1.8716,212,115.5594,160.9081,0.87234,48,0.99103,5,18.51678,297.86443,639.77044,9408.40675,0.07,10364.5584,5,,,115.009,116.1072,0.99054,1.4229,0.2962
s05_Joystick - Mid level autonomy,22,82,1233.3333,1252,1336,13752.7376,-0.29842,1.8341,214,117.2721,159.3529,0.87234,48,0.99103,5,3.198941,325.98466,733.14214,9618.77753,0.08,10681.1033,5,,,113.8111,120.6337,0.94344,0.98613,0.24912
s05_Joystick - Mid level autonomy,23,83,1234.5306,1256,1336,13536.4626,-0.32766,1.8673,211,116.3463,158.1497,0.875,49,0.99231,5,0.948489,347.51468,804.13477,9384.81931,0.09,10537.4172,5,,,112.9697,119.6276,0.94434,0.87373,0.23706
s05_Joystick - Mid level autonomy,24,84,1234.8571,1256,1336,13441.3333,-0.3265,1.8756,211,115.9368,158.4435,0.875,49,0.99231,5,22.6797,333.59556,638.83547,9473.96542,0.07,10469.0762,5,,,113.1957,118.6145,0.95432,0.98706,0.24558
s05_Joystick - Mid level autonomy,25,85,1231.5918,1248,1336,13769.4966,-0.26004,1.7861,220,117.3435,157.8375,0.85417,49,0.99231,5,36.62377,339.67953,817.21624,9617.878,0.08,10811.3975,5,,,112.7246,121.7873,0.92559,0.91295,0.21891
s05_Joystick - Mid level autonomy,26,86,1227.8367,1244,1336,13475.9728,-0.2013,1.8013,217,116.0861,158.1276,0.875,49,0.99231,5,25.22025,329.90405,820.66853,9332.02193,0.09,10507.8148,5,,,112.9725,119.1183,0.94841,0.83291,0.19151
s05_Joystick - Mid level autonomy,27,87,1225.6667,1240,1336,13527.0355,-0.16334,1.7981,218,116.3058,155.0917,0.87234,48,0.99231,5,14.0499,339.91545,848.6682,9374.58233,0.09,10577.2159,5,,,110.8399,121.5261,0.91207,0.83198,0.19432
s05_Joystick - Mid level autonomy,28,88,1228.1633,1244,1336,13550.6395,-0.20007,1.7942,220,116.4072,155.4627,0.875,49,0.99359,5,4.200995,281.60521,798.38349,9505.77704,0.08,10589.9667,5,,,111.0138,121.5615,0.91323,0.83291,0.19151
s05_Joystick - Mid level autonomy,29,89,1234.1225,1248,1336,13342.068,-0.27389,1.849,211,115.5079,153.383,0.85417,49,0.99359,5,6.353851,313.33624,1082.9882,9093.17046,0.12,10495.8488,5,,,109.5923,121.1349,0.90471,0.65059,0.13435
