,SDNN,RMSSD,ulf,vlf,lf,hf,lfhf,SD1,SD2,SD1SD2,ApEn,Subject,Interface,Autonomy Level,Raw Label,Weighted Label
0,49.959984000000006,64.498062,7.498671400000001,97.589292,750.69259,1234.8162,0.61,48.6621,51.224994,0.94996791,-0.13353139,U14,headarray,low level,Low,Low
1,47.420577,66.399465,3.5424126000000005,49.663959999999996,639.38232,1151.0125,0.56,49.638695,45.093483,1.1007953000000001,-0.11778304,U14,headarray,low level,Low,Low
2,46.103266,63.329824,7.080217200000001,92.740317,644.6236,1061.6745,0.61,47.47865,44.685567999999996,1.0625052,-0.11778304,U14,headarray,low level,Low,Low
3,47.300458,65.645513,9.6137552,118.09501000000002,451.53944,1340.1396,0.34,48.944413,45.597271,1.0734066,-0.11778304,U14,headarray,low level,Low,Low
4,52.992243,75.61305,0.014094566999999999,5.065751000000001,562.98819,1750.7079,0.32,56.67450899999999,49.034228000000006,1.1558153,-0.11778304,U14,headarray,low level,Low,Low
5,53.183122,80.0,2.4786645,33.050763,367.28986000000003,1785.5576,0.21,60.469591,44.724909000000004,1.3520339,-0.13353139,U14,headarray,low level,Low,Low
6,50.217306,64.699304,28.949827000000003,352.99068,592.48397,1401.4496,0.42,47.664003,52.646921999999996,0.90535212,-0.13353139,U14,headarray,low level,Low,Low
7,48.046274,63.843559,24.691326999999998,305.3359,715.25698,746.41319,0.96,47.401025,48.682972,0.97366744,-0.13353139,U14,headarray,low level,Low,Low
8,50.9684,61.93545,30.967468,385.62142,984.38043,1025.3306,0.96,46.321855,55.225368,0.83877857,-0.13353139,U14,headarray,low level,Low,Low
9,58.16451800000001,75.986841,8.6976239,115.13543999999999,957.38857,1635.9241,0.59,57.439409,58.880697,0.97552189,-0.13353139,U14,headarray,low level,Low,Low
10,56.85068199999999,70.540768,3.0159097999999998,37.6862,958.21364,1771.7652,0.54,52.888022,60.55458,0.87339425,-0.13353139,U14,headarray,low level,Low,Low
11,65.90228499999999,71.217975,19.957798,252.43696,1945.6703,1351.8716,1.44,53.065996999999996,76.617375,0.69261047,-0.13353139,U14,headarray,low level,Low,Low
12,67.18465400000001,70.86607099999999,29.017404,377.28895,2382.6066,1149.366,2.07,53.568381,78.472824,0.68263608,-0.13353139,U14,headarray,low level,Low,Low
13,70.193384,70.86607099999999,21.387934,281.61652000000004,2389.1424,1620.3271,1.47,53.568381,83.574223,0.64096774,-0.13353139,U14,headarray,low level,Low,Low
14,69.755127,70.228199,0.48137224,14.078026999999999,2230.5273,1787.2354,1.25,53.039069,83.176996,0.63766512,-0.13353139,U14,headarray,low level,Low,Low
15,69.971423,66.426233,2.2173248,39.561434999999996,2743.9633,1266.4199,2.17,49.708036,85.56349200000001,0.58094913,-0.11778304,U14,headarray,low level,Low,Low
16,76.036249,66.959357,25.55312,339.76757000000003,3449.1514,1327.8335,2.6,50.002221999999996,95.198739,0.52524038,-0.11778304,U14,headarray,low level,Low,Low
17,75.852488,69.25636800000001,47.087544,618.8904,3410.9318,1107.3442,3.08,51.873778,93.895213,0.55246457,-0.11778304,U14,headarray,low level,Low,Low
18,74.504586,56.77245,50.843869,666.4381400000001,3627.9790000000003,793.41595,4.57,42.515357,96.40700799999999,0.44099861,-0.11778304,U14,headarray,low level,Low,Low
19,72.52769599999999,56.819402000000004,10.887334,159.58659,3354.23,1194.8222,2.81,42.593688,93.30761600000001,0.45648672,-0.11778304,U14,headarray,low level,Low,Low
20,73.45323499999999,56.615663,1.2268173,42.129771000000005,3395.4856,1208.2867,2.81,42.429026,94.818423,0.44747659999999995,-0.11778304,U14,headarray,low level,Low,Low
21,64.718193,64.429117,14.110098,198.59264,2353.5096,1015.9797,2.32,47.904999,77.987178,0.61426762,-0.11778304,U14,headarray,low level,Low,Low
22,61.044245999999994,51.811625,27.088356,356.85206,2229.0088,814.1289400000001,2.74,38.807216,77.115498,0.50323498,-0.11778304,U14,headarray,low level,Low,Low
23,61.114101,57.037999,27.389258,346.7245,1803.3777,1236.7107,1.46,42.145251,75.456242,0.55853897,-0.11778304,U14,headarray,low level,Low,Low
24,61.80830600000001,65.183502,5.4908012,76.917592,1732.4869,1417.4360000000001,1.22,48.88308,72.463631,0.67458779,-0.11778304,U14,headarray,low level,Low,Low
25,63.194937,64.855395,2.5881284,46.529383,1660.7088,1781.3816,0.93,48.623267999999996,74.986517,0.64842681,-0.11778304,U14,headarray,low level,Low,Low
26,56.582682999999996,63.413984,26.1258,337.1401,1297.3023,1179.731,1.1,47.560488,64.35215600000001,0.73906596,-0.11778304,U14,headarray,low level,Low,Low
27,58.78775400000001,59.632206000000004,49.56007,617.81102,1480.0120000000002,1152.9888,1.28,44.304144,70.350145,0.6297661999999999,-0.13353139,U14,headarray,low level,Low,Low
28,61.755791,62.337790000000005,58.771353000000005,723.1087,1374.5062,1554.5414,0.88,45.0,74.85022099999999,0.60120063,-0.13353139,U14,headarray,low level,Low,Low
29,64.728493,63.356136,66.969617,814.55654,1228.8912,1722.5303,0.71,43.502052,80.542703,0.54011165,-0.13353139,U14,headarray,low level,Low,Low
30,46.380072,58.838763,18.531766,235.29595,737.55417,776.6030599999999,0.95,44.399163,48.279773,0.91962245,-0.13353139,U14,headarray,low level,Low,Low
31,47.121592,59.933296,4.532259,61.95432099999999,697.79333,1050.6562,0.66,45.24852,48.923004,0.92489251,-0.13353139,U14,headarray,low level,Low,Low
32,46.837782000000004,55.731499,2.4696082,32.511936,626.40566,1060.0623,0.59,41.374595,51.727154,0.79986221,-0.13353139,U14,headarray,low level,Low,Low
33,33.967304999999996,44.226689,2.8924248,37.116828999999996,266.81942000000004,626.29868,0.43,33.398032,34.527192,0.96729652,-0.13353139,U14,headarray,low level,Low,Low
34,36.080158000000004,44.226689,7.483299799999999,94.39365500000001,363.06092,618.66209,0.59,33.010821,38.908113,0.84843026,-0.13353139,U14,headarray,low level,Low,Low
35,34.992063,42.918527000000005,3.7262089,49.491351,359.6454,595.62406,0.6,32.388269,37.415089,0.86564726,-0.13353139,U14,headarray,low level,Low,Low
36,34.351128,38.781439,6.3016558,79.117163,411.91679,502.89082,0.82,29.159659,38.855042,0.75047298,-0.13353139,U14,headarray,low level,Low,Low
37,33.263928,37.42845,7.7525334,94.694249,346.29547,502.21909000000005,0.69,27.680719,38.03624,0.72774594,-0.11778304,U14,headarray,low level,Low,Low
