,SDNN,RMSSD,ulf,vlf,lf,hf,lfhf,SD1,SD2,SD1SD2,ApEn,Subject,Interface,Autonomy Level,Raw Label,Weighted Label
117,37.000962,21.838569,70.815387,853.5717699999999,486.92637,193.87724,2.51,15.46052,49.991147,0.30926517,0.26330787,U09,headarray,teleoperation,Low,Med
118,37.015369,22.097427,74.386131,900.43056,489.4134,150.80343,3.25,15.779101999999998,49.912875,0.3161329,0.25587648,U09,headarray,teleoperation,Low,Med
119,36.480645,22.025959,71.831101,890.74544,467.14710999999994,131.9475,3.54,15.785264999999999,49.11721,0.32137952,0.24884834,U09,headarray,teleoperation,Low,Med
120,36.109922,22.882006,58.95873,800.5989400000001,490.5974,139.75072,3.51,16.458935,48.342076,0.34046811,0.24219205,U09,headarray,teleoperation,Low,Med
121,35.834266,22.509257,47.354427,728.2251200000001,529.66235,139.51414,3.8,16.183999,48.023613,0.33700087,0.23587931,U09,headarray,teleoperation,Low,Med
122,35.241715,23.88863,43.144531,671.36905,520.3304099999999,146.00339,3.56,17.153801,46.794274,0.36657905,0.13579585,U09,headarray,teleoperation,Low,Med
123,35.110639,24.110854999999997,39.51914,640.4750799999999,530.30441,153.98803999999998,3.44,17.323428,46.533996,0.37227466,0.13579585,U09,headarray,teleoperation,Low,Med
124,34.175071,23.816503,26.021673,541.0713400000001,527.3059900000001,163.10661000000002,3.23,17.088763,45.208906,0.37799549,0.14414089,U09,headarray,teleoperation,Low,Med
125,33.218485,23.456204999999997,15.283752999999999,444.48987999999997,542.87599,165.00052,3.29,16.860210000000002,43.848248,0.38451273,0.14414089,U09,headarray,teleoperation,Low,Med
126,33.218485,22.74118,10.050406,414.71036000000004,548.32884,190.33459,2.88,16.329404999999998,44.048678,0.37071271,0.14414089,U09,headarray,teleoperation,Low,Med
127,31.716232,23.1461,5.1193145,315.74382,549.03005,162.94176000000002,3.37,16.586560000000002,41.674029,0.39800711,0.14414089,U09,headarray,teleoperation,Low,Med
128,30.391,22.328919,3.0596938999999996,210.3565,580.56167,160.41388,3.62,16.023101999999998,39.880897999999995,0.40177384,0.14414089,U09,headarray,teleoperation,Low,Med
129,30.597279999999998,21.755237,3.6375299,176.36036000000001,613.70239,175.56167,3.5,15.557870000000001,40.377466,0.3853107,0.14414089,U09,headarray,teleoperation,Low,Med
130,29.916010999999997,21.719621,2.5815773999999996,112.87178999999999,645.59048,147.72906,4.37,15.501370000000001,39.365505,0.39378054,0.19678462,U09,headarray,teleoperation,Low,Med
131,29.946188,22.049797,2.5866185,54.284546999999996,708.49997,143.79854,4.93,15.717397,39.325715,0.39967225,0.19678462,U09,headarray,teleoperation,Low,Med
132,29.559126000000003,22.501613,1.9454048,37.849778,695.56683,158.0256,4.4,16.077768,38.587423,0.41665824,0.24679504,U09,headarray,teleoperation,Low,Med
133,27.949263000000002,23.368023,0.043271038,28.955092999999998,593.05426,161.83785,3.66,16.780429,35.787425,0.46889177,0.24679504,U09,headarray,teleoperation,Low,Med
134,27.186334000000002,22.421188,1.2944243,42.528286,551.67168,166.02652,3.32,16.106634,34.910885,0.46136424,0.33988546,U09,headarray,teleoperation,Low,Med
135,28.501272999999998,22.604596,4.3156289,57.84445,619.5366799999999,151.20727,4.1,16.221584,36.898582,0.43962621,0.29442309,U09,headarray,teleoperation,Low,Med
136,31.182087,22.282642000000003,11.317765,98.111499,746.00773,155.64301,4.79,15.861226,41.146891,0.38547812,0.29442309,U09,headarray,teleoperation,Low,Med
137,31.649033000000003,22.797849,12.886667999999998,110.07628000000001,785.9971,142.20055,5.53,16.29196,41.688063,0.39080635,0.24679504,U09,headarray,teleoperation,Low,Med
138,31.198634999999996,22.695744,11.226125,106.72718,779.92214,121.17211,6.44,16.287207000000002,41.005324,0.39719738,0.24679504,U09,headarray,teleoperation,Low,Med
200,22.011360999999997,22.616009,10.544996000000001,89.170606,240.59635,152.68397,1.58,16.243311,26.554752,0.61169133,-0.032789822999999996,U09,headarray,teleoperation,Low,Med
201,22.011360999999997,23.168388,8.834420699999999,79.258605,240.88396,156.51169,1.54,16.653328,26.299556,0.63321707,-0.032789822999999996,U09,headarray,teleoperation,Low,Med
202,21.973591,22.775199,7.617569400000001,71.498303,236.71276,166.04731,1.43,16.357827,26.421561999999998,0.619109,-0.032789822999999996,U09,headarray,teleoperation,Low,Med
203,21.225365,22.375101,4.2682194,44.336514,204.67257,187.33359,1.09,16.044562,25.369358,0.63243863,0.029730534,U09,headarray,teleoperation,Low,Med
204,18.49673,22.513079,1.4234441999999998,13.28532,135.9087,153.05143,0.89,16.130116,20.59314,0.78327618,0.029730534,U09,headarray,teleoperation,Low,Med
205,16.222114,21.491083,0.0037528198,0.67467897,106.16663999999999,139.05351000000002,0.76,15.455089000000001,16.954475,0.91156401,0.030636969,U09,headarray,teleoperation,Low,Med
