,SDNN,RMSSD,ulf,vlf,lf,hf,lfhf,SD1,SD2,SD1SD2,ApEn,Subject,Interface,Autonomy Level,Raw Label,Weighted Label
0,55.36764720000001,33.217895299999995,70.5429497,730.001179,2095.4562899999996,200.380841,10.46,23.8928384,74.5673185,0.320419707,0.369097464,S03,joystick,low level,High,Med
1,54.9726787,33.474643,75.60382059999999,773.346941,2017.29043,190.610981,10.58,23.9987684,73.9462637,0.324543354,0.358812966,S03,joystick,low level,High,Med
2,55.492114,33.276272999999996,80.43216190000001,806.320738,2077.5407,188.42366,11.03,23.871990300000004,74.75879549999999,0.319320157,0.40427534,S03,joystick,low level,High,Med
3,56.9999395,33.3756054,97.5132993,916.1507619999999,2121.9661100000003,218.207679,9.72,23.889317899999998,76.9888739,0.31029571699999997,0.40427534,S03,joystick,low level,High,Med
4,59.5053943,32.9513748,121.123332,1064.54224,2187.3417,297.230986,7.36,23.343230399999996,80.85095859999998,0.288719278,0.40427534,S03,joystick,low level,High,Med
5,60.0917306,32.9262499,126.10883500000001,1110.3139999999999,2187.41272,364.013394,6.01,23.376127800000003,81.7042767,0.286106538,0.40427534,S03,joystick,low level,High,Med
6,57.439966500000004,32.213573,98.68725069999999,1007.008,1943.57952,315.34531400000003,6.16,22.790511300000002,77.9698153,0.292299158,0.502628857,S03,joystick,low level,High,Med
7,55.4160262,32.3904748,84.0892745,989.950866,1785.0114800000001,286.65101,6.23,23.0903448,74.8913072,0.30831808899999996,0.47199188700000005,S03,joystick,low level,High,Med
8,54.1749078,32.9039005,67.12027359999999,924.862514,1739.67818,228.20917000000003,7.62,23.506803299999998,72.9196233,0.322365945,0.484135132,S03,joystick,low level,High,Med
9,52.3292385,31.664912199999996,47.337140000000005,826.201533,1721.8347199999998,163.64143700000002,10.52,22.815998800000003,70.3997771,0.32409191800000003,0.033718636,S03,joystick,low level,High,Med
10,52.60856750000001,31.972210200000003,37.9465202,744.483073,1796.93513,177.968397,10.1,23.0183873,70.7493929,0.325351022,0.10041001,S03,joystick,low level,High,Med
11,53.54462120000001,32.2214559,28.5987452,681.452593,1919.13385,187.992917,10.21,23.138379699999998,72.10179120000001,0.320912689,0.373469564,S03,joystick,low level,High,Med
12,53.991768900000004,32.2214559,24.6833629,703.743943,1941.51286,182.100788,10.66,23.138379699999998,72.7656348,0.317984991,0.373469564,S03,joystick,low level,High,Med
150,109.212597,126.861787,3.91940921,218.61181499999998,4784.65797,4614.027160000001,1.04,91.4598337,124.458352,0.734862965,0.187349851,S03,joystick,low level,High,Med
151,107.299705,127.436259,7.09485227,266.138106,4700.932229999999,4482.1188600000005,1.05,92.0176417,120.66153899999999,0.7626095490000001,0.180583937,S03,joystick,low level,High,Med
152,105.78131299999998,124.90252199999999,12.5602598,349.55138700000003,4645.50472,4125.91927,1.13,90.0980207,119.42243899999998,0.7544480029999999,0.0361390466,S03,joystick,low level,High,Med
153,107.662931,127.310644,9.09860451,388.596688,4813.4859,4268.88206,1.13,91.9382275,121.36711100000001,0.7575217590000001,0.111591065,S03,joystick,low level,High,Med
154,109.621652,127.645342,21.8882227,639.07488,5031.47795,4390.46652,1.15,92.1548791,124.664717,0.7392218220000001,0.111591065,S03,joystick,low level,High,Med
155,111.41107099999999,127.55129699999999,42.23227429999999,939.180322,5156.09221,4262.88124,1.21,92.1067434,127.83270800000001,0.7205256390000001,0.180583937,S03,joystick,low level,High,Med
156,112.24378200000001,127.056418,67.9612415,1180.52732,5167.27521,4304.69282,1.2,91.7171929,129.558056,0.707923504,0.222365471,S03,joystick,low level,High,Med
157,114.366307,129.765005,64.11742149999999,1253.35662,5277.0414200000005,4521.29034,1.17,93.7440802,131.800424,0.711257804,0.167029849,S03,joystick,low level,High,Med
237,49.502744799999995,40.311828000000006,67.15833420000001,971.546505,670.668861,623.017919,1.08,28.7081539,63.8504924,0.44961523200000003,0.187349851,S03,joystick,low level,High,Med
238,48.52490770000001,40.1414167,62.8543135,934.6985960000001,642.533772,601.8636849999999,1.07,28.7535757,62.310233600000004,0.461458319,0.180583937,S03,joystick,low level,High,Med
239,47.5445055,39.4035531,55.8125821,887.3768779999999,615.479838,578.833683,1.06,28.2526695,61.01431529999999,0.46304984899999996,0.174289385,S03,joystick,low level,High,Med
240,47.5275898,39.7685612,38.768715500000006,830.994045,613.585435,579.64597,1.06,28.622530100000002,60.8152478,0.47064726700000004,0.168418652,S03,joystick,low level,High,Med
241,47.450113,39.0251581,26.1279485,806.973154,636.042497,580.5237400000001,1.1,28.0686988,60.952232099999996,0.460503214,0.221770868,S03,joystick,low level,High,Med
242,44.1335156,34.0892076,4.50265686,583.7217519999999,823.108842,311.410254,2.64,24.5246547,57.3940389,0.427303169,0.221770868,S03,joystick,low level,High,Med
243,44.4667404,34.6067859,2.01367561,608.467996,848.1125390000001,298.182906,2.84,24.9256444,57.734688500000004,0.431727356,0.221770868,S03,joystick,low level,High,Med
244,44.834557700000005,32.3132813,3.59487281,561.0426620000001,875.591317,346.348327,2.53,23.062901699999998,59.062489799999994,0.39048306,0.221770868,S03,joystick,low level,High,Med
245,42.58996079999999,32.813727899999996,1.64988762,316.92983799999996,949.0707960000001,301.162842,3.15,23.3477367,55.52200210000001,0.420513235,0.27734071899999996,S03,joystick,low level,High,Med
246,43.00166110000001,33.2710529,1.90687062,151.578524,1161.46082,264.969813,4.38,23.6286561,56.035456,0.421673309,0.27734071899999996,S03,joystick,low level,High,Med
247,42.001221,33.8230691,0.0849575847,123.36585500000001,1088.84721,280.58614500000004,3.88,24.079100399999998,54.2991902,0.44345229399999997,0.286201687,S03,joystick,low level,High,Med
248,42.3147883,34.1399833,0.159871458,118.65557700000001,1135.26397,280.78761099999997,4.04,24.3926849,54.6450322,0.44638430799999995,0.22904327300000002,S03,joystick,low level,High,Med
