,SDNN,RMSSD,ulf,vlf,lf,hf,lfhf,SD1,SD2,SD1SD2,ApEn,Subject,Interface,Autonomy Level,Raw Label,Weighted Label
0,134.978259,186.01466200000002,0.102345725,89.3887103,1495.64071,13488.4038,0.11,134.35554,135.598118,0.990836321,0.0404913614,S05,headarray,low level,Low,Low
1,134.978259,186.01466200000002,0.102345725,89.3887103,1495.64071,13488.4038,0.11,134.35554,135.598118,0.990836321,0.0404913614,S05,headarray,low level,Low,Low
2,132.30695500000002,183.526802,1.18442018,87.382132,1544.58896,12827.0485,0.12,132.612425,132.000779,1.00463366,-0.0444517626,S05,headarray,low level,Low,Low
3,134.27195,187.796374,13.331910199999998,177.314125,1109.07994,13634.6195,0.08,135.759727,132.767502,1.02253734,0.0389298464,S05,headarray,low level,Low,Low
4,134.490235,186.651966,46.2930616,385.42314300000004,1420.85502,13209.9141,0.11,134.892843,134.08641699999998,1.00601422,0.11589088800000001,S05,headarray,low level,Low,Low
5,137.875811,191.50661200000002,11.327804800000001,242.51221099999998,1012.5096599999999,14289.0766,0.07,138.458824,137.290322,1.00851118,0.100338474,S05,headarray,low level,Low,Low
6,140.544284,185.878876,10.686150900000001,260.422577,1904.51298,14499.9336,0.13,134.10986,146.696751,0.914197888,0.100338474,S05,headarray,low level,Low,Low
7,140.544284,185.878876,10.686150900000001,260.422577,1904.51298,14499.9336,0.13,134.10986,146.696751,0.914197888,0.100338474,S05,headarray,low level,Low,Low
8,140.739249,194.73415500000002,0.11129561199999999,192.925804,1354.64318,15325.4943,0.09,140.784476,140.694007,1.00064302,0.229550206,S05,headarray,low level,Low,Low
9,139.98913000000002,190.837058,17.5294738,313.621426,1686.1922600000003,14450.6838,0.12,137.873861,142.072909,0.970444416,0.229550206,S05,headarray,low level,Low,Low
10,139.72229199999998,188.12946499999998,14.8803313,201.335728,1591.5012,14540.5953,0.11,135.756234,143.578838,0.945517009,0.229550206,S05,headarray,low level,Low,Low
11,135.302131,190.88443999999998,12.1594535,177.813026,668.342799,14435.1342,0.05,138.00097399999999,132.548348,1.04113688,0.229550206,S05,headarray,low level,Low,Low
12,136.07915400000002,182.096009,65.8119275,520.552951,1127.6969800000002,13964.3274,0.08,131.325983,140.67181200000002,0.93356289,0.229550206,S05,headarray,low level,Low,Low
13,136.07915400000002,182.096009,65.8119275,520.552951,1127.6969800000002,13964.3274,0.08,131.325983,140.67181200000002,0.93356289,0.229550206,S05,headarray,low level,Low,Low
14,134.895666,189.18406000000002,5.18830498,128.20166899999998,840.7631869999999,14140.9495,0.06,136.749273,133.01623,1.02806456,0.229550206,S05,headarray,low level,Low,Low
15,135.37184399999998,182.530998,0.005119008970000001,81.8432489,1196.18562,14027.3124,0.09,131.692419,138.953874,0.947741975,0.34396055700000006,S05,headarray,low level,Low,Low
16,129.496237,175.93477099999998,27.931479600000003,348.555983,661.149451,13280.0261,0.05,127.124476,131.825333,0.9643402640000001,0.254041226,S05,headarray,low level,Low,Low
17,134.37294,175.814131,54.1287593,383.734227,633.8485599999999,14368.7125,0.04,126.538969,141.774692,0.8925356659999999,0.229550206,S05,headarray,low level,Low,Low
18,127.384275,171.834096,8.01744921,125.60491299999998,458.408565,13105.3077,0.03,124.20778200000001,130.483463,0.951904396,0.254041226,S05,headarray,low level,Low,Low
19,127.384275,171.834096,8.01744921,125.60491299999998,458.408565,13105.3077,0.03,124.20778200000001,130.483463,0.951904396,0.254041226,S05,headarray,low level,Low,Low
20,128.81938799999998,171.742983,4.00829585,95.102604,467.53642199999996,13421.655,0.03,124.144503,133.330461,0.931103833,0.254041226,S05,headarray,low level,Low,Low
21,126.177019,170.145036,5.10701732,93.3102877,407.436685,12918.7271,0.03,122.88984099999999,129.380706,0.94983128,0.24512245800000002,S05,headarray,low level,Low,Low
22,132.178062,170.97563200000002,27.816044199999997,220.268734,364.55776099999997,14079.5678,0.03,122.94496200000002,140.807018,0.873145134,0.24512245800000002,S05,headarray,low level,Low,Low
23,125.822521,166.49524499999998,1.03620162,125.210329,756.749055,12026.8594,0.06,120.211348,131.193922,0.916287475,0.24512245800000002,S05,headarray,low level,Low,Low
24,127.274666,168.465194,7.62396707,130.113258,477.469778,12366.4825,0.04,121.589083,132.716902,0.9161537190000001,0.254041226,S05,headarray,low level,Low,Low
