,SDNN,RMSSD,ulf,vlf,lf,hf,lfhf,SD1,SD2,SD1SD2,ApEn,Subject,Interface,Autonomy Level,Raw Label,Weighted Label
111,26.269565999999998,15.832456,3.7634857000000004,78.831872,517.00537,158.31541,3.27,11.263088,35.402303,0.31814562,0.17249982,u09,Headarray,A1,Low,Low
112,20.331782999999998,15.318833999999999,0.20986608,17.543956,345.88567,89.336939,3.87,10.911475999999999,26.602677000000003,0.4101646,0.17249982,u09,Headarray,A1,Low,Low
113,16.896079,14.712051,1.37673,14.993751000000001,244.1353,52.325644,4.67,10.543034,21.442934,0.49167869,0.17249982,u09,Headarray,A1,Low,Low
114,17.036262,15.187714000000001,1.2354381,16.656584,239.03032000000002,53.039848,4.51,10.868039999999999,21.502423,0.50543326,0.1259798,u09,Headarray,A1,Low,Low
115,17.187886,15.143756,1.0403978999999999,21.449563,246.46066000000002,51.967764,4.74,10.849621,21.751610999999997,0.49879624,0.17249982,u09,Headarray,A1,Low,Low
116,17.334135999999997,14.241166,0.34763671,27.853162,257.95078,38.385774,6.72,10.208634,22.287402,0.45804505,0.1683456,u09,Headarray,A1,Low,Low
117,17.322935,13.9523,0.001226623,21.918165,262.14801,47.113276,5.56,10.004442999999998,22.362451999999998,0.44737685,0.21695158,u09,Headarray,A1,Low,Low
226,36.685235,49.037181,2.373774,259.12028,327.62612,478.91373,0.68,35.220228999999996,38.093942,0.92456247,0.31883205,u09,Headarray,A1,Low,Low
227,36.169627,49.052966999999995,1.5302416,182.72556,351.9976,481.94727,0.73,35.227799,37.087545,0.94985524,0.38337057,u09,Headarray,A1,Low,Low
228,36.154030999999996,49.842418,0.39371649999999997,90.942662,395.55847,509.58935,0.78,35.784283,36.520036,0.97985346,0.39354246,u09,Headarray,A1,Low,Low
229,34.892893,50.353418,0.12729909,68.067978,347.3106,436.10354,0.8,36.201226,33.533553999999995,1.0795523,0.39354246,u09,Headarray,A1,Low,Low
230,33.890399,50.353418,1.2824942,63.58606700000001,313.00405,452.30855999999994,0.69,36.201226,31.410023,1.1525374,0.39354246,u09,Headarray,A1,Low,Low
231,33.562696,49.020404,3.4091839999999998,86.607876,310.19498,425.67955,0.73,35.217298,31.822178000000005,1.1066904,0.41453840000000003,u09,Headarray,A1,Low,Low
