,SDNN,RMSSD,ulf,vlf,lf,hf,lfhf,SD1,SD2,SD1SD2,ApEn,Subject,Interface,Autonomy Level,Raw Label,Weighted Label
0,37.7994709,40.2492236,10.0738734,124.231565,391.001868,724.085589,0.54,28.9712501,44.9251229,0.644878595,-0.287682072,S03,sip-n-puff,teleoperation,High,High
1,38.5123357,39.6484552,11.1027984,137.554368,454.661952,955.186673,0.48,30.5832198,45.067357,0.678611346,-0.287682072,S03,sip-n-puff,teleoperation,High,High
2,34.7486211,35.9110011,8.09669829,99.1585679,300.098957,659.69841,0.45,24.3803199,42.6677083,0.571399798,0.113328685,S03,sip-n-puff,teleoperation,High,High
3,11.9777572,20.3960781,0.01536851,0.183176127,0.8067341,53.9915031,0.01,16.074825,5.34166017,3.00933128,-0.223143551,S03,sip-n-puff,teleoperation,High,High
4,11.9777572,17.7087549,0.568859618,6.95060609,17.2981152,64.8029205,0.27,13.4759044,10.2632029,1.31303109,-0.223143551,S03,sip-n-puff,teleoperation,High,High
5,20.9634603,23.6643191,2.97822219,36.5423675,114.411252,196.414118,0.58,16.8047612,24.4240319,0.688042061,-0.223143551,S03,sip-n-puff,teleoperation,High,High
6,21.0776343,23.0477765,3.05660914,38.0308962,140.675429,254.54613,0.55,18.0443897,23.7262162,0.760525386,-0.223143551,S03,sip-n-puff,teleoperation,High,High
7,18.0222085,21.0142809,0.0281165057,0.383085707,33.2216619,278.573209,0.12,16.6132477,19.3287351,0.859510343,-0.223143551,S03,sip-n-puff,teleoperation,High,High
8,17.4661578,20.7846097,1.27117868,15.9132966,67.1178475,202.949607,0.33,16.4195006,18.4535453,0.889774856,-0.223143551,S03,sip-n-puff,teleoperation,High,High
9,17.235622,14.9666295,1.60934051,19.9114385,85.4389322,189.985036,0.45,11.2071406,21.6456308,0.517755323,-0.223143551,S03,sip-n-puff,teleoperation,High,High
10,10.8566416,13.6235091,0.031439463,0.376998395,8.48798269,85.9485832,0.1,10.4690019,11.2309097,0.932159737,-0.223143551,S03,sip-n-puff,teleoperation,High,High
11,8.67179336,9.1214034,0.731306174,9.04858237,29.0447221,31.5494067,0.92,6.75277721,10.2371871,0.659632097,-0.223143551,S03,sip-n-puff,teleoperation,High,High
13,7.86553664,7.58946638,0.605719055,7.47879644,24.1732769,23.1711776,1.04,5.4405882,9.70223342,0.560756268,-0.223143551,S03,sip-n-puff,teleoperation,High,High
14,10.3537433,6.92820323,1.48055328,18.2414503,53.6419307,42.2023898,1.27,3.2249031,14.2828569,0.225788379,-0.223143551,S03,sip-n-puff,teleoperation,High,High
15,9.00370294,5.93295879,1.07185311,13.2526669,41.8151541,32.7977711,1.27,3.46410162,12.2528908,0.282717088,-0.223143551,S03,sip-n-puff,teleoperation,High,High
16,11.9777572,9.1214034,1.88512335,23.223261,68.2420649,52.6114956,1.3,5.13809303,16.141045,0.318324683,-0.223143551,S03,sip-n-puff,teleoperation,High,High
17,37.672271,33.4664011,14.4117903,176.89057,521.269499,584.320984,0.89,20.7267943,49.0795273,0.422310389,0.113328685,S03,sip-n-puff,teleoperation,High,High
18,39.4360241,39.4461658,12.7970246,158.499202,520.558316,836.750719,0.62,29.7881408,47.1494079,0.631781864,-0.287682072,S03,sip-n-puff,teleoperation,High,High
19,37.2451339,46.1735855,1.43198521,17.8620331,130.990989,1062.55331,0.12,37.6209162,36.8655214,1.02049055,-0.287682072,S03,sip-n-puff,teleoperation,High,High
20,31.6733326,48.908077,0.0279847376,0.409510908,19.5492378,661.037225,0.03,39.3954312,21.3166602,1.84810523,-0.287682072,S03,sip-n-puff,teleoperation,High,High
21,37.0297178,42.0951304,11.1933835,137.695428,398.933953,443.172687,0.9,28.7865709,43.7462379,0.658035349,-0.287682072,S03,sip-n-puff,teleoperation,High,High
22,34.3550093,36.2215406,12.4992441,154.185839,464.720818,385.628937,1.21,25.6904652,41.2375234,0.622987587,-0.223143551,S03,sip-n-puff,teleoperation,High,High
23,32.855238,31.7490157,11.1807738,138.385666,448.134225,445.652594,1.01,23.2379001,40.2359706,0.577540437,-0.223143551,S03,sip-n-puff,teleoperation,High,High
24,33.6253872,27.8854801,12.8368932,158.102665,481.766188,437.680847,1.1,17.595454,44.1784261,0.398281594,-0.223143551,S03,sip-n-puff,teleoperation,High,High
25,17.6484182,16.297239,3.66909099,45.2536904,137.760548,103.057061,1.34,10.8443534,22.4796204,0.482408207,-0.223143551,S03,sip-n-puff,teleoperation,High,High
26,13.2377527,14.3294568,1.61010604,19.9245005,69.9316374,74.4781683,0.94,10.7950606,15.2951907,0.705781369,-0.182321557,S03,sip-n-puff,teleoperation,High,High
27,11.147496,15.6971335,0.555403312,6.83418796,22.0234989,34.2031639,0.64,12.0,10.2241544,1.17369119,-0.223143551,S03,sip-n-puff,teleoperation,High,High
28,12.0443624,15.1789328,1.17590478,14.485989,42.5541496,53.4144521,0.8,11.3841996,12.670175,0.89850374,-0.223143551,S03,sip-n-puff,teleoperation,High,High
29,9.71596624,14.3108351,0.351346832,4.36946588,15.6286495,40.824132,0.38,11.2427755,7.89936706,1.42325016,-0.223143551,S03,sip-n-puff,teleoperation,High,High
30,9.46572765,14.3108351,0.265532858,3.28543243,11.3021261,44.2676774,0.26,11.2427755,7.26636085,1.54723605,-0.223143551,S03,sip-n-puff,teleoperation,High,High
31,15.5263217,15.0731549,1.64781605,20.4134206,74.3816666,167.416465,0.44,11.4891253,18.7118501,0.614002637,-0.223143551,S03,sip-n-puff,teleoperation,High,High
32,16.1327824,19.2665513,0.676431614,8.48207932,40.1897607,203.630635,0.2,15.2315462,16.986269,0.896697576,-0.223143551,S03,sip-n-puff,teleoperation,High,High
33,15.8829049,21.1660105,0.554411533,6.79703796,25.4823551,183.603132,0.14,16.297239,15.4574685,1.05432782,-0.223143551,S03,sip-n-puff,teleoperation,High,High
34,15.3932576,21.9089023,0.657709676,8.04116901,19.88525,160.190273,0.12,16.6853229,13.9823017,1.19331732,-0.182321557,S03,sip-n-puff,teleoperation,High,High
35,13.2377527,18.2574186,0.195627123,2.47278365,19.5102854,110.18913,0.18,14.1327044,12.2777383,1.1510837,-0.182321557,S03,sip-n-puff,teleoperation,High,High
36,14.9130815,15.4919334,1.88239014,23.1379759,69.2022385,98.2795245,0.7,10.8443534,18.0886705,0.599510803,-0.223143551,S03,sip-n-puff,teleoperation,High,High
37,7.86553664,13.1453414,0.0659841615,0.812868203,3.48523969,9.09993182,0.38,10.3150376,4.163332,2.47759188,-0.223143551,S03,sip-n-puff,teleoperation,High,High
38,8.54790423,13.1453414,0.182891985,2.23226547,9.29282228,31.1099461,0.3,10.3150376,6.30343822,1.63641448,-0.223143551,S03,sip-n-puff,teleoperation,High,High
41,21.0776343,13.2664992,6.23116094,76.9177682,231.962489,186.701646,1.24,6.51152824,29.0883711,0.223853313,-0.223143551,S03,sip-n-puff,teleoperation,High,High
42,17.0489491,11.171392,3.97565304,49.0417413,149.426139,146.427939,1.02,5.4405882,23.4890045,0.231622766,-0.223143551,S03,sip-n-puff,teleoperation,High,High
43,12.5887327,9.93310962,1.83007711,22.5750412,74.4182316,77.6116971,0.96,6.79215233,16.4565807,0.412731689,-0.182321557,S03,sip-n-puff,teleoperation,High,High
44,12.188988,13.0639453,1.70783206,20.9392453,55.9422501,45.3789565,1.23,8.70249007,14.8798361,0.584851203,-0.182321557,S03,sip-n-puff,teleoperation,High,High
45,9.15475416,13.9522997,0.373807044,4.63908869,15.637666,23.5243901,0.66,10.7950606,7.14742711,1.51034217,-0.182321557,S03,sip-n-puff,teleoperation,High,High
46,7.80720058,13.4660066,0.0408970849,0.511706469,2.315639,17.6761052,0.13,10.4307238,3.62004999,2.88137564,-0.182321557,S03,sip-n-puff,teleoperation,High,High
47,7.80720058,13.3666251,0.0260421929,0.318589628,2.05273164,16.1560607,0.13,10.3408575,3.86929303,2.67254441,-0.182321557,S03,sip-n-puff,teleoperation,High,High
48,9.15475416,14.6059349,0.00197135476,0.021377235,1.74091287,29.3239101,0.06,11.1235486,6.62462937,1.67912014,-0.182321557,S03,sip-n-puff,teleoperation,High,High
49,10.0285307,14.6059349,0.733192881,9.02301781,26.1913123,14.2279518,1.84,10.8811764,9.09631008,1.19621872,0.105360516,S03,sip-n-puff,teleoperation,High,High
50,9.07114735,15.0554531,0.280187698,3.47992416,12.0265557,17.506784,0.69,11.6504649,5.37011129,2.16950158,0.105360516,S03,sip-n-puff,teleoperation,High,High
51,9.15475416,15.7480157,0.199777352,2.43354462,5.74216705,6.20147988,0.93,11.9219685,5.04833777,2.36156316,0.105360516,S03,sip-n-puff,teleoperation,High,High
52,8.90157824,13.56466,0.164071417,2.03173964,9.32423536,23.0899446,0.4,10.494443,6.95290279,1.50936138,-0.182321557,S03,sip-n-puff,teleoperation,High,High
53,10.1793442,8.0,1.12202279,13.9026673,48.5081405,62.7645605,0.77,5.84237395,13.1569283,0.444053036,-0.182321557,S03,sip-n-puff,teleoperation,High,High
54,15.6144012,9.09212113,4.00404444,49.3429956,146.980213,113.100945,1.3,4.163332,21.6860719,0.191981841,-0.182321557,S03,sip-n-puff,teleoperation,High,High
55,12.9945043,11.4142768,2.11746989,26.1860852,88.9400683,74.1654558,1.2,8.16496581,16.4635239,0.49594278,-0.15415068,S03,sip-n-puff,teleoperation,High,High
56,9.07114735,11.3137085,0.375112067,4.60846811,15.2069894,53.9959774,0.28,8.51665036,9.59364869,0.887738402,-0.182321557,S03,sip-n-puff,teleoperation,High,High
57,7.3872477,10.4744587,0.172931746,2.09630869,4.47543932,27.6006002,0.16,7.80720058,6.94193605,1.12464311,-0.15415068,S03,sip-n-puff,teleoperation,High,High
58,6.29436634,8.79393731,0.00695920303,0.0810571563,1.32475228,20.6066406,0.06,6.63324958,5.9361684,1.11742948,-0.182321557,S03,sip-n-puff,teleoperation,High,High
59,4.65985898,4.27617987,0.00461133753,0.0616618821,4.56451257,18.9371261,0.24,3.26598632,5.7238016,0.570597402,-0.15415068,S03,sip-n-puff,teleoperation,High,High
60,5.85540044,4.3204938,0.430230614,5.32034189,17.4657303,21.8287167,0.8,2.96647939,7.73119839,0.383702402,-0.182321557,S03,sip-n-puff,teleoperation,High,High
61,12.0,9.23760431,1.94980836,24.0149883,72.8917316,62.5429555,1.17,5.84237395,15.9331939,0.366679399,-0.182321557,S03,sip-n-puff,teleoperation,High,High
62,20.113961,11.0754985,6.46621652,79.8649402,248.381379,220.469007,1.13,5.93295879,27.8198285,0.213263672,-0.182321557,S03,sip-n-puff,teleoperation,High,High
63,18.3303028,11.0754985,4.69888342,58.2291884,193.500085,218.138416,0.89,7.51886516,24.8086007,0.30307494,-0.182321557,S03,sip-n-puff,teleoperation,High,High
64,16.5891531,14.9666295,2.91370511,35.8184789,103.618141,122.221021,0.85,9.07744457,21.6333077,0.419605024,-0.223143551,S03,sip-n-puff,teleoperation,High,High
65,11.0754985,15.1437556,1.05148737,12.8932058,34.5173322,20.2669315,1.7,10.9787674,11.171392,0.982757328,-0.182321557,S03,sip-n-puff,teleoperation,High,High
66,8.55235974,14.5143607,0.243631685,3.02894616,10.5973078,13.7990176,0.77,11.2309097,4.48914034,2.5017952,-0.182321557,S03,sip-n-puff,teleoperation,High,High
67,9.48181216,15.3188337,0.430810282,5.30656084,16.6168658,12.566057,1.32,11.6847479,6.57846414,1.77621214,-0.182321557,S03,sip-n-puff,teleoperation,High,High
68,8.55235974,13.8564065,0.0586269009,0.70433395,3.0496779,22.4288267,0.14,10.5324894,5.94578682,1.77142063,-0.182321557,S03,sip-n-puff,teleoperation,High,High
69,10.6904497,12.6491106,0.368644985,4.57366038,25.2166417,62.0348803,0.41,9.74337382,11.5601944,0.84283823,-0.182321557,S03,sip-n-puff,teleoperation,High,High
