,SDNN,RMSSD,ulf,vlf,lf,hf,lfhf,SD1,SD2,SD1SD2,ApEn,Subject,Interface,Autonomy Level,Raw Label,Weighted Label
46,16.2808681,16.297239,2.15522412,26.765887,93.5064034,155.886656,0.6,12.489996,19.3425265,0.645727225,-0.223143551,U09,headarray,mid level,Low,Low
47,16.2808681,17.1580885,1.23565923,15.3225443,65.5289546,169.869236,0.39,13.326665,18.775871,0.709776125,-0.223143551,U09,headarray,mid level,Low,Low
48,12.8166558,17.8885438,0.167714385,2.02845657,11.3049181,88.5777387,0.13,13.6235091,11.9554729,1.13952072,-0.223143551,U09,headarray,mid level,Low,Low
49,14.1797978,16.4924225,1.89647937,23.3402938,69.3900332,51.633549,1.34,11.7303026,16.2644807,0.721222081,-0.223143551,U09,headarray,mid level,Low,Low
50,21.6764081,18.676188,5.35994193,66.0371113,200.581239,196.043024,1.02,12.2637678,28.0950767,0.436509497,-0.223143551,U09,headarray,mid level,Low,Low
51,19.2665513,27.0111088,1.97494034,24.3571032,74.2259865,171.163714,0.43,20.746084,17.6635217,1.17451572,-0.223143551,U09,headarray,mid level,Low,Low
52,18.761663,26.7132926,1.55697905,19.0729996,54.3717744,148.331861,0.37,20.3371581,17.0411267,1.19341628,-0.223143551,U09,headarray,mid level,Low,Low
53,15.5434874,25.9229628,0.284749914,3.4819252,11.4780743,78.2275756,0.15,20.3371581,8.34266145,2.43773024,-0.223143551,U09,headarray,mid level,Low,Low
54,16.0831174,24.5926818,0.902153843,11.0730823,30.4590644,110.869638,0.27,18.9314553,12.6068764,1.50167692,-0.223143551,U09,headarray,mid level,Low,Low
55,13.485795,18.676188,0.23430401,2.96624784,17.8930347,114.630313,0.16,14.7512711,12.0885621,1.22026681,-0.223143551,U09,headarray,mid level,Low,Low
56,12.0664825,17.2510869,0.415401117,5.14203748,21.5203707,45.4469564,0.47,13.5055544,10.4307238,1.29478592,-0.223143551,U09,headarray,mid level,Low,Low
57,9.1214034,13.5055544,0.133774825,1.63406385,5.78679263,52.5291615,0.11,10.5071404,7.48331477,1.4040757,-0.223143551,U09,headarray,mid level,Low,Low
58,9.00370294,13.1453414,0.098531842,1.24049648,6.72566921,52.6699733,0.13,10.3923048,7.35753582,1.41247085,-0.223143551,U09,headarray,mid level,Low,Low
59,110.098138,122.337239,59.1481177,726.344192,2377.74787,4953.77041,0.48,86.9390591,129.169656,0.673061011,0.113328685,U09,headarray,mid level,Low,Low
65,11.5238882,13.3865604,1.12651023,13.8170345,38.4877906,43.1623176,0.89,9.29516003,13.3865604,0.694365075,-0.223143551,U09,headarray,mid level,Low,Low
66,6.53197265,8.0,0.0674257998,0.847870084,6.39766124,23.7548378,0.27,6.32455532,6.73300329,0.939336437,-0.223143551,U09,headarray,mid level,Low,Low
67,6.53197265,7.79743548,0.0659114726,0.818528524,5.97089416,32.051261,0.19,6.13188389,6.90893142,0.887529998,-0.223143551,U09,headarray,mid level,Low,Low
68,11.9777572,16.1987654,0.19898385,2.39695619,8.85461377,91.0147046,0.1,12.2311079,11.7189306,1.04370513,-0.223143551,U09,headarray,mid level,Low,Low
69,11.9777572,17.6181724,0.198740358,2.47547607,12.2538658,100.506803,0.12,13.9140217,9.66091783,1.44023808,-0.223143551,U09,headarray,mid level,Low,Low
70,12.5006666,18.3303028,0.0182845475,0.248019038,3.76131822,121.732642,0.03,14.366628,10.3021033,1.39453348,-0.223143551,U09,headarray,mid level,Low,Low
91,20.6559112,13.2664992,5.40013867,66.5837091,205.136058,189.00484,1.09,6.51152824,28.4768912,0.228660081,-0.223143551,U09,headarray,mid level,Low,Low
92,14.2361043,11.3137085,2.40446717,29.5745764,86.9979153,75.3882749,1.15,6.32455532,19.1136949,0.330891298,-0.223143551,U09,headarray,mid level,Low,Low
93,7.48331477,9.63327566,0.017189737,0.225354554,5.98640794,30.2485138,0.2,7.58946638,7.37563557,1.02899151,-0.223143551,U09,headarray,mid level,Low,Low
94,7.15541753,11.8659176,0.0028724103,0.0328407932,0.670815985,25.9106889,0.03,9.29516003,4.0,2.32379001,-0.223143551,U09,headarray,mid level,Low,Low
95,7.15541753,12.2637678,0.0660372994,0.822865067,3.06837923,15.9824689,0.19,9.6747093,2.96647939,3.26134384,-0.223143551,U09,headarray,mid level,Low,Low
96,8.29457654,13.56466,0.167126381,2.04271985,5.24077323,15.6644364,0.33,10.5830052,5.05964426,2.09165007,-0.287682072,U09,headarray,mid level,Low,Low
97,9.46572765,12.2637678,0.319343485,3.9491697,17.3376149,31.3627378,0.55,9.50789146,9.42337519,1.00896879,-0.223143551,U09,headarray,mid level,Low,Low
98,11.5238882,9.95991968,1.60383534,19.7682933,58.7941885,56.0117052,1.05,6.51152824,14.9398795,0.435848778,-0.223143551,U09,headarray,mid level,Low,Low
99,10.3279556,9.29516003,1.17931165,14.5962257,47.0801618,45.1767548,1.04,6.63324958,13.0128142,0.509747506,0.113328685,U09,headarray,mid level,Low,Low
100,9.38083152,9.1214034,0.820317969,10.1462676,33.4359587,46.2936616,0.72,6.75277721,11.4192819,0.591348672,0.159848701,U09,headarray,mid level,Low,Low
101,153.13113,166.797282,134.908828,1655.14226,5285.83586,8193.27936,0.65,117.272333,182.059017,0.644144599,0.0602400804,U09,headarray,mid level,Low,Low
119,116.845197,183.836884,6.64847063,80.6082935,280.897257,5000.68128,0.06,145.113748,79.0417611,1.83591239,-0.287682072,U09,headarray,mid level,Low,Low
120,116.673905,204.597165,1.19190954,15.1855118,109.35504,4093.63629,0.03,166.891182,0.0,0.0,-0.287682072,U09,headarray,mid level,Low,Low
121,105.091706,183.075941,0.0247259459,0.217523551,13.0691895,3657.1207,0.0,144.535117,34.6140627,4.1756184,-0.223143551,U09,headarray,mid level,Low,Low
122,104.521768,182.997268,0.33820947,4.28906321,82.7226781,3499.27077,0.02,144.6596,30.3842064,4.76101296,-0.223143551,U09,headarray,mid level,Low,Low
123,105.183015,168.892865,0.0106000166,0.427126795,201.858605,3441.77293,0.06,132.166562,68.2563794,1.93632541,0.113328685,U09,headarray,mid level,Low,Low
