,SDNN,RMSSD,ulf,vlf,lf,hf,lfhf,SD1,SD2,SD1SD2,ApEn,Subject,Interface,Autonomy Level,Raw Label,Weighted Label
1,96.02083107,127.3525291,43.32247457,537.7488078,1848.539624,4229.406931,0.44,105.7922492,85.13518662,1.242638367,-0.4054651081,s05,Headarray,A2,Low,Low
2,99.73297683,142.5295291,2.006069812,24.94355145,684.483351,5968.551063,0.11,122.7789341,69.41661665,1.768725416,-0.4054651081,s05,Headarray,A2,Low,Low
3,121.1940593,96.05553949,121.9594121,1505.59892,4690.134318,5425.742792,0.86,33.346664,168.1190055,0.1983515422,-0.4054651081,s05,Headarray,A2,Low,Low
4,99.08918542,138.2750881,8.403893431,104.6458031,731.7972379,6361.887049,0.12,118.8051626,74.31464638,1.598677628,-0.4054651081,s05,Headarray,A2,Low,Low
5,103.6532682,126.2537128,6.904304005,87.19657441,1642.013975,6086.224384,0.27,102.9271587,104.3743263,0.9861348314,-0.2876820725,s05,Headarray,A2,Low,Low
6,109.1726461,125.6662246,64.90145135,802.9565594,2688.671356,5129.835112,0.52,99.07572861,118.4117111,0.8367054885,-0.4054651081,s05,Headarray,A2,Low,Low
7,107.1011983,132.6046756,34.18031573,422.4552903,1782.034542,5661.163718,0.31,108.3328205,105.8552471,1.023405296,-0.4054651081,s05,Headarray,A2,Low,Low
8,114.1869812,120.664825,66.31511253,820.0536036,2883.130591,6660.911448,0.43,88.58893836,135.0160484,0.6561363585,-0.4054651081,s05,Headarray,A2,Low,Low
9,120.3273313,114.8680402,99.37584026,1227.330562,3913.879918,6555.895639,0.6,75.59541432,152.455458,0.4958524629,-0.4054651081,s05,Headarray,A2,Low,Low
10,65.23802572,96.27737706,0.5584461321,6.910435355,147.414602,2533.85269,0.06,82.57521824,41.15013163,2.006681752,-0.4054651081,s05,Headarray,A2,Low,Low
11,68.8534676,102.7229283,12.41522207,150.288041,314.7512927,2804.123332,0.11,77.25283166,59.27562737,1.303281553,-0.2876820725,s05,Headarray,A2,Low,Low
12,110.7573925,153.5317557,66.86368237,816.9451985,2182.816176,5754.220837,0.38,113.5693621,107.8721465,1.052814519,-0.2876820725,s05,Headarray,A2,Low,Low
13,102.1998043,179.477018,12.6454461,158.7554188,685.7574781,4916.346162,0.14,146.4854942,0.0,0.0,-0.2876820725,s05,Headarray,A2,Low,Low
14,108.1332511,179.477018,2.806223079,33.82814978,470.5341633,7373.850732,0.06,145.1137485,48.24520702,3.007837617,-0.2876820725,s05,Headarray,A2,Low,Low
15,108.0370307,170.844959,2.581535687,34.68014817,667.735578,7135.296646,0.09,138.8020173,63.85922016,2.173562673,-0.2876820725,s05,Headarray,A2,Low,Low
16,111.067547,119.3984925,66.4573179,819.6505406,2659.171755,5792.925732,0.46,84.99411744,132.0908778,0.643451833,-0.4054651081,s05,Headarray,A2,Low,Low
23,118.5017581,176.6352173,0.3794461953,5.345463334,625.4296476,7874.416443,0.08,152.6914099,69.07001279,2.21067586,-0.4054651081,s05,Headarray,A2,Low,Low
46,388.7559646,590.4642241,402.1187389,5006.518421,17986.98033,54288.49547,0.33,482.1092546,264.2594685,1.824378356,-0.2876820725,s05,Headarray,A2,Low,Low
47,118.8556548,154.591936,22.05462495,273.4035631,1624.108638,8233.081073,0.2,129.0064598,107.7528035,1.197244578,-0.4054651081,s05,Headarray,A2,Low,Low
48,121.6552506,133.9402852,67.43479339,843.2594692,3991.488336,6409.694997,0.62,106.7676605,134.9098464,0.7914000597,-0.2876820725,s05,Headarray,A2,Low,Low
49,140.4753834,128.9134076,148.0282301,1829.694911,5807.733954,7945.859038,0.73,81.58431222,181.1371488,0.4504007752,-0.4054651081,s05,Headarray,A2,Low,Low
61,124.0376287,121.0839929,108.9869835,1347.926233,4325.397649,6282.665571,0.69,83.44259504,154.2984122,0.5407871271,-0.4054651081,s05,Headarray,A2,Low,Low
62,127.9583265,180.0296272,4.035587901,50.25652817,979.876112,10718.2392,0.09,155.5634919,92.44818369,1.682710094,-0.4054651081,s05,Headarray,A2,Low,Low
63,131.9090596,156.7290656,49.9686384,624.7586216,3678.476794,8600.412879,0.43,127.2137309,136.4429063,0.9323587016,-0.2876820725,s05,Headarray,A2,Low,Low
64,147.3091986,135.3907924,166.9051218,2064.214101,6607.114854,8640.905158,0.76,86.02325267,189.7366596,0.4533823503,-0.4054651081,s05,Headarray,A2,Low,Low
65,119.5547294,139.0251776,63.3894816,781.0999942,2871.347373,6218.96041,0.46,104.358357,133.0263132,0.7844940934,-0.4054651081,s05,Headarray,A2,Low,Low
66,47.27226107,49.31531202,12.50438589,154.6706444,548.9651739,986.763932,0.56,35.92584956,56.37966536,0.637212891,-0.4054651081,s05,Headarray,A2,Low,Low
67,95.63820715,79.19595949,76.69435658,945.4822203,2861.588003,2898.203962,0.99,22.86190427,133.306664,0.1714985851,-0.4054651081,s05,Headarray,A2,Low,Low
68,111.3073822,85.79044236,106.6191107,1315.863657,4058.243091,4318.415928,0.94,19.86621923,156.1537704,0.1272221554,-0.4054651081,s05,Headarray,A2,Low,Low
69,106.6433308,137.7534029,13.21566926,167.9820393,1839.38316,5956.209118,0.31,112.4277546,100.5266134,1.118387965,-0.2876820725,s05,Headarray,A2,Low,Low
70,105.8048518,155.7433787,0.7234619238,9.124225062,539.6920903,7392.807323,0.07,134.3825385,65.80780096,2.042045724,-0.4054651081,s05,Headarray,A2,Low,Low
71,152.258552,154.7987941,158.4112771,1958.655209,6339.909897,9143.90872,0.69,111.0795511,184.4631851,0.602177345,-0.4054651081,s05,Headarray,A2,Low,Low
72,170.9073823,245.6881492,4.326062783,55.13402816,1925.42451,15163.19456,0.13,212.7721786,114.6589145,1.855696782,-0.4054651081,s05,Headarray,A2,Low,Low
73,197.4369098,211.5971014,222.1778985,2751.197167,9359.913618,19418.86807,0.48,158.9297539,229.5735176,0.6922826096,-0.4054651081,s05,Headarray,A2,Low,Low
74,250.9156565,358.1433605,18.39124388,226.8920391,3812.089468,41899.7017,0.09,309.1191787,174.2488642,1.77400972,-0.4054651081,s05,Headarray,A2,Low,Low
75,250.9156565,358.1433605,18.39124388,226.8920391,3812.089468,41899.7017,0.09,309.1191787,174.2488642,1.77400972,-0.4054651081,s05,Headarray,A2,Low,Low
76,263.6158822,300.2754291,442.0014581,5478.945603,18341.3291,32935.21095,0.56,234.1338648,290.1172177,0.8070319532,-0.4054651081,s05,Headarray,A2,Low,Low
77,235.7060316,299.9110979,201.9533738,2482.13387,9893.950933,25879.67158,0.38,233.2209253,238.1652088,0.9792401103,-0.4054651081,s05,Headarray,A2,Low,Low
78,94.11340677,75.0821772,74.23097739,915.9605873,2823.612366,2802.529151,1.01,21.96967607,131.2707127,0.1673615967,-0.4054651081,s05,Headarray,A2,Low,Low
80,134.2435597,106.6333281,154.1686425,1901.305887,5779.579374,6095.376506,0.95,20.39607805,188.7502759,0.1080585337,-0.4054651081,s05,Headarray,A2,Low,Low
81,149.5370634,114.5658472,194.8196986,2403.75554,7367.361983,7616.291626,0.97,14.5143607,210.9786719,0.06879539327,-0.4054651081,s05,Headarray,A2,Low,Low
82,110.4837846,158.2234707,4.718892216,59.24189156,714.4368563,8085.570824,0.09,136.713813,75.64830908,1.807228934,-0.4054651081,s05,Headarray,A2,Low,Low
83,146.8786347,157.0902076,133.5018274,1650.198229,5405.137444,8589.202257,0.63,117.7568116,171.1139971,0.6881775515,-0.4054651081,s05,Headarray,A2,Low,Low
84,146.8786347,157.0902076,133.5018274,1650.198229,5405.137444,8589.202257,0.63,117.7568116,171.1139971,0.6881775515,-0.4054651081,s05,Headarray,A2,Low,Low
85,151.4023338,147.2775158,146.8499841,1813.174841,6072.148313,8245.910941,0.74,95.72181918,191.5271956,0.4997818658,-0.4054651081,s05,Headarray,A2,Low,Low
86,59.09314681,88.06058521,0.1118498871,1.520364976,252.5082635,2103.274463,0.12,75.94735018,34.87119155,2.177939635,-0.4054651081,s05,Headarray,A2,Low,Low
87,123.4773933,110.7790594,117.1569108,1444.03547,4414.523808,5316.357346,0.83,49.82636518,167.363875,0.297712784,-0.4054651081,s05,Headarray,A2,Low,Low
88,112.6351041,107.8517501,90.77735459,1122.275762,3590.869883,5101.679384,0.7,72.49827584,141.8355856,0.5111430644,-0.4054651081,s05,Headarray,A2,Low,Low
89,116.6396159,145.8355238,2.316594115,32.13695295,2009.888272,7596.469622,0.26,119.0042016,114.2260916,1.041830285,-0.2876820725,s05,Headarray,A2,Low,Low
