,SDNN,RMSSD,ulf,vlf,lf,hf,lfhf,SD1,SD2,SD1SD2,ApEn,Subject,Interface,Autonomy Level,Raw Label,Weighted Label
44,178.2583,240.8382,210.938,1567.1207,5453.6622,16889.0453,0.32,172.3626,183.9651,0.9369299999999999,0.33957,S05,headarray,mid level,Low,Low
45,178.2583,240.8382,210.938,1567.1207,5453.6622,16889.0453,0.32,172.3626,183.9651,0.9369299999999999,0.33957,S05,headarray,mid level,Low,Low
46,179.9269,239.4622,297.0421,1615.51,5515.8687,17296.3022,0.32,171.3075,188.1517,0.91048,0.33515,S05,headarray,mid level,Low,Low
47,133.2883,162.1216,70.93072,363.09907999999996,4509.3757,9933.87632,0.45,115.9881,148.5877,0.7806,0.21595999999999999,S05,headarray,mid level,Low,Low
48,132.0453,160.5606,80.34683000000001,424.50084000000004,4497.8642,9627.3906,0.47,114.8631,147.2359,0.78013,0.27962,S05,headarray,mid level,Low,Low
49,134.5324,162.9895,35.32395,221.7042,4537.8515,10162.8685,0.45,116.5245,150.3994,0.77477,0.49033000000000004,S05,headarray,mid level,Low,Low
50,135.1886,164.6919,62.0044,323.56984,4610.1101,10146.6415,0.45,117.8068,150.5772,0.78237,0.4908,S05,headarray,mid level,Low,Low
51,138.1934,161.3266,37.7637,370.85922,5181.3059,10401.8794,0.5,115.45700000000001,157.6848,0.7322,0.43238999999999994,S05,headarray,mid level,Low,Low
52,137.6824,169.6383,30.254170000000002,160.488,4647.8242,11144.6162,0.42,121.2958,152.3161,0.7963399999999999,0.40571999999999997,S05,headarray,mid level,Low,Low
53,136.9226,169.0444,21.97512,132.2914,4922.9451,10807.8966,0.46,120.9294,151.2338,0.79962,0.40571999999999997,S05,headarray,mid level,Low,Low
54,135.8065,170.0517,12.20355,94.142485,4658.0333,10724.636,0.43,121.6678,148.606,0.8187300000000001,0.39923000000000003,S05,headarray,mid level,Low,Low
55,135.8065,170.0517,12.20355,94.142485,4658.0333,10724.636,0.43,121.6678,148.606,0.8187300000000001,0.39923000000000003,S05,headarray,mid level,Low,Low
56,137.0987,168.954,0.7859672,115.73735,4476.1181,11347.3253,0.39,120.836,151.627,0.79693,0.39293,S05,headarray,mid level,Low,Low
57,137.2016,172.1384,0.7584348000000001,68.550963,4311.6548,11694.493999999999,0.37,123.1274,149.9607,0.82106,0.39293,S05,headarray,mid level,Low,Low
58,137.1947,170.4499,7.303553999999999,59.95158000000001,4264.1366,11608.0179,0.37,121.8839,150.9605,0.8073899999999999,0.43748000000000004,S05,headarray,mid level,Low,Low
59,137.1947,170.4499,7.303553999999999,59.95158000000001,4264.1366,11608.0179,0.37,121.8839,150.9605,0.8073899999999999,0.43748000000000004,S05,headarray,mid level,Low,Low
60,136.2927,168.7354,14.318629999999999,84.098035,4316.6771,11435.4592,0.38,120.6322,150.3305,0.80245,0.45503000000000005,S05,headarray,mid level,Low,Low
61,134.8491,167.2608,14.801720000000001,86.95781099999999,4251.2336,11172.4224,0.38,119.5468,148.5837,0.8045800000000001,0.43391,S05,headarray,mid level,Low,Low
62,137.941,170.4991,3.9069519999999995,111.53448999999999,4252.5339,11647.9492,0.37,121.8003,152.3815,0.7993100000000001,0.43391,S05,headarray,mid level,Low,Low
63,136.7051,170.2097,1.526217,132.20921,4257.5093,11354.9419,0.37,121.6202,150.2833,0.8092699999999999,0.4279,S05,headarray,mid level,Low,Low
64,137.3195,169.0473,10.730780000000001,130.10591000000002,4308.5397,11489.6955,0.37,120.7374,152.1045,0.79378,0.38138,S05,headarray,mid level,Low,Low
65,136.8347,170.8273,1.525798,41.415726,4074.0131,11514.37,0.35,122.0408,150.1783,0.8126399999999999,0.40019,S05,headarray,mid level,Low,Low
66,135.0864,168.1276,0.7205617,31.245513,4216.9016,11172.5677,0.38,120.162,148.5186,0.80907,0.40019,S05,headarray,mid level,Low,Low
67,137.3066,170.1924,5.007998000000001,125.07059,3855.2394,11790.6527,0.33,121.5574,151.4266,0.80275,0.37519,S05,headarray,mid level,Low,Low
68,139.9378,170.0963,12.673119999999999,426.61026,3851.8215,12101.3558,0.32,121.4977,156.2161,0.77775,0.33542,S05,headarray,mid level,Low,Low
69,139.9378,170.0963,12.673119999999999,426.61026,3851.8215,12101.3558,0.32,121.4977,156.2161,0.77775,0.33542,S05,headarray,mid level,Low,Low
70,140.5735,170.5251,17.8079,658.13248,3925.9987,12046.9302,0.33,121.8665,157.06799999999998,0.77588,0.30764,S05,headarray,mid level,Low,Low
71,144.8233,170.7645,52.25462,1171.2069999999999,4144.6744,12305.7724,0.34,122.0334,164.4853,0.7419100000000001,0.30764,S05,headarray,mid level,Low,Low
72,145.7882,172.2072,75.38534,1147.009,4207.7566,12358.5605,0.34,123.1099,165.3855,0.74438,0.31272,S05,headarray,mid level,Low,Low
73,144.7856,177.4643,85.48535,870.12824,4615.9807,12423.253,0.37,126.8679,160.7179,0.78938,0.31272,S05,headarray,mid level,Low,Low
74,145.1233,176.8468,53.518080000000005,726.99469,4860.6641,12496.9617,0.39,126.4258,161.6727,0.78199,0.42093,S05,headarray,mid level,Low,Low
75,147.6223,181.2261,105.0197,1030.8111,4272.1683,13116.2814,0.33,129.3887,163.8391,0.78973,0.41441000000000006,S05,headarray,mid level,Low,Low
76,145.703,176.3623,74.62586,1068.8088,4917.1038,11669.003,0.42,126.0411,163.0103,0.7732100000000001,0.41441000000000006,S05,headarray,mid level,Low,Low
77,144.9871,176.4472,162.3087,1340.1844,4376.3364,11216.243999999999,0.39,126.1036,161.6799,0.77996,0.41441000000000006,S05,headarray,mid level,Low,Low
78,140.15,161.73,250.6234,1618.6203,4136.2981,10111.322,0.41,115.5447,161.0388,0.7175,0.41441000000000006,S05,headarray,mid level,Low,Low
79,136.5608,163.3923,164.7353,1303.0184,3348.9219,10574.1333,0.32,116.7744,153.8229,0.75915,0.42093,S05,headarray,mid level,Low,Low
80,136.8309,162.5897,109.4187,1165.6468,3601.5509,10563.8433,0.34,116.206,154.7306,0.75102,0.43941,S05,headarray,mid level,Low,Low
81,134.0153,166.8155,82.23723000000001,1069.2401,2609.0784,10829.014,0.24,119.166,147.376,0.8085899999999999,0.41441000000000006,S05,headarray,mid level,Low,Low
82,132.494,167.9392,41.40932,1045.7645,2550.4199,10659.6995,0.24,120.0348,143.8783,0.8342799999999999,0.16332,S05,headarray,mid level,Low,Low
83,132.8067,167.9392,46.6489,1064.2922,2733.0085,10410.4162,0.26,120.0348,144.4537,0.83096,0.16332,S05,headarray,mid level,Low,Low
84,132.8067,167.9392,46.6489,1064.2922,2733.0085,10410.4162,0.26,120.0348,144.4537,0.83096,0.16332,S05,headarray,mid level,Low,Low
