,SDNN,RMSSD,ulf,vlf,lf,hf,lfhf,SD1,SD2,SD1SD2,ApEn,Subject,Interface,Autonomy Level,Raw Label,Weighted Label
0,121.3742,168.8004,0.6504635999999999,335.5349,855.0279199999999,10292.398000000001,0.08,120.6268,122.1171,0.9878,0.29555,S05,joystick,mid level,Low,Low
1,120.1457,168.9567,0.2033396,350.28294,881.46879,10004.6189,0.09,120.7595,119.5289,1.0103,0.29048,S05,joystick,mid level,Low,Low
2,121.0717,169.3753,5.920547,266.09724,899.77441,10215.5782,0.09,121.0169,121.1264,0.9991,0.28558,S05,joystick,mid level,Low,Low
3,121.1585,168.1914,4.851513,295.45562,862.5564099999999,10232.3743,0.08,120.1579,122.1508,0.9836799999999999,0.25573,S05,joystick,mid level,Low,Low
4,121.3095,168.5398,13.04748,288.14276,636.65907,10708.0345,0.06,120.4096,122.2028,0.9853299999999999,0.25573,S05,joystick,mid level,Low,Low
5,122.0492,167.86599999999999,31.93678,383.57793,849.5552,10531.7961,0.08,119.9138,124.1478,0.9659,0.25573,S05,joystick,mid level,Low,Low
6,122.3204,169.4728,19.10887,423.96487,782.3886200000001,10517.6142,0.07,121.1065,123.5223,0.98044,0.26016999999999996,S05,joystick,mid level,Low,Low
7,121.3195,169.2808,12.319139999999999,357.63219,700.53788,10497.1966,0.07,120.9663,121.6717,0.9942,0.25573,S05,joystick,mid level,Low,Low
8,121.9771,166.3089,2.022209,330.96365,861.9984599999999,10544.2853,0.08,118.7736,125.0986,0.94944,0.22496,S05,joystick,mid level,Low,Low
9,120.7002,168.9191,27.038079999999997,328.47786,519.09514,10641.0758,0.05,120.7071,120.6933,1.0001,0.25573,S05,joystick,mid level,Low,Low
10,120.5819,165.6482,55.8763,394.00286,501.68399000000005,10566.8718,0.05,118.3235,122.7988,0.9635600000000001,0.24558000000000002,S05,joystick,mid level,Low,Low
11,120.0402,166.8624,33.22126,392.00137,520.3677799999999,10278.8283,0.05,119.2482,120.8269,0.98693,0.1881,S05,joystick,mid level,Low,Low
12,120.4849,168.1408,14.254760000000001,323.79509,522.63374,10509.5371,0.05,120.1445,120.8243,0.9943700000000001,0.18495,S05,joystick,mid level,Low,Low
13,121.0965,164.261,3.3387580000000003,344.50691,636.7887400000001,10548.5685,0.06,117.2942,124.78299999999999,0.9399799999999999,0.24558000000000002,S05,joystick,mid level,Low,Low
14,119.295,164.5003,41.3189,346.12027,634.0371700000001,10243.226999999999,0.06,117.5223,121.0418,0.9709200000000001,0.24558000000000002,S05,joystick,mid level,Low,Low
15,119.2288,164.8767,37.82907,334.64595,613.22378,10273.5828,0.06,117.7986,120.6421,0.9764299999999999,0.18495,S05,joystick,mid level,Low,Low
16,118.6877,165.5053,19.43546,316.49088,743.13128,9887.78326,0.08,118.2949,119.0793,0.99341,0.1881,S05,joystick,mid level,Low,Low
17,119.6221,163.1269,8.358605,332.78303,780.4105400000001,10057.8061,0.08,116.4986,122.666,0.9497200000000001,0.21935,S05,joystick,mid level,Low,Low
18,115.5521,157.1751,31.53022,411.92545,770.68145,9302.8672,0.08,112.3331,118.6837,0.9464899999999999,0.24966,S05,joystick,mid level,Low,Low
19,116.6819,157.4981,56.937940000000005,377.04195,857.80485,9386.55839,0.09,112.48,120.7377,0.93161,0.2361,S05,joystick,mid level,Low,Low
20,115.8191,159.6841,34.3056,318.80926,665.3785799999999,9478.86485,0.07,114.0989,117.5142,0.9709399999999999,0.28129,S05,joystick,mid level,Low,Low
21,115.5594,160.9081,18.516779999999997,297.86442999999997,639.77044,9408.40675,0.07,115.009,116.1072,0.99054,0.2962,S05,joystick,mid level,Low,Low
