,SDNN,RMSSD,ulf,vlf,lf,hf,lfhf,SD1,SD2,SD1SD2,ApEn,Subject,Interface,Autonomy Level,Raw Label,Weighted Label
113,35.9059,25.7828,20.6241,384.8408,656.6105,215.172,3.05,18.2915,47.3698,0.38614,0.41557,U09,headarray,teleoperation,Low,Med
114,35.7512,27.7662,22.5275,385.6599,669.7041,218.2212,3.07,19.7952,46.5236,0.42549,0.40963,U09,headarray,teleoperation,Low,Med
115,35.9549,27.6445,26.9244,397.3784,693.9847,168.0603,4.13,19.6916,46.8801,0.42003999999999997,0.40386,U09,headarray,teleoperation,Low,Med
116,35.9549,27.6445,26.9244,397.3784,693.9847,168.0603,4.13,19.6916,46.8801,0.42003999999999997,0.40386,U09,headarray,teleoperation,Low,Med
117,35.6437,28.2641,24.5223,385.9998,684.0131,166.9132,4.1,20.1601,46.2009,0.43636,0.39825,U09,headarray,teleoperation,Low,Med
118,35.4146,28.0601,20.9493,371.7858,686.012,164.726,4.16,20.0148,45.9108,0.43595,0.45803,U09,headarray,teleoperation,Low,Med
119,35.1891,27.8171,17.8278,360.4216,689.8327,153.9522,4.48,19.8385,45.6397,0.43468,0.43931000000000003,U09,headarray,teleoperation,Low,Med
120,34.8981,27.7568,17.4786,354.9665,675.2539,152.8895,4.42,19.7855,45.2139,0.4376,0.42205,U09,headarray,teleoperation,Low,Med
121,34.6072,27.5439,16.3534,348.4915,664.2738,150.4509,4.42,19.6339,44.8311,0.43795,0.41697,U09,headarray,teleoperation,Low,Med
122,34.1244,27.3837,13.2706,309.7205,682.5519,136.4979,5.0,19.5229,44.13399999999999,0.44236000000000003,0.37696999999999997,U09,headarray,teleoperation,Low,Med
123,34.1793,27.3496,13.7001,295.2687,698.0727,139.7544,4.99,19.4892,44.2337,0.4406,0.35635,U09,headarray,teleoperation,Low,Med
124,33.8632,27.3934,10.9586,263.4676,706.0218,135.5796,5.21,19.5222,43.7301,0.44642,0.3876,U09,headarray,teleoperation,Low,Med
125,33.018,27.3412,5.98923,213.8155,699.8529,138.0096,5.07,19.49,42.4325,0.45932,0.38277,U09,headarray,teleoperation,Low,Med
126,32.9034,27.1535,3.9479900000000003,195.3935,701.8587,144.2774,4.86,19.3529,42.3171,0.45733,0.40318000000000004,U09,headarray,teleoperation,Low,Med
127,32.1806,27.5419,2.4621299999999997,148.9483,698.7077,129.6988,5.39,19.6144,41.0665,0.47763,0.40318000000000004,U09,headarray,teleoperation,Low,Med
128,31.2942,27.1969,0.6329670000000001,112.35799999999999,698.174,117.3367,5.95,19.3905,39.7828,0.48741,0.42318,U09,headarray,teleoperation,Low,Med
129,31.3752,27.0373,0.115318,108.6432,691.4298,135.2113,5.11,19.2755,39.9658,0.4823,0.45011999999999996,U09,headarray,teleoperation,Low,Med
130,31.0237,27.0179,0.209905,93.98215,680.6463,133.4505,5.1,19.2603,39.4206,0.48858999999999997,0.42798,U09,headarray,teleoperation,Low,Med
131,30.315,27.1535,0.928111,74.72933,661.1859,133.8185,4.94,19.3552,38.2542,0.5059600000000001,0.44583,U09,headarray,teleoperation,Low,Med
132,30.2082,27.2691,2.3658799999999998,74.76965,646.4166,139.2099,4.64,19.4395,38.0418,0.511,0.45245,U09,headarray,teleoperation,Low,Med
133,29.5713,27.2932,4.8727599999999995,75.23271,613.3847,130.3793,4.7,19.4558,37.0189,0.52556,0.48607,U09,headarray,teleoperation,Low,Med
134,29.1749,27.046999999999997,6.10131,76.51205999999999,595.928,130.8532,4.55,19.2824,36.4765,0.52863,0.48607,U09,headarray,teleoperation,Low,Med
174,19.6219,22.5461,0.0115052,22.695710000000002,178.0107,158.3472,1.12,16.067999999999998,22.6243,0.71021,0.077289,U09,headarray,teleoperation,Low,Med
175,18.7432,21.5954,0.338723,24.0924,170.6507,138.6095,1.23,15.397,21.5765,0.7136,0.077289,U09,headarray,teleoperation,Low,Med
176,19.204,22.1374,1.0156,25.47598,173.5932,145.3394,1.19,15.7732,22.1087,0.71344,0.076113,U09,headarray,teleoperation,Low,Med
177,19.4773,21.9668,2.0738,30.98187,187.3493,141.1227,1.33,15.6511,22.6666,0.6904899999999999,0.07497100000000001,U09,headarray,teleoperation,Low,Med
178,19.3313,22.0591,1.61364,31.38102,183.2691,137.0439,1.34,15.7211,22.3662,0.7029,0.045558,U09,headarray,teleoperation,Low,Med
179,19.2749,21.9031,1.5103,35.406220000000005,181.5003,133.4435,1.36,15.6116,22.3454,0.69865,0.045558,U09,headarray,teleoperation,Low,Med
180,19.3258,21.8857,1.9905,37.62526,179.5982,135.9018,1.32,15.5988,22.4422,0.69506,0.045558,U09,headarray,teleoperation,Low,Med
181,20.531,22.4867,3.98394,54.17471999999999,180.4408,158.5161,1.14,16.0205,24.2155,0.6615800000000001,0.045558,U09,headarray,teleoperation,Low,Med
182,21.3087,22.4584,7.0589,71.77394,193.5732,171.6516,1.13,16.0058,25.533,0.6268699999999999,0.045558,U09,headarray,teleoperation,Low,Med
183,21.9081,22.3166,11.8769,93.08653000000001,217.3746,150.6819,1.44,15.8992,26.5922,0.5978899999999999,0.045558,U09,headarray,teleoperation,Low,Med
