,SDNN,RMSSD,ulf,vlf,lf,hf,lfhf,SD1,SD2,SD1SD2,ApEn,Subject,Interface,Autonomy Level,Raw Label,Weighted Label
54,91.0495,86.87214,162.9421,1983.6824,3186.8566,2733.3645,1.17,61.9481,112.8824,0.54878,0.3334,U13,headarray,low level,High,Med
55,90.2437,86.19066,161.8316,1953.5917,3146.7491,2659.9405,1.18,61.4749,111.8423,0.54966,0.32815,U13,headarray,low level,High,Med
56,87.9019,85.62841999999999,126.8721,1672.4159,3209.0202,2442.2402,1.31,60.9437,108.3483,0.56248,0.32815,U13,headarray,low level,High,Med
57,87.7242,84.83361,142.0075,1675.1038,3223.2756,2471.2965,1.3,60.3747,108.3788,0.55707,0.32306,U13,headarray,low level,High,Med
58,86.9314,84.55745999999999,137.5082,1642.3068,3170.8940000000002,2418.9353,1.31,60.2328,107.1735,0.56201,0.31811999999999996,U13,headarray,low level,High,Med
59,86.2616,83.86043000000001,139.8395,1616.9229,3115.9208,2374.8861,1.31,59.7094,106.381,0.56128,0.31334,U13,headarray,low level,High,Med
60,86.6756,83.72889,163.9197,1619.9374,3090.9759,2509.7527,1.23,59.5419,107.1452,0.55571,0.3087,U13,headarray,low level,High,Med
61,85.9711,84.68848,150.05700000000002,1580.9627,3028.1592,2493.2342,1.21,60.3273,105.559,0.5715,0.30419,U13,headarray,low level,High,Med
62,86.0848,84.48929,118.5042,1549.0081,2984.2616,2592.9823,1.15,60.2165,105.8072,0.56911,0.29982,U13,headarray,low level,High,Med
63,79.173,78.08383,42.17333,1098.8569,3041.8053,2026.0649,1.5,55.6828,97.13987,0.57322,0.19583,U13,headarray,low level,High,Med
64,79.4158,78.18795,30.57685,1099.4515,3118.3968,2006.7932,1.55,55.7613,97.49061,0.57197,0.13947,U13,headarray,low level,High,Med
65,79.679,77.86995,33.8659,1027.027,3093.5067,2119.1405,1.46,55.468999999999994,98.08504,0.56552,0.13947,U13,headarray,low level,High,Med
66,77.025,77.52965999999999,19.31677,884.20882,2968.4254,1965.7851,1.51,55.2568,93.87437,0.58862,0.13947,U13,headarray,low level,High,Med
67,76.5966,77.72529,16.86665,848.91184,2835.9432,2051.2377,1.38,55.3812,93.09680999999999,0.59488,0.13947,U13,headarray,low level,High,Med
68,76.4139,77.08176999999999,22.466839999999998,913.4273800000001,2771.7607,2063.4285,1.34,54.9115,93.07474,0.58997,0.16551,U13,headarray,low level,High,Med
69,74.542,77.04198000000001,11.753969999999999,1039.4779,2411.8335,2015.0414,1.2,54.9205,89.98200000000001,0.61035,0.16551,U13,headarray,low level,High,Med
70,76.0874,77.83800000000001,24.69962,1139.6527,2423.1456,2080.3999,1.16,55.4325,92.22705,0.60104,0.16305999999999998,U13,headarray,low level,High,Med
71,75.4502,72.99674,11.42912,1206.8416,2360.6468,1989.6534,1.19,51.9717,93.19018,0.5577,0.16305999999999998,U13,headarray,low level,High,Med
72,74.8394,72.62098,10.860669999999999,1183.6781,2326.7965,1959.6938,1.19,51.7229,92.33974,0.56014,0.18734,U13,headarray,low level,High,Med
73,70.7445,72.22009,30.8386,959.65482,2079.5205,1760.8365,1.18,51.4618,85.79777,0.5998,0.18105,U13,headarray,low level,High,Med
74,68.642,70.70155,51.574040000000004,864.2139900000001,2115.5127,1562.1959,1.35,50.4013,82.96479000000001,0.6075,0.23106,U13,headarray,low level,High,Med
75,68.8588,70.65226,47.33065,823.01682,2177.9255,1569.9399,1.39,50.3663,83.34442,0.60432,0.23106,U13,headarray,low level,High,Med
76,69.9597,73.22612,58.695280000000004,911.97997,2071.919,1649.5852,1.26,52.1721,84.06421999999999,0.62062,0.20636999999999997,U13,headarray,low level,High,Med
77,69.8748,73.2772,57.26721,966.52795,2028.4558,1667.9514,1.22,52.2362,83.88305,0.62273,0.21331,U13,headarray,low level,High,Med
78,72.5372,77.37465999999999,34.45562,884.6048800000001,2133.3547,2011.1362,1.06,55.1325,86.5083,0.63731,0.16067,U13,headarray,low level,High,Med
79,71.2814,77.99958000000001,53.03868000000001,922.6753199999999,1847.8882,2057.255,0.9,55.5819,84.09948,0.66091,0.16305999999999998,U13,headarray,low level,High,Med
80,69.1634,77.61021,72.84584,1031.4047,1587.7855,1884.7124,0.84,55.3186,80.66593,0.68577,0.19008,U13,headarray,low level,High,Med
81,68.6181,77.1832,98.14608,1125.57,1475.2084,1809.1335,0.82,55.0258,79.93145,0.6884100000000001,0.2164,U13,headarray,low level,High,Med
82,69.7736,77.28508000000001,117.8315,1089.4867,1549.2112,1941.2986,0.8,55.0639,81.88206,0.67248,0.19008,U13,headarray,low level,High,Med
83,69.3708,77.50198,110.6384,963.95154,1628.2583,1962.8263,0.83,55.2415,81.074,0.68137,0.19008,U13,headarray,low level,High,Med
84,68.9659,77.98781,90.19991,861.5899800000001,1602.4141,2028.5063,0.79,55.5983,80.13373,0.69382,0.2164,U13,headarray,low level,High,Med
85,68.0943,77.74696,67.42000999999999,721.90377,1608.5902,2031.8124,0.79,55.4151,78.75813000000001,0.7036100000000001,0.2164,U13,headarray,low level,High,Med
86,65.6751,77.62607,38.3639,510.42515999999995,1625.6398,1893.6764,0.86,55.3208,74.60602,0.74151,0.30168,U13,headarray,low level,High,Med
87,64.932,78.19743000000001,20.90107,412.75343,1636.6713,1833.9601,0.89,55.7444,72.9719,0.7639199999999999,0.32415,U13,headarray,low level,High,Med
88,64.7476,78.72925,14.22013,332.19369,1595.0662,1948.4618,0.82,56.1276,72.34783,0.7758,0.32844,U13,headarray,low level,High,Med
89,65.2151,79.32171,1.0567440000000001,300.63613,1468.565,2154.9119,0.68,56.5543,72.85346,0.77628,0.32844,U13,headarray,low level,High,Med
90,66.0943,78.70566,0.15997779999999998,390.46055,1482.3906,2144.0673,0.69,56.1076,74.75856999999999,0.75052,0.32415,U13,headarray,low level,High,Med
91,64.5757,79.12859,2.993488,309.04635,1381.6643,2199.9814,0.63,56.3875,71.83645,0.78494,0.34171999999999997,U13,headarray,low level,High,Med
92,64.291,79.96666,9.483207,317.79377999999997,1361.5034,2099.7157,0.65,56.9983,70.83683,0.8046399999999999,0.36299000000000003,U13,headarray,low level,High,Med
93,64.0184,78.86739,11.25196,325.87149,1403.1701,2049.3136,0.68,56.2255,70.96059,0.79235,0.35067,U13,headarray,low level,High,Med
94,65.0389,79.06669000000001,18.09595,425.86637,1363.8167,2183.4585,0.62,56.3574,72.69088,0.7753,0.35067,U13,headarray,low level,High,Med
95,64.9519,79.40911,11.22715,390.05794,1382.349,2184.011,0.63,56.6009,72.34528,0.78237,0.36764,U13,headarray,low level,High,Med
96,65.6824,79.03286,7.195028,340.8649,1458.1615,2233.7286,0.65,56.3078,73.87683,0.76218,0.36764,U13,headarray,low level,High,Med
97,66.873,78.88088,4.680895,313.31509,1597.7868,2273.386,0.7,56.2039,76.05991999999999,0.7389399999999999,0.34613,U13,headarray,low level,High,Med
98,69.0817,78.80724000000001,0.7027003,362.16213,1870.8351,2335.6916,0.8,56.1366,79.95778,0.70208,0.30168,U13,headarray,low level,High,Med
99,69.2079,79.33595,0.539744,419.77287,1954.7467,2194.1998,0.89,56.5401,79.89171,0.7077100000000001,0.30168,U13,headarray,low level,High,Med
100,68.8887,78.9708,1.267929,463.11052,1970.8471,2074.5374,0.95,56.2966,79.5111,0.70803,0.27869,U13,headarray,low level,High,Med
101,68.9646,78.38038,1.661966,424.5163,1995.0758,2080.0246,0.96,55.8539,79.95356,0.69858,0.30168,U13,headarray,low level,High,Med
102,68.4006,77.21273000000001,0.9818641,311.92139,2212.058,2025.9076,1.09,55.0371,79.55,0.69186,0.30168,U13,headarray,low level,High,Med
103,70.2106,77.33296,6.551130000000001,247.04161000000002,2515.3657,2013.89,1.25,55.1198,82.58859,0.6674,0.30168,U13,headarray,low level,High,Med
104,70.944,77.38634,16.0344,240.46694,2696.1258,1956.4172,1.38,55.1664,83.80198,0.6582899999999999,0.27869,U13,headarray,low level,High,Med
105,71.604,74.95546999999999,34.79353,278.14007999999995,2868.1607,1821.7353,1.57,53.3905,86.04493000000001,0.6205,0.25516,U13,headarray,low level,High,Med
106,73.4114,75.34009,44.76535,318.28822,2988.7349,1807.6288,1.65,53.6351,88.89175,0.60337,0.23106,U13,headarray,low level,High,Med
107,72.6702,74.02877,37.06351,334.28839,3017.3435,1772.2965,1.7,52.7723,88.18732,0.59841,0.23106,U13,headarray,low level,High,Med
108,72.2332,72.22903000000001,52.30587,366.30186000000003,3028.241,1671.9193,1.81,51.4806,88.23268,0.5834600000000001,0.23106,U13,headarray,low level,High,Med
109,72.863,72.69912,58.9172,460.50789000000003,3016.8217,1675.9442,1.8,51.8021,89.07616999999999,0.58155,0.23106,U13,headarray,low level,High,Med
110,73.5572,71.83673,68.10837,575.24785,3027.7575,1688.5531,1.79,51.2084,90.54845999999999,0.5655399999999999,0.18105,U13,headarray,low level,High,Med
111,73.4854,71.18717,84.77627,622.6157900000001,3028.5571,1668.3848,1.82,50.7387,90.69625,0.5594399999999999,0.15508,U13,headarray,low level,High,Med
112,73.9693,70.87833,91.67806999999999,688.43801,3057.9566,1661.7042,1.84,50.5267,91.59679,0.55162,0.10249000000000001,U13,headarray,low level,High,Med
113,78.3753,74.06864,134.5984,1036.6349,3001.3695,1929.0709,1.56,52.7295,97.49344,0.54085,0.10249000000000001,U13,headarray,low level,High,Med
114,78.5006,81.07475,108.3349,931.39986,2996.7228,1950.43,1.54,57.8015,94.78222,0.6098399999999999,0.10249000000000001,U13,headarray,low level,High,Med
115,78.9137,82.10988,122.4129,1032.9037,2950.2395,1874.9352,1.57,58.5207,95.02673,0.61583,0.10249000000000001,U13,headarray,low level,High,Med
116,78.3681,82.33797,107.4548,1053.2395,2875.2816,1832.3527,1.57,58.6967,94.0097,0.62437,0.10249000000000001,U13,headarray,low level,High,Med
117,77.9758,81.934,99.32374,1108.7908,2774.9323,1809.2678,1.53,58.415,93.53146,0.62455,0.1573,U13,headarray,low level,High,Med
118,77.9739,82.006,98.14551999999999,1111.8682,2767.0859,1816.0109,1.52,58.4673,93.49566,0.62535,0.1573,U13,headarray,low level,High,Med
119,79.1932,82.67971,68.02,1020.8204,2869.5840000000003,1875.3991,1.53,58.9485,95.22712,0.61903,0.1573,U13,headarray,low level,High,Med
120,78.1731,83.11004,54.878980000000006,1022.987,2851.8546,1751.1226,1.63,59.2553,93.33214,0.63489,0.1573,U13,headarray,low level,High,Med
121,78.1731,82.60354,63.092380000000006,1033.9235,2809.6192,1801.4797,1.56,58.8882,93.56416999999999,0.62939,0.20925,U13,headarray,low level,High,Med
122,77.2698,82.59719,86.92321,1092.0568,2603.6117,1816.7394,1.43,58.885,92.05323,0.63968,0.28246,U13,headarray,low level,High,Med
123,76.4297,82.57336,106.0587,1184.4629,2412.577,1744.7704,1.38,58.8686,90.65035999999999,0.6494,0.28246,U13,headarray,low level,High,Med
124,76.5351,81.69194,137.3715,1260.299,2388.8982,1746.0338,1.37,58.2263,91.24116,0.6381600000000001,0.30572,U13,headarray,low level,High,Med
125,77.3756,84.60670999999999,95.46345,1198.5316,2374.7343,1881.6327,1.26,60.3194,91.2991,0.66068,0.30572,U13,headarray,low level,High,Med
126,77.0752,85.30908000000001,81.0977,1118.5643,2374.2656,1919.7814,1.24,60.8145,90.45858,0.6722899999999999,0.30572,U13,headarray,low level,High,Med
127,76.1012,85.45654,66.77605,953.2447400000001,2325.8835,1961.8432,1.19,60.9076,88.73021,0.6864399999999999,0.32844,U13,headarray,low level,High,Med
128,77.0816,87.49705,61.383869999999995,667.80781,2417.3382,2242.8915,1.08,62.3484,89.41944000000001,0.69726,0.30985999999999997,U13,headarray,low level,High,Med
129,78.4929,86.26162,76.66391,621.3561,2674.7536,2250.5607,1.19,61.4156,92.46835,0.66418,0.30985999999999997,U13,headarray,low level,High,Med
130,76.1869,83.0871,60.08719,532.47691,2882.5301,1917.8489,1.5,59.2424,89.99579,0.65828,0.30985999999999997,U13,headarray,low level,High,Med
131,76.7041,82.89914,76.74978,578.60402,2967.8761,1901.9994,1.56,59.1013,90.96200999999999,0.64974,0.33285,U13,headarray,low level,High,Med
132,78.0946,86.37901,49.03586,507.75484000000006,2987.0669,2071.722,1.44,61.5857,91.67727,0.67177,0.30985999999999997,U13,headarray,low level,High,Med
133,78.2192,86.87769,37.55735,483.5141,3049.1272,2082.7001,1.46,61.9499,91.64437,0.67598,0.30985999999999997,U13,headarray,low level,High,Med
134,78.8535,88.18012,45.78499,506.84407000000004,2919.7736,2363.9482,1.24,62.8749,92.10051999999999,0.6826800000000001,0.28633000000000003,U13,headarray,low level,High,Med
135,78.8722,87.09229,45.03007,497.40698,2957.2856,2334.6898,1.27,62.0909,92.66255,0.67008,0.28633000000000003,U13,headarray,low level,High,Med
136,77.2608,87.24372,32.50297,506.97422,2909.5471,1992.6727,1.46,62.196000000000005,89.8338,0.69234,0.28633000000000003,U13,headarray,low level,High,Med
137,76.9567,83.5001,29.57643,552.8226,2997.1948,1915.4957,1.56,59.5356,91.10533000000001,0.6534800000000001,0.28633000000000003,U13,headarray,low level,High,Med
138,76.0682,81.84701,61.58374,605.1632099999999,2976.5943,1749.5517,1.7,58.3527,90.37541,0.64567,0.30985999999999997,U13,headarray,low level,High,Med
139,78.3254,82.22246,89.36383000000001,758.9033099999999,3034.2863,1931.7079,1.57,58.6084,93.99351,0.62354,0.29557,U13,headarray,low level,High,Med
140,78.4251,82.96505,98.19493,797.38864,3044.2956,1904.7334,1.6,59.1492,93.8209,0.63045,0.27087,U13,headarray,low level,High,Med
141,78.9808,83.01807,106.1668,914.47921,2936.2926,1926.5197,1.52,59.136,94.75685,0.62408,0.27087,U13,headarray,low level,High,Med
142,77.1083,83.70902,76.25796,917.4903800000001,2752.8817,1781.9983,1.54,59.6824,91.26548000000001,0.65394,0.27087,U13,headarray,low level,High,Med
143,78.1207,84.81667,38.171479999999995,810.16356,2776.7419,2108.6119,1.32,60.4648,92.46446,0.65393,0.27087,U13,headarray,low level,High,Med
144,79.8303,84.81509,20.35342,755.07493,3006.0781,2227.0949,1.35,60.4648,95.34018,0.6342,0.27087,U13,headarray,low level,High,Med
145,81.6607,84.74432,7.597617999999999,760.63478,3330.7044,2172.1245,1.53,60.4034,98.4296,0.6136699999999999,0.33285,U13,headarray,low level,High,Med
146,84.382,84.30131999999999,0.1793223,835.11134,3880.4831,2073.8391,1.87,60.0874,103.1026,0.5827899999999999,0.33737,U13,headarray,low level,High,Med
147,84.8604,84.42989,0.14958670000000002,903.1702300000001,4004.9957,1964.6916,2.04,60.1823,103.8299,0.57962,0.33737,U13,headarray,low level,High,Med
148,84.1541,84.2963,0.1062902,875.5930000000001,3947.6756,1938.6742,2.04,60.1012,102.7212,0.58509,0.35531999999999997,U13,headarray,low level,High,Med
149,83.8929,84.72700999999999,2.922254,853.71374,3959.9118,1908.8647,2.07,60.4166,102.1071,0.5917,0.3773,U13,headarray,low level,High,Med
150,84.0173,84.46696,12.50175,860.8530599999999,4143.2717,1742.0910000000001,2.38,60.227,102.4233,0.58802,0.35531999999999997,U13,headarray,low level,High,Med
151,85.2421,83.40223,17.95414,709.32852,4681.6728,1538.505,3.04,59.4692,104.8611,0.56712,0.33737,U13,headarray,low level,High,Med
152,85.2421,84.13871,20.25431,729.94443,4662.0333,1541.3684,3.02,60.0034,104.5564,0.57389,0.38233,U13,headarray,low level,High,Med
153,84.53,83.441,19.62408,717.4376900000001,4584.6438,1515.9818,3.02,59.4964,103.6862,0.57381,0.42841999999999997,U13,headarray,low level,High,Med
154,84.53,83.13363000000001,32.75592,812.54645,4461.1839,1554.5241,2.87,59.2736,103.8137,0.57096,0.41697,U13,headarray,low level,High,Med
155,85.7899,83.73485,35.1617,653.17625,4515.8639,1877.9949,2.4,59.6448,105.6518,0.5645399999999999,0.44166000000000005,U13,headarray,low level,High,Med
156,84.5309,86.23657,15.5366,489.8312,4162.0349,2046.6899,2.03,61.4812,102.5232,0.59968,0.44166000000000005,U13,headarray,low level,High,Med
157,81.2707,86.33086,2.613154,339.78157000000004,3643.7627,2047.7658,1.78,61.534,97.07424,0.63389,0.44166000000000005,U13,headarray,low level,High,Med
158,78.2399,86.96463,0.1583763,336.75967,3182.0054,2084.0363,1.53,61.9701,91.66611,0.67604,0.42533999999999994,U13,headarray,low level,High,Med
159,77.7556,90.19301,5.203914,321.09591,3028.8684,2024.8272,1.5,64.3231,89.18755,0.72121,0.42533999999999994,U13,headarray,low level,High,Med
160,78.8487,90.01243000000001,23.050720000000002,345.95916,3173.5036,2184.8387,1.45,64.1834,91.18508,0.7038800000000001,0.42533999999999994,U13,headarray,low level,High,Med
161,78.7671,91.06675,27.655959999999997,374.10882999999995,3178.7347,2144.3815,1.48,64.9452,90.50208,0.7176100000000001,0.40407,U13,headarray,low level,High,Med
162,80.2825,92.49682,12.11055,383.34717,3138.9347,2388.1666,1.31,65.9636,92.40874000000001,0.71382,0.42205,U13,headarray,low level,High,Med
