,SDNN,RMSSD,ulf,vlf,lf,hf,lfhf,SD1,SD2,SD1SD2,ApEn,Subject,Interface,Autonomy Level,Raw Label,Weighted Label
1,24.979991994,27.030846577,4.5639317632,56.148411057,163.32538366,170.03479727,0.96,15.748015748,31.622776602,0.49799598392,-0.40546510811,S03,joystick,mid level,Low,Low
2,22.090722034,32.124756808,1.3695782291,17.085998028,82.85804792,178.79894229,0.46,26.025628395,17.281975196,1.5059406173,-0.28768207245,S03,joystick,mid level,Low,Low
3,20.264912205,34.409301068,0.04229762039,0.55215479419,10.52298062,216.79032238,0.05,29.709706607,0.0,0.0,-0.40546510811,S03,joystick,mid level,Low,Low
4,20.264912205,37.022515672,0.042421330418,0.49616777833,1.7343079705,180.63719759,0.01,31.53833646,0.0,0.0,-0.40546510811,S03,joystick,mid level,Low,Low
5,85.252565944,101.21923401,40.714661304,500.85962211,1500.3664299,2304.3268279,0.65,68.837974016,98.981479749,0.69546317342,-0.40546510811,S03,joystick,mid level,Low,Low
6,112.07140581,185.09817215,9.2710415176,112.94302353,525.87624871,6308.4605941,0.08,155.98290505,28.095076674,5.5519658072,-0.40546510811,S03,joystick,mid level,Low,Low
7,160.33298683,194.09963077,130.47225815,1615.0296416,5471.4490944,11025.869997,0.5,157.00530777,163.59299088,0.95973126304,-0.40546510811,S03,joystick,mid level,Low,Low
8,145.87666023,171.90695158,129.46777028,1616.1384153,6137.0053752,8121.5909503,0.76,137.58875923,153.71835718,0.89507045064,-0.28768207245,S03,joystick,mid level,Low,Low
9,164.51950239,173.18968407,149.9782704,1850.5026786,6424.2733405,10228.354176,0.63,121.63332877,198.33977581,0.61325736742,-0.40546510811,S03,joystick,mid level,Low,Low
10,52.089666282,77.321838226,1.4952407283,18.902180735,239.11536447,1620.1966018,0.15,66.873013989,30.897680603,2.1643376682,-0.40546510811,S03,joystick,mid level,Low,Low
11,102.5020325,88.513652431,87.06748876,1072.8205994,3210.4405699,3247.425188,0.99,30.243456593,141.76976641,0.21332797083,-0.40546510811,S03,joystick,mid level,Low,Low
12,89.591666279,78.179281143,63.001507281,778.53430059,2459.9688471,2946.6191765,0.83,44.751163858,118.53550804,0.37753382592,-0.40546510811,S03,joystick,mid level,Low,Low
13,70.427267447,75.22410961,32.77639582,403.54269162,1223.8410627,1662.4940265,0.74,47.074409184,87.77243303,0.53632339402,-0.40546510811,S03,joystick,mid level,Low,Low
14,61.227444827,72.580989246,13.014130701,160.60413772,793.21912117,1432.7744097,0.55,56.207947244,65.865519558,0.85337438497,-0.28768207245,S03,joystick,mid level,Low,Low
15,41.337634185,65.635356326,3.4717587087,42.177945234,120.25884869,788.79300426,0.15,51.296523599,28.040446977,1.8293761024,-0.28768207245,S03,joystick,mid level,Low,Low
16,43.963621325,66.362640092,6.497905251,80.375480988,281.71544173,909.49712621,0.31,53.135048069,32.28415504,1.6458553121,-0.28768207245,S03,joystick,mid level,Low,Low
17,48.812566688,75.365774726,5.3115774504,66.102141409,246.68669581,1236.1530357,0.2,64.766246353,23.88863049,2.7111745222,-0.40546510811,S03,joystick,mid level,Low,Low
