,SDNN,RMSSD,ulf,vlf,lf,hf,lfhf,SD1,SD2,SD1SD2,ApEn,Subject,Interface,Autonomy Level,Raw Label,Weighted Label
2,109.763382,167.427596,17.1128725,213.661346,1052.87292,6392.04888,0.16,144.332948,57.1314274,2.52633191,-0.405465108,S05,headarray,teleoperation,Low,Low
3,122.963409,175.818088,29.2765431,363.774849,1700.84731,7303.74792,0.23,150.837661,86.5332306,1.74311834,-0.405465108,S05,headarray,teleoperation,Low,Low
4,122.1147,132.262366,75.8021055,936.106002,3393.05813,5958.98503,0.57,97.5431528,142.510818,0.68446139,-0.405465108,S05,headarray,teleoperation,Low,Low
5,129.655955,148.090063,64.7116728,799.882411,3142.51525,8692.37377,0.36,113.32549,144.148072,0.786174163,-0.405465108,S05,headarray,teleoperation,Low,Low
6,129.655955,148.090063,64.7116728,799.882411,3142.51525,8692.37377,0.36,113.32549,144.148072,0.786174163,-0.405465108,S05,headarray,teleoperation,Low,Low
7,129.655955,160.532447,70.8105408,877.436574,3133.18071,7842.86615,0.4,131.128436,128.166558,1.0231096,-0.405465108,S05,headarray,teleoperation,Low,Low
8,114.169465,166.789288,11.1818591,139.315263,981.506424,7044.28322,0.14,144.148072,72.7369691,1.98177177,-0.405465108,S05,headarray,teleoperation,Low,Low
9,106.100581,138.583308,26.1140733,323.640927,1542.96258,5671.58855,0.27,116.493204,94.5727233,1.23178439,-0.405465108,S05,headarray,teleoperation,Low,Low
10,122.436378,137.210301,66.7377799,826.32952,3055.46798,8170.4429,0.37,106.295186,136.684552,0.777667887,-0.405465108,S05,headarray,teleoperation,Low,Low
11,122.436378,137.210301,66.7377799,826.32952,3055.46798,8170.4429,0.37,106.295186,136.684552,0.777667887,-0.405465108,S05,headarray,teleoperation,Low,Low
12,135.567941,196.434892,5.10084115,64.5600014,1102.05126,12359.7145,0.09,169.925474,88.784383,1.91391175,-0.405465108,S05,headarray,teleoperation,Low,Low
13,133.246638,174.951422,80.8264918,1002.45055,3454.02676,8035.53425,0.43,145.363911,119.911078,1.21226423,-0.405465108,S05,headarray,teleoperation,Low,Low
14,131.346869,164.762455,53.698399,661.565128,2743.08542,8246.95493,0.33,131.483839,131.209756,1.0020889,-0.405465108,S05,headarray,teleoperation,Low,Low
15,140.873466,134.85795,126.27781,1558.60501,5091.33387,8606.79267,0.59,82.0243866,181.556236,0.451785015,-0.405465108,S05,headarray,teleoperation,Low,Low
16,122.94389,166.024095,46.6086237,585.579,2752.28479,7550.39853,0.36,135.141901,109.394089,1.23536749,-0.287682072,S05,headarray,teleoperation,Low,Low
17,132.438665,191.360045,23.7050604,295.222999,1546.981,10387.6126,0.15,164.414111,89.710646,1.83271572,-0.405465108,S05,headarray,teleoperation,Low,Low
18,142.599673,192.748541,65.6158369,813.215528,3047.37751,9394.79632,0.32,162.784111,119.040609,1.36746705,-0.405465108,S05,headarray,teleoperation,Low,Low
19,144.978159,158.088583,105.176832,1298.39439,4657.06875,8533.22734,0.55,116.699043,168.57837,0.692253956,-0.405465108,S05,headarray,teleoperation,Low,Low
20,124.338248,142.473389,58.2843446,720.808434,2840.00104,8334.68501,0.34,110.23611,136.99635,0.804664577,-0.405465108,S05,headarray,teleoperation,Low,Low
21,123.908568,156.187921,57.5589807,713.263297,2622.12982,7715.41377,0.34,128.716743,118.906125,1.08250725,-0.405465108,S05,headarray,teleoperation,Low,Low
22,123.908568,156.187921,57.5589807,713.263297,2622.12982,7715.41377,0.34,128.716743,118.906125,1.08250725,-0.405465108,S05,headarray,teleoperation,Low,Low
23,110.483785,158.677871,17.1487259,213.070718,1113.07602,6444.02998,0.17,136.59673,75.8595193,1.80065378,-0.405465108,S05,headarray,teleoperation,Low,Low
24,109.319105,111.833209,69.6896298,860.798363,2943.96794,4765.88493,0.62,78.6044952,133.126506,0.590449621,-0.405465108,S05,headarray,teleoperation,Low,Low
25,107.480231,130.741475,32.7941636,405.539956,1746.5222,6432.18402,0.27,104.855456,110.042416,0.952863994,-0.405465108,S05,headarray,teleoperation,Low,Low
26,110.127199,162.152192,17.163594,213.947666,1096.40176,6917.30421,0.16,139.494325,69.2627846,2.01398667,-0.405465108,S05,headarray,teleoperation,Low,Low
27,103.869148,143.192179,0.140499848,3.13675998,1269.98342,6166.65188,0.21,116.915924,88.9284356,1.31471923,-0.287682072,S05,headarray,teleoperation,Low,Low
28,110.127199,161.67457,24.2976277,302.128959,1303.30688,5931.75285,0.22,138.938835,70.3704483,1.97439179,-0.405465108,S05,headarray,teleoperation,Low,Low
29,108.043201,132.121157,37.4863233,462.741482,1924.11469,5570.47183,0.35,106.144556,109.909053,0.965748974,-0.405465108,S05,headarray,teleoperation,Low,Low
30,124.793162,126.237871,86.9190708,1073.73422,3666.78564,7438.59977,0.49,86.409876,153.883072,0.561529443,-0.405465108,S05,headarray,teleoperation,Low,Low
31,119.392909,146.369396,56.4658679,699.117948,2504.70428,7441.06222,0.34,119.342644,119.443152,0.999158524,-0.405465108,S05,headarray,teleoperation,Low,Low
32,114.937664,154.867685,30.1038853,372.708736,1575.70633,6980.34032,0.23,131.463556,95.5963737,1.37519397,-0.405465108,S05,headarray,teleoperation,Low,Low
33,103.822926,137.43362,37.2009865,466.919857,2070.31275,5024.22283,0.41,112.023807,94.9161033,1.18024027,-0.287682072,S05,headarray,teleoperation,Low,Low
34,127.103108,151.551971,2.08520964,28.6629149,2611.09635,7393.08373,0.35,123.730891,130.388139,0.948942842,-0.287682072,S05,headarray,teleoperation,Low,Low
35,122.681159,155.211683,31.1260982,385.255974,1867.84257,8693.71492,0.21,127.446721,117.722838,1.0825998,-0.405465108,S05,headarray,teleoperation,Low,Low
36,122.436378,170.911283,37.7304389,468.523921,1854.13381,7987.09012,0.23,145.171163,94.375138,1.53823524,-0.405465108,S05,headarray,teleoperation,Low,Low
37,124.894622,178.601978,27.2732248,338.515686,1542.91377,8073.4998,0.19,153.423162,87.5138084,1.7531309,-0.405465108,S05,headarray,teleoperation,Low,Low
38,120.592979,147.331825,47.8461423,591.62817,2410.48535,6989.25445,0.34,119.810962,121.369958,0.987155012,-0.405465108,S05,headarray,teleoperation,Low,Low
39,108.664622,124.686273,49.4295963,612.131922,2295.19431,6500.24475,0.35,98.1427532,118.253964,0.829932037,-0.405465108,S05,headarray,teleoperation,Low,Low
40,99.4625558,149.919979,6.22050106,80.8959522,735.316637,6890.18865,0.11,121.948076,70.1018307,1.73958476,-0.287682072,S05,headarray,teleoperation,Low,Low
41,114.792567,161.493034,10.6772031,133.160724,1006.67897,8583.29909,0.12,138.919641,84.0,1.65380525,-0.405465108,S05,headarray,teleoperation,Low,Low
42,109.611435,141.703917,53.2896839,660.544027,2289.9763,5403.24306,0.42,117.382565,101.245576,1.15938464,-0.405465108,S05,headarray,teleoperation,Low,Low
43,120.510027,168.190368,6.58030496,81.8121643,1077.2368,8300.5307,0.13,144.996552,89.5618967,1.61895356,-0.405465108,S05,headarray,teleoperation,Low,Low
44,101.895371,117.960445,58.6865417,727.010835,2419.40896,4657.13636,0.52,92.7936779,110.248205,0.841679718,-0.405465108,S05,headarray,teleoperation,Low,Low
45,108.762739,153.969694,0.00502742623,0.576432682,607.596728,7905.5855,0.08,133.296662,76.7506786,1.73674896,-0.405465108,S05,headarray,teleoperation,Low,Low
46,108.762739,153.969694,0.00502742623,0.576432682,607.596728,7905.5855,0.08,133.296662,76.7506786,1.73674896,-0.405465108,S05,headarray,teleoperation,Low,Low
47,111.259457,102.502033,94.7154805,1171.30632,3745.8452,4728.33275,0.79,65.380935,143.117667,0.456833432,-0.405465108,S05,headarray,teleoperation,Low,Low
48,91.2724858,123.525976,9.86366961,121.890539,861.730655,4544.54263,0.19,104.702754,75.4895136,1.38698408,-0.405465108,S05,headarray,teleoperation,Low,Low
