,SDNN,RMSSD,ulf,vlf,lf,hf,lfhf,SD1,SD2,SD1SD2,ApEn,Subject,Interface,Autonomy Level,Raw Label,Weighted Label
0,207.343837,197.56113,355.315488,4381.53725,14682.1339,26206.2908,0.56,140.763632,257.23245,0.547223461,0.113328685,U09,joystick,teleoperation,High,Med
1,140.937811,191.599582,74.6120365,908.949749,3032.24723,8291.97366,0.37,143.214524,138.623711,1.03311708,-0.0408219945,U09,joystick,teleoperation,High,Med
2,43.6287367,52.8242369,10.3808021,126.751496,370.864316,854.807151,0.43,37.8206293,48.7497009,0.775812541,-0.223143551,U09,joystick,teleoperation,High,Med
3,8.76356092,11.3137085,0.0975842004,1.17660275,6.04293297,58.8871259,0.1,8.57904424,8.94427191,0.959166305,-0.223143551,U09,joystick,teleoperation,High,Med
4,7.15541753,9.38083152,0.0743989294,0.915842762,4.54716114,35.7959835,0.13,7.48331477,6.81175455,1.09858844,-0.287682072,U09,joystick,teleoperation,High,Med
5,8.48528137,10.3923048,0.383053806,4.73648153,16.4178978,28.4354712,0.58,8.1240384,8.83176087,0.919866211,-0.287682072,U09,joystick,teleoperation,High,Med
6,9.20869155,8.71779789,0.791594944,9.76911753,30.3854586,31.0301457,0.98,5.83095189,11.6447413,0.50073692,-0.287682072,U09,joystick,teleoperation,High,Med
7,6.06630036,6.63324958,0.30019794,3.70588646,11.5261326,15.6379547,0.74,4.83045892,7.08989892,0.681315625,-0.287682072,U09,joystick,teleoperation,High,Med
8,5.21536192,7.74596669,0.0189470178,0.233884632,1.85548921,9.23939817,0.2,6.27162924,3.88158043,1.61574115,-0.287682072,U09,joystick,teleoperation,High,Med
9,9.1214034,12.9614814,0.233065628,2.85767915,9.92356097,27.9772287,0.35,10.0664459,8.06639118,1.24794914,-0.287682072,U09,joystick,teleoperation,High,Med
10,11.5238882,12.1326007,1.12930038,14.0308581,48.6197249,58.7283834,0.83,9.2520268,13.4164079,0.689605362,-0.223143551,U09,joystick,teleoperation,High,Med
11,15.4747106,16.0996894,2.50250007,30.8337734,89.9754642,95.9231521,0.94,11.3841996,18.690461,0.609091427,-0.223143551,U09,joystick,teleoperation,High,Med
12,15.1084965,16.0996894,2.25299175,27.7222154,80.2314862,94.5713816,0.85,11.3841996,18.0812979,0.629611859,-0.223143551,U09,joystick,teleoperation,High,Med
13,13.7985506,18.676188,0.108118139,1.29681355,14.5933062,123.774969,0.12,14.4222051,13.1453414,1.09713431,-0.223143551,U09,joystick,teleoperation,High,Med
14,18.5328537,18.9314553,1.91436268,23.6189471,93.8650829,210.774595,0.45,14.0854535,22.1027902,0.63727038,-0.223143551,U09,joystick,teleoperation,High,Med
15,25.9846108,18.0,7.50512374,92.6502002,286.084371,287.360549,1.0,8.1240384,35.8385268,0.226684497,-0.287682072,U09,joystick,teleoperation,High,Med
16,24.2652014,18.547237,6.4345919,79.262634,235.974853,210.67017,1.12,7.65941686,33.4504609,0.228977917,-0.287682072,U09,joystick,teleoperation,High,Med
17,12.5219807,15.2315462,0.466000296,5.79323955,24.6929463,98.5971086,0.25,12.328828,12.7121989,0.969842286,-0.287682072,U09,joystick,teleoperation,High,Med
18,14.9666295,16.7332005,0.583164179,7.20906548,32.2381755,164.075184,0.2,13.2664992,16.4924225,0.804399667,-0.287682072,U09,joystick,teleoperation,High,Med
19,15.1261363,20.976177,0.476548205,5.96445989,25.5004859,159.248757,0.16,17.1269768,12.8166558,1.33630621,-0.287682072,U09,joystick,teleoperation,High,Med
20,16.5247289,21.9818107,1.68216455,20.6124711,56.1143998,135.76355,0.41,16.4195006,16.6292914,0.98738426,-0.223143551,U09,joystick,teleoperation,High,Med
21,10.9300808,19.2665513,0.134088864,1.66372983,5.69911168,35.9165635,0.16,15.1789328,2.92118697,5.19615242,-0.223143551,U09,joystick,teleoperation,High,Med
22,10.5577775,17.977764,0.0561202728,0.712708284,3.73332232,47.8345889,0.08,14.1985915,4.61880215,3.07408523,-0.223143551,U09,joystick,teleoperation,High,Med
