,SDNN,RMSSD,ulf,vlf,lf,hf,lfhf,SD1,SD2,SD1SD2,ApEn,Subject,Interface,Autonomy Level,Raw Label,Weighted Label
1,54.28812025,55.92852582,21.97108711,270.4263692,842.9347348,1169.497875,0.72,38.54002249,66.40080321,0.5804150044,-0.2876820725,U13,headarray,teleoperation,High,Med
2,65.87260432,55.35341001,43.7317162,540.3816159,1698.686735,1892.547766,0.9,35.665109,86.06044388,0.4144193011,-0.2876820725,U13,headarray,teleoperation,High,Med
3,69.91423317,77.02467137,3.94411267,49.09235762,761.2050194,3703.850629,0.21,60.2461617,78.39897959,0.7684559419,-0.2231435513,U13,headarray,teleoperation,High,Med
4,76.67768037,77.02467137,32.2986307,403.7763875,1782.596788,3624.262739,0.49,60.2461617,90.16281569,0.6681929933,-0.2231435513,U13,headarray,teleoperation,High,Med
5,76.55586196,70.78982978,36.3189635,451.3118999,1851.160962,3569.394413,0.52,54.51605268,93.53929655,0.5828144394,-0.2231435513,U13,headarray,teleoperation,High,Med
6,70.59367299,85.69714114,25.70380466,313.7175788,890.129683,2767.432908,0.32,60.88021025,79.12353211,0.7694324132,-0.2231435513,U13,headarray,teleoperation,High,Med
7,69.2242732,104.1076366,19.01497699,233.3033167,770.2624952,1285.204812,0.6,79.93497357,56.51902335,1.414302103,-0.2231435513,U13,headarray,teleoperation,High,Med
8,125.5834384,130.3380221,130.3348372,1605.1691,4875.157903,6413.583024,0.76,89.24498118,153.550426,0.5812095967,-0.2876820725,U13,headarray,teleoperation,High,Med
9,132.6227733,123.3855745,152.6993496,1892.095573,6250.360025,7993.384384,0.78,92.1013934,163.3858419,0.5637048616,-0.2876820725,U13,headarray,teleoperation,High,Med
10,126.1935022,126.1269202,73.4935245,908.2989787,3900.209723,7329.239644,0.53,95.56498661,150.7213765,0.6340506492,-0.2876820725,U13,headarray,teleoperation,High,Med
11,61.60519459,88.5663593,0.1752371101,2.618628697,236.8332522,2530.461537,0.09,71.7542101,49.41389818,1.452105839,-0.2876820725,U13,headarray,teleoperation,High,Med
12,60.66300355,66.33249581,29.81326362,368.1552427,1149.318641,1328.376835,0.87,48.30458915,70.89898918,0.6813156254,-0.2876820725,U13,headarray,teleoperation,High,Med
13,83.79021423,86.81013766,61.7142442,757.7534521,2101.647885,2565.010159,0.82,52.73834784,106.1144037,0.4969951865,-0.2876820725,U13,headarray,teleoperation,High,Med
14,99.18064327,76.62897624,84.37239646,1042.973578,3468.806908,5091.350982,0.68,47.41307836,132.0060605,0.359173497,-0.2876820725,U13,headarray,teleoperation,High,Med
15,112.2995993,74.0,139.1437047,1718.738479,5369.776948,6513.591375,0.82,34.20526275,155.0883619,0.2205533822,-0.2876820725,U13,headarray,teleoperation,High,Med
16,84.06664023,88.20430828,24.48633453,302.8310178,1187.787339,5201.106698,0.23,69.0651866,96.76983001,0.7137057758,-0.2876820725,U13,headarray,teleoperation,High,Med
17,108.7602869,106.6208235,68.12798785,839.8223388,2851.125542,7052.441734,0.4,79.29691041,131.7937783,0.6016741566,-0.2876820725,U13,headarray,teleoperation,High,Med
18,121.6749769,100.5385498,141.7432895,1754.745544,5719.930633,7549.645811,0.76,69.75672011,157.3009854,0.4434601598,-0.2876820725,U13,headarray,teleoperation,High,Med
19,93.89923677,102.8241217,18.2779248,224.0606566,1619.187973,5826.155664,0.28,78.39387731,107.184576,0.731391402,-0.2231435513,U13,headarray,teleoperation,High,Med
20,70.77852782,102.0274473,1.376902703,15.38232993,33.19689926,4017.303981,0.01,77.91277174,62.83947804,1.239869811,-0.2231435513,U13,headarray,teleoperation,High,Med
21,67.96469672,79.29691041,5.634310263,70.32630845,543.2501313,3394.752214,0.16,64.41531909,71.33769457,0.9029632858,-0.2876820725,U13,headarray,teleoperation,High,Med
22,76.59765009,108.5762405,2.109082104,28.26825719,335.344072,3689.738623,0.09,84.48431807,67.79970501,1.246086809,-0.2231435513,U13,headarray,teleoperation,High,Med
23,75.61657667,103.6146708,10.19334882,125.5018329,776.5751716,3138.634445,0.25,80.61265409,70.26616066,1.147247172,-0.2231435513,U13,headarray,teleoperation,High,Med
24,65.32380883,104.4988038,3.489113299,43.74603318,238.3827084,2396.722919,0.1,85.30728769,35.45513597,2.406062912,-0.2876820725,U13,headarray,teleoperation,High,Med
25,70.50673727,107.2194012,10.48534975,127.2698878,305.045417,2318.810408,0.13,81.86167194,56.93036682,1.437926304,-0.2876820725,U13,headarray,teleoperation,High,Med
26,70.50673727,107.2194012,10.48534975,127.2698878,305.045417,2318.810408,0.13,81.86167194,56.93036682,1.437926304,-0.2876820725,U13,headarray,teleoperation,High,Med
31,71.46467659,68.05879811,38.78923199,480.4824769,1637.420988,2424.206423,0.68,50.64911977,87.45894275,0.5791188205,-0.2876820725,U13,headarray,teleoperation,High,Med
32,56.24233281,68.05879811,9.72580168,119.248618,471.8856589,1627.920253,0.29,51.35497379,60.73768737,0.8455207305,-0.2876820725,U13,headarray,teleoperation,High,Med
33,21.27909773,18.43908891,4.523347182,55.89434861,175.5096053,165.072171,1.06,12.08304597,27.56084179,0.4384135313,-0.2876820725,U13,headarray,teleoperation,High,Med
34,19.87963782,25.45584412,0.8023252746,9.958595842,58.1738155,165.0760008,0.35,20.52640576,19.2111079,1.068465487,-0.2876820725,U13,headarray,teleoperation,High,Med
35,34.47124405,26.71329257,11.76830992,145.3721085,506.3573881,405.143254,1.25,17.36663468,45.55143613,0.3812532854,-0.2231435513,U13,headarray,teleoperation,High,Med
36,33.46640106,37.82062929,6.908784291,86.40912552,353.0817333,504.3499251,0.7,29.73213749,36.82390528,0.8074140227,-0.2231435513,U13,headarray,teleoperation,High,Med
37,35.03141447,41.52107898,5.068341245,62.88449046,253.9062786,587.1849092,0.43,33.09582048,36.86552138,0.8977445386,-0.2876820725,U13,headarray,teleoperation,High,Med
38,52.5661488,56.24944444,11.10908523,136.7999885,546.8987833,1612.866271,0.34,42.60672873,60.91852482,0.6994051293,-0.2876820725,U13,headarray,teleoperation,High,Med
39,68.38323381,85.84637441,0.9290980953,12.96140524,546.9271746,2829.022515,0.19,67.01044695,69.72899923,0.9610126015,-0.2231435513,U13,headarray,teleoperation,High,Med
40,67.91759713,105.1094667,3.872981754,49.17378155,269.9694947,2894.370533,0.09,85.68158106,43.40814056,1.973859741,-0.2876820725,U13,headarray,teleoperation,High,Med
42,86.56096118,113.507709,2.510051762,30.97339961,615.5294256,5314.622294,0.12,91.86584421,80.90900238,1.135421789,-0.2876820725,U13,headarray,teleoperation,High,Med
43,88.01817994,115.7410904,26.68459674,333.4109572,1343.776091,4363.570393,0.31,94.32921075,81.21822456,1.161429116,-0.2876820725,U13,headarray,teleoperation,High,Med
44,110.4753366,117.405281,62.30080393,774.8548895,3076.979933,7324.799883,0.42,92.6786563,125.7786415,0.7368393804,-0.2876820725,U13,headarray,teleoperation,High,Med
46,138.9791351,179.1312368,0.583937034,9.370503584,1549.708368,14082.10132,0.11,145.8126652,131.7917549,1.106386855,-0.2876820725,U13,headarray,teleoperation,High,Med
47,149.436274,177.5274627,87.30190922,1085.676214,4457.277474,12919.24255,0.35,143.5060974,155.1399368,0.9250106733,-0.2876820725,U13,headarray,teleoperation,High,Med
48,148.7924729,173.2397183,83.9891476,1046.073469,4903.828458,12196.3402,0.4,139.453696,157.5787634,0.8849777282,-0.2876820725,U13,headarray,teleoperation,High,Med
49,95.83318841,106.0062891,56.00941826,692.9947234,2242.784307,4506.076388,0.5,81.25679459,108.4681213,0.7491306536,-0.4054651081,U13,headarray,teleoperation,High,Med
50,84.21876276,93.18798206,41.03915842,508.6492643,1852.304344,3296.383917,0.56,72.30951989,94.64107635,0.7640394919,-0.2876820725,U13,headarray,teleoperation,High,Med
51,74.47952739,99.17661015,24.37787549,297.5978335,811.4627247,2645.644029,0.31,72.16185511,76.72722246,0.9404987278,-0.2876820725,U13,headarray,teleoperation,High,Med
52,33.05752562,52.53570215,2.560686706,31.14305053,74.47296308,573.1286232,0.13,40.85747586,22.7215023,1.798185495,-0.2876820725,U13,headarray,teleoperation,High,Med
53,27.21764134,50.7937004,0.008625451625,0.1052524203,1.913730975,307.7346418,0.01,41.46484455,0.0,0.0,-0.2876820725,U13,headarray,teleoperation,High,Med
54,44.48820068,61.38403701,7.940530442,96.92259888,257.5801805,1036.386505,0.25,45.40190892,43.5553288,1.042396193,-0.2876820725,U13,headarray,teleoperation,High,Med
55,39.13055072,62.51399843,0.1830414665,2.46997338,32.19258573,1024.78316,0.03,50.51072493,22.60678364,2.234317174,-0.2876820725,U13,headarray,teleoperation,High,Med
