,SDNN,RMSSD,ulf,vlf,lf,hf,lfhf,SD1,SD2,SD1SD2,ApEn,Subject,Interface,Autonomy Level,Raw Label,Weighted Label
0,40.1331118,58.3323809,1.49491238,18.6091815,101.921084,985.963699,0.1,50.3057319,26.2805378,1.91418198,-0.405465108,U14,headarray,mid level,Low,Low
1,34.9399485,50.8723894,0.339791991,4.16952097,82.5555539,818.299557,0.1,41.1420304,27.3666464,1.50336398,-0.287682072,U14,headarray,mid level,Low,Low
2,31.9249119,52.4213697,0.0107070513,0.109023246,14.4025466,660.127073,0.02,42.1663373,16.1369142,2.61303597,-0.287682072,U14,headarray,mid level,Low,Low
3,31.5721396,47.116876,0.717490891,8.5797945,44.5308048,640.696722,0.07,36.9774706,25.0253205,1.47760228,-0.287682072,U14,headarray,mid level,Low,Low
4,21.9089023,28.9827535,0.218435854,2.74579002,48.6477561,319.875958,0.15,23.6079083,20.0665559,1.17648033,-0.287682072,U14,headarray,mid level,Low,Low
5,25.6748905,39.8497177,0.879294647,10.5581266,21.2677836,412.358364,0.05,30.757113,19.2976683,1.59382536,-0.287682072,U14,headarray,mid level,Low,Low
6,23.0477765,36.8781778,0.0235839139,0.269233156,13.1837377,345.83369,0.04,29.7097066,13.4064661,2.21607293,-0.287682072,U14,headarray,mid level,Low,Low
7,23.0477765,35.3270435,2.23721406,27.6427385,86.6339257,194.493964,0.45,28.0950767,16.5247289,1.70018381,-0.287682072,U14,headarray,mid level,Low,Low
8,25.2348965,34.9284984,3.64513981,44.6571159,118.437783,233.668222,0.51,25.7552584,24.703576,1.04257207,-0.287682072,U14,headarray,mid level,Low,Low
9,22.3427841,33.346664,1.08761568,13.1595304,31.8170711,297.606264,0.11,25.4034118,18.7900683,1.35195953,-0.287682072,U14,headarray,mid level,Low,Low
10,24.0665743,40.4969135,0.444567538,5.31969194,8.55762728,318.257792,0.03,32.0416396,11.4775142,2.79168807,-0.287682072,U14,headarray,mid level,Low,Low
11,24.8193473,44.4971909,0.824788652,10.1060155,26.6085319,233.514387,0.11,35.8794277,0.0,0.0,-0.287682072,U14,headarray,mid level,Low,Low
13,47.833043,58.4693652,7.79574378,96.2989245,345.713195,1283.74894,0.27,47.581509,48.0832611,0.989564932,-0.405465108,U14,headarray,mid level,Low,Low
14,60.6630036,49.2070456,30.3523489,374.759264,1168.58954,1428.53653,0.82,21.2289111,83.1223997,0.255393386,-0.405465108,U14,headarray,mid level,Low,Low
15,37.5765885,49.2070456,2.61546039,32.2856779,147.380033,819.486642,0.18,41.0203202,33.7836252,1.21420718,-0.405465108,U14,headarray,mid level,Low,Low
16,31.4112506,51.1729095,1.20637399,14.7257382,52.2489276,439.919206,0.12,42.4578222,13.0639453,3.25,-0.405465108,U14,headarray,mid level,Low,Low
17,27.2176413,48.6209831,0.498747984,6.26309031,28.6203457,370.453076,0.08,39.690469,0.0,0.0,-0.287682072,U14,headarray,mid level,Low,Low
18,28.6216701,49.7192116,1.40645472,17.5087102,63.2597457,358.319795,0.18,40.4639757,1.03279556,39.179076,-0.287682072,U14,headarray,mid level,Low,Low
19,46.1649217,54.8816909,16.0028421,195.741358,490.435499,1013.82466,0.48,36.9774706,53.8058237,0.687239188,-0.287682072,U14,headarray,mid level,Low,Low
20,37.166293,45.7238085,4.32340292,53.3860773,210.280338,733.36534,0.29,37.094474,37.2379735,0.996146421,-0.405465108,U14,headarray,mid level,Low,Low
21,49.4637915,77.7345912,0.0266845789,0.36596792,82.6225885,1376.12362,0.06,66.8331255,20.6559112,3.23554478,-0.405465108,U14,headarray,mid level,Low,Low
22,49.4637915,90.5685744,0.0277904449,0.404936649,10.7378383,1111.88283,0.01,77.8888096,0.0,0.0,-0.405465108,U14,headarray,mid level,Low,Low
23,51.2640225,87.2085623,3.34501807,40.724698,112.521056,996.572449,0.11,71.9073478,9.23760431,7.78419874,-0.405465108,U14,headarray,mid level,Low,Low
24,34.9284984,56.6156633,1.77263284,21.6413998,73.0981985,536.784381,0.14,46.6761895,16.1658075,2.88734042,-0.405465108,U14,headarray,mid level,Low,Low
25,65.1398496,77.4854825,29.3971681,359.118877,918.238209,2100.1182,0.44,52.6307895,75.606878,0.696111133,-0.287682072,U14,headarray,mid level,Low,Low
26,60.7069463,75.1886516,12.3051095,151.655651,578.277425,1846.51785,0.31,59.9555391,61.449166,0.975693293,-0.405465108,U14,headarray,mid level,Low,Low
27,60.7069463,86.409876,10.5154217,130.766249,519.16166,1884.35384,0.28,73.5391052,44.3019939,1.65995023,-0.405465108,U14,headarray,mid level,Low,Low
