patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
s05_Joystick - Mid level autonomy,,,,,,,,,,,,,,,3+0i,,,,,,,3+0i,,,,,,,
s05_Joystick - Mid level autonomy,1+0i,6+0i,1199+0i,1220+0i,1016+0i,18948+0i,-0.463883932+0i,1.89075866+0i,198+0i,137.651734+0i,191.624633+0i,1+0i,4+0i,1+0i,5+0i,32.896157+0i,407.651496+0i,1918.05718+0i,9977.45937+0i,0.19+0i,12336.0642+0i,5+0i,,,164.170643+0i,104.613575+0i,1.56930536+0i,,-0.405465108+0i
s05_Joystick - Mid level autonomy,2+0i,7+0i,1199+0i,1220+0i,1016+0i,18948+0i,-0.463883932+0i,1.89075866+0i,198+0i,137.651734+0i,191.624633+0i,1+0i,4+0i,1+0i,5+0i,32.896157+0i,407.651496+0i,1918.05718+0i,9977.45937+0i,0.19+0i,12336.0642+0i,5+0i,,,164.170643+0i,104.613575+0i,1.56930536+0i,,-0.405465108+0i
s05_Joystick - Mid level autonomy,3+0i,8+0i,1207+0i,1236+0i,1016+0i,20420+0i,-0.540281645+0i,1.79822662+0i,214+0i,142.898565+0i,135.725213+0i,1+0i,4+0i,1+0i,5+0i,136.679963+0i,1688.67291+0i,5596.80226+0i,7802.83795+0i,0.72+0i,15224.9931+0i,5+0i,,,87.4680894+0i,182.179399+0i,0.480120639+0i,,-0.405465108+0i
s05_Joystick - Mid level autonomy,4+0i,9+0i,1219+0i,1236+0i,1064+0i,14884+0i,-0.353281459+0i,1.63652683+0i,190+0i,122+0i,160.432748+0i,1+0i,4+0i,0.96+0i,5+0i,20.0099083+0i,248.194916+0i,1607.64684+0i,8692.6915+0i,0.18+0i,10568.5432+0i,5+0i,,,134.551106+0i,108+0i,1.24584357+0i,,-0.405465108+0i
s05_Joystick - Mid level autonomy,5+0i,10+0i,1209+0i,1216+0i,1064+0i,16217.3333+0i,-0.10849044+0i,1.34067684+0i,210+0i,127.347294+0i,140.570267+0i,1+0i,4+0i,0.92+0i,5+0i,95.4258926+0i,1180.9829+0i,3889.65217+0i,6944.45737+0i,0.56+0i,12110.5183+0i,5+0i,,,107.789919+0i,144.27751+0i,0.747101325+0i,,-0.405465108+0i
s05_Joystick - Mid level autonomy,6+0i,11+0i,1218+0i,1216+0i,1064+0i,19685.3333+0i,0.0320279641+0i,1.4217715+0i,228+0i,140.304431+0i,191.833261+0i,1+0i,4+0i,0.92+0i,5+0i,23.5705791+0i,291.417823+0i,1798.85363+0i,11314.4278+0i,0.16+0i,13428.2698+0i,5+0i,,,164.178764+0i,111.427106+0i,1.47341854+0i,,-0.405465108+0i
s05_Joystick - Mid level autonomy,7+0i,12+0i,1218+0i,1216+0i,1064+0i,19685.3333+0i,0.0320279641+0i,1.4217715+0i,228+0i,140.304431+0i,191.833261+0i,1+0i,4+0i,0.88+0i,5+0i,23.5705791+0i,291.417823+0i,1798.85363+0i,11314.4278+0i,0.16+0i,13428.2698+0i,5+0i,,,164.178764+0i,111.427106+0i,1.47341854+0i,,-0.405465108+0i
s05_Joystick - Mid level autonomy,8+0i,13+0i,1217+0i,1214+0i,1064+0i,19502.6667+0i,0.0494409164+0i,1.4438708+0i,226+0i,139.651948+0i,151.314243+0i,1+0i,4+0i,0.84+0i,5+0i,117.10295+0i,1450.33859+0i,4977.85344+0i,8198.44495+0i,0.61+0i,14743.7399+0i,5+0i,,,114.624023+0i,160.831174+0i,0.712697793+0i,,-0.405465108+0i
s05_Joystick - Mid level autonomy,9+0i,14+0i,1209+0i,1214+0i,1032+0i,23022.6667+0i,-0.0815927306+0i,1.51668466+0i,242+0i,151.73222+0i,204.769789+0i,1+0i,4+0i,0.88+0i,5+0i,19.2011137+0i,239.571172+0i,2178.08614+0i,13926.0664+0i,0.16+0i,16362.9248+0i,5+0i,,,174.363605+0i,125.070647+0i,1.39412092+0i,,-0.405465108+0i
s05_Joystick - Mid level autonomy,10+0i,15+0i,1239+0i,1274+0i,1032+0i,21422.6667+0i,-0.760052366+0i,2.1235873+0i,182+0i,146.364841+0i,204.769789+0i,1+0i,4+0i,0.92+0i,5+0i,46.5645866+0i,578.700353+0i,2510.95513+0i,11680.9514+0i,0.21+0i,14817.1715+0i,5+0i,,,174.363605+0i,111.546702+0i,1.56314442+0i,,-0.405465108+0i
s05_Joystick - Mid level autonomy,11+0i,16+0i,1239+0i,1274+0i,1032+0i,21422.6667+0i,-0.760052366+0i,2.1235873+0i,182+0i,146.364841+0i,208.064093+0i,1+0i,4+0i,0.92+0i,5+0i,46.5575298+0i,577.847592+0i,2478.60758+0i,10211.4202+0i,0.24+0i,13314.4329+0i,5+0i,,,178.220837+0i,105.274245+0i,1.69291964+0i,,-0.405465108+0i
s05_Joystick - Mid level autonomy,12+0i,17+0i,1240+0i,1264+0i,1032+0i,16072+0i,-0.875808448+0i,2.68326193+0i,116+0i,126.775392+0i,191.895805+0i,1+0i,5+0i,0.96+0i,5+0i,24.295114+0i,309.602183+0i,1733.87455+0i,8044.31549+0i,0.22+0i,10112.0873+0i,5+0i,,,156.469379+0i,87.5290428+0i,1.78762813+0i,,-0.287682072+0i
s05_Joystick - Mid level autonomy,13+0i,18+0i,1188+0i,1244+0i,1024+0i,23872+0i,-0.0718479069+0i,1.4301616+0i,262+0i,154.505663+0i,181.791089+0i,1+0i,5+0i,1+0i,5+0i,0.00468054+0i,4.7805558+0i,4312.35631+0i,11229.7608+0i,0.38+0i,15546.9024+0i,5+0i,,,148.422819+0i,160.357933+0i,0.925572042+0i,,-0.287682072+0i
s05_Joystick - Mid level autonomy,14+0i,19+0i,1227+0i,1254+0i,1024+0i,21689.3333+0i,-0.602718963+0i,2.0718982+0i,186+0i,147.272989+0i,161.625081+0i,1+0i,4+0i,1+0i,5+0i,94.5598276+0i,1169.71342+0i,4397.53612+0i,11617.4599+0i,0.38+0i,17279.2692+0i,5+0i,,,121.622366+0i,169.07592+0i,0.719335826+0i,,-0.405465108+0i
s05_Joystick - Mid level autonomy,15+0i,20+0i,1245+0i,1290+0i,1024+0i,24761.3333+0i,-0.769745511+0i,1.99236104+0i,222+0i,157.357343+0i,233.215208+0i,1+0i,4+0i,0.96+0i,5+0i,12.7089926+0i,159.818669+0i,1656.22906+0i,15929.5269+0i,0.1+0i,17758.2836+0i,5+0i,,,201.639943+0i,94.1488184+0i,2.14171507+0i,,-0.405465108+0i
s05_Joystick - Mid level autonomy,16+0i,21+0i,1241+0i,1290+0i,1024+0i,23428+0i,-0.823884296+0i,2.02383738+0i,214+0i,153.062079+0i,220.846855+0i,0.666666667+0i,4+0i,0.96+0i,5+0i,73.8952493+0i,918.156709+0i,3390.33306+0i,11058.4364+0i,0.31+0i,15440.8214+0i,5+0i,,,188.304718+0i,106.758294+0i,1.76384158+0i,,-0.405465108+0i
s05_Joystick - Mid level autonomy,17+0i,22+0i,1249+0i,1306+0i,1024+0i,23748+0i,-0.98282894+0i,2.18493193+0i,198+0i,154.103861+0i,187.061487+0i,0.666666667+0i,4+0i,0.96+0i,5+0i,90.8227442+0i,1118.62411+0i,4316.83335+0i,10869.2675+0i,0.4+0i,16395.5477+0i,5+0i,,,144.748057+0i,162.923295+0i,0.888442976+0i,,-0.405465108+0i
s05_Joystick - Mid level autonomy,,,,,,,,,,,,,,,3+0i,,,,,,,3+0i,,,,,,,
s05_Joystick - Mid level autonomy,19+0i,24+0i,1264+0i,1306+0i,1084+0i,15648+0i,-0.899069853+0i,2.108397+0i,168+0i,125.091966+0i,121.786699+0i,0.666666667+0i,4+0i,0.92+0i,5+0i,97.2983542+0i,1200.9592+0i,3979.58469+0i,6919.59739+0i,0.58+0i,12197.4396+0i,5+0i,,,76.3675324+0i,159.574434+0i,0.478569972+0i,,-0.405465108+0i
s05_Joystick - Mid level autonomy,20+0i,25+0i,1246+0i,1270+0i,1084+0i,13488+0i,-0.672551728+0i,2.09745317+0i,144+0i,116.137849+0i,159.499216+0i,1+0i,4+0i,0.92+0i,5+0i,31.8338769+0i,395.482398+0i,1713.46317+0i,7367.05391+0i,0.23+0i,9507.83336+0i,5+0i,,,135.321839+0i,93.0806102+0i,1.4538134+0i,,-0.405465108+0i
s05_Joystick - Mid level autonomy,21+0i,26+0i,1246+0i,1270+0i,1084+0i,13488+0i,-0.672551728+0i,2.09745317+0i,144+0i,116.137849+0i,161.740533+0i,1+0i,4+0i,0.92+0i,5+0i,31.8912783+0i,395.766832+0i,1699.96978+0i,6441.75164+0i,0.26+0i,8569.37954+0i,5+0i,,,137.956515+0i,89.1291198+0i,1.54782764+0i,,-0.405465108+0i
