patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
s05_Sip-n-puff - WST,,,,,,,,,,,,,,,3+0i,,,,,,,3+0i,,,,,,,
s05_Sip-n-puff - WST,1+0i,6+0i,1225+0i,1236+0i,1084+0i,17070.66667+0i,-0.09608440321+0i,1.145986322+0i,222+0i,130.6547614+0i,154.3329734+0i,0.6666666667+0i,4+0i,0.8647619048+0i,5+0i,93.44875314+0i,1157.864949+0i,3851.568512+0i,7234.605291+0i,0.53+0i,12337.4875+0i,5+0i,,,122.6485494+0i,138.1979257+0i,0.8874847344+0i,,-0.4054651081+0i
s05_Sip-n-puff - WST,2+0i,7+0i,1225+0i,1236+0i,1084+0i,17070.66667+0i,-0.09608440321+0i,1.145986322+0i,222+0i,130.6547614+0i,154.3329734+0i,0.6666666667+0i,4+0i,0.8647619048+0i,5+0i,93.44875314+0i,1157.864949+0i,3851.568512+0i,7234.605291+0i,0.53+0i,12337.4875+0i,5+0i,,,122.6485494+0i,138.1979257+0i,0.8874847344+0i,,-0.4054651081+0i
s05_Sip-n-puff - WST,3+0i,8+0i,1210+0i,1206+0i,1084+0i,13850.66667+0i,0.07398837352+0i,1.4010599+0i,192+0i,117.6888553+0i,169.8783879+0i,1+0i,4+0i,0.8933333333+0i,5+0i,2.827953432+0i,35.15627478+0i,717.5526558+0i,8607.606777+0i,0.08+0i,9363.143661+0i,5+0i,,,145.4739381+0i,80.8620224+0i,1.799039076+0i,,-0.4054651081+0i
s05_Sip-n-puff - WST,4+0i,9+0i,1203+0i,1206+0i,1084+0i,11545.33333+0i,-0.05368150294+0i,1.312210892+0i,178+0i,107.4492128+0i,84.22192905+0i,0.6666666667+0i,4+0i,0.96+0i,5+0i,98.40564235+0i,1215.109011+0i,3773.951206+0i,3910.95628+0i,0.96+0i,8998.422139+0i,5+0i,,,28.89059824+0i,149.1844496+0i,0.1936569014+0i,,-0.4054651081+0i
s05_Sip-n-puff - WST,5+0i,10+0i,1207+0i,1206+0i,1100+0i,10340+0i,0.01717612962+0i,1.254724138+0i,170+0i,101.6857906+0i,146.4422526+0i,0.6666666667+0i,4+0i,1+0i,5+0i,0.4734724432+0i,6.244547896+0i,611.2546469+0i,5876.574305+0i,0.1+0i,6494.546972+0i,5+0i,,,126.1850493+0i,68.97342483+0i,1.829473447+0i,,-0.4054651081+0i
s05_Sip-n-puff - WST,6+0i,11+0i,1197+0i,1186+0i,1100+0i,12420+0i,0.09066436085+0i,1.121596061+0i,190+0i,111.4450537+0i,127.7706278+0i,0.3333333333+0i,4+0i,1+0i,5+0i,70.58934765+0i,874.463856+0i,2919.486656+0i,5594.985977+0i,0.52+0i,9459.525837+0i,5+0i,,,100.0133324+0i,121.808593+0i,0.8210695975+0i,,-0.4054651081+0i
s05_Sip-n-puff - WST,7+0i,12+0i,1226.4+0i,1268+0i,1100+0i,13636.8+0i,-0.2519694847+0i,1.240884543+0i,220+0i,116.77671+0i,163.2298992+0i,0.5+0i,5+0i,1+0i,5+0i,0.4412698733+0i,7.813709804+0i,1323.737607+0i,8844.922133+0i,0.15+0i,10176.91472+0i,5+0i,,,132.3706916+0i,98.75018987+0i,1.340460123+0i,,-0.2876820725+0i
s05_Sip-n-puff - WST,8+0i,13+0i,1216+0i,1210+0i,1100+0i,17461.33333+0i,0.02190732441+0i,1.030364184+0i,228+0i,132.1413385+0i,186.4331873+0i,0.6666666667+0i,4+0i,0.9714285714+0i,5+0i,2.68945485+0i,33.76011534+0i,1041.224874+0i,11526.65988+0i,0.09+0i,12604.33433+0i,5+0i,,,161.2534237+0i,94.44575162+0i,1.707365561+0i,,-0.4054651081+0i
s05_Sip-n-puff - WST,9+0i,14+0i,1218+0i,1214+0i,1100+0i,18010.66667+0i,0.01063981075+0i,1.015351633+0i,232+0i,134.2038251+0i,139.0635346+0i,0.3333333333+0i,4+0i,0.9428571429+0i,5+0i,123.7763083+0i,1532.5534+0i,5032.313216+0i,7599.335994+0i,0.66+0i,14287.97892+0i,5+0i,,,101.6005249+0i,160.3080368+0i,0.6337831025+0i,,-0.4054651081+0i
