patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
u03_Joystick - Teleoperation,0,5,755.33333,756,708,981.86667,-0.22037798,2.0575647,44,31.334752,26.951809,0,6,0.94920635,5,7.7013409,95.298672,336.23467,679.13414,0.5,1118.3688,5,,,19.65706,39.715656,0.49494486,,-0.22314355
u03_Joystick - Teleoperation,1,6,743.33333,744,688,1711.4667,-0.055362546,1.6750164,72,41.369876,26.951809,0,6,0.97777778,5,22.704738,280.48984,879.36411,946.83397,0.93,2129.3927,5,,,15.5692,56.396217,0.27606817,,-0.22314355
u03_Joystick - Teleoperation,2,7,720,708,668,1952,0.58192936,2.2184225,59,44.181444,26.932013,0,7,0.97777778,5,29.517279,364.40486,1142.5195,971.68494,1.18,2508.1266,5,,,15.966632,60.407505,0.26431537,,-0.18232156
u03_Joystick - Teleoperation,3,8,712.57143,708,668,1020.9524,-0.038532462,1.5267693,53,31.952345,29.21187,0.16666667,7,0.97777778,5,2.370881,29.682899,213.83393,869.27505,0.25,1115.1628,5,,,22.603834,39.12763,0.57769496,,-0.18232156
u03_Joystick - Teleoperation,4,9,717.71429,708,668,1679.2381,0.53490862,2.2291814,53,40.978508,33.665016,0.16666667,7,1,5,6.148443,75.848877,414.06175,1405.0278,0.29,1901.0868,5,,,25.197884,52.187574,0.48283301,,-0.18232156
u03_Joystick - Teleoperation,5,10,721.71429,712,668,1892.5714,0.30169231,1.7429,67,43.503694,38.087618,0.16666667,7,1,5,13.042589,162.72006,671.46238,1557.1772,0.43,2404.4022,5,,,29.339393,54.077194,0.54254652,,-0.18232156
u03_Joystick - Teleoperation,6,11,729.71429,744,744,1711.2381,-0.15927481,1.9318157,59,41.367114,39.429262,0.16666667,7,1,5,8.4874597,104.44848,433.56984,1400.859,0.31,1947.3648,5,,,28.922886,50.852167,0.56876408,,-0.18232156
u03_Joystick - Teleoperation,7,12,755.33333,752,744,809.06667,-0.24527312,1.9701763,40,28.444097,39.110101,0,6,1,5,0.027152136,0.29917419,11.757863,646.63033,0.02,658.71452,5,,,30.265492,26.497799,1.1421889,Inf,0.11332869
u03_Joystick - Teleoperation,8,13,768.57143,780,712,1084.9524,-0.51434244,2.3762659,39,32.938615,35.402448,0,7,1,5,2.5801361,32.575182,200.59688,971.00404,0.21,1206.7562,5,,,27.403163,37.669237,0.72746795,,-0.18232156
u03_Joystick - Teleoperation,9,14,757.14286,760,708,1481.1429,-0.052196147,1.7606604,63,38.485619,44.572039,0.16666667,7,1,5,0.29651903,4.0807287,133.88406,1260.1131,0.11,1398.3744,5,,,33.866404,42.606952,0.79485629,,-0.18232156
