patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
u03_Sip-n-puff - Trajectory,0,5,739.333333,738,704,943.466667,0.0679540454,1.47541463,64,30.7159025,30.724583,0,6,0.955555556,5,0.178337259,2.27606997,82.7696413,883.833561,0.09,969.05761,5,,,24.2816803,36.0185138,0.674144428,,-0.223143551
u03_Sip-n-puff - Trajectory,1,6,735.428571,732,704,892.952381,0.349105054,1.54771386,56,29.8823088,28.0950767,0,7,0.977777778,5,0.238605838,3.15525034,140.084945,858.693656,0.16,1002.17246,5,,,21.7378318,36.2404667,0.599822072,,-0.182321557
u03_Sip-n-puff - Trajectory,2,7,738.666667,732,708,906.666667,0.280199981,1.36912941,60,30.1109061,21.9818107,0,6,1,5,9.98650332,123.573698,402.452639,655.659258,0.61,1191.6721,5,,,15.3101274,39.7357941,0.385298135,,-0.223143551
u03_Sip-n-puff - Trajectory,3,8,730.857143,728,708,537.142857,1.07431322,3.09753131,26,23.1763426,20.2649122,0,7,1,5,2.81419419,34.5332402,139.428074,397.910117,0.35,574.685626,5,,,14.4222051,29.432732,0.490005654,,-0.182321557
u03_Sip-n-puff - Trajectory,4,9,720.571429,720,704,194.285714,0.432909394,2.12832757,19,13.938641,18.3303028,0,7,1,5,0.419867969,5.03684004,8.9593567,125.338418,0.07,139.754483,5,,,13.2262366,14.616364,0.904892393,,-0.182321557
u03_Sip-n-puff - Trajectory,5,10,706.857143,712,676,462.47619,-0.497177244,1.68835985,40,21.5052596,15.8324561,0,7,1,5,4.43184283,54.8986369,198.975649,365.628761,0.54,623.93489,5,,,11.5470054,28.1357255,0.410403684,,-0.182321557
u03_Sip-n-puff - Trajectory,6,11,706.857143,712,676,462.47619,-0.497177244,1.68835985,40,21.5052596,20.2649122,0,7,1,5,3.07188582,38.3456691,148.754883,401.047672,0.37,591.22011,5,,,15.6631202,26.0695042,0.60082156,,-0.182321557
u03_Sip-n-puff - Trajectory,7,12,706.857143,712,676,462.47619,-0.497177244,1.68835985,40,21.5052596,20.2649122,0,7,1,5,0.652364215,8.1595614,73.8074507,489.201498,0.15,571.820874,5,,,15.6631202,26.0695042,0.60082156,,-0.182321557
u03_Sip-n-puff - Trajectory,8,13,708,712,676,656,0.345602516,2.45478882,32,25.6124969,27.4226184,0,7,1,5,4.96088743,61.8640185,229.07437,465.613621,0.49,761.512897,5,,,21.2163459,29.3575657,0.722687504,,-0.182321557
u03_Sip-n-puff - Trajectory,9,14,705.714286,712,676,713.904762,0.507513483,2.26994632,36,26.7189963,26.7830792,0,7,1,5,2.07778879,25.9344568,157.743604,570.340239,0.28,756.096088,5,,,20.6881609,31.6197648,0.654279405,,-0.182321557
u03_Sip-n-puff - Trajectory,10,15,717.714286,712,688,441.904762,0.334108056,2.30085612,26,21.0215309,27.5196899,0,7,1,5,0.051631227,0.710624861,11.2531029,405.608099,0.03,417.623458,5,,,21.0902821,20.9525541,1.00657333,,-0.182321557
u03_Sip-n-puff - Trajectory,11,16,722.857143,720,688,558.47619,-0.101548591,1.72531822,39,23.6321008,27.7608838,0,7,1,5,0.227705307,2.7697306,45.086952,547.324155,0.08,595.408543,5,,,21.1974841,25.8383252,0.820389247,,-0.182321557
u03_Sip-n-puff - Trajectory,12,17,722.285714,716,688,564.571429,-0.0259762167,1.68282548,39,23.7607119,27.7608838,0,7,1,5,0.0218174942,0.343162073,28.7076915,559.552943,0.05,588.625614,5,,,20.9952376,26.2362889,0.800236558,,-0.182321557
u03_Sip-n-puff - Trajectory,13,18,704,704,660,1013.33333,0.0471462936,1.75077562,52,31.832897,26.7830792,0,7,1,5,2.47828898,30.7834064,217.641506,978.754045,0.22,1229.65725,5,,,20.4287379,40.116497,0.509235338,,-0.182321557
u03_Sip-n-puff - Trajectory,14,19,699.428571,704,656,1330.28571,0.0448357327,1.50593502,67,36.4730821,26.0256284,0,7,1,5,13.7463031,170.679366,619.942661,1031.34924,0.6,1835.71757,5,,,19.1833261,47.8808044,0.400647532,,-0.182321557
u03_Sip-n-puff - Trajectory,15,20,698.285714,692,656,1385.90476,0.202261315,1.5011802,70,37.2277418,32.9039005,0,7,1,5,0.811273347,10.2750946,210.141178,1302.94795,0.16,1524.17549,5,,,25.4663176,46.0790212,0.552666202,,-0.182321557
u03_Sip-n-puff - Trajectory,16,21,696.571429,692,656,1207.61905,0.111710166,1.4392228,67,34.7508136,30.2434566,0,7,1,5,5.40269266,67.1571114,318.327917,1124.48524,0.28,1515.37296,5,,,23.2837569,43.2793803,0.537987297,,-0.182321557
