patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
u04_Sip-n-puff - Teleoperation,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u04_Sip-n-puff - Teleoperation,1,6,956,948,928,832,0.657443725,2.05297707,42,28.8444102,26.6082694,0,5,0.971428571,5,5.43425691,67.0891763,231.950984,462.342435,0.5,766.816852,5,,,18.9560896,36.1201698,0.524806215,,-0.287682072
u04_Sip-n-puff - Teleoperation,2,7,940,936,920,352,0.536322706,2.01704545,27,18.761663,25.4558441,0,5,0.971428571,5,1.67735889,20.4987799,52.7376505,143.263053,0.37,218.176843,5,,,18.3303028,19.1833261,0.955533086,,-0.287682072
u04_Sip-n-puff - Teleoperation,3,8,932.8,932,920,107.2,0.336521879,2.19881934,13,10.3537433,16.8522995,0,5,0.942857143,5,0.0176472516,0.226879455,2.87100302,63.6068102,0.05,66.72234,5,,,13.7355985,5.0728033,2.70769389,,-0.287682072
u04_Sip-n-puff - Teleoperation,4,9,929.333333,934,880,772.266667,-0.869979359,2.79226825,28,27.7896863,40.6349603,0.2,6,0.942857143,5,2.16676798,26.3876922,75.5534061,353.942805,0.21,458.050671,5,,,30.8804145,24.3091204,1.27032217,,-0.223143551
u04_Sip-n-puff - Teleoperation,5,10,909.333333,926,816,2852.26667,-0.916943475,2.52897371,68,53.4066163,49.412549,0.4,6,0.971428571,5,22.6907272,278.641721,876.231055,1624.7052,0.54,2802.2687,5,,,33.0212053,67.9274122,0.486124883,,-0.223143551
u04_Sip-n-puff - Teleoperation,6,11,894.666667,900,816,2781.86667,-0.275459067,1.87196898,72,52.743404,51.6913919,0.4,6,0.971428571,5,21.5354171,267.812999,970.649466,1664.25512,0.58,2924.253,5,,,39.7492138,63.1168229,0.629772096,,-0.223143551
u04_Sip-n-puff - Teleoperation,7,12,878.666667,870,816,3345.06667,0.310019552,1.63707423,108,57.8365513,53.8739269,0.4,6,0.942857143,5,34.0026161,420.786385,1360.38365,1551.68681,0.88,3366.85946,5,,,39.0179446,71.8869483,0.542768131,,-0.223143551
u04_Sip-n-puff - Teleoperation,8,13,869.333333,868,816,2673.06667,0.79446052,2.68414958,56,51.7017085,57.3271314,0.6,6,0.971428571,5,12.3232117,151.795057,618.480609,1310.79236,0.47,2093.39124,5,,,43.331282,58.8942555,0.735747173,,-0.223143551
u04_Sip-n-puff - Teleoperation,9,14,859.2,860,816,1771.2,0.394698574,1.86902148,65,42.085627,44.362146,0.25,5,0.971428571,5,15.0016046,184.634388,545.642086,670.867568,0.81,1416.14565,5,,,29.3484809,51.7790176,0.566802583,,-0.287682072
u04_Sip-n-puff - Teleoperation,10,15,884.8,876,824,2283.2,0.0266415179,1.67053089,75,47.7828421,40.348482,0.25,5,0.942857143,5,20.8500419,257.83028,831.613949,1212.8514,0.69,2323.14567,5,,,28.1306476,61.4415712,0.457843884,,-0.287682072
u04_Sip-n-puff - Teleoperation,11,16,894.666667,902,824,1706.66667,-0.690180413,2.58750937,44,41.3118224,36.9648482,0.2,6,0.942857143,5,9.93942982,122.578494,513.493362,925.893483,0.55,1571.90477,5,,,26.6383183,51.9974358,0.512300613,,-0.223143551
u04_Sip-n-puff - Teleoperation,12,17,904.666667,902,876,610.666667,0.464171064,2.12835072,36,24.7116707,29.6108088,0,6,0.971428571,5,0.132178717,1.78018288,80.5682198,393.37415,0.2,475.854732,5,,,23.3752005,25.9794791,0.899756322,,-0.223143551
u04_Sip-n-puff - Teleoperation,13,18,902,902,860,836.8,-6.94264292e-14,2.20499106,36,28.9274956,24.5926818,0,6,0.971428571,5,9.70486062,119.982326,382.351898,314.046837,1.22,826.085921,5,,,16.9705627,37.2236484,0.455908098,,-0.223143551
u04_Sip-n-puff - Teleoperation,14,19,904.666667,902,860,994.666667,-0.0448962603,1.8244021,52,31.5383365,40.5561339,0.2,6,0.971428571,5,1.43241939,18.0069938,158.285873,462.822052,0.34,640.547339,5,,,32.0374781,31.0311671,1.03242904,,-0.223143551
u04_Sip-n-puff - Teleoperation,15,20,906,902,860,1131.2,0.0928735484,1.87565645,52,33.6333168,37.094474,0.2,6,1,5,4.60654031,56.7845154,253.218723,737.260076,0.34,1051.86985,5,,,28.3266659,38.2099463,0.741342728,,-0.223143551
u04_Sip-n-puff - Teleoperation,16,21,910.4,920,860,1428.8,-0.293806251,1.58755043,62,37.7994709,43.6806593,0.25,5,1,5,7.97072408,98.9774632,350.032067,915.557627,0.38,1372.53788,5,,,34.8998567,40.4919745,0.861895651,,-0.287682072
u04_Sip-n-puff - Teleoperation,17,22,926.4,936,860,1652.8,-0.924281447,2.50266894,50,40.654643,47.4130784,0.25,5,1,5,10.845425,133.026965,377.578143,688.912167,0.55,1210.3627,5,,,32.3728281,47.5142084,0.681329421,,-0.287682072
u04_Sip-n-puff - Teleoperation,18,23,954.4,952,920,924.8,0.484530837,2.13650758,41,30.4105245,33.5857112,0,5,1,5,5.88607482,72.4395962,229.488016,457.838607,0.5,765.652294,5,,,24.1108551,35.6127318,0.677029081,,-0.287682072
u04_Sip-n-puff - Teleoperation,19,24,958.4,956,920,820.8,0.181474912,2.39895466,29,28.6496073,39.3446311,0,5,1,5,2.32852233,29.1388047,117.525254,539.412732,0.22,688.405313,5,,,32.1143789,24.703576,1.29998908,,-0.287682072
u04_Sip-n-puff - Teleoperation,20,25,953.6,956,920,1012.8,0.401727932,1.93484348,47,31.8245188,38.574603,0,5,1,5,0.029301802,0.421321349,79.3438601,754.036769,0.11,833.831253,5,,,31.4536696,32.1910961,0.977092223,,-0.287682072
