patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
u13_Headarray - Mid level autonomy,,,,,,,,,,,,,,,3+0i,,,,,,,3+0i,,,,,,,
u13_Headarray - Mid level autonomy,1+0i,6+0i,837.333333+0i,870+0i,584+0i,17962.6667+0i,-1.19354967+0i,3.3804844+0i,64+0i,134.024873+0i,182.62968+0i,0.6+0i,6+0i,0.953246753+0i,5+0i,62.6181319+0i,777.503497+0i,3398.93934+0i,8344.90937+0i,0.41+0i,12583.9703+0i,5+0i,,,143.211731+0i,124.160112+0i,1.15344396+0i,,-0.223143551+0i
u13_Headarray - Mid level autonomy,2+0i,7+0i,854+0i,884+0i,584+0i,20696+0i,-1.19971099+0i,3.20260636+0i,136+0i,143.861044+0i,182.059331+0i,0.6+0i,6+0i,0.971428571+0i,5+0i,163.743019+0i,2031.37483+0i,6805.93138+0i,8654.90414+0i,0.79+0i,17655.9534+0i,5+0i,,,142.315143+0i,145.390509+0i,0.978847551+0i,,-0.223143551+0i
u13_Headarray - Mid level autonomy,3+0i,8+0i,932+0i,948+0i,876+0i,2080+0i,-0.271545418+0i,1.3591716+0i,80+0i,45.607017+0i,53.8144962+0i,0.25+0i,5+0i,0.971428571+0i,5+0i,11.8344531+0i,146.673694+0i,511.741251+0i,1219.45641+0i,0.42+0i,1889.7058+0i,5+0i,,,42.4264069+0i,48.5798312+0i,0.873333765+0i,,-0.287682072+0i
u13_Headarray - Mid level autonomy,4+0i,9+0i,928+0i,928+0i,876+0i,1760+0i,1.9855417e-15+0i,1.41806281+0i,72+0i,41.9523539+0i,51.3497809+0i,0.2+0i,6+0i,1+0i,5+0i,3.39302789+0i,42.4245546+0i,329.304472+0i,1093.41135+0i,0.3+0i,1468.5334+0i,5+0i,,,40.5166632+0i,43.3405122+0i,0.934845048+0i,,-0.223143551+0i
u13_Headarray - Mid level autonomy,5+0i,10+0i,945.6+0i,948+0i,908+0i,812.8+0i,-0.140621739+0i,1.70745629+0i,45+0i,28.5096475+0i,25.0599282+0i,0+0i,5+0i,1+0i,5+0i,7.50305329+0i,92.8066912+0i,299.467087+0i,366.302897+0i,0.82+0i,766.079729+0i,5+0i,,,17.4928557+0i,36.326299+0i,0.481547974+0i,,-0.287682072+0i
u13_Headarray - Mid level autonomy,6+0i,11+0i,944+0i,948+0i,908+0i,688+0i,-0.321171753+0i,1.66373716+0i,43+0i,26.2297541+0i,32.3728281+0i,0+0i,5+0i,1+0i,5+0i,0.00193338059+0i,0.0681372634+0i,46.1117157+0i,531.942387+0i,0.09+0i,578.124173+0i,5+0i,,,26.3818119+0i,26.0768096+0i,1.0116963+0i,,-0.287682072+0i
u13_Headarray - Mid level autonomy,7+0i,12+0i,950.4+0i,948+0i,908+0i,1212.8+0i,0.11526979+0i,1.7050024+0i,55+0i,34.8252782+0i,33.5857112+0i,0+0i,5+0i,1+0i,5+0i,7.73190232+0i,95.7329102+0i,340.963068+0i,662.922096+0i,0.51+0i,1107.34998+0i,5+0i,,,25.6124969+0i,42.0666138+0i,0.608855684+0i,,-0.287682072+0i
u13_Headarray - Mid level autonomy,8+0i,13+0i,954.4+0i,968+0i,908+0i,1268.8+0i,-0.237105188+0i,1.60068713+0i,55+0i,35.620219+0i,30.3973683+0i,0+0i,5+0i,1+0i,5+0i,10.3172095+0i,127.703155+0i,434.488664+0i,634.416248+0i,0.68+0i,1206.92528+0i,5+0i,,,21.5870331+0i,45.5148327+0i,0.474285674+0i,,-0.287682072+0i
u13_Headarray - Mid level autonomy,9+0i,14+0i,931.2+0i,968+0i,792+0i,6651.2+0i,-1.18896689+0i,2.8092863+0i,84+0i,81.5548895+0i,92.5634917+0i,0.25+0i,5+0i,1+0i,5+0i,19.5760873+0i,241.136885+0i,1012.50316+0i,3350.4059+0i,0.3+0i,4623.62203+0i,5+0i,,,70.2946181+0i,91.4388685+0i,0.768760805+0i,,-0.287682072+0i
