patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
u13_Headarray - Trajectory,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u13_Headarray - Trajectory,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u13_Headarray - Trajectory,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u13_Headarray - Trajectory,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u13_Headarray - Trajectory,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,
u13_Headarray - Trajectory,5,10,975.2,996,900,4299.2,-0.0604180853,1.49172808,108,65.568285,86.7870958,1,5,1,5,27.2937412,334.953018,924.090299,1612.53419,0.57,2898.87125,5,,,63.3035017,67.7574104,0.93426684,,-0.287682072
u13_Headarray - Trajectory,6,11,1009.6,1008,916,3748.8,-0.584125145,2.147713,84,61.2274448,68.4105255,0.75,5,1,5,22.0458555,273.719676,988.532506,1786.61992,0.55,3070.91796,5,,,54.3077649,67.4408383,0.805265272,,-0.287682072
u13_Headarray - Trajectory,7,12,982.4,996,872,7556.8,-0.220318504,1.43276724,155,86.9298568,112.08925,0.75,5,1,5,0.0031714517,0.5916816,604.229048,3856.6389,0.16,4461.4628,5,,,91.0787205,82.5727962,1.10301122,,-0.287682072
u13_Headarray - Trajectory,8,13,980,996,872,7984,-0.186860301,1.34560203,164,89.3532316,105.924501,0.5,5,1,5,36.5181877,453.586736,1724.57838,4723.88096,0.37,6938.56427,5,,,84.4235354,94.0248194,0.897885643,,-0.287682072
u13_Headarray - Trajectory,9,14,1014.4,1056,872,15276.8,-0.0512406317,1.51358023,200,123.599353,166.565303,0.5,5,1,5,2.3173449,28.1337344,983.35414,11124.0815,0.09,12137.8867,5,,,134.064661,112.161788,1.19527928,,-0.287682072
u13_Headarray - Trajectory,10,15,1005.6,1012,872,14748.8,0.1783203,1.63795171,200,121.444638,183.74983,0.75,5,1,5,12.4950522,158.540123,922.117106,10094.1832,0.09,11187.3355,5,,,149.530376,84.4882635,1.76983607,,-0.287682072
