patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
u13_Joystick - Command,0+0i,5+0i,913.6+0i,912+0i,872+0i,1004.8+0i,0.239392066+0i,2.3648221+0i,34+0i,31.6985804+0i,36+0i,0+0i,5+0i,0.942857143+0i,5+0i,5.43217052+0i,67.2928665+0i,243.574399+0i,482.835516+0i,0.5+0i,799.134952+0i,5+0i,,,28.2370914+0i,34.8176201+0i,0.811000045+0i,,-0.287682072+0i
u13_Joystick - Command,1+0i,6+0i,930.4+0i,920+0i,904+0i,668.8+0i,0.274038075+0i,1.26401067+0i,47+0i,25.8611678+0i,39.0384426+0i,0+0i,5+0i,0.971428571+0i,5+0i,2.74332425+0i,33.6501605+0i,93.1230891+0i,245.084873+0i,0.38+0i,374.601447+0i,5+0i,,,30.0555042+0i,20.8390659+0i,1.44226734+0i,,-0.287682072+0i
u13_Joystick - Command,2+0i,7+0i,952+0i,956+0i,912+0i,1576+0i,0.535237476+0i,2.08514778+0i,55+0i,39.6988665+0i,47.3708771+0i,0.25+0i,5+0i,1+0i,5+0i,9.78366198+0i,120.138016+0i,355.579717+0i,713.505329+0i,0.5+0i,1199.00672+0i,5+0i,,,33.8132124+0i,44.8181511+0i,0.754453533+0i,,-0.287682072+0i
u13_Joystick - Command,3+0i,8+0i,979.2+0i,960+0i,912+0i,3099.2+0i,0.267696915+0i,1.84685175+0i,78+0i,55.670459+0i,48.2493523+0i,0.25+0i,5+0i,1+0i,5+0i,25.7986758+0i,319.045395+0i,1065.40886+0i,1371.48668+0i,0.78+0i,2781.73961+0i,5+0i,,,34.176015+0i,70.9253128+0i,0.481859207+0i,,-0.287682072+0i
u13_Joystick - Command,4+0i,9+0i,962.4+0i,956+0i,876+0i,5316.8+0i,0.121693931+0i,1.60279145+0i,120+0i,72.9163905+0i,99.2572415+0i,0.5+0i,5+0i,1+0i,5+0i,0.424755728+0i,5.77415555+0i,351.65716+0i,2765.33855+0i,0.13+0i,3123.19462+0i,5+0i,,,80.7093551+0i,64.1841102+0i,1.25746629+0i,,-0.287682072+0i
u13_Joystick - Command,5+0i,10+0i,948.8+0i,956+0i,844+0i,7955.2+0i,-0.0205302121+0i,1.46526393+0i,155+0i,89.1919279+0i,98.1019877+0i,0.5+0i,5+0i,1+0i,5+0i,34.2881706+0i,424.88506+0i,1672.64517+0i,5093.97375+0i,0.33+0i,7225.79215+0i,5+0i,,,76.7680489+0i,100.085297+0i,0.767026239+0i,,-0.287682072+0i
u13_Joystick - Command,6+0i,11+0i,929.6+0i,876+0i,844+0i,9452.8+0i,0.444206533+0i,1.35265314+0i,167+0i,97.2255111+0i,94.3610089+0i,0.25+0i,5+0i,0.971428571+0i,5+0i,76.7687954+0i,950.776493+0i,3122.14138+0i,5131.53936+0i,0.61+0i,9281.22603+0i,5+0i,,,70.5218642+0i,118.035023+0i,0.597465586+0i,,-0.287682072+0i
u13_Joystick - Command,7+0i,12+0i,928+0i,876+0i,844+0i,9136+0i,0.476404518+0i,1.42376649+0i,161+0i,95.5824252+0i,116.636186+0i,0.5+0i,5+0i,0.971428571+0i,5+0i,3.22186579+0i,40.3523382+0i,682.078762+0i,6198.34966+0i,0.11+0i,6924.00262+0i,5+0i,,,94.6396675+0i,96.5159745+0i,0.980559622+0i,,-0.287682072+0i
u13_Joystick - Command,8+0i,13+0i,913.6+0i,876+0i,844+0i,5564.8+0i,0.36586479+0i,1.26209178+0i,133+0i,74.5975871+0i,74.8598691+0i,0.25+0i,5+0i,0.971428571+0i,5+0i,43.0133622+0i,532.755095+0i,1768.49116+0i,3176.45132+0i,0.56+0i,5520.71094+0i,5+0i,,,57.0087713+0i,88.767111+0i,0.64222853+0i,,-0.287682072+0i
u13_Joystick - Command,9+0i,14+0i,925.6+0i,936+0i,844+0i,5156.8+0i,-0.108272004+0i,1.31943666+0i,133+0i,71.8108627+0i,76.9675256+0i,0.25+0i,5+0i,0.971428571+0i,5+0i,27.980296+0i,346.632216+0i,1274.72143+0i,3233.7135+0i,0.39+0i,4883.04744+0i,5+0i,,,59.9722158+0i,81.9568992+0i,0.731753109+0i,,-0.287682072+0i
