patID,t_start,t_end,NNmean,NNmedian,NNmode,NNvariance,NNskew,NNkurt,NNiqr,SDNN,RMSSD,pnn50,btsdet,avgsqi,tdflag,ulf,vlf,lf,hf,lfhf,ttlpwr,fdflag,ac,dc,SD1,SD2,SD1SD2,SampEn,ApEn
u14_Joystick - WST,,,,,,,,,,,,,,,3+0i,,,,,,,3+0i,,,,,,,
u14_Joystick - WST,1+0i,6+0i,1025.6+0i,1048+0i,972+0i,1652.8+0i,-0.46539928499+0i,1.3767085032+0i,70+0i,40.654643031+0i,55.461698495+0i,0.5+0i,5+0i,0.92063492063+0i,5+0i,1.1874806771+0i,15.084712808+0i,144.33178414+0i,1060.1882425+0i,0.14+0i,1220.7922201+0i,5+0i,,,45.21799052+0i,35.509623109+0i,1.2734010266+0i,,-0.28768207245+0i
u14_Joystick - WST,2+0i,7+0i,1023.2+0i,1048+0i,1048+0i,1475.2+0i,-0.48736676616+0i,1.3977124614+0i,63+0i,38.408332429+0i,33.763886032+0i,0.25+0i,5+0i,0.94920634921+0i,5+0i,12.629434892+0i,156.05153209+0i,513.57105963+0i,647.514585+0i,0.79+0i,1329.7666116+0i,5+0i,,,22.78888618+0i,49.305848199+0i,0.46219438489+0i,,-0.28768207245+0i
u14_Joystick - WST,,,,,,,,,,,,,,,3+0i,,,,,,,3+0i,,,,,,,
u14_Joystick - WST,4+0i,9+0i,1073+0i,1052+0i,1048+0i,2009.3333333+0i,1.1307327474+0i,2.3134564688+0i,50+0i,44.825587931+0i,53.316664062+0i,0.33333333333+0i,4+0i,0.97142857143+0i,5+0i,12.971926633+0i,159.36442103+0i,498.94910835+0i,627.29911703+0i,0.8+0i,1298.584573+0i,5+0i,,,39.293765409+0i,49.746021616+0i,0.78988759567+0i,,-0.40546510811+0i
u14_Joystick - WST,5+0i,10+0i,1093+0i,1092+0i,1048+0i,2702.6666667+0i,0.0029585788012+0i,1.0039437987+0i,90+0i,51.987177906+0i,53.166405433+0i,0.33333333333+0i,4+0i,0.94920634921+0i,5+0i,21.240328124+0i,262.99576894+0i,851.67901754+0i,645.02710978+0i,1.32+0i,1780.9422244+0i,5+0i,,,38.401388864+0i,62.695029043+0i,0.61251090318+0i,,-0.40546510811+0i
u14_Joystick - WST,6+0i,11+0i,1111+0i,1128+0i,1048+0i,1838.6666667+0i,-1.0218123269+0i,2.2161685618+0i,54+0i,42.879676616+0i,53.962950253+0i,0.33333333333+0i,4+0i,0.89920634921+0i,5+0i,9.7468176382+0i,119.59375752+0i,414.49861197+0i,597.46910926+0i,0.69+0i,1141.3082964+0i,5+0i,,,41.856899073+0i,43.878620458+0i,0.95392468213+0i,,-0.40546510811+0i
u14_Joystick - WST,7+0i,12+0i,1113+0i,1128+0i,1056+0i,1518.6666667+0i,-0.9950521751+0i,2.1909928229+0i,50+0i,38.970073988+0i,38.157568057+0i,0.33333333333+0i,4+0i,0.89920634921+0i,5+0i,10.33622378+0i,127.40808088+0i,395.74218656+0i,569.54474227+0i,0.69+0i,1103.0312335+0i,5+0i,,,22.449944321+0i,50.332229568+0i,0.44603516501+0i,,-0.40546510811+0i
u14_Joystick - WST,8+0i,13+0i,1113+0i,1128+0i,1056+0i,1518.6666667+0i,-0.9950521751+0i,2.1909928229+0i,50+0i,38.970073988+0i,38.157568057+0i,0.33333333333+0i,4+0i,0.83253968254+0i,5+0i,10.33622378+0i,127.40808088+0i,395.74218656+0i,569.54474227+0i,0.69+0i,1103.0312335+0i,5+0i,,,22.449944321+0i,50.332229568+0i,0.44603516501+0i,,-0.40546510811+0i
u14_Joystick - WST,,,,,,,,,,,,,,,3+0i,,,,,,,3+0i,,,,,,,
